0	Index      	Bounty	 *	Score 	Summary	Detail	
1	34245 23113	4	 * 	289.35	橙4易伤3时间2伤害	1矿等24a时间3456易伤4序列升级78伤害9核
2	34243 51133	6	   	276.26	橙4易伤3时间1等级	1矿等245时间3479易伤4序列升级6等级8核a雷电
3	34245 23111	4	   	276.12	橙4易伤2伤害2时间	1矿等24时间3456易伤4序列升级78伤害9核a敌人爆炸
4	34245 23112	4	   	276.12	橙4易伤2伤害2时间	1矿等24时间3456易伤4序列升级78伤害9核a平台
5	34265 23113	4	   	276.02	橙4易伤2伤害2时间	1矿等2a时间3456易伤78伤害9核
6	14243 23613	4	   	271.76	橙4易伤3时间1伤害	15金币生成24a时间3468易伤4序列升级7伤害9核
7	34242 23613	5	   	271.76	橙4易伤3时间1伤害	15矿等24a时间3468易伤4序列升级7伤害9核
8	34263 23613	5	   	271.66	橙4易伤3时间1伤害	1矿等25a时间3468易伤7伤害9核
9	34265 23213	4	   	271.66	橙4易伤3时间1伤害	1矿等28a时间3456易伤7伤害9核
10	52114 31322	4	 * 	271.34	橙5易伤3时间	17基地爆炸2额外掉落347时间5679a易伤7序列升级8核
11	62114 31342	4	   	271.34	橙5易伤3时间	17敌人爆炸2额外掉落347时间5679a易伤7序列升级8核
12	22114 31342	4	   	271.14	橙5易伤3时间	17挖尘2额外掉落347时间5679a易伤7序列升级8核
13	34242 62133	7	   	271.11	橙4易伤3时间1攻速	15矿等246时间3469易伤46序列升级7攻速8核a雷电
14	34263 62133	7	   	271.01	橙4易伤3时间1攻速	1矿等256时间3469易伤6序列升级7攻速8核a雷电
15	11241 32625	9	 * 	269.97	橙3易伤2伤害2攻速1时间1全技能	12a金币生成35a易伤45攻速5a序列升级6核7时间8a伤害9全技能
16	11241 33151	6	 * 	269.83	橙3易伤2伤害3攻速1时间	129金币生成357易伤459攻速59序列升级6核89伤害a时间
17	16241 33151	6	   	269.83	橙3易伤2伤害3攻速1时间	19金币生成2立即金币357易伤459攻速59序列升级6核89伤害a时间
