0	Index      	 *	Score 	Summary	Detail	
1	52412 33343	 * 	278.92	橙橙2易伤1伤害2时间	1a时间2伤害3a等级4技能点5低血量敌人6a易伤79核8赏金塔a序列升级
2	32141 52151	   	277.51	橙橙2易伤1伤害1攻速	14易伤2基地爆炸3散射对喷气5攻速6伤害7雷电8a核9金币生成
3	36141 52131	   	277.51	橙橙2易伤1伤害1攻速	14易伤2低血量敌人3散射对喷气5攻速6伤害7雷电8a核9金币生成
4	33333 35421	   	274.98	橙橙2易伤1矿等1暴击	19易伤2激光减费3赏金塔4矿等5赏金邻近6随机矿7暴击8a核
5	36333 33421	   	274.88	橙橙2易伤1矿等1暴击	19易伤2低血量敌人3双倍秒伤4技能点5赏金邻近6矿等7暴击8a核
6	36334 33421	   	274.88	橙橙2易伤1矿等1暴击	19易伤2低血量敌人3双倍秒伤4技能点5赏金塔6矿等7暴击8a核
7	22251 65122	 * 	266.76	紫橙3易伤1伤害1平台	1平台2技能379易伤46核5激光对愈8伤害a赏金邻近
8	22251 65123	   	266.76	紫橙3易伤1伤害1平台	1平台2技能379易伤46核5激光对愈8伤害a额外掉落
9	22251 65121	   	266.66	紫橙3易伤1伤害1平台	1平台2技能379易伤46核5激光对愈8伤害a技能点
10	36533 23421	   	265.65	橙橙2易伤1暴击	19易伤2低血量敌人3暴击4赏金塔5双倍秒伤6激光减费7时间8a核
11	32116 52151	   	263.86	橙橙2易伤1伤害	15易伤2基地爆炸3散射对喷气4技能6伤害7雷电8a核9金币生成
12	52632 23216	 * 	263.65	橙橙2伤害1易伤	1时间24伤害34基地爆炸4序列升级5敌人爆炸6挖尘7a核8易伤9立即金币
13	26311 26513	   	263.63	橙橙1易伤1矿等2平台1攻速	13平台2易伤4最后敌人5矿等6敌人爆炸7攻速8a核9掉矿
14	32136 52151	   	263.61	橙橙2易伤1伤害1策反	15易伤2基地爆炸3散射对喷气4策反6伤害7雷电8a核9金币生成
15	52214 23116	   	260.79	紫橙2易伤1伤害1矿等	1时间2伤害3a核4金币生成5矿等6双倍秒伤7随机矿89易伤
16	33112 56513	   	258.34	橙橙1易伤1矿等1攻速1平台	1易伤2激光减费3敌人爆炸4矿等5低血量敌人6平台7攻速8a核9掉矿
17	26115 16213	   	258.19	橙橙1易伤1矿等1暴击1平台1卖塔	1平台2易伤3基地爆炸4暴击5矿等6a核7卖塔8低血量敌人9掉矿
18	52213 51134	 * 	257.81	紫橙2伤害1易伤1攻速1平台1策反	1时间29伤害3a核4金币生成5攻速6易伤7平台8策反
19	63512 16221	   	257.45	橙橙2易伤1暴击	1挖尘245最后敌人3暴击6a核79易伤8低血量敌人
20	32313 42331	   	257.45	橙橙2易伤1暴击	16易伤2基地爆炸3双倍秒伤4金币生成5赏金邻近7等级8暴击9a核
21	32314 42331	   	257.45	橙橙2易伤1暴击	16易伤2基地爆炸3双倍秒伤4金币生成5赏金塔7等级8暴击9a核
22	32356 52331	   	257.45	橙橙2易伤1暴击	15易伤2基地爆炸3双倍秒伤4赏金邻近6金币生成7等级8暴击9a核
23	33313 35421	   	257.45	橙橙2易伤1暴击	19易伤2激光减费3赏金塔4金币生成5赏金邻近6随机矿7暴击8a核
24	36313 42331	   	257.45	橙橙2易伤1暴击	16易伤2低血量敌人3双倍秒伤4金币生成5赏金邻近7等级8暴击9a核
25	36314 42331	   	257.45	橙橙2易伤1暴击	16易伤2低血量敌人3双倍秒伤4金币生成5赏金塔7等级8暴击9a核
26	32313 44331	   	257.35	橙橙2易伤1暴击	16易伤2基地爆炸3双倍秒伤4金币生成5赏金邻近7技能点8暴击9a核
27	32314 44331	   	257.35	橙橙2易伤1暴击	16易伤2基地爆炸3双倍秒伤4金币生成5赏金塔7技能点8暴击9a核
28	32333 42331	   	257.35	橙橙2易伤1暴击	16易伤2基地爆炸3双倍秒伤4技能点5赏金邻近7等级8暴击9a核
29	32334 42331	   	257.35	橙橙2易伤1暴击	16易伤2基地爆炸3双倍秒伤4技能点5赏金塔7等级8暴击9a核
30	32352 42331	   	257.35	橙橙2易伤1暴击	16易伤2基地爆炸3双倍秒伤4赏金邻近5掉矿7等级8暴击9a核
31	33352 35421	   	257.35	橙橙2易伤1暴击	19易伤2激光减费3赏金塔4赏金邻近5掉矿6随机矿7暴击8a核
32	36313 44331	   	257.35	橙橙2易伤1暴击	16易伤2低血量敌人3双倍秒伤4金币生成5赏金邻近7技能点8暴击9a核
33	36333 42331	   	257.35	橙橙2易伤1暴击	16易伤2低血量敌人3双倍秒伤4技能点5赏金邻近7等级8暴击9a核
34	36334 42331	   	257.35	橙橙2易伤1暴击	16易伤2低血量敌人3双倍秒伤4技能点5赏金塔7等级8暴击9a核
35	32112 53364	   	257.25	橙橙2易伤1暴击	19易伤2基地爆炸3散射对喷气4技能5暴击6双倍秒伤7挖尘8a核
36	32352 44331	   	257.25	橙橙2易伤1暴击	16易伤2基地爆炸3双倍秒伤4赏金邻近5掉矿7技能点8暴击9a核
37	32132 42151	   	257.20	橙橙2易伤1攻速1策反	16易伤2基地爆炸3散射对喷气4策反5攻速7雷电8a核9金币生成
38	51512 13336	   	257.18	橙橙1易伤1矿等1攻速	1时间2双倍矿3易伤4矿等5低血量敌人6最后敌人7a核8赏金塔9攻速
39	26351 22411	   	256.84	紫橙2易伤1矿等2平台1全技能	13平台26易伤48核5防空对愈7矿等9导弹对绿a全技能
40	26232 36513	   	255.56	橙橙1易伤2时间1攻速1平台	1平台2易伤3技能点46时间5挖尘7攻速8a核9掉矿
41	22251 65131	   	252.82	紫橙2易伤1伤害1平台	1平台2技能37易伤46核5激光对愈8伤害9散射对甲a时间
42	52212 43116	   	249.71	紫橙2易伤1伤害2时间	17时间2伤害3a核4金币生成5挖尘6双倍秒伤89易伤
43	11213 51634	 * 	249.51	紫橙2伤害1易伤1攻速1平台1策反	1策反2最后敌人3a核4金币生成5攻速6易伤7平台89伤害
