0	Index      	 *	Score 	Summary	Detail	
1	42112 32364	 * 	286.43	橙橙2伤害1易伤1矿等1暴击	1立即金币2易伤34伤害5金币生成6矿等79核8机枪对壮a暴击
2	42135 32361	 * 	281.45	橙橙2易伤2伤害	1立即金币25易伤36伤害4最后敌人79核8散射对绿a等级
3	42135 32362	   	281.45	橙橙2易伤2伤害	1立即金币25易伤36伤害4最后敌人79核8散射对绿a双倍矿
4	42135 32363	   	281.35	橙橙2易伤2伤害	1立即金币25易伤36伤害4最后敌人79核8散射对绿a技能点
5	42112 32361	   	272.78	橙橙2伤害1易伤1矿等	1立即金币2易伤34伤害5金币生成6矿等79核8机枪对壮a等级
6	42112 32362	   	272.78	橙橙2伤害1易伤1矿等	1立即金币2易伤34伤害5金币生成6矿等79核8机枪对壮a双倍矿
7	42112 32365	   	272.78	橙橙2伤害1易伤1矿等	1a立即金币2易伤34伤害5金币生成6矿等79核8机枪对壮
8	42112 32366	   	272.78	橙橙2伤害1易伤1矿等	1立即金币2易伤34伤害5金币生成6矿等79核8机枪对壮a最后敌人
9	42112 32461	   	272.78	橙橙2伤害1易伤1矿等	1立即金币2易伤34伤害5金币生成6矿等79核8毒液对毒a等级
10	42112 32462	   	272.78	橙橙2伤害1易伤1矿等	1立即金币2易伤34伤害5金币生成6矿等79核8毒液对毒a双倍矿
11	42112 32363	   	272.68	橙橙2伤害1易伤1矿等	1立即金币2易伤34伤害5金币生成6矿等79核8机枪对壮a技能点
12	42112 32463	   	272.68	橙橙2伤害1易伤1矿等	1立即金币2易伤34伤害5金币生成6矿等79核8毒液对毒a技能点
13	31325 15352	   	268.00	橙橙1易伤1矿等1攻速1全技能1平台	1平台2赏金塔3易伤4掉矿5全技能6加一78核9矿等a攻速
14	32325 15352	   	268.00	橙橙1易伤1矿等1攻速1全技能1平台	1平台2赏金邻近3易伤4掉矿5全技能6加一78核9矿等a攻速
15	31325 15322	   	258.77	橙橙1易伤1暴击1全技能1平台	1平台2赏金塔3易伤4掉矿5全技能6加一78核9暴击a时间
16	32325 15322	   	258.77	橙橙1易伤1暴击1全技能1平台	1平台2赏金邻近3易伤4掉矿5全技能6加一78核9暴击a时间
17	31325 15325	   	257.40	橙橙1易伤1暴击1全技能1平台	1平台2赏金塔3易伤4掉矿5全技能6加一78核9暴击a核弹
18	32325 15325	   	257.40	橙橙1易伤1暴击1全技能1平台	1平台2赏金邻近3易伤4掉矿5全技能6加一78核9暴击a核弹
19	42135 32234	 * 	257.29	橙3易伤3伤害2攻速	1立即金币25a易伤368伤害4a最后敌人7核9a攻速a序列升级
20	34642 22312	   	257.08	橙橙1易伤1伤害1全技能1平台	1平台2金币生成3赏金邻近4易伤5最后敌人6技能78核9伤害a全技能
21	36353 62312	   	256.98	橙橙1易伤1伤害1全技能1平台	1平台2最后敌人3技能4赏金塔5易伤6掉矿78核9伤害a全技能
