0	Index      	 *	Score 	Summary	Detail	
1	31153 13236	 * 	281.25	橙橙2易伤2时间1等级	1平台23时间3序列升级4等级5导弹对黄67易伤8加一9a核
2	26135 11522	 * 	273.53	橙橙2易伤2伤害	1技能点28易伤3低血量敌人46伤害5赏金邻近79核a攻速
3	26335 11522	   	273.53	橙橙2易伤2伤害	1技能点28易伤3敌人爆炸46伤害5赏金邻近79核a攻速
4	31453 13236	   	268.79	橙橙2易伤1等级1时间	13平台2时间4等级5导弹对黄67易伤8加一9a核
5	12422 11123	   	267.79	橙橙2伤害1易伤1全技能1暴击	13雷电2多重对甲4易伤5暴击69伤害7全技能8a核
6	12622 11123	   	267.69	橙橙2伤害1易伤1全技能1暴击	1雷电2多重对甲3暴雪减费4易伤5暴击69伤害7全技能8a核
7	26135 11523	   	266.59	橙橙2易伤2伤害	1技能点28易伤3低血量敌人46伤害5赏金邻近79核a最后敌人
8	26335 11523	   	266.59	橙橙2易伤2伤害	1技能点28易伤3敌人爆炸46伤害5赏金邻近79核a最后敌人
9	26135 11521	   	266.49	橙橙2易伤2伤害	1技能点28易伤3低血量敌人46伤害5赏金邻近79核a电塔对黄
10	26335 11521	   	266.49	橙橙2易伤2伤害	1技能点28易伤3敌人爆炸46伤害5赏金邻近79核a电塔对黄
11	12422 11133	 * 	256.51	橙橙1易伤1伤害2暴击1全技能	13雷电2多重对甲4易伤59暴击6伤害7全技能8a核
12	12622 11133	   	256.41	橙橙1易伤1伤害2暴击1全技能	1雷电2多重对甲3暴雪减费4易伤59暴击6伤害7全技能8a核
13	31113 13236	   	255.04	橙橙2易伤2时间	1平台23时间3序列升级4金币生成5导弹对黄67易伤8加一9a核
14	34153 13236	   	254.94	橙橙2易伤1等级	1平台23挖尘3序列升级4等级5导弹对黄67易伤8加一9a核
15	34353 13236	   	254.94	橙橙2易伤1等级	1平台2挖尘3毒气减费4等级5导弹对黄67易伤8加一9a核
16	31153 16236	   	254.94	橙橙1易伤2时间1等级	1平台23时间3序列升级4等级5导弹对黄6易伤7烈焰减费8加一9a核
