0	Index      	 *	Score 	Summary	Detail	
1	21363 41314	 * 	284.50	橙橙2易伤1等级1矿等1时间	15易伤2最后敌人3等级4风暴减费67核8策反9矿等a时间
2	21363 41315	 * 	283.14	橙橙2易伤2矿等1等级	15易伤2最后敌人3等级4风暴减费67核8策反9a矿等
3	21363 41214	   	277.79	橙橙2易伤1等级1矿等	15易伤2最后敌人3等级4风暴减费67核8低血量敌人9攻速a矿等
4	21363 41162	 * 	277.58	橙橙3易伤1等级	159易伤29最后敌人3等级4风暴减费67核89随机技能9序列升级a头目
5	21363 41161	   	277.48	橙橙3易伤1等级	159易伤29最后敌人3等级4风暴减费67核89随机技能9序列升级a烈焰减费
6	21363 41163	   	277.48	橙橙3易伤1等级	159易伤29最后敌人3等级4风暴减费67核89随机技能9序列升级a掉矿
7	21363 41153	   	277.38	橙橙3易伤1等级	15a易伤2最后敌人3等级4风暴减费67核8随机技能9金币生成
8	21363 41241	   	277.38	橙橙3易伤1等级	159易伤2最后敌人3等级4风暴减费67核8a低血量敌人
9	21363 41242	   	277.38	橙橙3易伤1等级	159易伤2最后敌人3等级4风暴减费67核8低血量敌人a随机矿
10	21363 41243	   	277.38	橙橙3易伤1等级	159易伤2最后敌人3等级4风暴减费67核8低血量敌人a雷电
11	21363 41136	   	277.28	橙橙3易伤1等级	15a易伤2最后敌人3等级4风暴减费67核8随机技能9散射对甲
12	21363 41114	 * 	275.21	橙橙2易伤1等级1伤害	15易伤2最后敌人3等级4风暴减费67核8随机技能9挖尘a伤害
13	21363 41125	   	275.21	橙橙2易伤1等级1伤害	15易伤2最后敌人3等级4风暴减费67核8随机技能9加一a伤害
14	21363 41223	   	275.21	橙橙2易伤1等级1伤害	15易伤2最后敌人3等级4风暴减费67核8低血量敌人9赏金塔a伤害
15	21363 41233	   	275.21	橙橙2易伤1等级1伤害	15易伤2最后敌人3等级4风暴减费67核8低血量敌人9赏金邻近a伤害
16	21363 41513	   	275.21	橙橙2易伤1等级1伤害	15易伤2最后敌人3等级4风暴减费67核8双倍秒伤9基地爆炸a伤害
17	21363 41311	   	270.85	橙橙2易伤1等级1矿等	15易伤2最后敌人3等级4风暴减费67核8策反9矿等a低血量敌人
18	21363 41326	   	270.85	橙橙2易伤1等级1矿等	15易伤2最后敌人3等级4风暴减费67核8策反9雷电a矿等
19	44133 41124	   	270.85	橙橙2易伤1等级1矿等	1立即金币2矿等35易伤4低血量敌人67核8随机技能9加一a等级
20	21363 41134	   	270.75	橙橙2易伤1等级1矿等	15易伤2最后敌人3等级4风暴减费67核8随机技能9散射对甲a矿等
21	21363 41312	   	270.75	橙橙2易伤1等级1矿等	15易伤2最后敌人3等级4风暴减费67核8策反9矿等a赏金邻近
22	21363 41313	   	270.75	橙橙2易伤1等级1矿等	15易伤2最后敌人3等级4风暴减费67核8策反9矿等a双倍秒伤
23	21363 41316	   	270.75	橙橙2易伤1等级1矿等	15易伤2最后敌人3等级4风暴减费67核8策反9矿等a挖尘
24	21363 41152	   	268.89	橙橙2易伤1等级1时间	15易伤2最后敌人3等级4风暴减费67核8随机技能9金币生成a时间
25	21363 41252	   	268.79	橙橙2易伤1等级1技能	15易伤2最后敌人3等级4风暴减费67核8低血量敌人9挖尘a技能
26	21363 41331	   	268.79	橙橙2易伤1等级1技能	15易伤2最后敌人3等级4风暴减费67核8策反9赏金邻近a技能
27	21363 41522	   	268.79	橙橙2易伤1等级1技能	15易伤2最后敌人3等级4风暴减费67核8双倍秒伤9立即金币a技能
28	23143 42511	   	266.78	橙橙3易伤1矿等	19a易伤2平台3技能点4金币生成5额外掉落67核8矿等
29	21363 41222	   	266.15	橙橙2易伤1等级1核弹	15易伤2最后敌人3等级4风暴减费67核8低血量敌人9赏金塔a核弹
30	21363 41232	   	266.15	橙橙2易伤1等级1核弹	15易伤2最后敌人3等级4风暴减费67核8低血量敌人9赏金邻近a核弹
31	21363 41351	   	266.15	橙橙2易伤1等级1核弹	15易伤2最后敌人3等级4风暴减费67核8策反9核弹a低血量敌人
32	21363 41352	   	266.15	橙橙2易伤1等级1核弹	15易伤2最后敌人3等级4风暴减费67核8策反9核弹a赏金邻近
33	21363 41353	   	266.15	橙橙2易伤1等级1核弹	15易伤2最后敌人3等级4风暴减费67核8策反9核弹a随机矿
34	21363 41512	   	266.15	橙橙2易伤1等级1核弹	15易伤2最后敌人3等级4风暴减费67核8双倍秒伤9基地爆炸a核弹
35	21363 41532	   	266.05	橙橙2易伤1等级1核弹1挖怪	15易伤2最后敌人3等级4风暴减费67核8双倍秒伤9挖怪a核弹
36	21363 41411	 * 	265.58	橙橙2易伤2等级	15易伤28最后敌人39等级4风暴减费67核a金币生成
37	21363 41412	   	265.58	橙橙2易伤2等级	15易伤28最后敌人39等级4风暴减费67核a随机矿
38	21363 41413	   	265.58	橙橙2易伤2等级	15易伤28最后敌人39等级4风暴减费67核a雷电
39	44133 41223	   	264.71	橙橙2易伤1伤害1矿等	1立即金币2矿等35易伤4低血量敌人67核8最后敌人9赏金塔a伤害
40	44133 41233	   	264.71	橙橙2易伤1伤害1矿等	1立即金币2矿等35易伤4低血量敌人67核8最后敌人9赏金邻近a伤害
41	26234 22312	 * 	264.38	橙3易伤2等级2矿等2暴击1全技能	158易伤28暴击3激光对愈45矿等58序列升级68等级7额外掉落9核a全技能
42	26234 22316	   	264.38	橙3易伤2等级2矿等2暴击1时间	158易伤28暴击3激光对愈45矿等58序列升级68等级7额外掉落9核a时间
43	21363 41212	   	262.18	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8低血量敌人9攻速a平台
44	21363 41213	   	262.18	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8低血量敌人9攻速a随机矿
45	21363 41211	   	262.08	橙橙2易伤1等级1挖怪	15易伤2最后敌人3等级4风暴减费67核8低血量敌人9攻速a挖怪
46	21363 41215	   	262.08	橙橙2易伤1等级	15易伤2最后敌人3等级4风暴减费67核8低血量敌人9攻速a掉矿
47	44123 32211	 * 	260.82	橙4易伤1等级1伤害1矿等1全技能	1立即金币2矿等359a易伤4全技能6核7伤害8等级
48	44123 32214	 * 	259.24	橙3易伤2伤害1等级1矿等1全技能	1立即金币2矿等359易伤4全技能6核7a伤害8等级
49	23323 12126	 * 	258.19	橙橙1易伤1喷火对甲1矿等1暴击	1易伤2平台3雷电4喷火对甲5加一69核7技能点8暴击a矿等
50	26234 22313	   	257.67	橙3易伤2等级2矿等2暴击	158易伤28暴击3激光对愈45矿等58序列升级68等级7额外掉落9核a攻速
51	44133 41311	   	256.94	橙橙2易伤2矿等	1立即金币29矿等35易伤4低血量敌人67核8策反a挖尘
52	44133 41312	   	256.94	橙橙2易伤2矿等	1立即金币29矿等35易伤4低血量敌人67核8策反a风暴减费
53	44133 41313	   	256.94	橙橙2易伤2矿等	1立即金币29矿等35易伤4低血量敌人67核8策反a掉矿
54	42332 41242	   	256.44	橙橙1易伤1等级1时间1技能	1立即金币2双倍矿3低血量敌人4等级5时间67核8最后敌人9易伤a技能
55	26562 22132	   	256.34	橙橙2易伤1时间1暴击	19易伤2暴击3暴雪减费4敌人爆炸5头目6时间7雷电8a核
56	23323 12121	   	256.24	橙橙1易伤1喷火对甲1时间1暴击	1易伤2平台3雷电4喷火对甲5加一69核7技能点8暴击a时间
