0	Index      	 *	Score 	Summary	Detail	
1	16211 13615	 * 	274.38	橙橙1易伤1等级1全技能1暴击1雷电	1暴击2平台3全技能4等级5雷电6低血量敌人7易伤8a核9时间
2	41612 13233	 * 	266.49	橙橙2易伤2伤害	1基地爆炸2赏金塔35易伤45伤害5序列升级6挖尘7a核8技能点9寒冰对黄
3	46612 13233	   	266.49	橙橙2易伤2伤害	1基地爆炸2赏金邻近35易伤45伤害5序列升级6挖尘7a核8技能点9寒冰对黄
4	51612 13233	   	266.49	橙橙2易伤2伤害	1敌人爆炸2赏金塔35易伤45伤害5序列升级6挖尘7a核8技能点9寒冰对黄
5	56612 13233	   	266.49	橙橙2易伤2伤害	1敌人爆炸2赏金邻近35易伤45伤害5序列升级6挖尘7a核8技能点9寒冰对黄
6	11332 25532	   	249.73	橙橙2易伤1暴击	1暴击2低血量敌人3敌人爆炸4时间5a易伤68核7最后敌人9金币生成
7	11332 25552	   	249.73	橙橙2易伤1技能1暴击	1暴击2低血量敌人3敌人爆炸4时间5a易伤68核7最后敌人9技能
8	11222 43532	   	249.63	橙橙2易伤1暴击	1暴击2低血量敌人3时间4挖尘5a易伤6最后敌人78核9金币生成
9	11222 43552	   	249.63	橙橙2易伤1技能1暴击	1暴击2低血量敌人3时间4挖尘5a易伤6最后敌人78核9技能
10	11322 53523	   	249.63	橙橙2易伤1暴击	1暴击2低血量敌人3敌人爆炸4挖尘5a易伤6时间78核9立即金币
11	11322 53532	   	249.63	橙橙2易伤1暴击	1暴击2低血量敌人3敌人爆炸4挖尘5a易伤6时间78核9金币生成
12	11322 53552	   	249.63	橙橙2易伤1技能1暴击	1暴击2低血量敌人3敌人爆炸4挖尘5a易伤6时间78核9技能
13	11332 13523	   	249.63	橙橙2易伤1暴击	1暴击2低血量敌人3敌人爆炸4时间5a易伤6挖尘78核9立即金币
14	11332 13532	   	249.63	橙橙2易伤1暴击	1暴击2低血量敌人3敌人爆炸4时间5a易伤6挖尘78核9金币生成
15	11332 13552	   	249.63	橙橙2易伤1技能1暴击	1暴击2低血量敌人3敌人爆炸4时间5a易伤6挖尘78核9技能
16	11332 23523	   	249.63	橙橙2易伤1暴击	1暴击2低血量敌人3敌人爆炸4时间5a易伤68核7挖尘9立即金币
17	11332 23532	   	249.63	橙橙2易伤1暴击	1暴击2低血量敌人3敌人爆炸4时间5a易伤68核7挖尘9金币生成
18	11332 23552	   	249.63	橙橙2易伤1技能1暴击	1暴击2低血量敌人3敌人爆炸4时间5a易伤68核7挖尘9技能
19	13232 43523	   	249.63	橙橙2易伤1暴击	1暴击2挖尘3时间4基地爆炸5a易伤6最后敌人78核9立即金币
20	13232 43532	   	249.63	橙橙2易伤1暴击	1暴击2挖尘3时间4基地爆炸5a易伤6最后敌人78核9金币生成
21	13232 43552	   	249.63	橙橙2易伤1技能1暴击	1暴击2挖尘3时间4基地爆炸5a易伤6最后敌人78核9技能
22	13632 53523	   	249.63	橙橙2易伤1暴击	1暴击2挖尘3低血量敌人4基地爆炸5a易伤6时间78核9立即金币
23	13632 53532	   	249.63	橙橙2易伤1暴击	1暴击2挖尘3低血量敌人4基地爆炸5a易伤6时间78核9金币生成
24	14332 25523	   	249.63	橙橙2易伤1暴击	1暴击2雷电减费3敌人爆炸4时间5a易伤68核7最后敌人9立即金币
25	14332 25532	   	249.63	橙橙2易伤1暴击	1暴击2雷电减费3敌人爆炸4时间5a易伤68核7最后敌人9金币生成
26	11322 53563	   	249.53	橙橙2易伤1暴击	1暴击2低血量敌人3敌人爆炸4挖尘5a易伤6时间78核9烈焰减费
