0	Index      	 *	Score 	Summary	Detail	
1	32212 54828	 * 	278.82	橙橙2易伤1伤害2时间	14最后敌人24时间3加一4序列升级56易伤7a核8伤害9额外掉落
2	36182 24328	   	263.76	橙橙2易伤1伤害	1最后敌人2加一35易伤4技能点6随机矿7a核8伤害9额外掉落
3	34323 26443	   	263.39	橙橙1易伤1伤害1矿等	1最后敌人2等级3伤害4挖尘5时间6矿等79核8加一a易伤
4	26361 13236	 * 	260.01	橙3易伤3攻速1伤害2时间1平台	159攻速29时间3伤害4最后敌人69a易伤7平台8核9序列升级
5	32354 31351	   	258.65	橙橙2易伤2时间	1最后敌人2a时间3雷电47易伤5敌人爆炸69核8激光减费
6	63336 31351	   	258.45	橙橙2易伤2时间	1挖青2挖尘3雷电4a时间57易伤69核8激光减费
7	63351 31351	   	258.45	橙橙2易伤2时间	1挖青2挖尘3雷电47易伤5a时间69核8激光减费
8	23263 53133	 * 	258.17	紫橙2易伤1伤害1攻速1平台	1攻速2基地爆炸39核4双倍秒伤5a易伤6电塔对甲7伤害8平台
9	36142 24847	   	257.35	橙橙2易伤1暴击	1最后敌人2加一35易伤4技能6挖尘79核8低血量敌人a暴击
10	36142 24848	   	257.35	橙橙2易伤1攻速	1最后敌人2加一35易伤4技能6挖尘79核8低血量敌人a攻速
11	32271 24243	   	256.98	橙橙1易伤1矿等1攻速	1最后敌人2时间3加一4随机矿5攻速6矿等79核8挖尘a易伤
12	32531 26443	   	256.98	橙橙1易伤1矿等1攻速	1最后敌人2时间3挖尘4随机矿5攻速6矿等79核8加一a易伤
13	32281 24243	   	256.88	橙橙1易伤1矿等1攻速	1最后敌人2时间3加一4技能点5攻速6矿等79核8挖尘a易伤
14	62371 24243	   	256.88	橙橙1易伤1矿等1攻速	1挖青2加一3时间4随机矿5攻速6矿等79核8挖尘a易伤
15	26113 26443	   	256.78	橙橙1易伤1矿等1攻速	1攻速2时间3双倍秒伤45技能点6矿等79核8加一a易伤
16	62381 24243	   	256.78	橙橙1易伤1矿等1攻速	1挖青2加一3时间4技能点5攻速6矿等79核8挖尘a易伤
17	26361 13232	 * 	255.46	橙2易伤3攻速2伤害2时间1平台	159攻速29时间3a伤害4最后敌人69易伤7平台8核9序列升级
18	34322 26442	   	255.09	橙橙1易伤1伤害1矿等	1最后敌人2等级3伤害4挖尘5易伤6矿等79核8加一a赏金塔
19	34322 26444	   	255.09	橙橙1易伤1伤害1矿等	1最后敌人2等级3伤害4挖尘5易伤6矿等79核8加一a敌人爆炸
20	34322 26441	   	254.99	橙橙1易伤1伤害1矿等1卖塔	1最后敌人2等级3伤害4挖尘5易伤6矿等79核8加一a卖塔
21	34322 26443	   	254.99	橙橙1易伤1伤害1矿等	1最后敌人2等级3伤害4挖尘5易伤6矿等79核8加一a激光减费
22	11324 26443	   	254.89	橙橙1易伤1伤害1矿等	1掉矿2挖青3伤害4挖尘5基地爆炸6矿等79核8加一a易伤
23	11326 26442	   	254.89	橙橙1易伤1伤害1矿等	1掉矿2挖青3伤害4挖尘5易伤6矿等79核8加一a赏金塔
24	11326 26444	   	254.89	橙橙1易伤1伤害1矿等	1掉矿2挖青3伤害4挖尘5易伤6矿等79核8加一a敌人爆炸
25	11326 26441	   	254.79	橙橙1易伤1伤害1矿等1卖塔	1掉矿2挖青3伤害4挖尘5易伤6矿等79核8加一a卖塔
26	11326 26443	   	254.79	橙橙1易伤1伤害1矿等	1掉矿2挖青3伤害4挖尘5易伤6矿等79核8加一a激光减费
27	23358 13714	 * 	252.58	橙2易伤3伤害2攻速1矿等	18攻速2基地爆炸38a伤害4加一58易伤6赏金邻近7核8序列升级9矿等
28	36313 14828	   	252.51	橙橙1易伤1伤害2时间	1最后敌人2加一3立即金币45时间6易伤7a核8伤害9额外掉落
29	63336 31135	   	252.00	橙橙2易伤	1挖青2挖尘3雷电4时间57易伤6a核8金币生成9最后敌人
30	63351 31135	   	252.00	橙橙2易伤	1挖青2挖尘3雷电47易伤5时间6a核8金币生成9最后敌人
31	32354 31352	   	252.00	橙橙2易伤	1最后敌人2时间3雷电47易伤5敌人爆炸69核8激光减费a掉矿
32	32354 31353	   	252.00	橙橙2易伤1挖怪	1最后敌人2时间3雷电47易伤5敌人爆炸69核8激光减费a挖怪
33	63352 31351	   	251.90	橙橙2易伤	1挖青2挖尘3雷电47易伤5最后敌人69核8激光减费a时间
34	63353 31351	   	251.90	橙橙2易伤	1挖青2挖尘3雷电47易伤5基地爆炸69核8激光减费a时间
35	62261 34843	 * 	251.90	橙橙1易伤2攻速	1挖青2加一35攻速4敌人爆炸6时间79核8低血量敌人a易伤
36	63336 31352	   	251.80	橙橙2易伤	1挖青2挖尘3雷电4时间57易伤69核8激光减费a掉矿
37	63336 31353	   	251.80	橙橙2易伤1挖怪	1挖青2挖尘3雷电4时间57易伤69核8激光减费a挖怪
38	63351 31352	   	251.80	橙橙2易伤	1挖青2挖尘3雷电47易伤5时间69核8激光减费a掉矿
39	63351 31353	   	251.80	橙橙2易伤1挖怪	1挖青2挖尘3雷电47易伤5时间69核8激光减费a挖怪
40	62241 34242	   	251.80	橙橙1易伤2攻速	1挖青2加一35攻速4易伤6时间79核8挖尘a赏金塔
41	62241 34244	   	251.80	橙橙1易伤2攻速	1挖青2加一35攻速4易伤6时间79核8挖尘a敌人爆炸
42	62241 34245	   	251.80	橙橙1易伤2攻速	1挖青2加一35攻速4易伤6时间79核8挖尘a最后敌人
43	62241 34248	   	251.80	橙橙1易伤2攻速	1挖青2加一35攻速4易伤6时间79核8挖尘a立即金币
44	62241 34241	   	251.70	橙橙1易伤2攻速1卖塔	1挖青2加一35攻速4易伤6时间79核8挖尘a卖塔
45	62241 34243	   	251.70	橙橙1易伤2攻速	1挖青2加一35攻速4易伤6时间79核8挖尘a激光减费
46	62241 34246	   	251.70	橙橙1易伤2攻速	1挖青2加一35攻速4易伤6时间79核8a挖尘
47	62241 34247	   	251.70	橙橙1易伤2攻速	1挖青2加一35攻速4易伤6时间79核8挖尘a掉矿
48	13232 66126	   	250.79	橙3易伤1伤害1矿等1攻速1暴击	1掉矿2暴击3时间4伤害5攻速6矿等78a易伤9核
