0	Index      	 *	Score 	Summary	Detail	
1	26123 15513	 * 	305.31	橙橙2易伤1伤害1攻速1暴击1策反	1核弹24易伤3全技能5暴击6策反7攻速8a核9伤害
2	33215 22135	 * 	293.91	橙橙1易伤2攻速1伤害1矿等	1敌人爆炸28攻速3伤害4平台5赏金邻近69核7易伤a矿等
3	21215 22535	 * 	293.60	橙橙2伤害1易伤1矿等	1核弹2时间38伤害4平台5赏金邻近69核7易伤a矿等
4	26123 12513	 * 	291.66	橙橙2易伤1伤害1暴击1策反	1核弹24易伤3全技能5暴击6策反7技能8a核9伤害
5	26265 22131	 * 	287.91	橙橙2易伤1伤害	1核弹27易伤3平台4伤害5赏金塔69核8基地爆炸a全技能
6	26415 22131	   	287.91	橙橙2易伤1伤害	1核弹27易伤3伤害4平台5赏金塔69核8基地爆炸a全技能
7	26265 22132	   	286.56	橙橙2易伤1伤害	1核弹27易伤3平台4伤害5赏金塔69核8基地爆炸a时间
8	26415 22132	   	286.56	橙橙2易伤1伤害	1核弹27易伤3伤害4平台5赏金塔69核8基地爆炸a时间
9	33215 22131	   	286.04	橙橙1易伤2攻速1伤害	1敌人爆炸28攻速3伤害4平台5赏金邻近69核7易伤a全技能
10	21215 22531	   	285.73	橙橙2伤害1易伤	1核弹2时间38伤害4平台5赏金邻近69核7易伤a全技能
11	33215 22132	   	284.68	橙橙1易伤2攻速1伤害	1敌人爆炸28攻速3伤害4平台5赏金邻近69核7易伤a时间
12	21215 22532	   	282.62	橙橙2伤害1易伤2时间	1核弹2a时间38伤害4平台5赏金邻近69核7易伤
13	21215 22435	   	282.56	橙橙1易伤1伤害1矿等2时间	1核弹28时间3伤害4平台5赏金邻近69核7易伤a矿等
14	33536 43122	   	282.24	橙橙2易伤1伤害1攻速	1敌人爆炸2攻速3赏金邻近48易伤5双倍秒伤69核7金币生成a伤害
15	26265 22133	   	278.25	橙橙2易伤1伤害	1核弹27易伤3平台4伤害5赏金塔69核8基地爆炸a敌人爆炸
16	26415 22133	   	278.25	橙橙2易伤1伤害	1核弹27易伤3伤害4平台5赏金塔69核8基地爆炸a敌人爆炸
17	23261 33132	 * 	277.36	橙4易伤3伤害2暴击	1核弹28敌人爆炸356伤害4568易伤568序列升级78暴击9挖尘a核
18	21536 43122	   	276.80	橙橙2易伤1伤害	1核弹2时间3赏金邻近48易伤5双倍秒伤69核7金币生成a伤害
19	33215 22133	   	276.38	橙橙1易伤2攻速1伤害	1敌人爆炸28攻速3伤害4平台5赏金邻近69核7易伤a基地爆炸
20	33215 22134	   	276.38	橙橙1易伤2攻速1伤害	1敌人爆炸28攻速3伤害4平台5赏金邻近69核7易伤a雷电
21	21215 22534	   	276.07	橙橙2伤害1易伤	1核弹2时间38伤害4平台5赏金邻近69核7易伤a雷电
22	21215 22536	   	276.07	橙橙2伤害1易伤	1核弹2时间38伤害4平台5赏金邻近69核7易伤a基地爆炸
23	21215 22533	   	275.97	橙橙2伤害1易伤	1核弹2时间38伤害4平台5赏金邻近69核7易伤a挖尘
