0	Index      	 *	Score 	Summary	Detail	
1	21651 32333	 * 	308.84	橙橙2易伤2伤害1矿等	16金币生成2平台38伤害4矿等56易伤6序列升级7a核9敌人爆炸
2	21651 32413	 * 	306.86	橙橙2易伤2矿等1伤害	16金币生成2平台3伤害49矿等56易伤6序列升级7a核8敌人爆炸
3	21651 32613	   	306.86	橙橙2易伤2矿等1伤害	16金币生成2平台3伤害49矿等56易伤6序列升级7a核8最后敌人
4	36161 24354	 * 	297.05	橙橙2易伤2攻速1矿等1卖塔	1加一2卖塔3a敌人爆炸4矿等5a易伤68核7a攻速9全技能a序列升级
5	16613 22163	 * 	295.76	橙橙3易伤1伤害	1敌人爆炸268易伤3平台4赏金塔5立即金币7a核9伤害
6	53313 22163	   	295.66	橙橙3易伤1伤害	1平台268易伤3挖尘4赏金塔5立即金币7a核9伤害
7	53313 62163	   	295.66	橙橙3易伤1伤害	1平台268易伤36挖尘4赏金塔5立即金币6序列升级7a核9伤害
8	35432 74623	   	293.14	橙橙3易伤1攻速1暴击	1加一24挖尘345易伤4序列升级6a核7最后敌人8暴击9攻速
9	36661 24343	   	292.51	橙橙2矿等1易伤1伤害1攻速1卖塔	1加一2卖塔3时间4a矿等5易伤68核7攻速9伤害
10	21651 32131	   	291.15	橙橙2易伤1伤害1矿等	16金币生成2平台3伤害4矿等56易伤6序列升级79核8掉矿a技能
11	21651 32133	   	291.15	橙橙2易伤1伤害1矿等	16金币生成2平台3伤害4矿等56易伤6序列升级79核8掉矿a基地爆炸
12	21651 32135	   	291.15	橙橙2易伤1伤害1矿等	16金币生成2平台3伤害4矿等56易伤6序列升级79核8掉矿a赏金邻近
13	21651 32132	   	291.05	橙橙2易伤1伤害1矿等	16金币生成2平台3伤害4矿等56易伤6序列升级79核8掉矿a导弹对毒
14	21651 32134	   	291.05	橙橙2易伤1伤害1矿等	16金币生成2平台3伤害4矿等56易伤6序列升级79核8a掉矿
15	21651 32136	   	291.05	橙橙2易伤1伤害1矿等	16金币生成2平台3伤害4矿等56易伤6序列升级79核8掉矿a双倍秒伤
16	15163 32163	   	290.95	橙橙2易伤1伤害1矿等	1敌人爆炸2双倍秒伤3平台4矿等58易伤6掉矿7a核9伤害
17	41651 32131	   	290.95	橙橙2易伤1伤害1矿等	16技能点2平台3伤害4矿等56易伤6序列升级79核8掉矿a技能
18	41651 32133	   	290.95	橙橙2易伤1伤害1矿等	16技能点2平台3伤害4矿等56易伤6序列升级79核8掉矿a基地爆炸
19	41651 32132	   	290.85	橙橙2易伤1伤害1矿等	16技能点2平台3伤害4矿等56易伤6序列升级79核8掉矿a导弹对毒
20	53213 62123	   	290.65	橙橙3易伤2时间	1平台268易伤36时间4赏金塔5立即金币6序列升级7a核9技能
21	32328 34528	   	289.75	橙橙2易伤2伤害	1加一2赏金邻近39伤害4时间5雷电68核7a易伤
22	36161 24381	   	288.38	橙橙2易伤1矿等1攻速1暴击1卖塔	1加一2卖塔3敌人爆炸4矿等5a易伤68核7攻速9暴击
23	53613 22413	   	286.70	橙橙2易伤2矿等	1平台24易伤3技能5金币生成69矿等7a核8敌人爆炸
24	53613 22613	   	286.70	橙橙2易伤2矿等	1平台24易伤3技能5金币生成69矿等7a核8最后敌人
25	34223 82333	   	286.43	橙橙2伤害1易伤1矿等1暴击	1加一2矿等3易伤4金币生成58伤害6暴击7a核9敌人爆炸
26	34738 82333	   	286.43	橙橙2伤害1易伤1矿等1暴击	1加一2矿等38伤害4金币生成5易伤6暴击7a核9敌人爆炸
27	34223 82513	   	284.45	橙橙2矿等1易伤1伤害1暴击	1加一29矿等3易伤4金币生成5伤害6暴击7a核8敌人爆炸
28	34223 82713	   	284.45	橙橙2矿等1易伤1伤害1暴击	1加一29矿等3易伤4金币生成5伤害6暴击7a核8最后敌人
29	34223 82813	   	284.45	橙橙2矿等1易伤1伤害1暴击	1加一29矿等3易伤4金币生成5伤害6暴击7a核8低血量敌人
30	34238 58343	   	284.45	橙橙2矿等1易伤1伤害1暴击	1加一2a矿等3易伤4最后敌人5技能68核7暴击9伤害
31	36161 24343	   	284.20	橙橙2矿等1易伤1伤害1攻速1卖塔	1加一2卖塔3敌人爆炸4a矿等5易伤68核7攻速9伤害
32	53213 22123	   	284.00	橙橙3易伤	1平台268易伤3时间4赏金塔5立即金币7a核9技能
33	36161 24383	   	282.24	橙橙1易伤1伤害1矿等1攻速1暴击1卖塔	1加一2卖塔3敌人爆炸4矿等5易伤68核7攻速9暴击a伤害
34	32328 34534	   	281.83	橙橙2易伤1伤害	1加一2赏金邻近3伤害4时间5雷电68核7a易伤9全技能
35	34214 42173	   	281.05	橙橙2易伤1伤害1矿等1卖塔	1加一2矿等38易伤4赏金邻近5卖塔6掉矿7a核9伤害
36	34264 42173	   	281.05	橙橙2易伤1伤害1矿等1卖塔	1加一2矿等38易伤4赏金塔5卖塔6掉矿7a核9伤害
37	34735 62343	   	280.84	橙橙2伤害1易伤1矿等1卖塔	1加一2矿等38伤害4金币生成5时间6卖塔7a核9易伤
38	36682 22343	   	280.84	橙橙2伤害1易伤1矿等1卖塔	1加一2卖塔3时间48伤害5金币生成6矿等7a核9易伤
39	36121 24354	 * 	279.52	橙橙2易伤2攻速1卖塔	1加一2卖塔3a敌人爆炸4金币生成5a易伤68核7a攻速9全技能a序列升级
40	35432 74123	   	279.24	橙橙3易伤1攻速1卖塔	1加一24挖尘345易伤4序列升级6a核7最后敌人8卖塔9攻速
