0	Index      	 *	Score 	Summary	Detail	
1	21351 14341	 * 	296.10	橙橙2伤害2矿等2攻速1暴击1卖塔	19矿等2雷电3卖塔49攻速5技能67核89伤害9序列升级a暴击
2	21351 14324	 * 	287.16	橙橙1易伤2矿等1伤害1攻速1卖塔	19矿等2雷电3卖塔4攻速5技能67核8伤害a易伤
3	21242 23345	 * 	284.03	橙橙2易伤1矿等	1矿等2雷电3赏金邻近4时间5a易伤69核7双倍秒伤8平台
4	23522 23345	   	284.03	橙橙2易伤1矿等	1矿等2时间3赏金塔4雷电5a易伤69核7双倍秒伤8平台
5	13314 61333	 * 	283.29	橙5易伤2矿等2时间3策反	13a策反25时间4569a易伤5a序列升级7a矿等8核
6	21351 14342	 * 	282.45	橙橙2伤害2矿等2攻速1卖塔	19矿等2雷电3卖塔49攻速5技能67核89伤害9序列升级a激光对冰
7	21351 14343	 * 	282.35	橙橙2伤害2矿等2攻速1策反1卖塔	19矿等2雷电3卖塔49攻速5技能67核89伤害9序列升级a策反
8	21142 36231	 * 	281.77	橙橙2易伤2矿等	16矿等24雷电3加农对毒56易伤6序列升级7a核8低血量敌人9额外掉落
9	21122 36231	   	281.67	橙橙2易伤2矿等	16矿等2雷电34加农对毒56易伤6序列升级7a核8低血量敌人9额外掉落
10	22426 36231	   	281.67	橙橙2易伤2矿等	16矿等23易伤4雷电56电塔对黄6序列升级7a核8低血量敌人9额外掉落
11	21242 22761	   	280.91	橙橙2易伤1矿等2时间	1矿等2雷电3赏金邻近49时间58易伤6a核7加一
12	23522 22761	   	280.91	橙橙2易伤1矿等2时间	1矿等29时间3赏金塔4雷电58易伤6a核7加一
13	61416 11233	   	279.56	橙橙2易伤1矿等1攻速1策反	1基地爆炸2策反39易伤4额外掉落5矿等68核7赏金塔a攻速
14	21242 23341	 * 	276.01	橙橙1易伤1伤害1矿等	1矿等2雷电3赏金邻近4时间5易伤69核7双倍秒伤8平台a伤害
15	21642 23341	   	276.01	橙橙1易伤1伤害1矿等	1矿等2雷电3赏金塔4时间5易伤69核7双倍秒伤8平台a伤害
16	22626 23341	   	276.01	橙橙1易伤1伤害1矿等	1矿等2易伤3赏金塔4时间5雷电69核7双倍秒伤8平台a伤害
17	23522 23341	   	276.01	橙橙1易伤1伤害1矿等	1矿等2时间3赏金塔4雷电5易伤69核7双倍秒伤8平台a伤害
18	52242 23341	   	276.01	橙橙1易伤1伤害1矿等	1雷电2矿等3赏金邻近4时间5易伤69核7双倍秒伤8平台a伤害
19	21253 23345	   	275.72	橙橙2易伤1矿等	1矿等2雷电3赏金邻近4a易伤5最后敌人69核7双倍秒伤8平台
20	21332 14324	 * 	273.27	橙橙1易伤2矿等1伤害2卖塔	19矿等24雷电35卖塔67核8伤害a易伤
21	52332 14324	 * 	273.27	橙橙1易伤2矿等1伤害2卖塔	14雷电29矿等35卖塔67核8伤害a易伤
22	21242 23344	   	271.56	橙橙1易伤2矿等	1a矿等2雷电3赏金邻近4时间5易伤69核7双倍秒伤8平台
23	23522 23344	   	271.56	橙橙1易伤2矿等	1a矿等2时间3赏金塔4雷电5易伤69核7双倍秒伤8平台
24	21351 14332	   	271.55	橙橙1易伤1伤害1矿等1攻速1卖塔	1矿等2雷电3卖塔4攻速5技能67核8伤害9低血量敌人a易伤
25	52351 14332	   	271.55	橙橙1易伤1伤害1矿等1攻速1卖塔	1雷电2矿等3卖塔4攻速5技能67核8伤害9低血量敌人a易伤
26	21351 14312	   	271.45	橙橙1易伤1伤害1矿等1攻速1卖塔	1矿等2雷电3卖塔4攻速5技能67核8伤害9挖青a易伤
27	52351 14312	   	271.45	橙橙1易伤1伤害1矿等1攻速1卖塔	1雷电2矿等3卖塔4攻速5技能67核8伤害9挖青a易伤
28	21332 14341	 * 	269.75	橙橙2伤害2矿等1暴击2卖塔	19矿等249雷电35卖塔67核89伤害9序列升级a暴击
29	21332 14343	 * 	269.75	橙橙2伤害2矿等1攻速2卖塔	19矿等249雷电35卖塔67核89伤害9序列升级a攻速
30	52332 14341	 * 	269.75	橙橙2伤害2矿等1暴击2卖塔	149雷电29矿等35卖塔67核89伤害9序列升级a暴击
31	52332 14343	 * 	269.75	橙橙2伤害2矿等1攻速2卖塔	149雷电29矿等35卖塔67核89伤害9序列升级a攻速
32	21253 23341	   	267.71	橙橙1易伤1伤害1矿等	1矿等2雷电3赏金邻近4易伤5最后敌人69核7双倍秒伤8平台a伤害
33	21653 23341	   	267.71	橙橙1易伤1伤害1矿等	1矿等2雷电3赏金塔4易伤5最后敌人69核7双倍秒伤8平台a伤害
34	26522 23341	   	267.71	橙橙1易伤1伤害1矿等	1矿等2最后敌人3赏金塔4雷电5易伤69核7双倍秒伤8平台a伤害
35	52253 23341	   	267.71	橙橙1易伤1伤害1矿等	1雷电2矿等3赏金邻近4易伤5最后敌人69核7双倍秒伤8平台a伤害
36	55123 23341	   	267.71	橙橙1易伤1伤害1矿等	1雷电2赏金邻近3基地爆炸4易伤5矿等69核7双倍秒伤8平台a伤害
37	55223 23341	   	267.71	橙橙1易伤1伤害1矿等	1雷电2赏金邻近3敌人爆炸4易伤5矿等69核7双倍秒伤8平台a伤害
38	24342 22221	 * 	266.52	橙橙3矿等1伤害1攻速	139矿等2立即金币3序列升级4伤害5攻速6雷电7赏金塔8a核
39	32522 23345	   	266.49	橙橙2易伤	1时间2金币生成3赏金塔4雷电5a易伤69核7双倍秒伤8平台
40	23445 11333	 * 	266.15	橙4易伤3矿等2时间	14a矿等2a时间369a易伤57技能8核a序列升级
