0	Index      	 *	Score 	Summary	Detail	
1	12312 23351	 * 	268.69	ACR|DCR|2VULN|1TLV|1DMG|1DUR|1CDMG|1AAC	19RCR|2LSRICY|3CDMG|4DMG|5aVULN|6TLV|7AAC|8DUR
2	44223 48332	 * 	265.23	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1BOSS|2ASPD|3VULN|4MBVNT|5RMIN|6TLV|7MLV|8aRCR|9DUR
3	63223 48332	   	265.23	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1ASPD|2LIT|3VULN|4MBVNT|5RMIN|6TLV|7MLV|8aRCR|9DUR
4	41253 51121	 * 	262.74	DCR|3VULN|3DMG|3TLV	1BOSS|2BBNT|3RMIN|489DMG|589VULN|689TLV|7RCR|89BPWR|aRAT
5	41353 51121	   	262.74	DCR|3VULN|3DMG|3TLV|1AAC	1BOSS|2BBNT|3AAC|489DMG|589VULN|689TLV|7RCR|89BPWR|aRAT
6	41253 51122	   	262.64	DCR|3VULN|3DMG|3TLV	1BOSS|2BBNT|3RMIN|489DMG|589VULN|689TLV|7RCR|89BPWR|aERES
7	41253 51123	   	262.64	DCR|3VULN|3DMG|3TLV	1BOSS|2BBNT|3RMIN|489DMG|589VULN|689TLV|7RCR|89BPWR|aDUST
8	41353 51122	   	262.64	DCR|3VULN|3DMG|3TLV|1AAC	1BOSS|2BBNT|3AAC|489DMG|589VULN|689TLV|7RCR|89BPWR|aERES
9	41353 51123	   	262.64	DCR|3VULN|3DMG|3TLV|1AAC	1BOSS|2BBNT|3AAC|489DMG|589VULN|689TLV|7RCR|89BPWR|aDUST
10	11131 22616	 * 	260.07	ACR|DCR|2DMG|1VULN|2DUR|1AART|1CDMG	1aRCR|24DMG|34DUR|4BPWR|5AART|6CDMG|7FEWX|8TBNT|9VULN
11	11131 23216	   	260.07	ACR|DCR|2DMG|1VULN|2DUR|1AART|1CDMG	1aRCR|24DMG|34DUR|4BPWR|5AART|6CDMG|7TBNT|8BEXP|9VULN
12	11131 26616	   	260.07	ACR|DCR|2DMG|1VULN|2DUR|1AART|1CDMG	1aRCR|24DMG|34DUR|4BPWR|5AART|6CDMG|7LHND|8TBNT|9VULN
13	16131 22616	   	260.07	ACR|DCR|2DMG|1VULN|2DUR|1AART|1CDMG	1aRCR|24DUR|34DMG|4BPWR|5AART|6CDMG|7FEWX|8TBNT|9VULN
14	16131 23216	   	260.07	ACR|DCR|2DMG|1VULN|2DUR|1AART|1CDMG	1aRCR|24DUR|34DMG|4BPWR|5AART|6CDMG|7TBNT|8BEXP|9VULN
15	11131 24616	   	259.97	ACR|DCR|2DMG|1VULN|2DUR|1AART|1CDMG	1aRCR|24DMG|34DUR|4BPWR|5AART|6CDMG|7DUST|8TBNT|9VULN
16	11133 33323	 * 	259.92	ACR|DCR|3DUR|2DMG|1VULN|1MLV	19RCR|24DMG|345DUR|4BPWR|6MLV|7LWND|8ZMB|aVULN
17	16133 33323	   	259.92	ACR|DCR|3DUR|2DMG|1VULN|1MLV	19RCR|245DUR|34DMG|4BPWR|6MLV|7LWND|8ZMB|aVULN
18	11416 31124	 * 	258.28	ACR|DCR|2VULN|3TLV|1DMG	19RCR|2DMG|3FEWX|46aTLV|58VULN|7ZMB
19	14116 31124	   	258.28	ACR|DCR|2VULN|3TLV|1DMG	19RCR|2FEWX|3DMG|46aTLV|58VULN|7ZMB
20	33353 52216	 * 	256.94	DCR|DCR|1VULN|2CDMG|1DUR|1AART	1DUST|2ASPD|3DUR|4AART|58CDMG|6BBNT|7aRCR|9VULN
21	41134 11226	 * 	255.14	DCR|DCR|2VULN|1TLV	1BOSS|2BBNT|35VULN|4SPLARM|6TLV|7CGEN|8aRCR|9RAT
22	41153 13226	   	255.14	DCR|DCR|2VULN|1TLV	1BOSS|2BBNT|36VULN|4TLV|5CGEN|7LSRHEA|8aRCR|9RAT
23	11416 31121	   	251.82	ACR|DCR|2VULN|2TLV|1DMG	19RCR|2DMG|3FEWX|46TLV|58VULN|7ZMB|aRPLT
24	11416 31122	   	251.82	ACR|DCR|2VULN|2TLV|1DMG	19RCR|2DMG|3FEWX|46TLV|58VULN|7ZMB|aRAT
25	11416 31123	   	251.82	ACR|DCR|2VULN|2TLV|1DMG	19RCR|2DMG|3FEWX|46TLV|58VULN|7aZMB
26	11416 31126	   	251.82	ACR|DCR|2VULN|2TLV|1DMG	19RCR|2DMG|3aFEWX|46TLV|58VULN|7ZMB
27	14116 31121	   	251.82	ACR|DCR|2VULN|2TLV|1DMG	19RCR|2FEWX|3DMG|46TLV|58VULN|7ZMB|aRPLT
28	14116 31122	   	251.82	ACR|DCR|2VULN|2TLV|1DMG	19RCR|2FEWX|3DMG|46TLV|58VULN|7ZMB|aRAT
29	14116 31123	   	251.82	ACR|DCR|2VULN|2TLV|1DMG	19RCR|2FEWX|3DMG|46TLV|58VULN|7aZMB
30	14116 31126	   	251.82	ACR|DCR|2VULN|2TLV|1DMG	19RCR|2aFEWX|3DMG|46TLV|58VULN|7ZMB
31	25642 33121	   	251.82	ACR|DCR|2VULN|2TLV|1DMG|1AAC	1AAC|28VULN|3BEXP|49RCR|5DMG|67TLV|aRPLT
32	25642 33122	   	251.82	ACR|DCR|2VULN|2TLV|1DMG|1AAC	1AAC|28VULN|3BEXP|49RCR|5DMG|67TLV|aRAT
33	25642 33123	   	251.82	ACR|DCR|2VULN|2TLV|1DMG|1AAC	1AAC|28VULN|3BEXP|49RCR|5DMG|67TLV|aZMB
34	11416 31125	   	251.72	ACR|DCR|2VULN|2TLV|1DMG|1SELL	19RCR|2DMG|3FEWX|46TLV|58VULN|7ZMB|aSELL
35	14116 31125	   	251.72	ACR|DCR|2VULN|2TLV|1DMG|1SELL	19RCR|2FEWX|3DMG|46TLV|58VULN|7ZMB|aSELL
36	44223 48322	   	251.58	DCR|DCR|1VULN|1TLV|1MLV	1BOSS|2ASPD|3VULN|4MBVNT|5RMIN|6TLV|7MLV|8aRCR|9BEXP
37	63223 48322	   	251.58	DCR|DCR|1VULN|1TLV|1MLV	1ASPD|2LIT|3VULN|4MBVNT|5RMIN|6TLV|7MLV|8aRCR|9BEXP
38	63223 48352	   	251.58	DCR|DCR|1VULN|1TLV|1MLV	1ASPD|2LIT|3VULN|4MBVNT|5RMIN|6TLV|7MLV|8aRCR|9FEWX
39	11131 45262	 * 	251.42	ACR|2VULN|3DMG|3DUR|2TLV|1AART	1RCR|248DMG|348DUR|48BPWR|5AART|6RMIN|78TLV|9aVULN
40	33353 52116	   	250.63	DCR|DCR|1VULN|1DUR|1AART|1CDMG	1DUST|2ASPD|3DUR|4AART|5CDMG|6BBNT|7aRCR|8RCVC|9VULN
41	61223 52332	   	249.73	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1ASPD|2FEWX|3TLV|4ZMB|5VULN|6BOSS|7AAC|8aRCR|9DUR
42	33223 52332	   	249.63	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1DUST|2ASPD|3TLV|4ZMB|5VULN|6BOSS|7AAC|8aRCR|9DUR
43	44227 32332	   	249.63	DCR|DCR|1VULN|1TLV|1DUR	17BOSS|2ASPD|3VULN|4MBVNT|5TLV|6FEWX|8aRCR|9DUR
44	64223 52332	   	249.63	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1ASPD|2LEGI|3TLV|4ZMB|5VULN|6BOSS|7AAC|8aRCR|9DUR
