0	Index      	 *	Score 	Summary	Detail	
1	11252 26311	 * 	262.85	DCR|3DMG|3DUR|1VULN|2MLV|1TLV	1TBNT|237DUR|479DMG|57MLV|6RCR|7BPWR|8VULN|aTLV
2	11252 26316	   	250.30	DCR|3DMG|3DUR|1VULN|2MLV|1AART	1TBNT|237DUR|479DMG|57MLV|6RCR|7BPWR|8VULN|aAART
3	11252 26361	 * 	247.19	DCR|2VULN|3DUR|2DMG|2MLV	1TBNT|237DUR|47DMG|57MLV|6RCR|7BPWR|89VULN|aLIT
4	11252 26362	   	247.19	DCR|2VULN|3DUR|2DMG|2MLV	1TBNT|237DUR|47DMG|57MLV|6RCR|7BPWR|89VULN|aBELT
5	11252 26363	   	247.19	DCR|2VULN|3DUR|2DMG|2MLV	1TBNT|237DUR|47DMG|57MLV|6RCR|7BPWR|89VULN|aBEXP
6	11252 26215	   	247.19	DCR|3DUR|2DMG|1VULN|2MLV|1TLV	1TBNT|237DUR|47DMG|57MLV|6RCR|7BPWR|8RAT|9TLV|aVULN
7	32574 31344	 * 	246.05	DCR|DCR|3DUR|2DMG	1BELT|25aDUR|3MBVNT|45FEWX|5aBPWR|69RCR|7aDMG|8aMGNBOS
8	32577 31344	   	245.95	DCR|DCR|3DUR|2DMG	1BELT|25aDUR|3MBVNT|4FEWX|69RCR|7aDMG|8aMGNBOS|aBPWR
9	32574 32115	 * 	244.64	DCR|DCR|1VULN|2DUR|1MLV	1BELT|25DUR|3MBVNT|45FEWX|5BPWR|6aRCR|7VULN|8MLV|9LIT
10	51262 33216	 * 	243.59	DCR|DCR|1VULN|1DMG|1DUR	1LWND|2CGEN|3RAT|4ASPD|5RCVC|6VULN|7aRCR|8DMG|9DUR
11	51263 33216	   	243.59	DCR|DCR|1VULN|1DMG|1DUR	1LWND|2CGEN|35RAT|4ASPD|6VULN|7aRCR|8DMG|9DUR
12	51422 33216	   	243.59	DCR|DCR|1VULN|1DMG|1DUR	1LWND|2CGEN|3ASPD|4RAT|5RCVC|6VULN|7aRCR|8DMG|9DUR
13	51423 33216	   	243.59	DCR|DCR|1VULN|1DMG|1DUR	1LWND|2CGEN|3ASPD|45RAT|6VULN|7aRCR|8DMG|9DUR
14	61262 33216	   	243.59	DCR|DCR|1VULN|1DMG|1DUR	1FEWX|2CGEN|3RAT|4ASPD|5RCVC|6VULN|7aRCR|8DMG|9DUR
15	61263 33216	   	243.59	DCR|DCR|1VULN|1DMG|1DUR	1FEWX|2CGEN|35RAT|4ASPD|6VULN|7aRCR|8DMG|9DUR
16	61422 33216	   	243.59	DCR|DCR|1VULN|1DMG|1DUR	1FEWX|2CGEN|3ASPD|4RAT|5RCVC|6VULN|7aRCR|8DMG|9DUR
17	61423 33216	   	243.59	DCR|DCR|1VULN|1DMG|1DUR	1FEWX|2CGEN|3ASPD|45RAT|6VULN|7aRCR|8DMG|9DUR
18	13514 35131	 * 	239.65	DCR|DCR|1TLV|1MLV|1DUR|1AART	1TBNT|2DLOT|3LEGI|4AART|5TLV|6BOSS|7aRCR|8MLV|9DUR
19	32412 23254	 * 	238.51	DCR|3VULN|2DUR|1TLV|1DMG	1BELT|28DUR|345VULN|6BEXP|7DMG|9TLV|aRCR
20	11252 26312	   	236.64	DCR|3DMG|3DUR|1VULN|2MLV	1TBNT|237DUR|479DMG|57MLV|6RCR|7BPWR|8VULN|aLWND
21	11252 26313	   	236.64	DCR|3DMG|3DUR|1VULN|2MLV	1TBNT|237DUR|479DMG|57MLV|6RCR|7BPWR|8VULN|aLIT
22	11252 26315	   	236.64	DCR|3DMG|3DUR|1VULN|2MLV	1TBNT|237DUR|479DMG|57MLV|6RCR|7BPWR|8VULN|aBOSS
23	22313 23256	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1RCVC|2LWND|3AME|4DUR|5VULN|6RAT|7aRCR|8DMG|9ZMB
24	11252 26314	   	236.54	DCR|3DMG|3DUR|1VULN|2MLV	1TBNT|237DUR|479DMG|57MLV|6RCR|7BPWR|8VULN|aERES
25	22313 23221	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1RCVC|2LWND|3AME|4DUR|5VULN|6RAT|7aRCR|8DMG|9MDPS
26	61262 33621	 * 	235.98	DCR|DCR|2VULN	1FEWX|2CGEN|3RAT|4ASPD|5RCVC|69VULN|7aRCR|8BBNT
27	61263 33621	   	235.98	DCR|DCR|2VULN	1FEWX|2CGEN|35RAT|4ASPD|69VULN|7aRCR|8BBNT
28	61422 33621	   	235.98	DCR|DCR|2VULN	1FEWX|2CGEN|3ASPD|4RAT|5RCVC|69VULN|7aRCR|8BBNT
29	61423 33621	   	235.98	DCR|DCR|2VULN	1FEWX|2CGEN|3ASPD|45RAT|69VULN|7aRCR|8BBNT
30	11252 26253	   	234.64	DCR|3DUR|2DMG|1VULN|2MLV|1AAC	1TBNT|237DUR|47DMG|57MLV|6RCR|7BPWR|8RAT|9VULN|aAAC
31	11252 26262	   	234.64	DCR|3DUR|2DMG|1VULN|2MLV|1CDMG	1TBNT|237DUR|47DMG|57MLV|6RCR|7BPWR|8RAT|9CDMG|aVULN
32	11252 26328	   	234.54	DCR|3DUR|2DMG|1VULN|2MLV|1AAC	1TBNT|237DUR|47DMG|57MLV|6RCR|7BPWR|8VULN|9MBVNT|aAAC
33	32576 31344	   	234.50	DCR|DCR|2DMG|2DUR	1BELT|2aDUR|3MBVNT|4FEWX|5DMSP|69RCR|7aDMG|8aMGNBOS|aBPWR
