0	Index      	 *	Score 	Summary	Detail	
1	62263 31151	 * 	271.85	DCR|DCR|1VULN|2DUR|1MLV|1AART|1CDMG	1aDUR|2MLV|3AETHUN|4VULN|5LHND|6CDMG|7AART|89RCR
2	62263 31153	   	266.33	DCR|DCR|1VULN|1MLV|1DUR|1AART|1CDMG	1DUR|2MLV|3AETHUN|4VULN|5LHND|6CDMG|7AART|89RCR|aASPD
3	13133 36512	 * 	261.96	DCR|4VULN|2TLV|1DMG|2CDMG	1DMSP|238aVULN|4DMG|58CDMG|68TLV|7MDPS|8BPWR|9RCR
4	53133 36512	   	261.96	DCR|4VULN|2TLV|1DMG|2CDMG	1RCVC|238aVULN|4DMG|58CDMG|68TLV|7MDPS|8BPWR|9RCR
5	62263 31152	   	259.29	DCR|DCR|1VULN|1MLV|1DUR|1AART|1CDMG|1MSE	1DUR|2MLV|3AETHUN|4VULN|5LHND|6CDMG|7AART|89RCR|aMSE
6	62361 34624	 * 	258.09	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1AAC|1NUKE	1DUR|2MLV|3NUKE|4MBVNT|5BBNT|6AAC|7VULN|89RCR|aTLV
7	62362 34624	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1AAC|1NUKE	1DUR|2MLV|3NUKE|4MBVNT|5TBNT|6AAC|7VULN|89RCR|aTLV
8	13116 12316	 * 	257.21	ACR|DCR|3VULN|1TLV|1DUR	1DMSP|23aVULN|4TLV|59RCR|6CGEN|7DUR|8BOSS
9	13116 12416	   	257.21	ACR|DCR|3VULN|1TLV|1DUR	1DMSP|23aVULN|4TLV|59RCR|6CGEN|7DUR|8LIT
10	53116 12316	   	257.21	ACR|DCR|3VULN|1TLV|1DUR	1RCVC|23aVULN|4TLV|59RCR|6CGEN|7DUR|8BOSS
11	13133 36514	   	253.80	DCR|3VULN|2TLV|1DMG|2CDMG|1NUKE	1DMSP|238VULN|4DMG|58CDMG|68TLV|7MDPS|8BPWR|9RCR|aNUKE
12	31662 22523	   	252.68	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1ZMB|2BBNT|3CDMG|4DUR|5VULN|6RPLT|7MLV|89RCR|aASPD
13	13135 23513	 * 	250.73	DCR|3VULN|2TLV|2MLV|1DMG	1DMSP|238VULN|4DMG|58TLV|68MLV|7RPLT|8BPWR|9ERES|aRCR
14	53135 23513	   	250.73	DCR|3VULN|2TLV|2MLV|1DMG	1RCVC|238VULN|4DMG|58TLV|68MLV|7RPLT|8BPWR|9ERES|aRCR
15	62463 33322	   	245.84	DCR|DCR|1VULN|1MLV|1DUR|1CDMG|1AAC	1DUR|2MLV|3BEXP|4FEWX|5LHND|6CDMG|7AAC|8VULN|9aRCR
