0	Index      	 *	Score 	Summary	Detail	
1	23234 31522	 * 	251.25	DCR|DCR|1TLV|1DMG|1DUR|1AART	1ASPD|2LHND|3TLV|4DMG|5AART|6RPLT|7TBNT|89RCR|aDUR
2	23334 31522	   	240.65	DCR|DCR|1DMG|1MLV|1DUR|1AART	1ASPD|2LHND|3MLV|4DMG|5AART|6RPLT|7TBNT|89RCR|aDUR
3	13236 22257	 * 	240.39	DCR|DCR|2DMG|1VULN|1AAC	1AAC|24DMG|3VULN|5AEBURN|6RPLT|7MBVNT|8RMIN|9aRCR
4	22264 21241	 * 	239.03	DCR|3VULN|2AART|1TLV|1DUR	1ASPD|2DMSP|367VULN|4DUR|58AART|9TLV|aRCR
5	21264 21241	   	238.93	DCR|3VULN|2AART|1TLV|1DUR	1ASPD|2AEFRZ|367VULN|4DUR|58AART|9TLV|aRCR
6	13214 21241	 * 	238.51	DCR|3VULN|2AART|1TLV|1DMG|1AAC	1AAC|2DMG|367VULN|4CGEN|58AART|9TLV|aRCR
7	15234 21241	   	238.41	DCR|3VULN|2AART|1TLV|1DMG|1AAC	1AAC|2AME|367VULN|4DMG|58AART|9TLV|aRCR
8	23234 31523	   	237.60	DCR|DCR|1TLV|1DMG|1AART	1ASPD|2aLHND|3TLV|4DMG|5AART|6RPLT|7TBNT|89RCR
9	23234 31524	   	237.60	DCR|DCR|1TLV|1DMG|1AART	1ASPD|2LHND|3TLV|4DMG|5AART|6RPLT|7TBNT|89RCR|aLWND
10	23234 31525	   	237.60	DCR|DCR|1TLV|1DMG|1AART	1ASPD|2LHND|3TLV|4DMG|5AART|6RPLT|7TBNT|89RCR|aFEWX
11	23234 31521	   	237.50	DCR|DCR|1TLV|1DMG|1AART	1ASPD|2LHND|3TLV|4DMG|5AART|6RPLT|7TBNT|89RCR|aBBNT
12	23234 31526	   	237.50	DCR|DCR|1TLV|1DMG|1AART	1ASPD|2LHND|3TLV|4DMG|5AART|6RPLT|7TBNT|89RCR|aAEFBLL
13	13632 12133	   	236.55	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1AAC|2DMG|3AME|4FRZICY|5DUR|6aRCR|7BOSS|8CGEN|9VULN
14	13632 12233	   	236.45	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1AAC|2DMG|3AME|4FRZICY|5DUR|6aRCR|7BOSS|8ERES|9VULN
15	61322 22633	   	235.14	DCR|3VULN|1TLV|1MLV|1DUR|1CDMG	1TBNT|2RAT|3CDMG|4DUR|59aVULN|6TLV|7RCR|8MLV
16	23231 23444	   	234.85	DCR|3VULN|1TLV|1DMG|1MLV	1ASPD|2LHND|3TLV|4DMG|59aVULN|6VENFST|7RCR|8MLV
17	13212 44621	 * 	231.78	DCR|3VULN|2DMG|2MLV|1AAC	1AAC|29DMG|379VULN|4CGEN|5BEXP|69MLV|8MBVNT|9BPWR|aRCR
18	22125 51213	 * 	230.56	DCR|DCR|2DUR|2CDMG|2ASPD	18ASPD|2DMSP|3DLOT|4LIT|58CDMG|6RPLT|78DUR|8BPWR|9aRCR
19	13612 63522	 * 	230.46	DCR|DCR|2DUR|1DMG|1AART|1AAC	1AAC|2DMG|3AME|4TBNT|5RPLT|6aDUR|7AART|89RCR
20	23334 31523	   	227.00	DCR|DCR|1DMG|1MLV|1AART	1ASPD|2aLHND|3MLV|4DMG|5AART|6RPLT|7TBNT|89RCR
21	23334 31524	   	227.00	DCR|DCR|1DMG|1MLV|1AART	1ASPD|2LHND|3MLV|4DMG|5AART|6RPLT|7TBNT|89RCR|aLWND
22	23334 31525	   	227.00	DCR|DCR|1DMG|1MLV|1AART	1ASPD|2LHND|3MLV|4DMG|5AART|6RPLT|7TBNT|89RCR|aFEWX
