0	Index      	 *	Score 	Summary	Detail	
1	22341 35163	 * 	249.10	DCR|DCR|2VULN|1DMG|1AAC	1ZMB|25VULN|3AAC|4DMG|6RMIN|7FRZARM|8SNITOX|9aRCR
2	36333 51224	 * 	248.50	DCR|2VULN|2MSLTOX|1TLV|1DMG|2ASPD|1CDMG	1LHND|2DMG|3aVULN|4aASPD|5TLV|6aMSLTOX|7CGEN|8RCR|9CDMG|aBPWR
3	51511 46323	 * 	247.88	ACR|4VULN|3DMG|3TLV	1RCR|2RPLT|379TLV|4MBVNT|579DMG|679aVULN|79BPWR|8AETHUN
4	15212 31131	 * 	242.59	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1AEWIND|2CDMG|3AAC|4ERES|5TLV|68RCR|7RCVC|9BOSS|aVULN
5	15212 31154	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG|1AAC	1AEWIND|2CDMG|3AAC|4ERES|5TLV|68RCR|7RCVC|9DMSP|aVULN
6	15243 31131	   	242.59	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1AEWIND|2CDMG|3AAC|4TLV|5ERES|68RCR|7RCVC|9BOSS|aVULN
7	21532 31154	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1ZMB|2AEFBLL|3ERES|4CDMG|5TLV|68RCR|7RCVC|9DMSP|aVULN
8	15212 36131	   	242.49	DCR|DCR|1VULN|1TLV|1CDMG|1AAC	1AEWIND|2CDMG|3AAC|47ERES|5TLV|68RCR|9BOSS|aVULN
9	15243 36131	   	242.49	DCR|DCR|1VULN|1TLV|1CDMG|1AAC	1AEWIND|2CDMG|3AAC|4TLV|57ERES|68RCR|9BOSS|aVULN
10	15212 31145	   	242.35	DCR|DCR|1VULN|1TLV|1AAC|1CDMG|1SELL	1AEWIND|2CDMG|3AAC|4ERES|5TLV|68RCR|7RCVC|9SELL|aVULN
11	21532 31145	   	242.35	DCR|DCR|1VULN|1TLV|1CDMG|1SELL	1ZMB|2AEFBLL|3ERES|4CDMG|5TLV|68RCR|7RCVC|9SELL|aVULN
12	51611 46323	 * 	241.88	ACR|4VULN|3DMG|3MLV	1RCR|2RPLT|379MLV|4MBVNT|579DMG|679aVULN|79BPWR|8AETHUN
13	51561 31311	 * 	238.67	ACR|DCR|1VULN|1TLV|1MSLTOX|1DUR|1AART	18RCR|2RPLT|3TLV|4MSLTOX|5DUR|6FRZFST|7CGEN|9AART|aVULN
14	31344 32612	   	238.30	DCR|DCR|1VULN|1DMG|1MLV	1LHND|2DUST|3AEPOI|4DMG|5MBVNT|6BOSS|78RCR|9MLV|aVULN
15	56332 25223	 * 	237.95	ACR|DCR|3VULN|1DUR	19RCR|2LHND|3DUR|4ASPD|5BELT|68aVULN|7RAT
16	36355 33122	 * 	237.06	DCR|2VULN|3DMG|1TLV|1DUR	1LHND|268DMG|37VULN|4TLV|5TBNT|9DUR|aRCR
17	56332 33323	 * 	234.97	ACR|DCR|2VULN|2DUR|2ASPD	19RCR|2LHND|36DUR|46ASPD|5BELT|6BPWR|7RAT|8aVULN
18	52515 13311	 * 	234.87	ACR|DCR|2VULN|1TLV|2ASPD	17RCR|2MDPS|35VULN|4RPLT|5BPWR|68ASPD|9LHND|aTLV
19	52515 13331	   	234.77	ACR|DCR|2VULN|1TLV|2ASPD	17RCR|2MDPS|35VULN|4RPLT|5BPWR|68ASPD|9DUST|aTLV
20	51511 46413	   	233.80	ACR|3VULN|2DMG|2TLV|1DUR|1CDMG	1RCR|2RPLT|37TLV|4MBVNT|57DMG|67aVULN|7BPWR|8CDMG|9DUR
21	22225 26232	   	233.17	DCR|2VULN|1TLV|1DMG|1MLV|1DUR|1AART	13ZMB|28VULN|4TLV|5DUR|6AART|7MLV|9DMG|aRCR
22	31344 32613	 * 	232.42	DCR|DCR|1TLV|1DMG|1MLV	1LHND|2DUST|3AEPOI|4DMG|5MBVNT|6BOSS|78RCR|9MLV|aTLV
23	36353 23152	 * 	231.73	DCR|2VULN|2DMG|2TLV|1AART	1LHND|29DMG|38VULN|45TLV|6AART|7AETHUN|aRCR
24	56332 25221	   	231.41	ACR|DCR|2VULN|1MLV|1DUR	19RCR|2LHND|3DUR|4ASPD|5BELT|68VULN|7RAT|aMLV
