0	Index      	 *	Score 	Summary	Detail	
1	43351 32162	 * 	268.69	DCR|DCR|1VULN|2AART|1TLV|1CDMG	1FEWX|2VULN|35AART|4TLV|6aRCR|7AIRARM|8ERES|9CDMG
2	23312 66214	 * 	263.38	DCR|DCR|2VULN|1DUR|1AART	1DUR|25VULN|3AART|4RAT|6ASPD|7aRCR|8LWND|9BOSS
3	23312 66224	   	263.38	DCR|DCR|2VULN|1DUR|1AART	1DUR|25VULN|3AART|4RAT|6ASPD|7aRCR|8LWND|9LIT
4	23312 16214	   	256.44	DCR|DCR|2VULN|1DUR|1AART	1DUR|25VULN|3AART|4RAT|6ZMB|7aRCR|8LWND|9BOSS
5	23312 16224	   	256.44	DCR|DCR|2VULN|1DUR|1AART	1DUR|25VULN|3AART|4RAT|6ZMB|7aRCR|8LWND|9LIT
6	23312 16514	   	256.44	DCR|DCR|2VULN|1DUR|1AART	1DUR|25VULN|3AART|4RAT|6ZMB|7aRCR|8BOSS|9FEWX
7	43351 36331	   	255.14	DCR|DCR|1VULN|2AART|1TLV	1FEWX|2VULN|35AART|4TLV|6aRCR|7DMSP|8AEBURN|9RAT
8	43351 35331	   	255.04	DCR|DCR|1VULN|2AART|1TLV	1FEWX|2VULN|35AART|4TLV|6aRCR|7AEPOI|8AEBURN|9RAT
9	23621 31412	 * 	254.60	DCR|2VULN|3DUR|2TLV|1DMG|1MSLTOX	147DUR|27VULN|3VENTOX|5DMG|67TLV|7BPWR|8MSLTOX|9BOSS|aRCR
10	23421 31412	   	254.50	DCR|2VULN|3DUR|2TLV|1DMG|1MSLTOX	147DUR|27VULN|3AIRBOS|5DMG|67TLV|7BPWR|8MSLTOX|9BOSS|aRCR
11	33233 36563	   	245.29	DCR|DCR|1VULN|1TLV|1MSLTOX	1LWND|2VULN|3MDPS|47RCVC|5RPLT|6aRCR|8TLV|9MSLTOX
12	33312 16514	   	242.79	DCR|DCR|2VULN|1AART	1LWND|25VULN|3AART|4RAT|6ZMB|7aRCR|8BOSS|9FEWX
13	43312 16214	   	242.79	DCR|DCR|2VULN|1AART	1FEWX|25VULN|3AART|4RAT|6ZMB|7aRCR|8LWND|9BOSS
14	43312 16224	   	242.79	DCR|DCR|2VULN|1AART	1FEWX|25VULN|3AART|4RAT|6ZMB|7aRCR|8LWND|9LIT
15	53312 16214	   	242.79	DCR|DCR|2VULN|1AART	1LHND|25VULN|3AART|4RAT|6ZMB|7aRCR|8LWND|9BOSS
16	53312 16224	   	242.79	DCR|DCR|2VULN|1AART	1LHND|25VULN|3AART|4RAT|6ZMB|7aRCR|8LWND|9LIT
17	61233 25135	   	242.69	DCR|DCR|2VULN|1CDMG	1LIT|2CGEN|3BBNT|4FEWX|5LHND|68RCR|79VULN|aCDMG
18	25334 21115	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1DUR|2TBNT|3LIT|4VULN|5CGEN|68RCR|7LWND|9LHND|aTLV
19	25334 21142	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1DUR|2TBNT|3LIT|4VULN|5CGEN|68RCR|7LWND|9RAT|aTLV
20	25334 21136	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1DUR|2TBNT|3LIT|4VULN|5CGEN|68RCR|7LWND|9MBVNT|aTLV
21	43432 31162	 * 	242.53	DCR|4VULN|2TLV|1AART	17FEWX|2579VULN|3AIRBOS|4ASPD|67TLV|7BPWR|8AART|aRCR
22	23621 33462	   	241.46	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	149DUR|2aVULN|3VENTOX|5DMG|6TLV|7RCR|8CDMG
23	23621 33642	   	241.46	DCR|2VULN|3DUR|1TLV|1DMG|1AART	14aDUR|28VULN|3VENTOX|5DMG|6TLV|7RCR|9AART
24	23421 33462	   	241.36	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	149DUR|2aVULN|3AIRBOS|5DMG|6TLV|7RCR|8CDMG
25	23421 33642	   	241.36	DCR|2VULN|3DUR|1TLV|1DMG|1AART	14aDUR|28VULN|3AIRBOS|5DMG|6TLV|7RCR|9AART
26	23621 33431	   	240.55	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	14DUR|2aVULN|3VENTOX|5DMG|6aTLV|7RCR|8CDMG|9aLIT|aBPWR
27	23421 33431	   	240.45	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	14DUR|2aVULN|3AIRBOS|5DMG|6aTLV|7RCR|8CDMG|9aLIT|aBPWR
