0	Index      	 *	Score 	Summary	Detail	
1	11266 15311	 * 	277.30	DCR|3VULN|3MSLTOX|3DUR|1MLV|1AART	189VULN|2RMIN|389DUR|4MLV|5ERES|6RCR|789MSLTOX|89BPWR|aAART
2	11266 15312	   	263.65	DCR|3VULN|3MSLTOX|3DUR|1MLV	189VULN|2aRMIN|389DUR|4MLV|5ERES|6RCR|789MSLTOX|89BPWR
3	11266 15313	   	263.55	DCR|3VULN|3MSLTOX|3DUR|1MLV	189VULN|2RMIN|389DUR|4MLV|5ERES|6RCR|789MSLTOX|89BPWR|aAEFRZ
4	13241 72254	 * 	262.65	DCR|DCR|2VULN|1DMG|1DUR	12VULN|3MBVNT|4BOSS|5DMG|6TSLFST|7aRCR|8DUR|9FEWX
5	12133 11236	   	256.34	DCR|DCR|2VULN|1AART|1AAC	14VULN|2LWND|3RPLT|5AART|69RCR|7BBNT|8LHND|aAAC
6	13433 11236	   	256.34	DCR|DCR|2VULN|1AART|1AAC	12VULN|3RPLT|4BEXP|5AART|69RCR|7BBNT|8LHND|aAAC
7	15133 11236	   	256.34	DCR|DCR|2VULN|1AART|1AAC	14VULN|2FEWX|3RPLT|5AART|69RCR|7BBNT|8LHND|aAAC
8	13413 11236	   	256.24	DCR|DCR|2VULN|1AART|1AAC	12VULN|3RPLT|4DUST|5AART|69RCR|7BBNT|8LHND|aAAC
9	33133 11236	   	256.24	DCR|DCR|2VULN|1AART|1AAC	1DUST|24VULN|3RPLT|5AART|69RCR|7BBNT|8LHND|aAAC
10	13255 51241	 * 	249.25	DCR|4VULN|2DMG|1TLV	1279VULN|3MBVNT|4ZMB|59DMG|69LWND|8RCR|9BPWR|aTLV
11	11451 11316	   	249.20	DCR|DCR|2VULN|1DMG|1AAC	1aVULN|2RMIN|3AAC|4aCGEN|5LWND|68RCR|7DMG|9aMSLFST|aBPWR
12	11451 11352	 * 	249.20	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1VULN|2RMIN|3AAC|49CGEN|5LWND|68RCR|7DMG|aTLV
13	11451 11362	   	249.20	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1VULN|2RMIN|3AAC|4CGEN|5LWND|68RCR|7DMG|9RCVC|aTLV
14	11451 11313	   	249.10	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1VULN|2RMIN|3AAC|4CGEN|5LWND|68RCR|7DMG|9MSLFST|aTLV
15	12634 11313	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1VULN|24LWND|34DUST|4BPWR|5ZMB|68RCR|7DMG|9TSLFST|aTLV
16	12656 11313	 * 	249.00	DCR|DCR|1VULN|1TLV|2AAC|1DMG	1VULN|2LWND|3DUST|45AAC|68RCR|7DMG|9TSLFST|aTLV
17	12614 11313	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2LWND|3DUST|4AEFBLL|5ZMB|68RCR|7DMG|9TSLFST|aTLV
