0	Index      	 *	Score 	Summary	Detail	
1	24211 22142	 * 	249.40	DCR|2DMG|1VULN|2MLV|1FLTARM|1TLV|1DUR	16MLV|2TLV|3AEBURN|4BELT|56DMG|6BPWR|7RCR|8VULN|9DUR|aFLTARM
2	21462 36333	 * 	244.83	DCR|2VULN|3MLV|2TLV|1DUR|1AART	13aMLV|2MDPS|4DUR|5aVULN|6RCR|7MBVNT|8AART|9aTLV|aBPWR
3	53141 44434	 * 	237.57	DCR|DCR|1VULN|2MLV	1LIT|26AEPOI|3MBVNT|46MLV|5BELT|6BPWR|78RCR|9ASPD|aVULN
4	11618 41512	 * 	235.78	DCR|DCR|2VULN	1MDPS|2RAT|3ASPD|4MBVNT|5CGEN|69RCR|7BLASTR|8aVULN
5	11618 44512	   	235.78	DCR|DCR|2VULN	1MDPS|2RAT|3ASPD|4MBVNT|5CGEN|69RCR|7MGNBOS|8aVULN
6	24211 22166	 * 	235.75	DCR|2VULN|2DMG|2MLV|1TLV	16MLV|2TLV|3AEBURN|4BELT|56DMG|6BPWR|7RCR|8aVULN|9CGEN
7	24211 22112	   	235.75	DCR|2DMG|1VULN|2MLV|1FLTARM|1TLV	16MLV|2TLV|3AEBURN|4BELT|56DMG|6BPWR|7RCR|8VULN|9BEXP|aFLTARM
8	24211 22152	   	235.65	DCR|2DMG|1VULN|2MLV|1FLTARM|1TLV	16MLV|2TLV|3AEBURN|4BELT|56DMG|6BPWR|7RCR|8VULN|9DUST|aFLTARM
9	24342 34112	 * 	235.24	DCR|3VULN|1TLV|1MLV|1DUR|1AAC	1MLV|2TLV|38FEWX|459VULN|6RCR|7DUR|aAAC
10	24211 22144	 * 	233.53	DCR|2DMG|2TLV|1VULN|2MLV|1DUR	16MLV|2aTLV|3AEBURN|4BELT|56DMG|6BPWR|7RCR|8VULN|9DUR
11	24342 36212	 * 	231.93	DCR|3VULN|2TLV|1MLV|1AAC	1MLV|27TLV|3FEWX|459VULN|6RCR|8LHND|aAAC
12	24216 33132	 * 	231.87	DCR|1VULN|2DUR|1FLTARM|1TLV|1DMG|1MLV	1MLV|2TLV|3AEBURN|4BELT|57DUR|6RCR|8VULN|9DMG|aFLTARM
13	44222 12212	   	231.83	DCR|3VULN|2TLV|1MLV|2ASPD	1CGEN|2aTLV|3AEBURN|4MLV|58aVULN|6BASARM|7RCR|9aASPD|aBPWR
14	44222 42212	   	231.83	DCR|3VULN|2TLV|1MLV|2ASPD	1CGEN|2aTLV|3AEBURN|4MLV|58aVULN|6CANARM|7RCR|9aASPD|aBPWR
15	24262 12212	   	231.73	DCR|3VULN|2TLV|1MLV|2ASPD	1MLV|2aTLV|3AEBURN|4ERES|58aVULN|6BASARM|7RCR|9aASPD|aBPWR
16	24262 42212	   	231.73	DCR|3VULN|2TLV|1MLV|2ASPD	1MLV|2aTLV|3AEBURN|4ERES|58aVULN|6CANARM|7RCR|9aASPD|aBPWR
17	24216 32132	   	231.71	DCR|1VULN|2MLV|1FLTARM|1TLV|1DMG|1DUR	17MLV|2TLV|3AEBURN|4BELT|5DUR|6RCR|8VULN|9DMG|aFLTARM
18	53141 44484	   	230.63	DCR|DCR|1VULN|2MLV	1LIT|26AEPOI|3MBVNT|46MLV|5BELT|6BPWR|78RCR|9BEXP|aVULN
19	12132 35223	   	230.53	DCR|DCR|1VULN|2MLV	1MDPS|23BEXP|4ERES|5VULN|6aRCR|78MLV|9AEPOI
20	31432 35223	   	230.53	DCR|DCR|1VULN|2MLV	1FEWX|2BEXP|3DUST|4ERES|5VULN|6aRCR|78MLV|9AEPOI
