0	Index      	 *	Score 	Summary	Detail	
1	21431 43314	 * 	258.70	DCR|DCR|2FLTARM|2DUR|1AART|1SELL	19DUR|2DUST|39FLTARM|49FEWX|5SELL|6aRCR|7AART|8LEGI|9BPWR
2	22622 32636	 * 	258.48	DCR|DCR|3DUR|2TLV|1CDMG	148DUR|2AETHUN|34TLV|4BPWR|5AEWIND|6aRCR|7BEXP|9CDMG
3	22623 32636	   	258.48	DCR|DCR|3DUR|2TLV|1CDMG	148DUR|2AETHUN|34TLV|4BPWR|5AEFBLL|6aRCR|7BEXP|9CDMG
4	11166 22134	 * 	258.19	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1MGNSTR|2AME|3DUST|4MLV|5TLV|6VULN|7RCVC|8DUR|9aRCR
5	36153 22134	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1DMSP|2VULN|3CGEN|4TLV|5MLV|6DUST|7TSLARM|8DUR|9aRCR
6	22121 61355	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1AART|1AAC	1DUR|2AETHUN|3BBNT|4VULN|5AAC|6AART|7TLV|8MDPS|9aRCR
7	23232 61424	 * 	255.14	DCR|DCR|1VULN|2DUR|1TLV	17DUR|24FEWX|3CANTOX|5VULN|6BEXP|8aRCR|9TLV
8	11166 22234	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1MGNSTR|2AME|3DUST|4MLV|5TLV|6VULN|7RCVC|8LWND|9aRCR
9	36153 22234	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1DMSP|2VULN|3CGEN|4TLV|5MLV|6DUST|7TSLARM|8LWND|9aRCR
10	22231 42461	   	244.30	DCR|DCR|1VULN|2DUR|1MLV|1SELL	19DUR|2AETHUN|3VENTOX|4FEWX|5SELL|68RCR|7VULN|aMLV
11	35351 23621	 * 	243.59	DCR|DCR|1VULN|1DMG|1DUR	1DMSP|2RAT|3DMG|4RMIN|5ASPD|68RCR|7DUR|9VULN|aCGEN
12	35351 24221	   	243.59	DCR|DCR|1VULN|1DMG|1DUR	1DMSP|2RAT|3DMG|4RMIN|5ASPD|67RCR|8DUR|9VULN|aCGEN
13	41151 23621	   	243.59	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2DMG|3RCVC|4RMIN|5ASPD|68RCR|7DUR|9VULN|aCGEN
14	41151 24221	   	243.59	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2DMG|3RCVC|4RMIN|5ASPD|67RCR|8DUR|9VULN|aCGEN
15	35351 23622	   	243.49	DCR|DCR|1VULN|1DMG|1DUR|1SELL	1DMSP|2RAT|3DMG|4RMIN|5ASPD|68RCR|7DUR|9VULN|aSELL
16	35351 23623	   	243.49	DCR|DCR|1VULN|1DMG|1DUR	1DMSP|2RAT|3DMG|4RMIN|5ASPD|68RCR|7DUR|9VULN|aCANARM
17	35351 24222	   	243.49	DCR|DCR|1VULN|1DMG|1DUR|1SELL	1DMSP|2RAT|3DMG|4RMIN|5ASPD|67RCR|8DUR|9VULN|aSELL
18	35351 24223	   	243.49	DCR|DCR|1VULN|1DMG|1DUR	1DMSP|2RAT|3DMG|4RMIN|5ASPD|67RCR|8DUR|9VULN|aCANARM
19	41151 23622	   	243.49	DCR|DCR|1VULN|1DMG|1DUR|1SELL	1RAT|2DMG|3RCVC|4RMIN|5ASPD|68RCR|7DUR|9VULN|aSELL
20	41151 23623	   	243.49	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2DMG|3RCVC|4RMIN|5ASPD|68RCR|7DUR|9VULN|aCANARM
21	41151 24222	   	243.49	DCR|DCR|1VULN|1DMG|1DUR|1SELL	1RAT|2DMG|3RCVC|4RMIN|5ASPD|67RCR|8DUR|9VULN|aSELL
22	41151 24223	   	243.49	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2DMG|3RCVC|4RMIN|5ASPD|67RCR|8DUR|9VULN|aCANARM
23	23432 21434	 * 	242.79	DCR|DCR|1VULN|1FLTARM|1DUR	1DUR|24FEWX|3FLTARM|5VULN|6RCVC|7LHND|8aRCR|9CGEN
24	23232 26424	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1DUR|24FEWX|3CANTOX|5VULN|6RCVC|7BEXP|8aRCR|9TLV
25	42523 42233	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1RAT|2TLV|3DUR|4LWND|5VULN|6aRCR|7ERES|8BEXP|9CGEN
26	42531 42233	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1RAT|2TLV|3DUR|4VULN|5FEWX|6aRCR|7ERES|8BEXP|9CGEN
27	22614 42333	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1DUR|2AETHUN|3TLV|4RAT|5LHND|6aRCR|7ERES|8LWND|9VULN
28	32212 36611	   	242.49	DCR|DCR|1VULN|1TLV|1CDMG	1DMSP|2DUST|3VULN|4LHND|5AETHUN|6BBNT|79RCR|8CDMG|aTLV
29	36226 15231	 * 	242.05	DCR|5VULN|1TLV|1DUR	1DMSP|23456VULN|4BPWR|7LWND|8RCR|9DUR|aTLV
30	61334 33421	 * 	239.75	DCR|2VULN|2DUR|1TLV|1MSLTOX|2ASPD|1CDMG	1AETHUN|24ASPD|34VULN|4BPWR|5TLV|6MSLTOX|79DUR|8RCR|aCDMG
31	52622 33224	 * 	239.27	DCR|DCR|2TLV|1VULN	14LWND|2AETHUN|34TLV|4BPWR|5AEWIND|6aRCR|7VULN|8BLASTR|9BEXP
32	52623 33224	   	239.27	DCR|DCR|2TLV|1VULN	14LWND|2AETHUN|34TLV|4BPWR|5AEFBLL|6aRCR|7VULN|8BLASTR|9BEXP
33	22622 33352	 * 	238.47	DCR|3TLV|3DUR|1VULN|1DMG|2CDMG	149DUR|2AETHUN|349TLV|49BPWR|5AEWIND|6RCR|7VULN|89CDMG|aDMG
34	22623 33352	   	238.47	DCR|3TLV|3DUR|1VULN|1DMG|2CDMG	149DUR|2AETHUN|349TLV|49BPWR|5AEFBLL|6RCR|7VULN|89CDMG|aDMG
35	64226 13224	   	236.44	DCR|DCR|2TLV|1MLV|1CDMG	1AETHUN|2RPLT|3MLV|48TLV|5MBVNT|6LIT|7aRCR|9CDMG
36	23562 31623	   	236.35	DCR|DCR|1VULN|1DMG|1DUR	1DUR|2FEWX|3DUST|4ERES|5AEWIND|6RPLT|7VULN|8aRCR|9DMG
37	23563 31623	   	236.35	DCR|DCR|1VULN|1DMG|1DUR	1DUR|2FEWX|35DUST|4ERES|6RPLT|7VULN|8aRCR|9DMG
38	25153 21216	   	236.35	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1DUR|2LIT|3TBNT|4AAC|5MDPS|6aRCR|7VULN|8DMG|9LEGI
39	32251 33621	   	236.35	DCR|DCR|1VULN|1DMG|1CDMG	1DMSP|2DUST|3VULN|4AETHUN|5MDPS|69RCR|7RPLT|8CDMG|aDMG
40	15121 42413	   	236.21	DCR|DCR|1VULN|1DMG|1AART|1SELL	1MGNSTR|2DMSP|3AEFBLL|4TBNT|5SELL|68RCR|7VULN|9AART|aDMG
41	33411 42413	   	236.21	DCR|DCR|1VULN|1DMG|1AART|1SELL	1DMSP|2MSLREG|3TBNT|4RCVC|5SELL|68RCR|7VULN|9AART|aDMG
42	33121 42413	   	236.11	DCR|DCR|1VULN|1DMG|1AART|1SELL	1DMSP|2MSLREG|3AEFBLL|4TBNT|5SELL|68RCR|7VULN|9AART|aDMG
43	42312 35363	   	235.88	DCR|DCR|1VULN|1TLV	1RAT|2TLV|3ASPD|4VULN|5AETHUN|6MBVNT|7LWND|89RCR|aBEXP
44	42312 35361	   	235.78	DCR|DCR|1VULN|1TLV|1MSE	1RAT|2TLV|3ASPD|4VULN|5AETHUN|6MBVNT|7LWND|89RCR|aMSE
45	42312 35362	   	235.78	DCR|DCR|1VULN|1TLV	1RAT|2TLV|3ASPD|4VULN|5AETHUN|6MBVNT|7LWND|89RCR|aAEFRZ
46	42312 35364	   	235.78	DCR|DCR|1VULN|1TLV	1RAT|2TLV|3ASPD|4VULN|5AETHUN|6MBVNT|7LWND|89RCR|aTSLARM
47	62135 12611	 * 	234.87	ACR|DCR|2VULN|1TLV|1CDMG	1AETHUN|2TBNT|39RCR|4LHND|57VULN|6BEXP|8CDMG|aTLV
48	22626 61322	 * 	233.94	DCR|2VULN|2TLV|2DUR|1AART|1CDMG	14DUR|2AETHUN|34TLV|4BPWR|5CDMG|69VULN|7AART|8RCR|aBOSS
49	22626 61321	   	233.84	DCR|2VULN|2TLV|2DUR|1AART|1CDMG	14DUR|2AETHUN|34TLV|4BPWR|5CDMG|69VULN|7AART|8RCR|aERES
50	22626 61323	   	233.84	DCR|2VULN|2TLV|2DUR|1AART|1CDMG	14DUR|2AETHUN|34TLV|4BPWR|5CDMG|69VULN|7AART|8RCR|aLEGI
51	22622 34124	   	233.28	DCR|DCR|2TLV|2DUR	14DUR|2AETHUN|34TLV|4BPWR|5AEWIND|6aRCR|7BASARM|8BEXP|9FEWX
