0	Index      	 *	Score 	Summary	Detail	
1	55232 42333	 * 	268.69	DCR|DCR|2VULN|1TLV|1DUR	1AEWIND|29VULN|3ERES|4AEBURN|5RAT|6DUR|78RCR|aTLV
2	21321 13433	 * 	255.46	ACR|DCR|2VULN|1TLV|1DUR|1CDMG	1DUR|2MSLREG|3ASPD|4MBVNT|5aRCR|6TLV|78VULN|9CDMG
3	26321 13433	   	255.46	ACR|DCR|2VULN|1TLV|1DUR|1CDMG	1DUR|2FLTHEA|3ASPD|4MBVNT|5aRCR|6TLV|78VULN|9CDMG
4	65224 22313	   	255.24	DCR|DCR|2VULN|1TLV	1LHND|2RAT|3FEWX|4ERES|5ZMB|68RCR|79VULN|aTLV
5	55232 12333	   	255.04	DCR|DCR|2VULN|1TLV	1AEWIND|29VULN|3ERES|4AEBURN|5RAT|6LHND|78RCR|aTLV
6	63232 62333	   	255.04	DCR|DCR|2VULN|1TLV	1LHND|2AEFBLL|3ERES|4AEPOI|5RAT|69VULN|78RCR|aTLV
7	24322 52231	   	252.68	DCR|DCR|1VULN|1MLV|1DUR|1AART	1DUR|2MLV|3ASPD|4FEWX|5LIT|6VULN|7AART|8TBNT|9aRCR
8	24332 52231	   	252.68	DCR|DCR|1VULN|1MLV|1DUR|1AART	1DUR|2MLV|3ASPD|4LIT|5BEXP|6VULN|7AART|8TBNT|9aRCR
9	24312 52251	   	252.58	DCR|DCR|1VULN|1MLV|1DUR|1AART	1DUR|2MLV|3ASPD|4DUST|5LIT|6VULN|7AART|8TBNT|9aRCR
10	52232 12333	 * 	251.18	DCR|DCR|3VULN	1aAEWIND|2RMIN|39aVULN|4AEBURN|5RAT|6aLHND|78RCR|aBPWR
11	24346 11211	 * 	250.30	DCR|2VULN|3DUR|2MLV|1DMG|1AART	149DUR|29MLV|3ASPD|5AART|6DMG|7BOSS|89VULN|9BPWR|aRCR
12	55232 42332	   	249.43	DCR|DCR|2VULN|1DUR	1AEWIND|29VULN|3ERES|4AEBURN|5RAT|6DUR|78RCR|aASPD
13	52232 12334	 * 	249.00	DCR|DCR|2VULN|1DMG	1AEWIND|2RMIN|39VULN|4AEBURN|5RAT|6LHND|78RCR|aDMG
14	52232 62334	   	249.00	DCR|DCR|2VULN|1DMG	1AEWIND|2RMIN|39VULN|4AEBURN|5RAT|6FEWX|78RCR|aDMG
15	55232 12334	   	248.90	DCR|DCR|2VULN|1DMG	1AEWIND|29VULN|3ERES|4AEBURN|5RAT|6LHND|78RCR|aDMG
16	63232 62334	   	248.90	DCR|DCR|2VULN|1DMG	1LHND|2AEFBLL|3ERES|4AEPOI|5RAT|69VULN|78RCR|aDMG
17	24363 62132	 * 	248.60	DCR|3VULN|1FLTARM|1DMG|1MLV|1DUR	1DUR|2MLV|3ASPD|48aVULN|5DMG|6FLTARM|7RCR|9BEXP
18	24132 52231	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1AART	1DUR|2MLV|3BOSS|4ZMB|5BEXP|6VULN|7AART|8TBNT|9aRCR
19	51143 35113	 * 	245.64	DCR|3VULN|3DMG|2DUR	17AEWIND|2TBNT|3aDUR|467VULN|57aDMG|7aBPWR|8RCR|9aRAT
20	54231 14243	   	245.64	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1AEWIND|2MGNSTR|3MBVNT|4MLV|5CDMG|6DUR|7aRCR|8VULN|9ZMB
21	56231 14243	   	245.54	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1AEWIND|2BLASTR|3MBVNT|4MLV|5CDMG|6DUR|7aRCR|8VULN|9ZMB
