0	Index      	 *	Score 	Summary	Detail	
1	25163 23114	 * 	275.83	DCR|DCR|2VULN|1TLV|1AAC	1DMSP|25VULN|3ASPD|4AETHUN|6RPLT|78RCR|9TLV|aAAC
2	25163 23115	   	275.83	DCR|DCR|2VULN|1TLV|1CDMG	1DMSP|25VULN|3ASPD|4AETHUN|6RPLT|78RCR|9TLV|aCDMG
3	31331 36241	 * 	275.62	ACR|DCR|2VULN|2MLV|2DUR|1TLV	19RCR|27DUR|3RPLT|4BELT|57MLV|67VULN|7BPWR|8FEWX|aTLV
4	31331 36541	   	275.62	ACR|DCR|2VULN|2MLV|2DUR|1TLV	19RCR|27DUR|3RPLT|4BELT|57MLV|67VULN|7BPWR|8BEXP|aTLV
5	35312 13254	 * 	274.40	ACR|DCR|3VULN|2MSLTOX|2DUR	19RCR|26aVULN|3RPLT|4aMSLTOX|5ERES|7CGEN|8aDUR|aBPWR
6	25163 23142	 * 	271.77	DCR|DCR|3VULN|1CDMG	1DMSP|259VULN|3ASPD|4AETHUN|6RPLT|78RCR|aCDMG
7	22516 63231	   	268.99	DCR|DCR|2VULN|1TLV|1DUR	1DMSP|2RPLT|37VULN|4TLV|5DUR|6LWND|89RCR|aCGEN
8	22516 63232	   	268.99	DCR|DCR|2VULN|1TLV|1DUR	1DMSP|2RPLT|37VULN|4TLV|5DUR|6LWND|89RCR|aRMIN
9	22516 63233	   	268.99	DCR|DCR|2VULN|1TLV|1DUR	1DMSP|2RPLT|37VULN|4TLV|5DUR|6LWND|89RCR|aBELT
10	22163 36153	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	1DMSP|2RPLT|3TLV|4DUR|5FRZICY|6aVULN|79RCR|8ERES
11	22352 36353	 * 	268.89	DCR|DCR|2VULN|1FLTARM|1DUR	1DMSP|2RPLT|3FLTARM|4ERES|5DUR|6aVULN|79RCR|8CGEN
12	22162 36153	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1DMSP|2RPLT|3TLV|4DUR|5MGNBOS|6aVULN|79RCR|8ERES
13	22516 23232	 * 	268.73	DCR|DCR|2TLV|1VULN|1MLV|1DUR	1DMSP|2RPLT|3VULN|4aTLV|5DUR|6CGEN|7MLV|89RCR
14	33241 54331	 * 	267.33	ACR|DCR|2VULN|2TLV|1DMG|1MLV	19RCR|2CGEN|35TLV|4ERES|68VULN|7MLV|aDMG
15	31261 44311	 * 	264.62	ACR|DCR|3VULN|1DMG|1DUR|1CDMG	1aRCR|2DUR|369VULN|4CDMG|5CGEN|7BASHEA|8DMG
16	31262 44311	   	264.52	ACR|DCR|3VULN|1DMG|1DUR|1CDMG	1aRCR|2DUR|369VULN|4CDMG|5ERES|7BASHEA|8DMG
17	43213 22231	 * 	263.33	ACR|DCR|3VULN|2DUR|1DMG	18DUR|28AEWIND|3AEFBLL|4AEFRZ|59RCR|678VULN|8BPWR|aDMG
18	53511 62311	   	263.28	DCR|DCR|2VULN|1DUR|1CDMG	1BBNT|2FEWX|35VULN|4DUR|6ASPD|7CDMG|89RCR|aBOSS
19	53511 62312	   	263.28	DCR|DCR|2VULN|1DUR|1CDMG	1BBNT|2FEWX|35VULN|4DUR|6ASPD|7CDMG|89RCR|aLHND
20	53511 62313	   	263.28	DCR|DCR|2VULN|1DUR|1CDMG	1BBNT|2FEWX|35VULN|4DUR|6ASPD|7CDMG|89RCR|aRCVC
21	25163 23112	   	262.18	DCR|DCR|2VULN|1TLV	1DMSP|25VULN|3ASPD|4AETHUN|6RPLT|78RCR|9TLV|aMGNSTR
22	25163 23113	   	262.18	DCR|DCR|2VULN|1TLV	1DMSP|25VULN|3ASPD|4AETHUN|6RPLT|78RCR|9TLV|aFEWX
23	25163 23111	   	262.08	DCR|DCR|2VULN|1TLV	1DMSP|25VULN|3ASPD|4AETHUN|6RPLT|78RCR|9TLV|aBBNT
24	33241 54333	   	260.91	ACR|DCR|2VULN|2TLV|1MLV|1DUR	19RCR|2CGEN|35TLV|4ERES|68VULN|7MLV|aDUR
25	22534 43231	   	258.39	DCR|DCR|2VULN|1MLV|1DUR	1DMSP|2RPLT|37VULN|4DUR|5LHND|6MLV|89RCR|aCGEN
26	22534 43232	   	258.39	DCR|DCR|2VULN|1MLV|1DUR	1DMSP|2RPLT|37VULN|4DUR|5LHND|6MLV|89RCR|aRMIN
27	22534 43233	   	258.39	DCR|DCR|2VULN|1MLV|1DUR	1DMSP|2RPLT|37VULN|4DUR|5LHND|6MLV|89RCR|aBELT
28	22516 23231	   	258.39	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1DMSP|2RPLT|3VULN|4TLV|5DUR|6aCGEN|7MLV|89RCR
29	22516 23234	   	258.39	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1DMSP|2RPLT|3VULN|4TLV|5DUR|6CGEN|7MLV|89RCR|aRMIN
30	22516 23235	   	258.39	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1DMSP|2RPLT|3VULN|4TLV|5DUR|6CGEN|7MLV|89RCR|aFEWX
31	22541 33232	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1DMSP|2RPLT|3VULN|4CGEN|5ERES|6DUR|7MLV|89RCR|aTLV
32	22516 23233	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1DMSP|2RPLT|3VULN|4TLV|5DUR|6CGEN|7MLV|89RCR|aERES
33	22516 23236	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1SELL	1DMSP|2RPLT|3VULN|4TLV|5DUR|6CGEN|7MLV|89RCR|aSELL
34	25163 23141	   	258.12	DCR|DCR|3VULN	1DMSP|259VULN|3ASPD|4AETHUN|6RPLT|78RCR|aCGEN
35	25163 23125	   	258.02	DCR|DCR|3VULN	1DMSP|25aVULN|3ASPD|4AETHUN|6RPLT|78RCR|9SNIFST
36	25163 23143	   	258.02	DCR|DCR|3VULN	1DMSP|259VULN|3ASPD|4AETHUN|6RPLT|78RCR|aERES
37	35411 11331	   	256.99	ACR|DCR|2VULN|1TLV|1DMG|1MLV	19RCR|27VULN|3MLV|4RCVC|5TLV|6ERES|8CGEN|aDMG
38	43213 22233	   	256.91	ACR|DCR|3VULN|2DUR|1AART	18DUR|28AEWIND|3AEFBLL|4AEFRZ|59RCR|678VULN|8BPWR|aAART
39	25163 23123	 * 	255.94	DCR|DCR|2VULN|1DMG	1DMSP|25VULN|3ASPD|4AETHUN|6RPLT|78RCR|9SNIFST|aDMG
40	22133 36553	   	255.34	DCR|DCR|2VULN|1TLV	1DMSP|2RPLT|3TLV|4LWND|5FRZICY|6aVULN|79RCR|8CGEN
41	22132 36553	   	255.24	DCR|DCR|2VULN|1TLV	1DMSP|2RPLT|3TLV|4LWND|5MGNBOS|6aVULN|79RCR|8CGEN
42	22133 36153	   	255.24	DCR|DCR|2VULN|1TLV	1DMSP|2RPLT|3TLV|4LWND|5FRZICY|6aVULN|79RCR|8ERES
43	22132 36153	   	255.14	DCR|DCR|2VULN|1TLV	1DMSP|2RPLT|3TLV|4LWND|5MGNBOS|6aVULN|79RCR|8ERES
44	35343 32114	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1AAC	18RCR|25VULN|3RPLT|4BEXP|6DMG|7DMSP|9TLV|aAAC
45	35343 32115	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	18RCR|25VULN|3RPLT|4BEXP|6DMG|7DMSP|9TLV|aCDMG
46	22142 63632	   	255.08	DCR|DCR|2TLV|1VULN|1MLV	1DMSP|2RPLT|3aTLV|4CGEN|5VULN|6BEXP|7MLV|89RCR
47	22511 63632	   	255.08	DCR|DCR|2TLV|1VULN|1MLV	1DMSP|2RPLT|3VULN|4aTLV|5CGEN|6BEXP|7MLV|89RCR
48	51151 12216	   	255.04	DCR|DCR|2VULN|1TLV	1BBNT|2MDPS|3LEGI|4TLV|5RPLT|6BOSS|78RCR|9aVULN
49	35353 31114	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1AAC	18RCR|25VULN|3RPLT|47DUST|6DMG|9TLV|aAAC
50	35353 31115	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	18RCR|25VULN|3RPLT|47DUST|6DMG|9TLV|aCDMG
51	35421 21331	   	253.03	ACR|DCR|3VULN|1DMG|1MLV	19RCR|257VULN|3MLV|46FEWX|8CGEN|aDMG
52	52116 71212	   	252.82	DCR|DCR|2TLV|1VULN|1CDMG	1BBNT|2CDMG|3LIT|4MBVNT|5TBNT|68RCR|7aTLV|9VULN
53	35312 32254	   	252.16	ACR|DCR|2VULN|2MSLTOX|2DUR	19RCR|2aVULN|3RPLT|4aMSLTOX|57ERES|6CGEN|8aDUR|aBPWR
54	25163 23122	   	251.48	DCR|DCR|2VULN|1MLV	1DMSP|25VULN|3ASPD|4AETHUN|6RPLT|78RCR|9SNIFST|aMLV
55	35343 32142	   	251.07	ACR|DCR|3VULN|1DMG|1CDMG	18RCR|259VULN|3RPLT|4BEXP|6DMG|7DMSP|aCDMG
56	35353 31142	   	250.87	ACR|DCR|3VULN|1DMG|1CDMG	18RCR|259VULN|3RPLT|47DUST|6DMG|aCDMG
57	35333 35241	   	250.68	ACR|DCR|2VULN|1TLV|1MLV|1DUR	19RCR|26VULN|3RPLT|4BELT|5MLV|7DUR|8FEWX|aTLV
58	35411 11333	   	250.58	ACR|DCR|2VULN|1TLV|1MLV|1DUR	19RCR|27VULN|3MLV|4RCVC|5TLV|6ERES|8CGEN|aDUR
59	53521 62311	   	249.63	DCR|DCR|2VULN|1CDMG	1BBNT|2FEWX|35VULN|4LWND|6ASPD|7CDMG|89RCR|aBOSS
