0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14115 12362	7	 * 	289.30	DCR|3VULN|3DMG|2DUR|3LIT	178VULN|267LIT|3FEWX|48DUR|578DMG|78BPWR|9RPLT|aRCR
2	13264 32152	1	 * 	288.79	DCR|4VULN|2DMG|1TLV|1DUR|1ASPD	1367VULN|2ASPD|4DUR|56DMG|6BPWR|8LWND|9TLV|aRCR
3	13264 32352	1	   	288.79	DCR|4VULN|2DMG|1TLV|1DUR|1ASPD	1367VULN|2ASPD|4DUR|56DMG|6BPWR|8TLV|9LHND|aRCR
4	13264 32312	1	   	288.69	DCR|4VULN|2DMG|1TLV|1DUR|1ASPD	1367VULN|2ASPD|4DUR|56DMG|6BPWR|8TLV|9DUST|aRCR
5	14524 12323	7	 * 	286.87	DCR|3VULN|3DUR|2DMG|3LIT	178VULN|267LIT|3BEXP|48DMG|578DUR|78BPWR|9LHND|aRCR
6	51232 64131	6	 * 	285.79	DCR|4VULN|2DMG|2DUR|1NUKE|1AART	18DMG|2BEXP|38DUR|468aVULN|5NUKE|7AART|8BPWR|9RCR
7	14353 12251	3	   	283.06	DCR|3VULN|3DMG|1DUR|2LIT|1CDMG	137VULN|23LIT|3BPWR|49aDMG|5CDMG|6RCR|8DUR
8	13254 36331	1	   	282.20	DCR|4VULN|2DMG|1DUR|1ASPD|1AART	136aVULN|2ASPD|4LWND|56DMG|6BPWR|7AART|8DUR|9RCR
9	13264 33331	1	   	282.10	DCR|4VULN|2DMG|1DUR|1ASPD|1AART	136aVULN|2ASPD|4DUR|56DMG|6BPWR|7DUST|8AART|9RCR
10	13542 34542	4	 * 	281.01	DCR|4VULN|3DMG|2CDMG	168aVULN|2LWND|3aCDMG|46aDMG|5MBVNT|6aBPWR|7RMIN|9RCR
11	13543 34542	5	   	281.01	DCR|4VULN|3DMG|2CDMG	168aVULN|2LWND|3aCDMG|46aDMG|5MBVNT|6aBPWR|7RMIN|9RCR
12	52133 13311	5	   	281.01	DCR|4VULN|3DMG|2CDMG	169DMG|2ZMB|3DMSP|4579VULN|89CDMG|9BPWR|aRCR
13	52253 13311	5	   	281.01	DCR|4VULN|3DMG|2CDMG	169DMG|24ZMB|3579VULN|89CDMG|9BPWR|aRCR
14	13542 33542	4	   	280.91	DCR|4VULN|3DMG|2CDMG|1NUKE	168aVULN|2LWND|3aCDMG|46aDMG|5MBVNT|6aBPWR|7NUKE|9RCR
15	13543 33542	5	   	280.91	DCR|4VULN|3DMG|2CDMG|1NUKE	168aVULN|2LWND|3aCDMG|46aDMG|5MBVNT|6aBPWR|7NUKE|9RCR
16	13264 35312	1	   	280.64	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	136VULN|2ASPD|47DUR|56DMG|6BPWR|8TLV|9DUST|aRCR
17	14231 43353	2	 * 	279.43	DCR|4VULN|2DUR|3CDMG|2LIT	1589VULN|26LIT|368CDMG|4BBNT|68BPWR|78DUR|aRCR
