0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41235 21331	7	 * 	297.95	DCR|4VULN|2DMG|2TLV|2DUR	1267VULN|27BPWR|37TLV|4RMIN|57DMG|89DUR|aRCR
2	41223 43216	7	 * 	291.77	DCR|5VULN|3DUR|2TLV	1249aVULN|29aBPWR|35TLV|69aERES|79aDUR|8RCR
3	24322 33211	9	 * 	287.85	DCR|3VULN|3DMG|3DUR|2ASPD	1DMSP|279DUR|3ZMB|479VULN|567DMG|79BPWR|89ASPD|aRCR
4	41222 21327	8	   	286.85	DCR|5VULN|2TLV|2DUR	12467VULN|27BPWR|37TLV|57DUR|8MBVNT|9LIT|aRCR
5	41222 21327	7	   	286.85	DCR|5VULN|2TLV|2DUR	12467VULN|27BPWR|37TLV|57DUR|8MBVNT|9LIT|aRCR
6	41222 26131	10	   	285.74	DCR|4VULN|2DUR|1TLV|1DMG|1CDMG	1246VULN|2BPWR|3TLV|5aDUR|7CDMG|8DMG|9RCR
7	41221 13216	7	   	283.99	DCR|5VULN|3DUR|1TLV	1249aVULN|29aBPWR|3TLV|59aCGEN|6RCVC|79aDUR|8RCR
8	41235 21311	7	   	283.37	DCR|4VULN|2DMG|2TLV|1DUR	1267VULN|27BPWR|37TLV|49RMIN|57DMG|8DUR|aRCR
9	41413 21532	9	   	280.63	DCR|5VULN|2TLV|2LIT	12489VULN|28BPWR|3AART|5ASPD|68LIT|78TLV|aRCR
10	41222 35151	10	 * 	280.49	DCR|4VULN|2DUR|1TLV|2CDMG	124aVULN|2aBPWR|3TLV|5aDUR|6LIT|7RCR|8CGEN|9aCDMG
11	41222 35433	7	   	280.39	DCR|4VULN|2DUR|1TLV|1DMG	1249VULN|2BPWR|3TLV|58DUR|6LIT|7RCR|aDMG
12	41221 35151	10	   	280.37	DCR|4VULN|2TLV|2DUR|1DMG	1249VULN|29BPWR|39TLV|5aCGEN|6RCR|7DMG|89DUR
13	41221 35152	10	   	280.37	DCR|4VULN|2TLV|2DUR|1DMG	1249VULN|29BPWR|39TLV|5CGEN|6RCR|7DMG|89DUR|aLWND
14	41221 35152	9	   	280.37	DCR|4VULN|2TLV|2DUR|1DMG	1249VULN|29BPWR|39TLV|5CGEN|6RCR|7DMG|89DUR|aFEWX
15	41221 35153	9	   	280.37	DCR|4VULN|2TLV|2DUR|1DMG	1249VULN|29BPWR|39TLV|5CGEN|6RCR|7DMG|89DUR|aRCVC
16	41221 35153	10	   	280.37	DCR|4VULN|2TLV|2DUR|1DMG	1249VULN|29BPWR|39TLV|5CGEN|6RCR|7DMG|89DUR|aFEWX
17	42222 21311	9	   	280.37	DCR|4VULN|2TLV|2DUR|1DMG	1467VULN|2RCVC|37TLV|57DUR|7BPWR|8MLV|9DMG|aRCR
18	41221 35151	9	   	280.27	DCR|4VULN|2TLV|2DUR|1DMG	1249VULN|29BPWR|39TLV|5CGEN|6RCR|7DMG|89DUR|aERES
19	41222 26133	10	   	279.46	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1246VULN|2BPWR|3TLV|5DUR|7CDMG|8DMG|9RCR|aLIT
20	41215 26123	10	   	278.65	DCR|5VULN|2TLV|2DUR	12679VULN|29BPWR|39TLV|4FEWX|5BEXP|89DUR|aRCR
21	41221 32216	7	   	278.65	DCR|5VULN|2TLV|2DUR	1248aVULN|2aBPWR|37TLV|5aCGEN|6RCR|9aDUR
22	41222 21534	10	   	278.65	DCR|5VULN|2TLV|2DUR	12467VULN|27BPWR|37TLV|57DUR|8RMIN|9RPLT|aRCR
23	41211 36123	10	   	278.55	DCR|5VULN|2TLV|2DUR	12679VULN|29BPWR|39TLV|4FEWX|5DUST|89DUR|aRCR
24	41222 21154	10	   	278.55	DCR|5VULN|2TLV|2DUR	12467VULN|27BPWR|37TLV|57DUR|8ERES|9RPLT|aRCR
25	41224 22123	10	   	278.55	DCR|5VULN|2TLV|2DUR	12469VULN|29BPWR|39TLV|5DUST|7BEXP|89DUR|aRCR
26	41261 26123	10	   	278.55	DCR|5VULN|2TLV|2DUR	12679VULN|29BPWR|39TLV|4BEXP|5DUST|89DUR|aRCR
27	41224 16123	10	   	278.55	DCR|5VULN|2TLV|2DUR	12479VULN|29BPWR|39TLV|5DUST|6BEXP|89DUR|aRCR
28	41223 11251	10	 * 	278.30	DCR|5VULN|3TLV|2DUR|1SELL	12478VULN|27BPWR|357TLV|67DUR|9SELL|aRCR
29	41222 26136	10	 * 	277.47	DCR|4VULN|1TLV|1DMG|2CDMG|1DUR	1246VULN|2BPWR|3TLV|5DUR|7aCDMG|8DMG|9RCR
30	41221 35116	7	 * 	277.38	DCR|5VULN|2DMG|1TLV	1248aVULN|2aBPWR|3TLV|5aCGEN|6RCR|7aDMG|9RMIN
31	41221 35216	8	   	277.38	DCR|5VULN|2DMG|1TLV	1248aVULN|2aBPWR|3TLV|5aCGEN|6RCR|7aDMG|9RMIN
32	42235 21331	7	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	167VULN|2RCVC|37TLV|4RMIN|57DMG|7BPWR|89DUR|aRCR
33	24222 35211	9	 * 	275.94	DCR|2VULN|3DMG|2DUR|1TLV|2ASPD	1DMSP|29DUR|3TLV|49VULN|567DMG|89ASPD|9BPWR|aRCR
34	41222 22521	6	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1246VULN|2BPWR|3TLV|5DUR|78DMG|9CGEN|aRCR
35	41163 32216	10	 * 	274.20	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	129VULN|29BPWR|3RPLT|4DUR|59DMG|6TLV|7BEXP|89CDMG|aRCR
36	41222 26231	10	   	273.98	DCR|4VULN|2DUR|1TLV|1CDMG	1246VULN|2BPWR|3TLV|5aDUR|7CDMG|8ASPD|9RCR
37	41332 62242	6	   	273.90	DCR|4VULN|2DMG|1TLV|2LIT	1268VULN|268BPWR|38ZMB|4DUST|56DMG|78LIT|9TLV|aRCR
38	41222 35333	7	   	273.89	DCR|4VULN|2TLV|1DMG|1DUR	1249VULN|2BPWR|38TLV|5DUR|6LIT|7RCR|aDMG
39	24223 21364	9	   	273.53	DCR|4VULN|3DUR|2TLV	1DMSP|257DUR|37TLV|4678VULN|7BPWR|9RCVC|aRCR
