0	Index      	Bounty	 *	Score 	Summary	Detail	
1	56332 16233	8	 * 	294.51	DCR|4VULN|3DMG|1TLV|2CDMG|1SELL	18CDMG|268DMG|3568VULN|4SELL|68BPWR|7RCR|9DMSP|aTLV
2	56332 16211	8	 * 	284.56	DCR|4VULN|3DMG|2CDMG|1DUR|1SELL	18CDMG|268DMG|3568VULN|4SELL|68BPWR|7RCR|9DUR|aZMB
3	56332 16212	8	 * 	284.56	DCR|4VULN|3DMG|2CDMG|1DUR|1SELL	18CDMG|268DMG|3568VULN|4SELL|68BPWR|7RCR|9DUR|aFEWX
4	56332 16223	8	 * 	284.56	DCR|4VULN|3DMG|2CDMG|1DUR|1SELL	18CDMG|268DMG|3568VULN|4SELL|68BPWR|7RCR|9FEWX|aDUR
5	56332 16231	9	 * 	284.56	DCR|4VULN|3DMG|2CDMG|1DUR|1SELL	18CDMG|268DMG|3568VULN|4SELL|68BPWR|7RCR|9DUR|aZMB
6	56332 16231	10	 * 	284.56	DCR|4VULN|3DMG|2CDMG|1DUR|1SELL	18CDMG|268DMG|3568VULN|4SELL|68BPWR|7RCR|9DUR|aFEWX
7	56332 16232	9	 * 	284.56	DCR|4VULN|3DMG|2CDMG|1DUR|1SELL	18CDMG|268DMG|3568VULN|4SELL|68BPWR|7RCR|9DUR|aFEWX
8	56332 16233	10	 * 	284.56	DCR|4VULN|3DMG|2CDMG|1DUR|1SELL	18CDMG|268DMG|3568VULN|4SELL|68BPWR|7RCR|9DUR|aBEXP
9	56332 16232	10	 * 	284.46	DCR|4VULN|3DMG|2CDMG|1DUR|1SELL	18CDMG|268DMG|3568VULN|4SELL|68BPWR|7RCR|9DUR|aERES
10	56332 36233	10	 * 	280.56	DCR|5VULN|2DMG|2CDMG|1AART|1SELL	18CDMG|28DMG|3568aVULN|4SELL|7RCR|8BPWR|9AART
11	56332 36221	8	 * 	278.76	DCR|4VULN|2DMG|1TLV|2CDMG|1SELL	18CDMG|28DMG|3568VULN|4SELL|7RCR|8BPWR|9BEXP|aTLV
12	56332 36221	9	 * 	278.76	DCR|4VULN|2DMG|1TLV|2CDMG|1SELL	18CDMG|28DMG|3568VULN|4SELL|7RCR|8BPWR|9LWND|aTLV
13	56332 36231	8	 * 	278.52	DCR|4VULN|2DMG|1TLV|2CDMG|2SELL	18CDMG|28DMG|3568VULN|49SELL|7RCR|8BPWR|aTLV
14	56332 36231	10	 * 	278.47	DCR|4VULN|2DMG|2CDMG|1DUR|1AART|1SELL	18CDMG|28DMG|3568VULN|4SELL|7RCR|8BPWR|9AART|aDUR
15	56332 36233	9	 * 	278.47	DCR|4VULN|2DMG|2CDMG|1DUR|1AART|1SELL	18CDMG|28DMG|3568VULN|4SELL|7RCR|8BPWR|9AART|aDUR
16	35313 42413	1	 * 	275.87	DCR|3VULN|2DMG|2TLV|2ASPD|1CDMG	18ASPD|2CDMG|38DMG|47TLV|5ZMB|68aVULN|8BPWR|9RCR
17	56333 16233	8	 * 	273.46	DCR|3VULN|3DMG|1TLV|2CDMG|1SELL	18CDMG|268DMG|368VULN|4SELL|5RCVC|68BPWR|7RCR|9DMSP|aTLV
18	13211 33531	3	 * 	273.34	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	1MLV|268DMG|37DUR|4TLV|56VULN|6BPWR|9CDMG|aRCR
19	51114 36263	8	 * 	271.99	DCR|4VULN|2DUR|1TLV|2CDMG	17CDMG|2MBVNT|37DUR|4LEGI|5678VULN|7BPWR|9RCR|aTLV
20	54112 12262	9	 * 	271.10	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	19CDMG|2FEWX|39DUR|4LEGI|5DMG|6TLV|79aVULN|8RCR|9BPWR
21	56332 35113	8	 * 	270.90	DCR|5VULN|2DMG|2CDMG|1SELL	17CDMG|27DMG|3567aVULN|4SELL|7BPWR|8RPLT|9RCR
22	33443 33624	6	   	270.43	DCR|3VULN|2DMG|2TLV|2ASPD	19ASPD|29DMG|35TLV|4LIT|679VULN|8MBVNT|9BPWR|aRCR
23	13412 34124	9	   	270.39	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	18MLV|28DMG|3TLV|47ASPD|568VULN|8BPWR|9DUR|aRCR
24	33441 33624	6	   	268.90	DCR|3VULN|2DMG|1TLV|2ASPD|2LIT	19ASPD|29DMG|3TLV|45LIT|679VULN|8MBVNT|9BPWR|aRCR
25	56332 16221	8	 * 	268.31	DCR|4VULN|3DMG|2CDMG|1SELL	18CDMG|268DMG|3568VULN|4SELL|68BPWR|7RCR|9FEWX|aZMB
26	56332 16222	8	 * 	268.31	DCR|4VULN|3DMG|2CDMG|1SELL	18CDMG|268DMG|3568VULN|4SELL|68BPWR|7RCR|9aFEWX
27	56332 16231	8	 * 	268.31	DCR|4VULN|3DMG|2CDMG|1SELL	18CDMG|268DMG|3568VULN|4SELL|68BPWR|7RCR|9DMSP|aLWND
28	56332 16221	10	 * 	268.21	DCR|4VULN|3DMG|2CDMG|1SELL	18CDMG|268DMG|3568VULN|4SELL|68BPWR|7RCR|9MBVNT|aFEWX
29	56332 16221	9	 * 	268.21	DCR|4VULN|3DMG|2CDMG|1SELL	18CDMG|268DMG|3568VULN|4SELL|68BPWR|7RCR|9MBVNT|aZMB
30	56332 16222	9	 * 	268.21	DCR|4VULN|3DMG|2CDMG|1SELL	18CDMG|268DMG|3568VULN|4SELL|68BPWR|7RCR|9MBVNT|aFEWX
31	56332 16223	10	 * 	268.21	DCR|4VULN|3DMG|2CDMG|1SELL	18CDMG|268DMG|3568VULN|4SELL|68BPWR|7RCR|9MBVNT|aBELT
32	56332 16224	9	 * 	268.21	DCR|4VULN|3DMG|2CDMG|1SELL	18CDMG|268DMG|3568VULN|4SELL|68BPWR|7RCR|9MBVNT|aLWND
33	56332 16232	8	 * 	268.21	DCR|4VULN|3DMG|2CDMG|1SELL	18CDMG|268DMG|3568VULN|4SELL|68BPWR|7RCR|9DMSP|aERES
34	56332 16222	10	 * 	268.11	DCR|4VULN|3DMG|2CDMG|1SELL	18CDMG|268DMG|3568VULN|4SELL|68BPWR|7RCR|9MBVNT|aERES
35	56332 16224	10	 * 	268.11	DCR|4VULN|3DMG|2CDMG|1SELL	18CDMG|268DMG|3568VULN|4SELL|68BPWR|7RCR|9MBVNT|aDUST
36	56332 36211	8	 * 	268.11	DCR|4VULN|3DMG|2CDMG|1SELL	18CDMG|28aDMG|3568VULN|4SELL|7RCR|8BPWR|9ERES
37	56332 13124	6	   	267.55	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG|1SELL	1CDMG|26DMG|356VULN|4SELL|6BPWR|7DUR|8CGEN|9TLV|aRCR
38	56332 16223	7	   	267.55	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG|1SELL	1CDMG|26DMG|356VULN|4SELL|6BPWR|7RCR|8BEXP|9DUR|aTLV
39	33211 65212	3	   	266.25	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR|1CDMG	19ASPD|2DMG|3DUR|4TLV|57aVULN|6RCR|8CDMG
40	33451 61212	3	   	266.25	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR|1CDMG	19ASPD|2DMG|3TLV|45aVULN|6RCR|7DUR|8CDMG
41	51114 36151	9	 * 	265.85	DCR|4VULN|2DUR|1DMG|2CDMG	17CDMG|2MBVNT|37DUR|4LEGI|5679VULN|7BPWR|8DMG|aRCR
42	51114 36221	8	   	265.85	DCR|4VULN|2DUR|1DMG|2CDMG	17CDMG|2MBVNT|37DUR|4LEGI|5678VULN|7BPWR|9DMG|aRCR
43	51321 48612	8	 * 	265.58	DCR|4VULN|2TLV|2CDMG|1DUR	17CDMG|2MBVNT|3DMSP|4DUR|57TLV|678aVULN|7BPWR|9RCR
44	33211 65222	3	   	264.72	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	1ASPD|2DMG|3DUR|4TLV|57aVULN|6RCR|89CDMG
45	33451 61222	3	   	264.72	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	1ASPD|2DMG|3TLV|45aVULN|6RCR|7DUR|89CDMG
46	33451 62132	3	   	264.72	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	1ASPD|2DMG|3TLV|45aVULN|6RCR|78CDMG|9DUR
