0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22641 13363	8	 * 	281.42	DCR|2VULN|3DMG|3TLV|2DUR|1CDMG	19DUR|247TLV|349DMG|49BPWR|5CDMG|6ERES|89VULN|aRCR
2	22641 32312	6	   	281.42	DCR|2VULN|3DMG|2TLV|2DUR|1CDMG	1aDUR|24TLV|347DMG|4BPWR|5CDMG|69VULN|8RCR
3	22341 32315	6	 * 	279.09	DCR|2VULN|3DUR|2DMG|3TLV|1CDMG	14aDUR|249TLV|3RMIN|4aBPWR|5CDMG|6aVULN|7aDMG|8RCR
4	22521 16361	9	 * 	279.00	DCR|4VULN|3DUR|1TLV|1CDMG	16aDUR|2TLV|3CDMG|4RMIN|5689VULN|6BPWR|7RCR
5	22621 33256	3	 * 	278.49	DCR|3VULN|2DMG|2DUR|1TLV|1AART	19DUR|2TLV|39DMG|479VULN|5RMIN|6AART|8RPLT|9BPWR|aRCR
6	22621 33256	4	   	278.49	DCR|3VULN|2DMG|2DUR|1TLV|1AART	19DUR|2TLV|39DMG|479VULN|5RMIN|6AART|8RPLT|9BPWR|aRCR
7	22641 32311	6	   	276.49	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG|1AART	1DUR|24TLV|347DMG|4BPWR|5CDMG|69VULN|8RCR|aAART
8	22641 36323	10	 * 	275.77	DCR|3VULN|2DMG|3TLV|1DUR|1CDMG	1DUR|249TLV|34DMG|4BPWR|5CDMG|68aVULN|7RCR
9	22521 12551	9	   	275.43	DCR|4VULN|2DUR|1TLV|1CDMG|1AART	16DUR|2TLV|3CDMG|4RMIN|569aVULN|6BPWR|7AART|8RCR
10	22521 16361	10	   	274.08	DCR|4VULN|2DUR|1TLV|1CDMG	16DUR|2TLV|3CDMG|4RMIN|5689VULN|6BPWR|7RCR|aASPD
11	22641 36312	8	   	274.07	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	1aDUR|24TLV|34DMG|4BPWR|5CDMG|68VULN|7RCR|9ASPD
12	22661 32312	6	   	273.24	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	1aDUR|2TLV|347DMG|5CDMG|69VULN|8RCR
13	22641 36321	8	 * 	272.07	DCR|2VULN|2DMG|2TLV|2DUR|2CDMG	1aDUR|24TLV|34DMG|4BPWR|59CDMG|68VULN|7RCR
14	22215 14251	3	   	271.16	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG|1AART	159DUR|29TLV|3FEWX|4CDMG|69VULN|7AART|8RCR|9BPWR|aDMG
15	22232 24251	6	   	271.16	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG|1AART	169DUR|29TLV|3FEWX|4CDMG|59VULN|7AART|8RCR|9BPWR|aDMG
16	22235 14251	4	   	271.16	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG|1AART	159DUR|29TLV|3FEWX|4CDMG|69VULN|7AART|8RCR|9BPWR|aDMG
17	16212 52263	1	 * 	271.10	DCR|2VULN|3DMG|1TLV|3CDMG|1DUR|1NUKE	1NUKE|238CDMG|38BPWR|4DUR|58VULN|678DMG|9RCR|aTLV
18	22521 12322	6	   	270.91	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	16aDUR|2TLV|3CDMG|4RMIN|56VULN|6BPWR|79DMG|8RCR
19	24521 53111	10	 * 	269.70	DCR|5VULN|3LIT|1DMG|1DUR	1DUR|24567VULN|346LIT|46BPWR|8DMG|9BEXP|aRCR
20	24521 53121	10	   	269.70	DCR|5VULN|3LIT|1DMG|1DUR	1DUR|24567VULN|346LIT|46BPWR|8DMG|9LWND|aRCR
21	55123 16222	7	 * 	269.62	DCR|4VULN|3TLV|2DUR|1AART|1SELL	1SELL|2AART|3589VULN|468TLV|78DUR|8BPWR|aRCR
