0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63313 62141	6	 * 	289.87	DCR|4VULN|2DMG|2DUR|1TLV	178aVULN|25DUR|37DMG|47CGEN|6RCR|7BPWR|9TLV
2	63311 32421	8	 * 	286.28	DCR|3VULN|3DMG|2TLV|1DUR	189VULN|2DUR|38aDMG|4CGEN|5LIT|68TLV|7RCR|8BPWR
3	63311 32426	8	   	284.28	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	189VULN|2DUR|38DMG|4CGEN|5LIT|68TLV|7RCR|8BPWR|aCDMG
4	35643 31131	6	 * 	281.95	DCR|3VULN|3DUR|2DMG|1TLV	123DUR|268BPWR|468VULN|5BELT|78DMG|9TLV|aRCR
5	63313 62143	6	   	277.13	DCR|3VULN|2DMG|2DUR|1TLV	178VULN|25DUR|37DMG|47CGEN|6RCR|7BPWR|9TLV|aLIT
6	63331 25121	10	   	275.87	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	16aVULN|2DUR|3aDMG|4CDMG|5FEWX|7RCR|8aTLV|9MBVNT|aBPWR
7	63131 72363	6	   	273.92	DCR|3VULN|3DUR|1TLV|1DMG|1AART	147VULN|237DUR|5MBVNT|6RCR|7BPWR|8DMG|9TLV|aAART
8	63131 72722	6	   	273.92	DCR|3VULN|3DUR|1TLV|1DMG|1AART	147VULN|237DUR|5MBVNT|6RCR|7BPWR|8AART|9DMG|aTLV
9	63131 72364	6	 * 	272.34	DCR|3VULN|3DUR|2TLV|1DMG	147VULN|237DUR|5MBVNT|6RCR|7BPWR|8DMG|9aTLV
10	25221 43313	7	   	272.21	DCR|2VULN|3DUR|2DMG|1TLV|2LIT	1RPLT|28DMG|357DUR|48VULN|68LIT|8BPWR|9RCR|aTLV
11	25361 43313	7	   	272.21	DCR|2VULN|3DUR|2DMG|1TLV|2LIT	1RPLT|28DMG|38VULN|457DUR|68LIT|8BPWR|9RCR|aTLV
12	63313 62153	6	   	271.98	DCR|4VULN|2DMG|2DUR	178aVULN|25DUR|37DMG|47CGEN|6RCR|7BPWR|9LIT
13	33311 62826	3	 * 	271.50	DCR|3VULN|3DMG|3DUR	127DUR|378DMG|4MBVNT|5RMIN|678VULN|78BPWR|9FEWX|aRCR
14	33311 62836	3	   	271.40	DCR|3VULN|3DMG|3DUR	127DUR|378DMG|4MBVNT|5RMIN|678VULN|78BPWR|9DUST|aRCR
15	33151 52236	1	 * 	271.10	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	17DUR|267VULN|3TLV|4DMG|57CDMG|7BPWR|8LWND|9DUST|aRCR
16	33151 52336	1	   	271.10	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	17DUR|267VULN|3TLV|4DMG|57CDMG|7BPWR|8FEWX|9DUST|aRCR
17	33151 52531	1	   	271.00	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	17DUR|267VULN|3TLV|4DMG|57CDMG|7BPWR|8BBNT|9TBNT|aRCR
18	63311 32422	8	   	270.63	DCR|3VULN|2DMG|2TLV|1DUR	189VULN|2DUR|38DMG|4aCGEN|5LIT|68TLV|7RCR|8BPWR
19	63311 32423	8	   	270.63	DCR|3VULN|2DMG|2TLV|1DUR	189VULN|2DUR|38DMG|4CGEN|5LIT|68TLV|7RCR|8BPWR|aMLV
20	63311 32434	10	   	270.63	DCR|3VULN|2DMG|2TLV|1DUR	18aVULN|2DUR|38DMG|4CGEN|5LIT|68TLV|7RCR|8BPWR|9LWND
21	63311 32424	10	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	18aVULN|2DUR|38DMG|4CGEN|5LIT|68TLV|7RCR|8BPWR|9DUST
22	63311 32424	8	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	189VULN|2DUR|38DMG|4CGEN|5LIT|68TLV|7RCR|8BPWR|aBBNT
23	63311 32425	8	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	189VULN|2DUR|38DMG|4CGEN|5LIT|68TLV|7RCR|8BPWR|aMBVNT
24	63311 32451	10	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	18aVULN|2DUR|38DMG|4CGEN|5LIT|68TLV|7RCR|8BPWR|9ERES
25	63311 32415	9	 * 	270.18	DCR|2VULN|2DMG|2TLV|2DUR|1AART	18VULN|2aDUR|38DMG|4CGEN|5LIT|68TLV|7RCR|8BPWR|9AART
