0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24316 26112	10	 * 	267.83	DCR|3VULN|2DMG|2TLV|1CDMG	18ERES|24DMG|389VULN|5LIT|6CDMG|78TLV|8BPWR|aRCR
2	24316 31253	8	   	254.30	DCR|3VULN|2DMG|1TLV	1ERES|24DMG|36aVULN|5LIT|7RCR|8ASPD|9TLV
3	53312 53352	5	 * 	253.64	DCR|3VULN|3DMG|1TLV	17MLV|2CGEN|379VULN|457DMG|6BELT|7BPWR|8RCR|aTLV
4	54312 36111	10	   	253.44	DCR|3VULN|3DMG|1TLV	1MLV|245DMG|379VULN|6RCR|8BEXP|aTLV
5	13412 32112	9	 * 	253.42	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	17FEWX|2MLV|378DUR|4TLV|5DMG|67VULN|7BPWR|9CDMG|aRCR
6	51412 32112	9	   	253.42	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	17MLV|2BEXP|378DUR|4TLV|5DMG|67VULN|7BPWR|9CDMG|aRCR
7	52412 32112	9	   	253.42	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	17MLV|2FEWX|378DUR|4TLV|5DMG|67VULN|7BPWR|9CDMG|aRCR
8	55212 32112	9	   	253.42	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	17MLV|2LWND|378DUR|4TLV|5DMG|67VULN|7BPWR|9CDMG|aRCR
9	21412 52112	9	   	253.22	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	17ERES|2BEXP|378DUR|4TLV|5DMG|67VULN|7BPWR|9CDMG|aRCR
10	22412 52112	9	   	253.22	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	17ERES|2FEWX|378DUR|4TLV|5DMG|67VULN|7BPWR|9CDMG|aRCR
11	23221 54632	1	 * 	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	18ERES|28DUR|3BELT|46TLV|5CDMG|78aVULN|8BPWR|9RCR
12	55212 32513	10	 * 	252.44	DCR|2VULN|2DMG|2DUR|1TLV	17MLV|2LWND|37DUR|4TLV|5aDMG|67VULN|7BPWR|8ASPD|9RCR
13	55212 32513	9	   	252.44	DCR|2VULN|2DMG|2DUR|1TLV	17MLV|2LWND|37DUR|4TLV|5aDMG|67VULN|7BPWR|8ASPD|9RCR
14	54312 21611	9	   	251.80	DCR|3VULN|3DMG|1DUR	1MLV|245DMG|38aVULN|6LIT|7DUR|9RCR
15	24312 21611	9	   	251.70	DCR|3VULN|3DMG|1DUR	1ERES|245DMG|38aVULN|6LIT|7DUR|9RCR
16	24312 21615	10	   	251.70	DCR|3VULN|3DMG|1DUR	1ERES|245DMG|38aVULN|6LIT|7DUR|9RCR
17	55212 32131	7	 * 	251.14	DCR|3VULN|2DUR|1TLV|1DMG	17MLV|2LWND|37DUR|4TLV|5DMG|67aVULN|7BPWR|8DLOT|9RCR
18	24226 13353	2	   	250.61	DCR|2VULN|3DMG|1TLV|1CDMG	1ERES|24aDMG|3ASPD|5CDMG|6RCR|7TLV|89VULN
19	24316 31421	7	   	249.69	DCR|3VULN|2DMG|1DUR|1CDMG	1ERES|24DMG|36aVULN|5LIT|7RCR|8DUR|9CDMG
20	53313 54233	9	 * 	249.56	DCR|4VULN|1TLV|1DMG	1MLV|2CGEN|357aVULN|4DMG|6LIT|8TLV|9RCR
21	53313 54233	10	   	249.56	DCR|4VULN|1TLV|1DMG	1MLV|2CGEN|357aVULN|4DMG|6LIT|8TLV|9RCR
22	23313 54233	9	   	249.46	DCR|4VULN|1TLV|1DMG	1ERES|2CGEN|357aVULN|4DMG|6LIT|8TLV|9RCR
23	23313 54233	10	   	249.46	DCR|4VULN|1TLV|1DMG	1ERES|2CGEN|357aVULN|4DMG|6LIT|8TLV|9RCR
24	14342 35121	6	   	248.71	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	1FEWX|23LIT|4TLV|59aVULN|6CDMG|7RCR|8DMG
25	23153 21343	1	 * 	247.03	DCR|2VULN|3DMG|2DUR|1CDMG	14aERES|25DUR|35aDMG|5aBPWR|6RCR|7CDMG|8FEWX|9aVULN
26	23153 21443	1	   	247.03	DCR|2VULN|3DMG|2DUR|1CDMG	14aERES|25DUR|35aDMG|5aBPWR|6RCR|7CDMG|8LHND|9aVULN
27	23153 21243	1	   	246.93	DCR|2VULN|3DMG|2DUR|1CDMG	14aERES|25DUR|35aDMG|5aBPWR|6RCR|7CDMG|8DUST|9aVULN
28	24132 14143	4	 * 	246.10	DCR|2VULN|2DMG|2DUR|2CDMG	1ERES|2aDMG|3ZMB|45CDMG|6RCR|7aDUR|8ASPD|9aVULN|aBPWR
29	53312 54233	10	   	246.10	DCR|3VULN|2DMG|1TLV	1MLV|2CGEN|37aVULN|45DMG|6LIT|8TLV|9RCR
30	53312 54233	9	   	246.10	DCR|3VULN|2DMG|1TLV	1MLV|2CGEN|37aVULN|45DMG|6LIT|8TLV|9RCR
31	24362 33124	3	 * 	246.09	DCR|4VULN|2DMG|1CDMG	1ERES|2aDMG|3567VULN|4CDMG|8TBNT|9RCR
32	24316 31253	7	   	246.00	DCR|3VULN|2DMG|1TLV	1ERES|24DMG|36aVULN|5LIT|7RCR|8MLV|9TLV
33	54313 53233	9	   	246.00	DCR|3VULN|2DMG|1TLV	1MLV|24DMG|37aVULN|5ERES|6LIT|8TLV|9RCR
34	54313 53233	10	   	246.00	DCR|3VULN|2DMG|1TLV	1MLV|24DMG|37aVULN|5ERES|6LIT|8TLV|9RCR
35	23312 54233	9	   	246.00	DCR|3VULN|2DMG|1TLV	1ERES|2CGEN|37aVULN|45DMG|6LIT|8TLV|9RCR
36	23312 54233	10	   	246.00	DCR|3VULN|2DMG|1TLV	1ERES|2CGEN|37aVULN|45DMG|6LIT|8TLV|9RCR
37	24316 34233	10	   	246.00	DCR|3VULN|2DMG|1TLV	1ERES|24DMG|36aVULN|5LIT|7RMIN|8TLV|9RCR
38	24316 34233	9	   	246.00	DCR|3VULN|2DMG|1TLV	1ERES|24DMG|36aVULN|5LIT|7RMIN|8TLV|9RCR
39	24316 31613	10	   	245.90	DCR|3VULN|2DMG|1TLV|1NUKE	1ERES|24DMG|36aVULN|5LIT|7RCR|8TLV|9NUKE
40	24316 31613	9	   	245.90	DCR|3VULN|2DMG|1TLV|1NUKE	1ERES|24DMG|36aVULN|5LIT|7RCR|8TLV|9NUKE
41	24316 63233	10	   	245.90	DCR|3VULN|2DMG|1TLV|1NUKE	1ERES|24DMG|37aVULN|5LIT|6NUKE|8TLV|9RCR
42	24316 63233	9	   	245.90	DCR|3VULN|2DMG|1TLV|1NUKE	1ERES|24DMG|37aVULN|5LIT|6NUKE|8TLV|9RCR
43	54312 23511	9	   	245.36	DCR|2VULN|3DMG|1TLV	1MLV|245DMG|3aVULN|6LIT|7TLV|8ASPD|9RCR
44	24312 23511	9	   	245.26	DCR|2VULN|3DMG|1TLV	1ERES|245DMG|3aVULN|6LIT|7TLV|8ASPD|9RCR
45	24312 23515	10	   	245.26	DCR|2VULN|3DMG|1TLV	1ERES|245DMG|3aVULN|6LIT|7TLV|8ASPD|9RCR
46	24213 23114	2	   	244.90	DCR|2VULN|3DMG|1TLV|2ASPD	1ERES|258DMG|35ASPD|4RMIN|5BPWR|6RCR|7TLV|9aVULN
47	53221 13632	1	   	244.82	DCR|3VULN|2DUR|1TLV|1CDMG	18MLV|28DUR|3BELT|4TLV|5CDMG|68aVULN|7DMSP|8BPWR|9RCR
48	53221 24632	1	   	244.82	DCR|3VULN|2DUR|1TLV|1CDMG	18MLV|28DUR|3BELT|4TLV|5CDMG|6DMSP|78aVULN|8BPWR|9RCR
49	24312 34611	10	   	244.80	DCR|2VULN|3DMG|1TLV|1DUR	17ERES|245DMG|39VULN|6RCR|8DUR|aTLV
50	12311 61355	9	   	244.73	DCR|3VULN|2TLV|1DMG|1DUR	129FEWX|3RPLT|49aVULN|5DMG|6RCR|7DUR|89TLV|9BPWR
51	12311 61365	8	   	244.73	DCR|3VULN|2TLV|1DMG|1DUR	129FEWX|3RPLT|49aVULN|5DMG|6RCR|7DUR|89TLV|9BPWR
52	23313 54236	10	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1ERES|2CGEN|357VULN|4DMG|6LIT|8TLV|9RCR|aDUR
53	23221 13632	1	   	244.62	DCR|3VULN|2DUR|1TLV|1CDMG	18ERES|28DUR|3BELT|4TLV|5CDMG|68aVULN|7DMSP|8BPWR|9RCR
54	23221 24632	1	   	244.62	DCR|3VULN|2DUR|1TLV|1CDMG	18ERES|28DUR|3BELT|4TLV|5CDMG|6DMSP|78aVULN|8BPWR|9RCR
55	53221 14332	1	   	244.62	DCR|3VULN|2DUR|1TLV|1CDMG	1MLV|27DUR|3BELT|4TLV|5CDMG|68aVULN|9RCR
56	11661 14133	2	 * 	244.40	DCR|3VULN|3DUR|1TLV	19FEWX|29LWND|38aVULN|4TLV|579DUR|6RCR|9BPWR
57	24316 31261	10	   	244.35	DCR|3VULN|2DMG|1DUR	1ERES|24DMG|36aVULN|5LIT|7RCR|8ASPD|9DUR
58	23153 23354	1	   	243.83	DCR|2VULN|2DMG|2DUR|1TLV	14ERES|25DUR|35DMG|5BPWR|6RCR|7TLV|8RPLT|9aVULN
