0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23335 47224	9	 * 	297.64	DCR|3VULN|3DUR|2DMG|3ASPD	18aVULN|28aASPD|3MBVNT|458DUR|6RPLT|7RCR|8aBPWR|9aDMG
2	23334 17217	3	 * 	292.45	DCR|5VULN|3DUR|2ASPD	14789VULN|29ASPD|3MBVNT|569DUR|9BPWR|aRCR
3	34333 23214	7	 * 	291.68	DCR|4VULN|3DMG|2DUR	139DUST|23DUR|39BPWR|459DMG|6789VULN|aRCR
4	15653 32322	9	   	291.08	DCR|4VULN|2DMG|2DUR|2LIT	18DUR|26LIT|3RPLT|489aVULN|58DMG|7RCR|8BPWR
5	21221 23626	2	   	286.98	DCR|4VULN|2DMG|2DUR|1ASPD|1SELL	1239VULN|29BPWR|4SELL|5ASPD|69DUR|79DMG|8RPLT|aRCR
6	21333 31411	6	   	285.56	DCR|4VULN|3DMG|2LIT	1259VULN|29BPWR|3FEWX|479DMG|6AART|89LIT|aRCR
7	21333 33411	7	   	285.56	DCR|4VULN|3DMG|2LIT	1259VULN|29BPWR|3FEWX|479DMG|6AART|89LIT|aRCR
8	21133 24411	7	   	285.46	DCR|4VULN|3DMG|2LIT	1269VULN|29BPWR|3DUST|459DMG|7AART|89LIT|aRCR
9	23113 22121	7	 * 	284.70	DCR|5VULN|2ASPD|2CDMG|1TLV	1569aVULN|2aASPD|3TLV|4MLV|7RCR|8aCDMG|aBPWR
10	21357 24147	8	   	282.96	DCR|3VULN|3DUR|2DMG|1TLV	127VULN|27BPWR|3FEWX|4MBVNT|578DUR|67DMG|9RCR|aTLV
11	21357 24447	7	   	282.96	DCR|3VULN|3DUR|2DMG|1TLV	127VULN|27BPWR|3FEWX|4MBVNT|578DUR|67DMG|9RCR|aTLV
12	21636 13133	9	   	280.82	DCR|5VULN|2CDMG|2AART|1DUR	12478VULN|27BPWR|35AART|67CDMG|9RCR|aDUR
13	21333 26414	6	 * 	280.58	DCR|5VULN|3DMG	12569VULN|29BPWR|3FEWX|479DMG|89LWND|aRCR
14	21333 61214	5	   	280.58	DCR|5VULN|3DMG	12589VULN|29BPWR|3FEWX|469DMG|79BEXP|aRCR
15	21133 13214	7	   	280.48	DCR|5VULN|3DMG	12789VULN|29BPWR|3DUST|459DMG|69FEWX|aRCR
16	21133 21214	6	   	280.48	DCR|5VULN|3DMG	12689VULN|29BPWR|3DUST|459DMG|79BEXP|aRCR
17	21133 25214	6	   	280.48	DCR|5VULN|3DMG	12689VULN|29BPWR|3DUST|459DMG|79FEWX|aRCR
18	21134 61214	5	   	280.48	DCR|5VULN|3DMG	12589VULN|29BPWR|3DUST|469DMG|79BEXP|aRCR
19	21216 23211	2	   	278.38	DCR|5VULN|2DMG|1CDMG	1234aVULN|24BPWR|57DMG|6BELT|8CDMG|9RCR
20	21211 26462	2	   	278.38	DCR|5VULN|2DMG|1CDMG	12348VULN|24BPWR|5LHND|69DMG|7CDMG|aRCR
21	21212 26462	2	   	278.38	DCR|5VULN|2DMG|1CDMG	12348VULN|24BPWR|5LWND|69DMG|7CDMG|aRCR
22	21134 26362	6	   	278.28	DCR|5VULN|2DMG|1CDMG	12568VULN|2BPWR|3DUST|49DMG|7CDMG|aRCR
23	21213 26362	2	   	278.28	DCR|5VULN|2DMG|1CDMG	12348VULN|24BPWR|5DUST|69DMG|7CDMG|aRCR
24	15653 32321	10	   	278.10	DCR|3VULN|2DMG|2DUR|2LIT	18DUR|26LIT|3RPLT|489VULN|58DMG|7RCR|8BPWR|aAART
25	21216 23143	2	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	1234VULN|24BPWR|57DMG|6BELT|8TLV|9RCR|aDUR
26	21216 23623	2	   	277.09	DCR|4VULN|3DMG|1DUR	1234VULN|24BPWR|578DMG|6BELT|9DUR|aRCR
27	21214 52162	2	   	276.94	DCR|5VULN|1DMG|1TLV|1CDMG	12347VULN|24BPWR|5CDMG|6TLV|8DMG|9ERES|aRCR
28	21214 52252	2	   	276.94	DCR|5VULN|1DMG|1TLV|1CDMG	12347VULN|24BPWR|5CDMG|6TLV|8ERES|9DMG|aRCR
