0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21351 84323	6	 * 	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1TLV|2RMIN|3679VULN|46DUR|5MBVNT|6BPWR|8DMG|aRCR
2	35313 25631	8	 * 	274.25	DCR|3VULN|2DMG|2DUR|1ASPD|1AART	19DUR|279VULN|3LWND|4RPLT|5AART|6ASPD|89DMG|9BPWR|aRCR
3	21315 13352	1	 * 	272.61	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	19TLV|2RPLT|3DUR|49aVULN|5CGEN|6CDMG|79DMG|8RCR|9BPWR
4	22531 52352	10	 * 	271.92	DCR|3VULN|3DMG|3TLV|1CDMG	12aTLV|2aBPWR|3CDMG|4RCVC|59aVULN|68aDMG|7RCR
5	21351 84363	6	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	1TLV|2RMIN|367VULN|46DUR|5MBVNT|6BPWR|89DMG|aRCR
6	61362 13632	3	 * 	269.48	DCR|3VULN|2DUR|3LIT|2AART|1TLV	12AART|37aVULN|467LIT|57DUR|7BPWR|8RCR|9TLV
7	55113 25313	6	 * 	269.19	DCR|3VULN|3DUR|2TLV|1DMG	1RPLT|2RMIN|357DUR|457VULN|57BPWR|67TLV|8BBNT|9RCR|aDMG
8	35315 13352	1	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	19DUR|2MLV|3RPLT|49aVULN|5CGEN|6CDMG|79DMG|8RCR|9BPWR
9	22126 62351	6	 * 	266.88	DCR|4VULN|2TLV|1DMG|1ASPD	12TLV|2BPWR|3LIT|457aVULN|6RCR|8DMG|9ASPD
10	21351 84334	6	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|2RMIN|367VULN|46DUR|5MBVNT|6BPWR|8DMG|9CDMG|aRCR
11	21351 86412	8	   	264.40	DCR|3VULN|2DUR|2TLV|2LIT|1CDMG	1aTLV|2RMIN|36aVULN|46DUR|5MBVNT|6aBPWR|7RCR|8CDMG|9aLIT
12	33226 14771	2	 * 	263.79	ACR|4VULN|2DMG|2DUR|2CDMG	18DUR|2RCR|36CDMG|489aVULN|5MBVNT|78DMG|8BPWR
13	35313 15631	8	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	19DUR|279VULN|3LWND|4RPLT|5AART|6ZMB|89DMG|9BPWR|aRCR
14	54323 33352	6	 * 	262.89	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV	1RPLT|29CDMG|3CGEN|49DUR|5TLV|6aVULN|79DMG|8RCR|9BPWR
15	35133 13632	3	   	261.71	DCR|3VULN|2DUR|3LIT|1TLV|1AART	17DUR|27aVULN|3DMSP|4AART|567LIT|7BPWR|8RCR|9TLV
16	35333 13632	2	   	261.71	DCR|3VULN|2DUR|3LIT|1TLV|1AART	17DUR|27aVULN|3RCVC|4AART|567LIT|7BPWR|8RCR|9TLV
17	21315 13354	1	 * 	260.29	DCR|2VULN|2DMG|2DUR|2TLV|1CDMG	19TLV|2RPLT|3aDUR|49VULN|5CGEN|6CDMG|79DMG|8RCR|9BPWR
18	23352 13354	5	   	260.19	DCR|2VULN|2DMG|2DUR|2TLV|1CDMG	19TLV|2ERES|39VULN|4aDUR|5RPLT|6CDMG|79DMG|8RCR|9BPWR
19	22238 33534	4	 * 	260.13	DCR|3VULN|3DUR|3TLV|1ASPD	129TLV|29aBPWR|39aDUR|4MBVNT|5ASPD|6RCR|7aCGEN|89aVULN
