0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41132 13426	1	 * 	270.37	DCR|5VULN|2DUR|1TLV	1348aVULN|24aDUST|4aBPWR|5TLV|6LHND|7aDUR|9RCR
2	44333 41374	8	   	266.98	DCR|4VULN|2DUR|1TLV|2LIT	1689VULN|28LIT|3BEXP|4MBVNT|5TLV|78DUR|8BPWR|aRCR
3	41132 43263	1	 * 	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1349VULN|24DUST|4BPWR|5TLV|6RCR|7DUR|8LIT|aDMG
4	41132 43413	1	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1348VULN|24DUST|4BPWR|5TLV|6RCR|7DUR|9LIT|aDMG
5	44216 23133	10	 * 	260.67	DCR|2VULN|2DMG|3TLV|2AART|1CDMG	18VULN|2LIT|348TLV|57AART|68DMG|8BPWR|9CDMG|aRCR
6	45132 43213	1	 * 	259.44	DCR|3VULN|2DUR|1TLV|1DMG	134VULN|24FEWX|4BPWR|5TLV|6RCR|79DUR|8LIT|aDMG
7	46132 43213	2	   	259.44	DCR|3VULN|2DUR|1TLV|1DMG	134VULN|24BEXP|4BPWR|5TLV|6RCR|79DUR|8LIT|aDMG
8	46132 43213	1	   	259.44	DCR|3VULN|2DUR|1TLV|1DMG	134VULN|24BEXP|4BPWR|5TLV|6RCR|79DUR|8LIT|aDMG
9	41132 43252	1	   	259.30	DCR|4VULN|1TLV|1DUR|1CDMG	134aVULN|24DUST|4BPWR|5TLV|6RCR|7DUR|8LIT|9CDMG
10	41132 43213	1	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	134VULN|24DUST|4BPWR|5TLV|6RCR|79DUR|8LIT|aDMG
11	45132 43213	2	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	134VULN|24DUST|4BPWR|5TLV|6RCR|79DUR|8LIT|aDMG
12	42333 22254	10	 * 	259.07	DCR|3VULN|2TLV|2DUR|1DMG|1SELL	19aVULN|2RMIN|39DUR|4BEXP|5DMG|6RCR|79TLV|8SELL|9BPWR
13	42323 22254	10	 * 	258.97	DCR|3VULN|2TLV|2DUR|1DMG|1SELL	19aVULN|2RMIN|39DUR|4DUST|5DMG|6RCR|79TLV|8SELL|9BPWR
14	42313 23156	10	 * 	258.27	DCR|3VULN|3DMG|2DUR	18aVULN|2RMIN|37DUR|4aFEWX|59aDMG|6RCR|aBPWR
15	42333 23156	10	   	258.27	DCR|3VULN|3DMG|2DUR	18aVULN|2RMIN|37DUR|4aBEXP|59aDMG|6RCR|aBPWR
16	42323 23152	10	   	258.07	DCR|3VULN|3DMG|2DUR	18aVULN|2RMIN|37DUR|4aDUST|59aDMG|6RCR|aBPWR
17	45132 33422	1	   	257.60	DCR|4VULN|1TLV|1DMG|1DUR	1348VULN|24FEWX|4BPWR|5TLV|6BEXP|7DUR|9RCR|aDMG
18	41132 33422	1	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1348VULN|24DUST|4BPWR|5TLV|6BEXP|7DUR|9RCR|aDMG
19	42114 23422	1	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1368VULN|2LEGI|4FEWX|5TLV|7DUR|9RCR|aDMG
20	45132 33422	2	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1348VULN|24DUST|4BPWR|5TLV|6BEXP|7DUR|9RCR|aDMG
21	41134 32322	1	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1345VULN|24DUST|4BPWR|6FEWX|7TLV|8DUR|9RCR|aDMG
22	45134 32322	2	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1345VULN|24DUST|4BPWR|6FEWX|7TLV|8DUR|9RCR|aDMG
23	43336 24444	8	   	255.83	DCR|3VULN|2DMG|2DUR|1CDMG|1SELL	159VULN|2SELL|39DUR|4CDMG|6DUST|7MBVNT|89DMG|9BPWR|aRCR
24	43331 32356	6	 * 	255.81	DCR|2VULN|3DUR|2TLV|2CDMG|1SELL	1aVULN|2SELL|38aDUR|46CDMG|5ASPD|7aTLV|9RCR|aBPWR
25	42343 23422	2	 * 	254.04	DCR|3VULN|2DMG|1TLV|1DUR	168VULN|2RMIN|3FEWX|4TLV|5aDMG|7DUR|9RCR
26	44212 41374	8	 * 	254.01	DCR|3VULN|2TLV|2DUR|2LIT	189VULN|28LIT|34TLV|5MBVNT|6LHND|78DUR|8BPWR|aRCR
27	44216 11133	10	   	252.89	DCR|2VULN|2DMG|3TLV|1CDMG|1AART	18VULN|2LIT|348TLV|5AART|6DMSP|78DMG|8BPWR|9CDMG|aRCR
28	41132 43251	1	   	252.83	DCR|3VULN|2DUR|1TLV|1CDMG	134VULN|24DUST|4BPWR|5TLV|6RCR|7aDUR|8LIT|9CDMG
29	24511 13322	8	   	252.61	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	1LHND|28LIT|3ASPD|4TLV|58DMG|6DUR|78VULN|8BPWR|9TBNT|aRCR
30	43163 12232	9	 * 	252.46	DCR|3VULN|3DUR|1TLV|1SELL	17aVULN|2SELL|3aLWND|4LIT|5TLV|68aDUR|9RCR|aBPWR
31	43363 32232	9	 * 	252.46	DCR|3VULN|3DUR|1TLV|1SELL	17aVULN|2SELL|38aDUR|4LIT|5TLV|6aLWND|9RCR|aBPWR
32	45132 13226	1	   	252.32	DCR|4VULN|2DUR|1TLV	134aVULN|24aFEWX|4aBPWR|5TLV|6LHND|7aDUR|8DMSP|9RCR
33	45132 13326	1	   	252.32	DCR|4VULN|2DUR|1TLV	134aVULN|24aFEWX|4aBPWR|5TLV|68LHND|7aDUR|9RCR
34	46132 13226	1	   	252.32	DCR|4VULN|2DUR|1TLV	134aVULN|24aBEXP|4aBPWR|5TLV|6LHND|7aDUR|8DMSP|9RCR
35	46132 13226	2	   	252.32	DCR|4VULN|2DUR|1TLV	134aVULN|24aBEXP|4aBPWR|5TLV|6LHND|7aDUR|8DMSP|9RCR
36	46132 13326	1	   	252.32	DCR|4VULN|2DUR|1TLV	134aVULN|24aBEXP|4aBPWR|5TLV|68LHND|7aDUR|9RCR
37	46132 13326	2	   	252.32	DCR|4VULN|2DUR|1TLV	134aVULN|24aBEXP|4aBPWR|5TLV|68LHND|7aDUR|9RCR
38	41132 13226	1	   	252.02	DCR|4VULN|2DUR|1TLV	134aVULN|24aDUST|4aBPWR|5TLV|6LHND|7aDUR|8DMSP|9RCR
39	41132 13326	1	   	252.02	DCR|4VULN|2DUR|1TLV	134aVULN|24aDUST|4aBPWR|5TLV|68LHND|7aDUR|9RCR
40	45132 13226	2	   	252.02	DCR|4VULN|2DUR|1TLV	134aVULN|24aDUST|4aBPWR|5TLV|6LHND|7aDUR|8DMSP|9RCR
41	45132 13326	2	   	252.02	DCR|4VULN|2DUR|1TLV	134aVULN|24aDUST|4aBPWR|5TLV|68LHND|7aDUR|9RCR
42	45121 52123	1	   	252.02	DCR|4VULN|2DUR|1TLV	1358VULN|25FEWX|4TBNT|5BPWR|6TLV|79DUR|aRCR
43	45132 52123	1	   	252.02	DCR|4VULN|2DUR|1TLV	1348VULN|24FEWX|4BPWR|5TLV|6BBNT|79DUR|aRCR
44	46121 52123	1	   	252.02	DCR|4VULN|2DUR|1TLV	1358VULN|25BEXP|4TBNT|5BPWR|6TLV|79DUR|aRCR
45	46121 52123	2	   	252.02	DCR|4VULN|2DUR|1TLV	1358VULN|25BEXP|4TBNT|5BPWR|6TLV|79DUR|aRCR
46	46132 52123	1	   	252.02	DCR|4VULN|2DUR|1TLV	1348VULN|24BEXP|4BPWR|5TLV|6BBNT|79DUR|aRCR
47	46132 52123	2	   	252.02	DCR|4VULN|2DUR|1TLV	1348VULN|24BEXP|4BPWR|5TLV|6BBNT|79DUR|aRCR
48	41132 33425	1	   	251.92	DCR|4VULN|2DUR|1TLV	1348VULN|24DUST|4BPWR|5TLV|6BEXP|7aDUR|9RCR
49	41134 32325	1	   	251.92	DCR|4VULN|2DUR|1TLV	1345VULN|24DUST|4BPWR|6FEWX|7TLV|8aDUR|9RCR
50	41132 46122	1	   	251.82	DCR|4VULN|2DUR|1TLV	1348VULN|24DUST|4BPWR|5TLV|6RCR|7BBNT|9aDUR
51	43331 42113	3	   	251.78	DCR|4VULN|2DUR|1TLV|1SELL	1569VULN|2SELL|34DUR|7TLV|8CGEN|aRCR
52	43431 42113	2	   	251.78	DCR|4VULN|2DUR|1TLV|1SELL	1569VULN|2SELL|34DUR|7TLV|8CGEN|aRCR
53	42343 26123	3	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	168VULN|2RMIN|39DUR|4TLV|5DMG|7BBNT|aRCR
54	42343 22413	3	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	169VULN|2RMIN|3DUR|4TLV|5DMG|7CGEN|8CDMG|aRCR
55	42343 23423	2	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	168VULN|2RMIN|3FEWX|4TLV|5DMG|7DUR|9RCR|aCDMG
56	12313 34413	1	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1ERES|2CGEN|3TLV|4CDMG|5DUR|689VULN|7DMG|aRCR
57	13313 34413	2	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1ERES|2CGEN|3TLV|4CDMG|5DUR|689VULN|7DMG|aRCR
58	15112 22413	1	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1ERES|2CDMG|3ZMB|4DUR|5DMG|6TLV|789VULN|aRCR
59	46132 41233	1	   	249.66	DCR|4VULN|1TLV|1DMG	1349VULN|24BEXP|4BPWR|5TLV|6RCR|7LWND|8LIT|aDMG
60	46132 41233	2	   	249.66	DCR|4VULN|1TLV|1DMG	1349VULN|24BEXP|4BPWR|5TLV|6RCR|7LWND|8LIT|aDMG
61	43322 65332	4	 * 	249.50	DCR|2VULN|3DUR|2TLV|1CDMG|1SELL	17VULN|2SELL|379DUR|4RPLT|57TLV|6RCR|7BPWR|8CDMG|aLIT
62	41132 41263	1	   	249.46	DCR|4VULN|1TLV|1DMG	1349VULN|24DUST|4BPWR|5TLV|6RCR|7LWND|8LIT|aDMG
63	41132 45233	1	   	249.46	DCR|4VULN|1TLV|1DMG	1349VULN|24DUST|4BPWR|5TLV|6RCR|7BEXP|8LIT|aDMG
64	41132 41413	1	   	249.46	DCR|4VULN|1TLV|1DMG	1348VULN|24DUST|4BPWR|5TLV|6RCR|7LWND|9LIT|aDMG
65	43331 51216	9	   	249.30	DCR|2VULN|2DMG|2DUR|1CDMG|1AART|1SELL	1aVULN|2SELL|3aDUR|4CDMG|5ASPD|6RCR|7RCVC|8aDMG|9AART|aBPWR
66	43331 53216	9	   	249.30	DCR|2VULN|2DMG|2DUR|1CDMG|1AART|1SELL	1aVULN|2SELL|3aDUR|4CDMG|5ASPD|6RCR|7DMSP|8aDMG|9AART|aBPWR
67	43331 42533	2	 * 	249.09	DCR|4VULN|2TLV|1DMG|1SELL	1568VULN|2SELL|3MLV|47TLV|9DMG|aRCR
68	41163 23422	1	 * 	248.79	DCR|4VULN|2DMG|1DUR	1368VULN|2DUST|4FEWX|5aDMG|7DUR|9RCR
69	42113 23422	1	   	248.79	DCR|4VULN|2DMG|1DUR	1368VULN|2LEGI|4FEWX|5aDMG|7DUR|9RCR
70	43313 51262	10	   	248.67	DCR|3VULN|2TLV|2DUR|1AART|1SELL	19aVULN|2SELL|35DUR|4AART|6RCR|7aFEWX|8aTLV|aBPWR
71	43313 23125	5	   	248.47	DCR|3VULN|2TLV|2DUR|1AART|1SELL	18aVULN|2SELL|35DUR|4AART|67TLV|9RCR
72	44111 43223	2	 * 	248.37	DCR|3VULN|1TLV|3LIT|1DMG	137VULN|256LIT|4TLV|8DMG|9RCR|aASPD
73	44231 43223	4	   	248.37	DCR|3VULN|1TLV|3LIT|1DMG	167VULN|245LIT|3TLV|8DMG|9RCR|aASPD
74	44232 43223	4	   	248.37	DCR|3VULN|1TLV|3LIT|1DMG	157VULN|246LIT|3TLV|8DMG|9RCR|aASPD
75	42333 22255	10	 * 	248.03	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG|1SELL	19VULN|2RMIN|39DUR|4BEXP|5DMG|6RCR|79TLV|8SELL|9BPWR|aCDMG
76	42323 22255	10	 * 	247.93	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG|1SELL	19VULN|2RMIN|39DUR|4DUST|5DMG|6RCR|79TLV|8SELL|9BPWR|aCDMG
77	41132 44221	1	   	247.91	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	134VULN|24DUST|4BPWR|5TLV|6RCR|7LIT|8AART|9CDMG|aDUR
78	44211 13162	10	 * 	247.46	DCR|3VULN|3TLV|2DUR	18aVULN|2LIT|347TLV|5aLHND|6aDUR|9RCR|aBPWR
79	43122 12243	2	 * 	246.99	DCR|4VULN|2TLV|1AART|1SELL	1478VULN|2SELL|3AART|48BPWR|5TBNT|68TLV|9ASPD|aRCR
80	16344 21333	6	 * 	246.67	DCR|5VULN|3ASPD|1AART	178ERES|278ASPD|3678aVULN|4AART|5RCVC|78BPWR|9RCR
81	16346 21333	6	   	246.67	DCR|5VULN|3ASPD|1AART	178ERES|278ASPD|3678aVULN|4AART|5DMSP|78BPWR|9RCR
82	33362 42274	9	 * 	246.12	DCR|3VULN|3DUR|1DMG|1SELL	189DUST|2SELL|389DUR|4LIT|5MBVNT|6DMG|789VULN|89BPWR|aRCR
83	43124 22114	2	 * 	246.10	DCR|3VULN|2TLV|2CDMG|1AART|1SELL	149VULN|2SELL|3AART|49BPWR|5LIT|69CDMG|79TLV|8RPLT|aRCR
84	44333 41334	9	   	245.93	DCR|3VULN|2DUR|1TLV|2LIT	168VULN|28LIT|39BEXP|4MBVNT|5TLV|78DUR|8BPWR|aRCR
85	43114 21114	2	   	245.88	DCR|2VULN|2DMG|1TLV|2LIT|1AART|1SELL	19VULN|2SELL|3AART|4ASPD|59DMG|6TLV|7ZMB|89LIT|9BPWR|aRCR
86	43163 12132	9	   	245.78	DCR|3VULN|2DUR|1TLV|2LIT|1SELL	17aVULN|2SELL|3aLWND|48LIT|5TLV|6aDUR|9RCR|aBPWR
87	43363 32132	9	   	245.78	DCR|3VULN|2DUR|1TLV|2LIT|1SELL	17aVULN|2SELL|3aDUR|48LIT|5TLV|6aLWND|9RCR|aBPWR
88	42113 23425	1	 * 	245.78	DCR|4VULN|2DUR|1DMG	1368VULN|2LEGI|4FEWX|5DMG|7aDUR|9RCR
89	44633 41322	8	   	245.73	DCR|3VULN|2DUR|1TLV|2LIT	168VULN|28LIT|3DUST|4MBVNT|5TLV|78DUR|8BPWR|9TBNT|aRCR
90	44633 41334	8	   	245.73	DCR|3VULN|2DUR|1TLV|2LIT	168VULN|28LIT|39DUST|4MBVNT|5TLV|78DUR|8BPWR|aRCR
91	41132 43262	1	   	245.65	DCR|4VULN|1TLV|1DUR	1349VULN|24DUST|4BPWR|5TLV|6RCR|7DUR|8LIT|aCGEN
92	41132 43412	1	   	245.65	DCR|4VULN|1TLV|1DUR	1348VULN|24DUST|4BPWR|5TLV|6RCR|7DUR|9LIT|aCGEN
93	41132 43261	1	   	245.55	DCR|4VULN|1TLV|1DUR	1349VULN|24DUST|4BPWR|5TLV|6RCR|7DUR|8LIT|aBBNT
94	41132 43411	1	   	245.55	DCR|4VULN|1TLV|1DUR	1348VULN|24DUST|4BPWR|5TLV|6RCR|7DUR|9LIT|aBBNT
95	42313 24122	9	 * 	245.00	DCR|2VULN|3DMG|1TLV|1DUR	18VULN|2RMIN|3DUR|4FEWX|57aDMG|6RCR|9TLV
96	42313 24152	10	   	245.00	DCR|2VULN|3DMG|1TLV|1DUR	18VULN|2RMIN|3DUR|4FEWX|579DMG|6RCR|aTLV
97	42333 24152	10	   	245.00	DCR|2VULN|3DMG|1TLV|1DUR	18VULN|2RMIN|3DUR|4BEXP|579DMG|6RCR|aTLV
