0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22632 13262	9	 * 	291.45	DCR|5VULN|3DMG|2LIT|1AART	14679VULN|2ZMB|39LIT|569DMG|69BPWR|8AART|aRCR
2	31612 13641	10	 * 	286.31	ACR|3VULN|3DUR|2DMG|3TLV|2CDMG	1RCR|267DUR|39DMG|479VULN|567TLV|679BPWR|89CDMG|aLIT
3	31214 31523	1	 * 	281.90	ACR|3VULN|3DMG|3DUR|2TLV	1RCR|29aVULN|369DUR|4ASPD|5TBNT|7aTLV|89aDMG|9aBPWR
4	31614 31523	2	   	281.90	ACR|3VULN|3DMG|3DUR|2TLV	1RCR|269DUR|39aVULN|4ASPD|5TBNT|7aTLV|89aDMG|9aBPWR
5	23663 15311	7	 * 	280.01	DCR|3VULN|3DMG|3DUR	178VULN|2LHND|378DMG|4ASPD|5MLV|678DUR|78BPWR|9RMIN|aRCR
6	31612 13642	10	   	278.00	ACR|3VULN|3DUR|2DMG|3TLV|2CDMG	1RCR|267DUR|39DMG|479VULN|567TLV|679BPWR|89CDMG|aFEWX
7	31612 13642	9	   	278.00	ACR|3VULN|3DUR|2DMG|3TLV|2CDMG	1RCR|267DUR|39DMG|479VULN|567TLV|679BPWR|89CDMG|aDMSP
8	31612 13643	10	   	278.00	ACR|3VULN|3DUR|2DMG|3TLV|2CDMG	1RCR|267DUR|39DMG|479VULN|567TLV|679BPWR|89CDMG|aBELT
9	31612 13641	9	   	277.90	ACR|3VULN|3DUR|2DMG|3TLV|2CDMG	1RCR|267DUR|39DMG|479VULN|567TLV|679BPWR|89CDMG|aDUST
10	31612 13643	9	   	277.90	ACR|3VULN|3DUR|2DMG|3TLV|2CDMG	1RCR|267DUR|39DMG|479VULN|567TLV|679BPWR|89CDMG|aERES
11	24243 16113	8	 * 	276.08	DCR|5VULN|2TLV|2CDMG	1278aVULN|3ASPD|4RPLT|5aTLV|6RCR|9aCDMG|aBPWR
12	26243 16113	8	   	276.08	DCR|5VULN|2TLV|2CDMG	1278aVULN|2aBPWR|3ASPD|4RPLT|5aTLV|6RCR|9aCDMG
13	24126 23161	10	   	274.12	DCR|4VULN|2TLV|1DUR|2LIT|1CDMG	1268VULN|38LIT|4DUR|5ERES|78TLV|8BPWR|9CDMG|aRCR
14	26126 23161	10	   	274.12	DCR|4VULN|2TLV|1DUR|2LIT|1CDMG	1268VULN|28BPWR|38LIT|4DUR|5ERES|78TLV|9CDMG|aRCR
15	31612 11523	7	   	274.09	ACR|3VULN|3DUR|2DMG|2TLV|2ASPD	1RCR|26aDUR|3aDMG|478VULN|56TLV|6aBPWR|9aASPD
16	21632 13351	7	 * 	273.80	DCR|4VULN|2DMG|1TLV|2LIT	1679VULN|2CGEN|34LIT|56DMG|6BPWR|8RCR|aTLV
17	31612 11262	10	 * 	273.49	ACR|3VULN|3DMG|3DUR|3TLV	1RCR|269DUR|38aDMG|47aVULN|56aTLV|6aBPWR
18	24643 12321	7	 * 	273.00	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	128VULN|3DMG|4RPLT|58TLV|6RCR|78CDMG|8BPWR|9DUR|aLIT
19	26643 12321	7	   	273.00	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	128VULN|28BPWR|3DMG|4RPLT|58TLV|6RCR|78CDMG|9DUR|aLIT
20	22133 44341	5	   	272.03	DCR|3VULN|3DMG|2DUR|1CDMG	168VULN|28ZMB|3CDMG|469DMG|5RPLT|68BPWR|78DUR|aRCR
21	23643 15311	7	   	271.70	DCR|3VULN|3DMG|3DUR	178VULN|2LHND|378DMG|4ZMB|5MLV|678DUR|78BPWR|9RMIN|aRCR
22	24243 15323	7	 * 	271.25	DCR|5VULN|3TLV|3ASPD|1SELL	1289aVULN|38aASPD|4RPLT|58aTLV|6RCR|7SELL|8aBPWR
23	26243 15323	7	 * 	271.25	DCR|5VULN|3TLV|3ASPD|1SELL	1289aVULN|28aBPWR|38aASPD|4RPLT|58aTLV|6RCR|7SELL
24	24611 51232	9	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1247VULN|3DMG|5MLV|6CDMG|8TLV|9DUR|aRCR
25	26611 51232	9	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1247VULN|2BPWR|3DMG|5MLV|6CDMG|8TLV|9DUR|aRCR
26	21513 11233	8	 * 	268.62	DCR|3VULN|2DMG|2DUR|1TLV	157VULN|2CGEN|3ERES|45DUR|5BPWR|6RCR|8aDMG|9TLV
27	21632 13366	7	 * 	268.35	DCR|4VULN|3DMG|3LIT	167aVULN|2CGEN|34aLIT|56aDMG|6aBPWR|8RCR|9BBNT
28	21622 13351	7	   	267.25	DCR|4VULN|2DMG|1TLV	1679VULN|24CGEN|3LIT|56DMG|6BPWR|8RCR|aTLV
29	22433 21126	9	 * 	267.02	DCR|4VULN|2DMG|2TLV	1579VULN|2ZMB|3LWND|45TLV|5BPWR|68DMG|aRCR
30	23433 21126	9	   	267.02	DCR|4VULN|2DMG|2TLV	1579VULN|2LHND|3ZMB|45TLV|5BPWR|68DMG|aRCR
31	31661 13423	9	 * 	266.77	ACR|4VULN|3DUR|1TLV|1DMG|1CDMG	1RCR|267DUR|3DMG|47ERES|5678VULN|67BPWR|9CDMG|aTLV
32	24151 52223	2	 * 	265.93	DCR|3VULN|2DMG|2TLV|2CDMG	128VULN|3TBNT|46DMG|58CDMG|78TLV|8BPWR|9LHND|aRCR
33	26151 52223	2	   	265.93	DCR|3VULN|2DMG|2TLV|2CDMG	128VULN|28BPWR|3TBNT|46DMG|58CDMG|78TLV|9LHND|aRCR
34	21433 11224	8	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1579VULN|2CGEN|3LWND|45TLV|5BPWR|6RCR|8DMG|aDUR
35	21433 11245	10	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	157aVULN|2CGEN|3LWND|45TLV|5BPWR|6RCR|8DMG|9DUR
36	24243 16213	8	   	265.58	DCR|4VULN|2TLV|2CDMG|2ASPD	127aVULN|38ASPD|4RPLT|5aTLV|6RCR|9aCDMG|aBPWR
37	26243 16213	8	   	265.58	DCR|4VULN|2TLV|2CDMG|2ASPD	127aVULN|2aBPWR|38ASPD|4RPLT|5aTLV|6RCR|9aCDMG
38	31264 11323	1	   	265.51	ACR|3VULN|3DMG|3DUR|1TLV	1RCR|28aVULN|38aDUR|4BEXP|5TLV|6RMIN|78aDMG|8aBPWR|9TBNT
39	31664 11323	2	   	265.51	ACR|3VULN|3DMG|3DUR|1TLV	1RCR|28aDUR|38aVULN|4BEXP|5TLV|6RMIN|78aDMG|8aBPWR|9TBNT
40	31612 11223	8	   	265.05	ACR|2VULN|3DMG|3DUR|2TLV|2ASPD	1RCR|26aDUR|38aDMG|47VULN|56TLV|6aBPWR|9aASPD
41	24643 12322	7	   	264.70	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	128VULN|3DMG|4RPLT|58TLV|6RCR|78CDMG|8BPWR|9DUR|aBEXP
42	24643 12323	7	   	264.70	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	128VULN|3DMG|4RPLT|58TLV|6RCR|78CDMG|8BPWR|9DUR|aCGEN
43	26643 12322	7	   	264.70	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	128VULN|28BPWR|3DMG|4RPLT|58TLV|6RCR|78CDMG|9DUR|aBEXP
44	26643 12323	7	   	264.70	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	128VULN|28BPWR|3DMG|4RPLT|58TLV|6RCR|78CDMG|9DUR|aCGEN
45	24612 31153	9	   	264.38	DCR|3VULN|2DMG|2DUR|1CDMG	124VULN|39DMG|5CDMG|68DUR|7ASPD|aRCR
46	26612 31153	9	   	264.38	DCR|3VULN|2DMG|2DUR|1CDMG	124VULN|2BPWR|39DMG|5CDMG|68DUR|7ASPD|aRCR
47	23615 32633	7	   	263.94	DCR|4VULN|2DMG|1DUR|2LIT	1478VULN|26LHND|37DMG|57LIT|7BPWR|9RCR|aDUR
48	21632 13353	7	   	263.84	DCR|4VULN|2DMG|1DUR|2LIT	1679VULN|2CGEN|34LIT|56DMG|6BPWR|8RCR|aDUR
49	24243 12315	7	 * 	263.78	DCR|4VULN|2TLV|3CDMG	128aVULN|3ASPD|4RPLT|58TLV|6RCR|789CDMG|8BPWR
50	24243 12613	8	   	263.78	DCR|4VULN|2TLV|3CDMG	128aVULN|3ASPD|4RPLT|5aTLV|6RCR|79aCDMG|aBPWR
51	26243 12315	7	   	263.78	DCR|4VULN|2TLV|3CDMG	128aVULN|28BPWR|3ASPD|4RPLT|58TLV|6RCR|789CDMG
52	26243 12613	8	   	263.78	DCR|4VULN|2TLV|3CDMG	128aVULN|2aBPWR|3ASPD|4RPLT|5aTLV|6RCR|79aCDMG
53	24243 13323	6	   	263.72	DCR|5VULN|2TLV|2ASPD|1SELL	1279aVULN|3aASPD|4RPLT|5aTLV|6RCR|8SELL|aBPWR
54	24243 16323	7	   	263.72	DCR|5VULN|2TLV|2ASPD|1SELL	1279aVULN|3aASPD|4RPLT|5aTLV|6RCR|8SELL|aBPWR
55	26243 13323	6	   	263.72	DCR|5VULN|2TLV|2ASPD|1SELL	1279aVULN|2aBPWR|3aASPD|4RPLT|5aTLV|6RCR|8SELL
56	26243 16323	7	   	263.72	DCR|5VULN|2TLV|2ASPD|1SELL	1279aVULN|2aBPWR|3aASPD|4RPLT|5aTLV|6RCR|8SELL
