0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42224 36331	7	 * 	297.60	DCR|3VULN|3DMG|3DUR|1TLV	178DMG|2ERES|347VULN|567DUR|7BPWR|9RCR|aTLV
2	42263 25323	10	 * 	278.99	DCR|2VULN|3DUR|2DMG|2TLV|1CDMG	17DMG|2ERES|37VULN|4CDMG|589DUR|67TLV|7BPWR|aRCR
3	41211 24511	3	 * 	273.90	DCR|4VULN|2DMG|1TLV|2LIT	17DMG|2CGEN|357aVULN|47LIT|6RMIN|7BPWR|8RCR|9TLV
4	42211 24511	3	   	273.80	DCR|4VULN|2DMG|1TLV|2LIT	17DMG|2ERES|357aVULN|47LIT|6RMIN|7BPWR|8RCR|9TLV
5	42214 36331	7	   	272.91	DCR|2VULN|3DMG|3DUR|1TLV	178DMG|2ERES|37VULN|4DMSP|567DUR|7BPWR|9RCR|aTLV
6	42234 36331	7	   	272.91	DCR|2VULN|3DMG|3DUR|1TLV	178DMG|2ERES|37VULN|4RCVC|567DUR|7BPWR|9RCR|aTLV
7	42224 36332	7	   	271.40	DCR|3VULN|3DMG|3DUR	178DMG|2ERES|347VULN|567DUR|7BPWR|9RCR|aZMB
8	42224 36333	7	   	271.40	DCR|3VULN|3DMG|3DUR	178DMG|2ERES|347VULN|567DUR|7BPWR|9RCR|aLWND
9	42224 36142	9	   	271.30	DCR|3VULN|3DMG|3DUR	179DMG|2ERES|347VULN|567DUR|7BPWR|8MBVNT|aRCR
10	41211 24513	3	   	269.10	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	17DMG|2CGEN|357VULN|47LIT|6RMIN|7BPWR|8RCR|9TLV|aDUR
11	42211 24513	3	   	269.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	17DMG|2ERES|357VULN|47LIT|6RMIN|7BPWR|8RCR|9TLV|aDUR
