0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22334 41413	9	 * 	325.69	DCR|4VULN|3DMG|2DUR|3LIT|1CDMG	159aVULN|2FEWX|39aDMG|45DUR|59aBPWR|6RCR|7CDMG|89aLIT
2	22334 42343	6	 * 	314.11	DCR|4VULN|3DUR|2DMG|1TLV	157aVULN|2FEWX|37DMG|457DUR|57BPWR|6RCR|8TLV|9LIT
3	23234 42116	6	 * 	307.02	DCR|3VULN|3DMG|3DUR|1TLV	17aVULN|257DMG|3LEGI|457DUR|57BPWR|6RCR|8TLV|9LIT
4	22334 42114	6	   	305.80	DCR|4VULN|3DUR|2DMG|1TLV	1578VULN|2FEWX|37DMG|457DUR|57BPWR|6RCR|9TLV|aBEXP
5	22334 42116	6	   	305.80	DCR|4VULN|3DUR|2DMG|1TLV	1578VULN|2FEWX|37DMG|457DUR|57BPWR|6RCR|9TLV|aRPLT
6	22334 42131	6	   	305.80	DCR|4VULN|3DUR|2DMG|1TLV	1578VULN|2FEWX|37DMG|457DUR|57BPWR|6RCR|9CGEN|aTLV
7	22334 42111	6	   	305.70	DCR|4VULN|3DUR|2DMG|1TLV	1578VULN|2FEWX|37DMG|457DUR|57BPWR|6RCR|9TLV|aTBNT
8	22334 42112	6	   	305.70	DCR|4VULN|3DUR|2DMG|1TLV	1578VULN|2FEWX|37DMG|457DUR|57BPWR|6RCR|9TLV|aERES
9	22334 42113	6	   	305.70	DCR|4VULN|3DUR|2DMG|1TLV	1578VULN|2FEWX|37DMG|457DUR|57BPWR|6RCR|9TLV|aMBVNT
10	22334 42314	6	   	305.70	DCR|4VULN|3DUR|2DMG|1TLV	157aVULN|2FEWX|37DMG|457DUR|57BPWR|6RCR|8TLV|9DUST
11	22334 42325	6	   	305.70	DCR|4VULN|3DUR|2DMG|1TLV	157aVULN|2FEWX|37DMG|457DUR|57BPWR|6RCR|8TLV|9TBNT
12	22334 41412	9	   	304.83	DCR|4VULN|2DMG|2DUR|2LIT|1CDMG	159aVULN|2FEWX|39DMG|45DUR|59BPWR|6RCR|7CDMG|89LIT
13	23134 36142	9	   	304.49	DCR|4VULN|2DMG|2DUR|2CDMG	1569VULN|29DMG|3DUST|45DUR|59BPWR|79CDMG|8RCR|aLIT
14	22336 41413	9	   	302.95	DCR|3VULN|3DMG|2DUR|3LIT|1CDMG	19aVULN|2FEWX|39aDMG|45DUR|6RCR|7CDMG|89aLIT|9aBPWR
15	23236 41313	9	   	302.85	DCR|3VULN|3DMG|2DUR|3LIT|1CDMG	19aVULN|29aDMG|3LEGI|45DUR|6RCR|7CDMG|89aLIT|9aBPWR
16	23234 42125	6	   	298.71	DCR|3VULN|3DMG|3DUR|1TLV	17aVULN|257DMG|3LEGI|457DUR|57BPWR|6RCR|8TLV|9BEXP
17	23234 42133	6	   	298.71	DCR|3VULN|3DMG|3DUR|1TLV	17aVULN|257DMG|3LEGI|457DUR|57BPWR|6RCR|8TLV|9LWND
18	23621 12451	2	   	298.51	DCR|4VULN|3DMG|2ASPD|1TLV	137aVULN|257DMG|4DMSP|67ASPD|7BPWR|8RCR|9TLV
19	23234 41311	10	   	297.74	DCR|3VULN|3DMG|2DUR|2LIT|1CDMG	19aVULN|259DMG|3LEGI|45DUR|59BPWR|6RCR|7CDMG|89LIT
20	23234 41316	9	   	297.74	DCR|3VULN|3DMG|2DUR|2LIT|1CDMG	19aVULN|259DMG|3LEGI|45DUR|59BPWR|6RCR|7CDMG|89LIT
21	23131 36145	9	   	297.16	DCR|4VULN|3DMG|2CDMG|1DUR	169aVULN|259DMG|3DUST|4DUR|79CDMG|8RCR|9BPWR
22	23134 42343	6	   	296.32	DCR|4VULN|3DUR|1DMG|1TLV	157aVULN|2DMG|37DUST|457DUR|57BPWR|6RCR|8TLV|9LIT
23	23134 36141	10	   	296.19	DCR|4VULN|2DMG|2DUR|2CDMG	1569VULN|29DMG|3DUST|45DUR|59BPWR|79CDMG|8RCR|aFEWX
24	23134 36143	9	   	296.19	DCR|4VULN|2DMG|2DUR|2CDMG	1569VULN|29DMG|3DUST|45DUR|59BPWR|79CDMG|8RCR|aZMB
25	23134 36141	9	   	296.09	DCR|4VULN|2DMG|2DUR|2CDMG	1569VULN|29DMG|3DUST|45DUR|59BPWR|79CDMG|8RCR|aTBNT
26	23134 36142	10	   	296.09	DCR|4VULN|2DMG|2DUR|2CDMG	1569VULN|29DMG|3aDUST|45DUR|59BPWR|79CDMG|8RCR
