0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32251 42326	7	 * 	280.01	DCR|3VULN|3DMG|3DUR	1RMIN|2RCVC|389VULN|489DMG|5LWND|6ASPD|789DUR|89BPWR|aRCR
2	42421 31212	4	 * 	279.32	DCR|3VULN|3DUR|1TLV|1DMG|2LIT	1RPLT|27LIT|357DUR|467VULN|7BPWR|8DMG|9TLV|aRCR
3	42423 31212	5	   	279.32	DCR|3VULN|3DUR|1TLV|1DMG|2LIT	1RPLT|27LIT|357DUR|467VULN|7BPWR|8DMG|9TLV|aRCR
4	35222 61353	9	 * 	270.87	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	1RMIN|28DUR|38TLV|4LIT|5CDMG|678VULN|8BPWR|9AART|aRCR
5	65433 23213	7	 * 	268.53	DCR|3VULN|3DUR|2TLV|2ASPD|1NUKE	1NUKE|256DUR|349VULN|79TLV|89ASPD|9BPWR|aRCR
6	43532 44442	1	 * 	261.05	DCR|3VULN|2DMG|1TLV|2LIT	1RPLT|289VULN|39LIT|4TLV|5MBVNT|6ASPD|79DMG|9BPWR|aRCR
7	42122 44442	4	   	261.05	DCR|3VULN|2DMG|1TLV|2LIT	1RPLT|29LIT|389VULN|4TLV|5MBVNT|6ASPD|79DMG|9BPWR|aRCR
8	42132 44442	3	   	261.05	DCR|3VULN|2DMG|1TLV|2LIT	1RPLT|29LIT|389VULN|4TLV|5MBVNT|6ASPD|79DMG|9BPWR|aRCR
9	35133 63412	10	   	260.69	DCR|3VULN|3DUR|2TLV	1RMIN|235DUR|469VULN|79TLV|8RCR|9BPWR|aLIT
10	35433 23412	10	   	260.69	DCR|3VULN|3DUR|2TLV	1RMIN|256DUR|349VULN|79TLV|8RCR|9BPWR|aLIT
11	35435 12322	9	 * 	260.20	DCR|4VULN|2TLV|2DUR	1RMIN|2aDUR|348aVULN|5ERES|6RCR|7CGEN|9aTLV|aBPWR
12	21133 33114	1	 * 	259.70	DCR|5VULN|1TLV|2CDMG	1RCVC|23679VULN|39BPWR|49CDMG|59LWND|8RCR|aTLV
13	43143 43212	9	 * 	259.60	DCR|5VULN|1TLV|1DMG	1RPLT|2LWND|34679VULN|5DMG|8TLV|aRCR
14	35136 61133	8	 * 	257.51	DCR|2VULN|3DUR|2TLV|1DMG|1AART	1RMIN|239DUR|49VULN|5DMG|6AART|7LWND|89TLV|9BPWR|aRCR
15	35136 62133	8	   	257.51	DCR|2VULN|3DUR|2TLV|1DMG|1AART	1RMIN|239DUR|49VULN|5DMG|6AART|7FEWX|89TLV|9BPWR|aRCR
16	34432 11325	7	 * 	255.63	DCR|3VULN|2DMG|2TLV|1AART	1RMIN|2aDMG|3CGEN|4AART|57aVULN|6RCR|8aTLV|9DLOT|aBPWR
17	34632 11325	7	   	255.53	DCR|3VULN|2DMG|2TLV|1AART	1RMIN|2aDMG|3ERES|4AART|57aVULN|6RCR|8aTLV|9DLOT|aBPWR
18	24314 11212	4	   	254.63	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	1RCVC|27LIT|347DUR|57VULN|6RPLT|7BPWR|8DMG|9TLV|aRCR
19	42123 11212	3	   	254.63	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	1RPLT|27LIT|37VULN|4DMSP|567DUR|7BPWR|8DMG|9TLV|aRCR
20	42133 11212	4	   	254.63	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	1RPLT|27LIT|37VULN|4RCVC|567DUR|7BPWR|8DMG|9TLV|aRCR
21	42422 11212	5	   	254.63	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	1RPLT|27LIT|367DUR|47VULN|5DMSP|7BPWR|8DMG|9TLV|aRCR
22	42423 11212	4	   	254.63	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	1RPLT|27LIT|367DUR|47VULN|5DMSP|7BPWR|8DMG|9TLV|aRCR
