0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35331 41432	9	 * 	308.99	DCR|5VULN|3DUR|2DMG	129DUR|3LHND|45789VULN|69DMG|9BPWR|aRCR
2	13342 43134	2	 * 	297.34	DCR|4VULN|2DMG|2DUR|2ASPD	156aVULN|28DUR|3aASPD|4BBNT|7aDMG|9RCR|aBPWR
3	13553 61332	10	   	296.19	DCR|4VULN|2DMG|2DUR|2TLV	1579VULN|29DUR|3LHND|46DMG|89TLV|9BPWR|aRCR
4	32553 61332	10	   	296.19	DCR|4VULN|2DMG|2DUR|2TLV	19DUR|2579VULN|3LHND|46DMG|89TLV|9BPWR|aRCR
5	35331 61432	9	 * 	292.55	DCR|5VULN|3DUR|2ASPD	129DUR|3LHND|45789VULN|69ASPD|9BPWR|aRCR
6	12543 23134	2	   	289.45	DCR|4VULN|3DUR|2DMG	125aVULN|3BBNT|45ZMB|5aBPWR|68aDUR|7aDMG|9RCR
7	13543 23134	1	   	289.45	DCR|4VULN|3DUR|2DMG	125aVULN|25aBPWR|3BBNT|45ZMB|68aDUR|7aDMG|9RCR
8	14333 15134	2	   	289.45	DCR|4VULN|3DUR|2DMG	135aVULN|25ZMB|4TBNT|5aBPWR|6aDMG|78aDUR|9RCR
9	14333 23134	2	   	289.45	DCR|4VULN|3DUR|2DMG	135aVULN|25ZMB|4TBNT|5aBPWR|68aDUR|7aDMG|9RCR
10	14433 23134	3	   	289.45	DCR|4VULN|3DUR|2DMG	135aVULN|25ZMB|4TBNT|5aBPWR|68aDUR|7aDMG|9RCR
11	14331 15134	2	   	289.35	DCR|4VULN|3DUR|2DMG	135aVULN|2ZMB|4TBNT|6aDMG|78aDUR|9RCR|aBPWR
12	12541 23134	2	   	289.35	DCR|4VULN|3DUR|2DMG	125aVULN|3BBNT|4ZMB|68aDUR|7aDMG|9RCR|aBPWR
13	13541 23134	1	   	289.35	DCR|4VULN|3DUR|2DMG	125aVULN|2aBPWR|3BBNT|4ZMB|68aDUR|7aDMG|9RCR
14	14331 23134	2	   	289.35	DCR|4VULN|3DUR|2DMG	135aVULN|2ZMB|4TBNT|68aDUR|7aDMG|9RCR|aBPWR
15	14431 23134	3	   	289.35	DCR|4VULN|3DUR|2DMG	135aVULN|2ZMB|4TBNT|68aDUR|7aDMG|9RCR|aBPWR
16	32342 43134	2	 * 	287.92	DCR|3VULN|3DUR|2DMG|2ASPD	18aDUR|256VULN|3aASPD|4BBNT|7aDMG|9RCR|aBPWR
17	12243 61521	2	   	284.24	DCR|4VULN|2DUR|2ASPD|1TLV	128aVULN|38DUR|4LIT|5TLV|68ASPD|7MBVNT|8BPWR|9RCR
18	13243 61521	1	   	284.24	DCR|4VULN|2DUR|2ASPD|1TLV	128aVULN|28BPWR|38DUR|4LIT|5TLV|68ASPD|7MBVNT|9RCR
19	13342 11524	2	 * 	284.22	DCR|3VULN|2DMG|3ASPD|2DUR	15aVULN|27DUR|39aASPD|4BBNT|6aDMG|8RCR|aBPWR
20	13353 31552	9	   	281.18	DCR|5VULN|2DMG|1DUR	15679VULN|2DUR|389BEXP|49DMG|9BPWR|aRCR
21	32313 14332	2	   	279.33	DCR|5VULN|2DUR|2ASPD	17DUR|2678aVULN|37ASPD|4RMIN|5RPLT|7BPWR|9RCR
22	13313 14332	2	   	279.33	DCR|5VULN|2DUR|2ASPD	1678aVULN|27DUR|37ASPD|4RMIN|5RPLT|7BPWR|9RCR
23	15313 14332	1	   	279.33	DCR|5VULN|2DUR|2ASPD	1678aVULN|27DUR|37ASPD|4RMIN|5RPLT|7BPWR|9RCR
