0	Index      	Bounty	 *	Score 	Summary	Detail	
1	55122 31711	1	 * 	273.35	DCR|3VULN|2DMG|2DUR|2CDMG	17CDMG|2aDMG|3BBNT|4MBVNT|579VULN|67DUR|7BPWR|8RCR
2	53333 14233	8	 * 	271.31	DCR|3VULN|3DUR|3CDMG|1TLV	158CDMG|268DUR|378VULN|4LEGI|8BPWR|9RCR|aTLV
3	11131 46125	4	 * 	270.91	DCR|4VULN|3DMG|1AART	1789LHND|2MBVNT|3RPLT|4AART|5789VULN|678DMG|789BPWR|aRCR
4	62243 51132	10	   	270.71	DCR|4VULN|3DMG|1AART	16aZMB|27aDMG|349aVULN|5AART|8RCR|aBPWR
5	44611 12312	8	   	267.35	DCR|4VULN|2DMG|1CDMG	12aCGEN|358aVULN|4LIT|6RCR|7CDMG|9aDMG|aBPWR
6	44611 12322	9	   	267.35	DCR|4VULN|2DMG|1CDMG	12aCGEN|358aVULN|4LIT|6RCR|7CDMG|9aDMG|aBPWR
7	53333 14215	10	   	266.07	DCR|3VULN|3DUR|3CDMG|1ASPD	158CDMG|268DUR|378VULN|4LEGI|8BPWR|9ASPD|aRCR
8	53333 14235	8	   	266.07	DCR|3VULN|3DUR|3CDMG|1ASPD	158CDMG|268DUR|378VULN|4LEGI|8BPWR|9RCR|aASPD
9	41351 13124	8	 * 	265.39	DCR|5VULN|1DUR|1CDMG	15CGEN|2DUR|3LIT|45789VULN|5BPWR|6RCR|aCDMG
10	62211 62312	9	   	264.71	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1ZMB|2aDMG|368VULN|4AART|5DUR|7RCR|9TLV
11	22365 22263	5	 * 	264.17	DCR|3VULN|2DUR|2TLV|1DMG	1LWND|26TLV|3LIT|4DMG|569VULN|6BPWR|7aDUR|8RCR
12	55122 31714	1	   	264.07	DCR|3VULN|2DUR|1DMG|2CDMG	17CDMG|2DMG|3BBNT|4MBVNT|579VULN|67DUR|7BPWR|8RCR|aLIT
13	61313 65112	4	 * 	264.06	DCR|2VULN|3DMG|3DUR	178ZMB|278DUR|3LIT|4LHND|578DMG|6RCR|78BPWR|9aVULN
14	53533 16332	9	   	263.98	DCR|3VULN|3DUR|2CDMG|2LIT	18CDMG|257DUR|3DMSP|489VULN|68LIT|8BPWR|aRCR
15	53333 14232	8	   	263.37	DCR|3VULN|3DUR|3CDMG	158CDMG|268DUR|378VULN|4LEGI|8BPWR|9RCR|aLIT
16	62211 32354	10	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	1ZMB|26DMG|38aVULN|4AART|59DUR|7RCR
17	53131 46122	2	 * 	262.57	DCR|3VULN|3DUR|2TLV|1CDMG	1CDMG|234DUR|578VULN|69TLV|aRCR
18	51313 14225	7	   	262.50	DCR|3VULN|2DUR|3CDMG|1ASPD|1AART	147CDMG|2DUST|379VULN|57DUR|6AART|7BPWR|8ASPD|aRCR
19	53323 14253	10	 * 	262.00	DCR|3VULN|2DUR|3CDMG|1DMG	158CDMG|26DUR|378VULN|48LWND|8BPWR|9RCR|aDMG
20	62211 62331	8	   	261.82	DCR|4VULN|1DMG|1DUR|1AART	1ZMB|2DMG|3689VULN|4AART|5DUR|7RCR|aLIT
21	62211 62531	7	   	261.82	DCR|4VULN|1DMG|1DUR|1AART	1ZMB|2DMG|3689VULN|4AART|5DUR|7RCR|aLIT
22	62211 62314	10	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1ZMB|2DMG|368VULN|4AART|5aDUR|7RCR|9TLV
23	65211 22236	8	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1ZMB|2TLV|389VULN|4AART|56DUR|7RCR|aDMG
