0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22221 63463	10	 * 	271.01	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	1BELT|289DUR|3FEWX|48VULN|5CDMG|6TLV|78DMG|8BPWR|aRCR
2	15523 31323	3	 * 	269.96	DCR|4VULN|2TLV|2DUR|1AART	17LHND|2AART|34TLV|579aVULN|67DUR|7BPWR|8RCR
3	61113 32541	10	 * 	262.70	DCR|3VULN|2TLV|1DMG|1DUR|1AART	17CGEN|2AART|37TLV|4DMG|5ASPD|67aVULN|7BPWR|8RCR|9DUR
4	61422 21421	3	   	262.56	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	17CGEN|2AART|3aDUR|47TLV|567VULN|7BPWR|8CDMG|9RCR
5	41113 32541	10	   	262.50	DCR|3VULN|2TLV|1DMG|1DUR|1AART	17ERES|2AART|37TLV|4DMG|5ASPD|67aVULN|7BPWR|8RCR|9DUR
6	15523 31321	3	 * 	262.14	DCR|3VULN|3DUR|2TLV|1AART	17LHND|2AART|34TLV|579VULN|67aDUR|7BPWR|8RCR
7	15523 31332	3	 * 	257.93	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG|1AART	17LHND|2AART|34TLV|57VULN|67DUR|7BPWR|8RCR|9CDMG|aDMG
8	22221 63432	9	   	257.78	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1BELT|28DUR|3FEWX|48VULN|5CDMG|6TLV|78DMG|8BPWR|9ZMB|aRCR
9	22221 63452	8	   	257.78	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1BELT|28DUR|3FEWX|48VULN|5CDMG|6TLV|78DMG|8BPWR|9CGEN|aRCR
10	24313 21511	7	 * 	255.68	DCR|5VULN|1TLV|1DUR	1BELT|24569VULN|34ERES|4BPWR|7RCR|8TLV|aDUR
11	24323 21511	7	   	255.68	DCR|5VULN|1TLV|1DUR	1BELT|24569VULN|3ERES|7RCR|8TLV|aDUR
12	24323 63213	6	   	255.18	DCR|4VULN|2TLV|1DUR|1AART	1BELT|2458VULN|38ERES|68TLV|7AART|8BPWR|9DUR|aRCR
13	15523 34323	3	   	255.18	DCR|4VULN|2TLV|1DUR|1AART	1LHND|2AART|34TLV|579aVULN|6DUR|8RCR
14	21253 23526	1	   	253.69	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1BELT|2BBNT|38DMG|4AART|58DUR|6RMIN|78VULN|8BPWR|9TLV|aRCR
15	31411 16331	8	   	253.22	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	18DUST|2RMIN|3DMG|48VULN|5CDMG|6TLV|789DUR|8BPWR|aRCR
16	41135 51121	8	   	251.72	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1ERES|2AART|3TLV|4CDMG|569VULN|7RCR|8LIT|aDMG
17	61322 31421	3	   	251.10	DCR|2VULN|3DUR|2TLV|1CDMG|1AART	17CGEN|2AART|35VULN|47TLV|67aDUR|7BPWR|8CDMG|9RCR
18	21151 23636	6	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1BELT|2RCVC|3DUR|4TLV|5CDMG|6DMG|789VULN|aRCR
19	32121 61636	1	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DUST|2FEWX|379VULN|4DMG|5TLV|6RCR|8DUR|aCDMG
20	61323 34622	3	   	249.76	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG|1AART	18CGEN|2AART|38VULN|4TLV|5DMG|68DUR|7BBNT|8BPWR|9RCR|aCDMG
21	15523 31322	3	   	248.91	DCR|3VULN|2TLV|2DUR|1AART	17LHND|2AART|34TLV|579VULN|67DUR|7BPWR|8RCR|aLWND
22	15523 31324	3	   	248.91	DCR|3VULN|2TLV|2DUR|1AART	17LHND|2AART|34TLV|579VULN|67DUR|7BPWR|8RCR|aRPLT
23	15523 31325	3	   	248.91	DCR|3VULN|2TLV|2DUR|1AART	17LHND|2AART|34TLV|579VULN|67DUR|7BPWR|8RCR|aMLV
24	15523 31326	3	   	248.81	DCR|3VULN|2TLV|2DUR|1AART	17LHND|2AART|34TLV|579VULN|67DUR|7BPWR|8RCR|aTBNT
25	15523 34321	3	   	248.71	DCR|3VULN|2TLV|2DUR|1AART	1LHND|2AART|34TLV|579VULN|6aDUR|8RCR
26	16142 22532	3	   	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1LHND|2LIT|3CDMG|4aVULN|5TLV|69DUR|7DMG|8RCR
27	22443 32263	2	   	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1BELT|2aDUR|36VULN|4LIT|5CDMG|7DMG|8RCR|9TLV
28	24313 32263	1	   	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1BELT|2LIT|3aDUR|46VULN|5CDMG|7DMG|8RCR|9TLV
29	61422 21422	3	   	247.98	DCR|3VULN|2TLV|1DUR|1CDMG|1AART	17CGEN|2AART|3DUR|47TLV|567VULN|7BPWR|8CDMG|9RCR|aRMIN
30	61422 21423	3	   	247.98	DCR|3VULN|2TLV|1DUR|1CDMG|1AART	17CGEN|2AART|3DUR|47TLV|567VULN|7BPWR|8CDMG|9RCR|aBEXP
31	61522 21421	2	   	247.88	DCR|3VULN|2TLV|1DUR|1CDMG|1AART	17CGEN|2AART|3DUST|47TLV|567VULN|7BPWR|8CDMG|9RCR|aDUR
32	24313 21514	7	   	247.74	DCR|5VULN|1TLV	1BELT|24569VULN|34ERES|4BPWR|7RCR|8TLV|aASPD
33	24313 21621	10	   	247.74	DCR|5VULN|1TLV	1BELT|2456aVULN|34ERES|4BPWR|7RCR|8LIT|9TLV
34	24323 21514	7	   	247.74	DCR|5VULN|1TLV	1BELT|24569VULN|3ERES|7RCR|8TLV|aASPD
35	24323 21621	10	   	247.74	DCR|5VULN|1TLV	1BELT|2456aVULN|3ERES|7RCR|8LIT|9TLV
36	21421 63232	10	 * 	247.69	DCR|4VULN|2DMG|2LIT	1BELT|2RCVC|3RMIN|4aLIT|578aVULN|6aDMG|9RCR|aBPWR
37	21521 63232	10	   	247.59	DCR|4VULN|2DMG|2LIT|1NUKE	1BELT|2RCVC|3NUKE|4aLIT|578aVULN|6aDMG|9RCR|aBPWR
38	24313 21513	7	 * 	247.51	DCR|5VULN|2TLV	1BELT|24569VULN|34ERES|4BPWR|7RCR|8aTLV
39	24323 21513	7	   	247.51	DCR|5VULN|2TLV	1BELT|24569VULN|3ERES|7RCR|8aTLV
40	22122 52364	5	   	247.46	DCR|3VULN|2TLV|2DUR	1BELT|28DUR|3LEGI|48aVULN|5RMIN|68TLV|7RCR|8BPWR|9ASPD
41	41612 32511	9	   	247.31	DCR|2VULN|2DMG|1TLV|1DUR|1AART	17ERES|2AART|3ASPD|47DMG|5RMIN|67VULN|7BPWR|8RCR|9TLV|aDUR
42	24311 31563	4	   	247.00	DCR|4VULN|1TLV|1DUR|1AART	1BELT|2456VULN|34ERES|4BPWR|7DUR|8TLV|9AART|aRCR
43	24313 21563	6	   	247.00	DCR|4VULN|1TLV|1DUR|1AART	1BELT|2456VULN|34ERES|4BPWR|7DUR|8TLV|9AART|aRCR
44	24313 22563	7	   	247.00	DCR|4VULN|1TLV|1DUR|1AART	1BELT|2456VULN|34ERES|4BPWR|7DUR|8TLV|9AART|aRCR
45	24313 31563	5	   	247.00	DCR|4VULN|1TLV|1DUR|1AART	1BELT|2456VULN|34ERES|4BPWR|7DUR|8TLV|9AART|aRCR
46	24321 31563	4	   	247.00	DCR|4VULN|1TLV|1DUR|1AART	1BELT|2456VULN|3ERES|7DUR|8TLV|9AART|aRCR
47	24323 21563	6	   	247.00	DCR|4VULN|1TLV|1DUR|1AART	1BELT|2456VULN|3ERES|7DUR|8TLV|9AART|aRCR
48	24323 22563	7	   	247.00	DCR|4VULN|1TLV|1DUR|1AART	1BELT|2456VULN|3ERES|7DUR|8TLV|9AART|aRCR
49	24323 31563	5	   	247.00	DCR|4VULN|1TLV|1DUR|1AART	1BELT|2456VULN|3ERES|7DUR|8TLV|9AART|aRCR
50	61113 32534	10	 * 	246.55	DCR|3VULN|3TLV|1DMG|1AART	17aCGEN|2AART|37aTLV|4DMG|5ASPD|67aVULN|7aBPWR|8RCR|9RPLT
51	61113 32551	10	   	246.45	DCR|3VULN|2TLV|1DMG|1AART	17CGEN|2AART|37TLV|4DMG|5ASPD|67aVULN|7BPWR|8RCR|9FEWX
52	61113 32511	10	   	246.35	DCR|3VULN|3TLV|1DMG|1AART	17CGEN|2AART|379TLV|4DMG|5ASPD|67aVULN|7BPWR|8RCR
53	61113 32515	8	   	246.35	DCR|3VULN|2TLV|1DMG|1AART	17CGEN|2AART|37TLV|4DMG|5ASPD|67aVULN|7BPWR|8RCR|9TBNT
54	61113 32561	10	   	246.35	DCR|3VULN|2TLV|1DMG|1AART	17CGEN|2AART|37TLV|4DMG|5ASPD|67aVULN|7BPWR|8RCR|9LEGI
55	61324 32511	10	   	246.35	DCR|3VULN|3TLV|1DMG|1AART	17CGEN|2AART|37aVULN|4ASPD|5DMG|679TLV|7BPWR|8RCR
56	41113 32534	10	   	246.25	DCR|3VULN|3TLV|1DMG|1AART	17aERES|2AART|37aTLV|4DMG|5ASPD|67aVULN|7aBPWR|8RCR|9RPLT
57	41113 32551	10	   	246.25	DCR|3VULN|2TLV|1DMG|1AART	17ERES|2AART|37TLV|4DMG|5ASPD|67aVULN|7BPWR|8RCR|9FEWX
58	41113 32511	10	   	246.15	DCR|3VULN|3TLV|1DMG|1AART	17ERES|2AART|379TLV|4DMG|5ASPD|67aVULN|7BPWR|8RCR
59	41113 32515	8	   	246.15	DCR|3VULN|2TLV|1DMG|1AART	17ERES|2AART|37TLV|4DMG|5ASPD|67aVULN|7BPWR|8RCR|9TBNT
60	41113 32561	10	   	246.15	DCR|3VULN|2TLV|1DMG|1AART	17ERES|2AART|37TLV|4DMG|5ASPD|67aVULN|7BPWR|8RCR|9LEGI
61	12143 61631	1	   	246.11	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1LHND|2FEWX|379VULN|4TLV|5DMG|6RCR|8DUR|aAART
62	61334 32114	7	   	246.11	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1CGEN|2AART|389VULN|4LHND|5DUR|6TLV|7RCR|aDMG
63	35121 61631	1	   	246.01	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1DUST|2LHND|379VULN|4DMG|5TLV|6RCR|8DUR|aAART
64	61322 23256	3	   	245.87	DCR|3VULN|1TLV|1DMG|1DUR|1AART|1SELL	1CGEN|2AART|359VULN|4TLV|6SELL|7DMG|8RCR|aDUR
65	61322 31123	3	   	245.22	DCR|2VULN|3DUR|2TLV|2AART	17CGEN|29AART|35VULN|47TLV|678DUR|7BPWR|aRCR
66	24511 22631	6	   	245.05	DCR|4VULN|1DMG|1DUR|1CDMG	1BELT|2489VULN|34CGEN|4BPWR|5CDMG|6DMG|7RCR|aDUR
67	24621 22631	6	   	245.05	DCR|4VULN|1DMG|1DUR|1CDMG	1BELT|2489VULN|34ZMB|4BPWR|5CDMG|6DMG|7RCR|aDUR
68	24521 22631	6	   	244.95	DCR|4VULN|1DMG|1DUR|1CDMG	1BELT|2489VULN|3CGEN|5CDMG|6DMG|7RCR|aDUR
69	24311 21164	9	 * 	244.90	DCR|3VULN|2DUR|1DMG|2CDMG	1BELT|249VULN|34ERES|49BPWR|59CDMG|6DMG|7CGEN|89DUR|aRCR
70	24321 21164	9	   	244.90	DCR|3VULN|2DUR|1DMG|2CDMG	1BELT|249VULN|3ERES|59CDMG|6DMG|7CGEN|89DUR|9BPWR|aRCR
71	34411 41331	10	   	244.85	DCR|4VULN|1DMG|1DUR|1CDMG	1DUST|2CGEN|3DMG|4679VULN|5CDMG|8DUR|aRCR
72	62411 41331	10	   	244.85	DCR|4VULN|1DMG|1DUR|1CDMG	1CGEN|2LEGI|3DMG|4679VULN|5CDMG|8DUR|aRCR
73	12211 41116	7	   	244.85	DCR|4VULN|1DMG|1DUR|1CDMG	1LHND|2ERES|3DMG|467aVULN|5CDMG|8RCR|9DUR
74	12211 41366	9	   	244.85	DCR|4VULN|1DMG|1DUR|1CDMG	1LHND|2ERES|3DMG|467aVULN|5CDMG|8DUR|9RCR
75	24311 22631	6	   	244.85	DCR|4VULN|1DMG|1DUR|1CDMG	1BELT|2489VULN|34ERES|4BPWR|5CDMG|6DMG|7RCR|aDUR
76	24321 22631	6	   	244.85	DCR|4VULN|1DMG|1DUR|1CDMG	1BELT|2489VULN|3ERES|5CDMG|6DMG|7RCR|aDUR
77	43211 41116	7	   	244.85	DCR|4VULN|1DMG|1DUR|1CDMG	1ERES|2LHND|3DMG|467aVULN|5CDMG|8RCR|9DUR
78	32411 41331	10	   	244.75	DCR|4VULN|1DMG|1DUR|1CDMG	1DUST|2ERES|3DMG|4679VULN|5CDMG|8DUR|aRCR
79	42411 41331	10	   	244.75	DCR|4VULN|1DMG|1DUR|1CDMG	1ERES|2LEGI|3DMG|4679VULN|5CDMG|8DUR|aRCR
80	32411 41116	7	   	244.75	DCR|4VULN|1DMG|1DUR|1CDMG	1DUST|2ERES|3DMG|467aVULN|5CDMG|8RCR|9DUR
81	22326 15422	2	   	244.72	DCR|3VULN|2DUR|1TLV|1CDMG	1BELT|28DUR|3DLOT|4TLV|58LHND|6RCR|78aVULN|8BPWR|9CDMG
82	41612 32512	10	   	244.72	DCR|2VULN|2DMG|1TLV|1CDMG|1AART	17ERES|2AART|3ASPD|47DMG|5RMIN|67VULN|7BPWR|8RCR|9TLV|aCDMG
83	22321 15422	2	   	244.52	DCR|3VULN|2DUR|1TLV|1CDMG	1BELT|28DUR|3DLOT|4TLV|58DUST|6RCR|78aVULN|8BPWR|9CDMG
84	24313 21226	7	 * 	244.26	DCR|5VULN|2DUR	1BELT|2456aVULN|34ERES|4aBPWR|7RCR|8aLHND|9aDUR
85	24313 21316	9	   	244.26	DCR|5VULN|2DUR	1BELT|2456aVULN|34ERES|4aBPWR|7RCR|8aLHND|9aDUR
86	24313 21326	8	   	244.26	DCR|5VULN|2DUR	1BELT|2456aVULN|34ERES|4aBPWR|7RCR|8aLHND|9aDUR
87	24323 21226	7	   	244.26	DCR|5VULN|2DUR	1BELT|2456aVULN|3ERES|7RCR|8aLHND|9aDUR|aBPWR
88	24323 21316	9	   	244.26	DCR|5VULN|2DUR	1BELT|2456aVULN|3ERES|7RCR|8aLHND|9aDUR|aBPWR
89	24323 21326	8	   	244.26	DCR|5VULN|2DUR	1BELT|2456aVULN|3ERES|7RCR|8aLHND|9aDUR|aBPWR
90	15523 31313	3	   	244.18	DCR|2VULN|2TLV|2DUR|1DMG|1AART	17LHND|2AART|34TLV|57VULN|67DUR|7BPWR|8RCR|9TBNT|aDMG
91	15523 31333	3	 * 	244.18	DCR|2VULN|2TLV|2DUR|2CDMG|1AART	17LHND|2AART|34TLV|57VULN|67DUR|7BPWR|8RCR|9aCDMG
92	24313 21127	7	   	244.06	DCR|5VULN|2DUR	1BELT|2456aVULN|34aERES|4aBPWR|7RCR|8MBVNT|9aDUR
93	24323 21127	7	   	244.06	DCR|5VULN|2DUR	1BELT|2456aVULN|3aERES|7RCR|8MBVNT|9aDUR|aBPWR
94	61322 23252	3	   	243.27	DCR|3VULN|1TLV|1DMG|1CDMG|1AART|1SELL	1CGEN|2AART|359VULN|4TLV|6SELL|7DMG|8RCR|aCDMG
95	23321 63423	10	   	243.20	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1BELT|289FEWX|3DUR|48VULN|5CDMG|6TLV|78DMG|8BPWR|aRCR
96	23321 63432	9	   	243.20	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1BELT|28FEWX|3DUR|48VULN|5CDMG|6TLV|78DMG|8BPWR|9ZMB|aRCR
97	23321 63452	8	   	243.20	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1BELT|28FEWX|3DUR|48VULN|5CDMG|6TLV|78DMG|8BPWR|9CGEN|aRCR
