0	Index      	 *	Score 	Summary	Detail	
1	12135 17373	 * 	294.66	DCR|2LIT|2MLV|2DMG|1VULN|2ASPD	19DMG|29ASPD|3LHND|4MBVNT|57LIT|69MLV|8RCR|9BPWR|aVULN
2	42362 12423	 * 	288.80	DCR|3VULN|1LIT|1MLV|2ASPD|1DMG	12ASPD|3LIT|4MLV|5DMG|68aVULN|7RCR|9LHND
3	42362 12334	   	287.25	DCR|1LIT|2VULN|1MLV|2ASPD|1DMG|1CDMG	12ASPD|3LIT|4MLV|5DMG|6aVULN|7RCR|8ZMB|9CDMG
4	12414 41832	 * 	276.73	DCR|2LIT|2VULN|2DMG|2ASPD	13DMG|23ASPD|3BPWR|4MBVNT|5NUKE|6RCR|78VULN|9aLIT
5	12412 38374	 * 	274.32	DCR|2LIT|3DMG|3ASPD|1MLV	139DMG|239ASPD|39BPWR|4MBVNT|5CGEN|6BEXP|79LIT|8RCR|aMLV
6	42362 12151	 * 	274.16	DCR|1LIT|2VULN|3ASPD|1MLV|1DMG	129ASPD|3LIT|4MLV|5DMG|6aVULN|7RCR|8LWND
7	42362 12251	   	274.06	DCR|1LIT|2VULN|3ASPD|1MLV|1DMG	129ASPD|3LIT|4MLV|5DMG|6aVULN|7RCR|8DUST
8	12332 44363	 * 	274.02	DCR|1LIT|2VULN|2DMG|2ASPD|3ZMB	19DMG|28ASPD|3DMSP|459ZMB|6RCR|79VULN|9BPWR|aLIT
9	42362 12343	   	273.60	DCR|1LIT|2VULN|1MLV|2ASPD|1DMG	12ASPD|3LIT|4MLV|5DMG|6aVULN|7RCR|8ZMB|9AART
10	12421 16315	   	272.83	DCR|2LIT|3DMG|1MLV|2ASPD|1CDMG	135DMG|23ASPD|3BPWR|4LHND|6CDMG|7MLV|89LIT|aRCR
11	12432 41126	 * 	271.07	DCR|1LIT|3DMG|3ASPD|1VULN|3ZMB	137DMG|237ASPD|37BPWR|457ZMB|6RCR|8VULN|9LHND|aLIT
12	42362 12362	   	270.27	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	12ASPD|3aLIT|4MLV|5DMG|6VULN|7RCR|8ZMB|9RMIN
13	42362 12322	   	270.17	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	12ASPD|3aLIT|4MLV|5DMG|6VULN|7RCR|8ZMB|9ERES
14	12414 41837	 * 	269.51	DCR|1LIT|2VULN|3DMG|2ASPD	13aDMG|23ASPD|3BPWR|4MBVNT|5NUKE|6RCR|78VULN|9LIT
15	42313 14612	 * 	269.26	DCR|2LIT|3VULN|3ASPD	127ASPD|37LIT|4LHND|5FEWX|67aVULN|7BPWR|8RCR|9DUST
16	42313 14632	   	269.26	DCR|2LIT|3VULN|3ASPD|1DUR	127ASPD|37LIT|4LHND|5FEWX|67aVULN|7BPWR|8RCR|9DUR
17	42331 14612	   	269.26	DCR|2LIT|3VULN|3ASPD	127ASPD|37LIT|4FEWX|5LHND|67aVULN|7BPWR|8RCR|9DUST
18	42331 14632	   	269.26	DCR|2LIT|3VULN|3ASPD|1DUR	127ASPD|37LIT|4FEWX|5LHND|67aVULN|7BPWR|8RCR|9DUR
19	42332 14621	   	269.26	DCR|2LIT|3VULN|3ASPD	127ASPD|37LIT|4FEWX|5DUST|67aVULN|7BPWR|8RCR|9DMSP
20	42332 14611	   	269.16	DCR|2LIT|3VULN|3ASPD	127ASPD|37LIT|4FEWX|59DUST|67aVULN|7BPWR|8RCR
21	42333 14612	   	269.16	DCR|2LIT|3VULN|3ASPD|1DUR	127ASPD|37LIT|4FEWX|5DUR|67aVULN|7BPWR|8RCR|9DUST
22	42333 14631	   	269.16	DCR|2LIT|3VULN|3ASPD|2DUR	127ASPD|37LIT|4FEWX|59DUR|67aVULN|7BPWR|8RCR
23	42361 12423	   	268.74	DCR|3VULN|1LIT|1MLV|2ASPD	12ASPD|3LIT|4MLV|5TLV|68aVULN|7RCR|9LHND
24	12454 11213	 * 	268.40	DCR|1LIT|3DMG|1VULN|1MLV|2ASPD	134DMG|23ASPD|3BPWR|5LIT|6MLV|7VULN|8LWND|9DMSP|aRCR
25	12454 11313	   	268.30	DCR|1LIT|3DMG|1VULN|1MLV|2ASPD	134DMG|23ASPD|3BPWR|5LIT|6MLV|7VULN|8ERES|9CGEN|aRCR
26	62311 18373	   	268.28	DCR|2LIT|2MLV|1VULN|2ASPD|1DMG	19MLV|29ASPD|3DMSP|4MBVNT|5DMG|6LHND|79LIT|8RCR|9BPWR|aVULN
27	42361 12334	   	267.19	DCR|1LIT|2VULN|1MLV|2ASPD|1CDMG	12ASPD|3LIT|4MLV|5TLV|6aVULN|7RCR|8ZMB|9CDMG
28	42362 12141	   	266.66	DCR|1LIT|2VULN|1MLV|2ASPD|1DMG	12ASPD|3LIT|4MLV|5DMG|6aVULN|7RCR|8LWND|9RPLT
29	42362 12421	   	266.66	DCR|1LIT|2VULN|1MLV|2ASPD|1DMG	12ASPD|3LIT|4MLV|5DMG|68VULN|7RCR|9aLHND
30	42362 12431	   	266.66	DCR|1LIT|2VULN|1MLV|2ASPD|1DMG	12ASPD|3LIT|4MLV|5DMG|68VULN|7RCR|9RPLT|aFEWX
31	42362 12432	   	266.66	DCR|1LIT|2VULN|1MLV|2ASPD|1DMG	12ASPD|3LIT|4MLV|5DMG|68VULN|7RCR|9RPLT|aLWND
32	42362 12433	   	266.66	DCR|1LIT|2VULN|1MLV|2ASPD|1DMG	12ASPD|3LIT|4MLV|5DMG|68VULN|7RCR|9RPLT|aBELT
33	42362 12613	   	266.66	DCR|1LIT|2VULN|1MLV|2ASPD|1DMG	12ASPD|3LIT|4MLV|5DMG|6aVULN|7RCR|8LHND|9RCVC
34	62311 83532	   	266.56	DCR|2LIT|2DMG|1VULN|1MLV|1ASPD	1MLV|2ASPD|3DMSP|4MBVNT|56DMG|7VULN|8RCR|9aLIT
35	42362 12241	   	266.56	DCR|1LIT|2VULN|1MLV|2ASPD|1DMG	12ASPD|3LIT|4MLV|5DMG|6aVULN|7RCR|8DUST|9RPLT
36	42362 12422	   	266.56	DCR|1LIT|2VULN|1MLV|2ASPD|1DMG	12ASPD|3LIT|4MLV|5DMG|68VULN|7RCR|9LHND|aERES
37	42313 14135	   	265.76	DCR|2LIT|3VULN|3ASPD	127ASPD|37LIT|4LHND|5FEWX|678VULN|7BPWR|9BEXP|aRCR
38	42331 14135	   	265.76	DCR|2LIT|3VULN|3ASPD	127ASPD|37LIT|4FEWX|5LHND|678VULN|7BPWR|9BEXP|aRCR
39	12135 41873	   	265.75	DCR|2MLV|1LIT|2DMG|1VULN|2ASPD	19DMG|29ASPD|38LHND|4MBVNT|5LIT|6RCR|79MLV|9BPWR|aVULN
40	12135 41116	   	265.70	DCR|2MLV|1LIT|2DMG|1VULN|2ASPD	19DMG|29ASPD|3LHND|4MBVNT|5LIT|6RCR|79MLV|8AART|9BPWR|aVULN
41	12235 41116	   	265.70	DCR|2MLV|1LIT|2DMG|1VULN|2ASPD	19DMG|29ASPD|3LWND|4MBVNT|5LIT|6RCR|79MLV|8AART|9BPWR|aVULN
42	42332 14115	   	265.56	DCR|2LIT|3VULN|3ASPD	127ASPD|37LIT|4FEWX|5DUST|678VULN|7BPWR|9LEGI|aRCR
43	42333 14115	   	265.56	DCR|2LIT|3VULN|3ASPD|1DUR	127ASPD|37LIT|4FEWX|5DUR|678VULN|7BPWR|9LEGI|aRCR
44	12635 41116	   	265.55	DCR|2MLV|1LIT|2DMG|1VULN|2ASPD	19DMG|29ASPD|3DUST|4MBVNT|5LIT|6RCR|79MLV|8AART|9BPWR|aVULN
45	12135 41663	   	265.03	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	1DMG|2aASPD|3LHND|4MBVNT|59LIT|6RCR|7MLV|8VULN
46	42362 12326	   	264.88	DCR|1LIT|2DMG|1VULN|1MLV|2ASPD	12ASPD|3LIT|4MLV|5aDMG|6VULN|7RCR|8ZMB|9ERES
