0	Index      	 *	Score 	Summary	Detail	
1	23315 43622	 * 	324.26	DCR|2LIT|2MLV|2VULN|2DMG|1ASPD	1ERES|2aMLV|35LIT|4LHND|6aDMG|7RCR|8ASPD|9aVULN|aBPWR
2	23315 43422	   	321.07	DCR|2LIT|2MLV|2VULN|2DMG	1ERES|2aMLV|35LIT|4LHND|6aDMG|7RCR|8ZMB|9aVULN|aBPWR
3	31142 34121	 * 	318.84	DCR|2LIT|4VULN|2MLV	139aVULN|23ERES|39BPWR|49MLV|5FEWX|6RCR|7TLV|89LIT
4	31143 34121	   	318.69	DCR|2LIT|4VULN|2MLV	139aVULN|23ERES|39BPWR|49MLV|5DUST|6RCR|7TLV|89LIT
5	31436 34121	   	318.69	DCR|2LIT|4VULN|2MLV	159aVULN|2ERES|39MLV|4DUST|6RCR|7TLV|89LIT|9BPWR
6	32615 11231	 * 	316.34	DCR|3LIT|2MLV|3VULN	17aVULN|27LHND|345LIT|6RCR|7aBPWR|8aMLV|9aLWND
7	36121 23525	 * 	316.31	DCR|2LIT|3VULN|2FLTARM|2CDMG	167VULN|27CDMG|3aLIT|4FEWX|57FLTARM|7BPWR|8DUR|9RCR
8	36131 23325	   	316.31	DCR|2LIT|3VULN|2FLTARM|2CDMG	167VULN|27CDMG|3aLIT|4DUR|57FLTARM|7BPWR|8LHND|9RCR
9	36131 23625	   	316.31	DCR|2LIT|3VULN|2FLTARM|2CDMG	167VULN|27CDMG|3aLIT|4DUR|57FLTARM|7BPWR|8BEXP|9RCR
10	34716 21231	   	316.04	DCR|3LIT|2MLV|3VULN	17aVULN|2MBVNT|345LIT|6RCR|7aBPWR|8aMLV|9aLWND
11	32615 11241	   	316.04	DCR|3LIT|2MLV|3VULN	17aVULN|27LHND|345LIT|6RCR|7aBPWR|8aMLV|9aDUST
12	36121 23325	   	306.65	DCR|2LIT|3VULN|2FLTARM|2CDMG	167VULN|27CDMG|3aLIT|4FEWX|57FLTARM|7BPWR|8LHND|9RCR
13	36121 23625	   	306.55	DCR|2LIT|3VULN|2FLTARM|2CDMG	167VULN|27CDMG|3aLIT|4FEWX|57FLTARM|7BPWR|8DUST|9RCR
14	33461 34121	   	303.85	DCR|2LIT|2MLV|3VULN|1ASPD	19aVULN|2ASPD|39MLV|4RMIN|5CGEN|6RCR|7TLV|89LIT|9BPWR
15	36121 23526	 * 	302.56	DCR|3VULN|1LIT|2FLTARM|1MLV|2CDMG	167VULN|27CDMG|3LIT|4FEWX|57FLTARM|7BPWR|8DUR|9RCR|aMLV
16	36131 23326	   	302.56	DCR|3VULN|1LIT|2FLTARM|1MLV|2CDMG	167VULN|27CDMG|3LIT|4DUR|57FLTARM|7BPWR|8LHND|9RCR|aMLV
17	36131 23626	   	302.56	DCR|3VULN|1LIT|2FLTARM|1MLV|2CDMG	167VULN|27CDMG|3LIT|4DUR|57FLTARM|7BPWR|8BEXP|9RCR|aMLV
18	33436 31352	 * 	296.64	DCR|3VULN|1LIT|1MLV|3CDMG|2ASPD	158VULN|28ASPD|3MLV|4DUST|6RCR|789CDMG|8BPWR|aLIT
