0	Index      	 *	Score 	Summary	Detail	
1	35233 52124	 * 	328.09	DCR|3LIT|2MLV|2VULN|3ASPD	1aMLV|2ZMB|39aLIT|468ASPD|5aVULN|7RCR|aBPWR
2	34341 23131	 * 	322.69	ACR|3MLV|3VULN|1LIT|3DMG|1CDMG	178MLV|2RCR|378VULN|4BEXP|5FEWX|678DMG|78BPWR|9CDMG|aLIT
3	34331 23131	   	322.59	ACR|3MLV|3VULN|1LIT|3DMG|1CDMG	178MLV|2RCR|378VULN|4DUR|5FEWX|678DMG|78BPWR|9CDMG|aLIT
4	32541 23131	   	320.89	ACR|3MLV|3VULN|1LIT|3DMG|1CDMG	178MLV|278VULN|3RCR|4BEXP|5FEWX|678DMG|78BPWR|9CDMG|aLIT
5	32531 23131	   	320.79	ACR|3MLV|3VULN|1LIT|3DMG|1CDMG	178MLV|278VULN|3RCR|4DUR|5FEWX|678DMG|78BPWR|9CDMG|aLIT
6	34321 21412	 * 	317.35	ACR|3LIT|3MLV|3VULN|3ZMB	168MLV|2RCR|39aVULN|489ZMB|589LIT|7RPLT|89BPWR
7	32521 21412	   	314.65	ACR|3LIT|3MLV|3VULN|3ZMB	168MLV|29aVULN|3RCR|489ZMB|589LIT|7RPLT|89BPWR
8	34331 23143	   	307.12	ACR|3MLV|3VULN|1LIT|3DMG	178MLV|2RCR|378VULN|4DUR|5FEWX|678DMG|78BPWR|9TLV|aLIT
9	34331 23155	   	307.12	ACR|3MLV|3VULN|1LIT|3DMG	178MLV|2RCR|378VULN|4DUR|5FEWX|678DMG|78BPWR|9LHND|aLIT
10	34331 23163	   	307.12	ACR|3MLV|3VULN|1LIT|3DMG	178MLV|2RCR|378VULN|4DUR|5FEWX|678DMG|78BPWR|9CGEN|aLIT
11	35233 52134	   	307.09	DCR|2LIT|2MLV|2VULN|3ASPD	1aMLV|29ZMB|3aLIT|468ASPD|5aVULN|7RCR|aBPWR
12	34331 23643	 * 	306.81	ACR|4VULN|2MLV|1LIT|2DMG	17MLV|2RCR|378aVULN|4DUR|5FEWX|67DMG|7BPWR|9LIT
13	31236 55111	 * 	305.27	DCR|2LIT|2MLV|3VULN|1CDMG	1aMLV|2RPLT|39aVULN|4AART|5LHND|6CDMG|7aLIT|8RCR|aBPWR
14	31231 55111	   	305.12	DCR|2LIT|2MLV|3VULN|1CDMG	1aMLV|2RPLT|39aVULN|4AART|5DUST|6CDMG|7aLIT|8RCR|aBPWR
15	31233 55111	   	305.12	DCR|2LIT|2MLV|3VULN|1CDMG	1aMLV|2RPLT|39aVULN|4AART|5DUR|6CDMG|7aLIT|8RCR|aBPWR
16	32531 23143	   	304.42	ACR|3MLV|3VULN|1LIT|3DMG	178MLV|278VULN|3RCR|4DUR|5FEWX|678DMG|78BPWR|9TLV|aLIT
17	32531 23155	   	304.42	ACR|3MLV|3VULN|1LIT|3DMG	178MLV|278VULN|3RCR|4DUR|5FEWX|678DMG|78BPWR|9LHND|aLIT
18	32531 23163	   	304.42	ACR|3MLV|3VULN|1LIT|3DMG	178MLV|278VULN|3RCR|4DUR|5FEWX|678DMG|78BPWR|9CGEN|aLIT
19	32531 23643	   	304.11	ACR|4VULN|2MLV|1LIT|2DMG	17MLV|278aVULN|3RCR|4DUR|5FEWX|67DMG|7BPWR|9LIT
20	34331 23642	   	301.55	ACR|2MLV|3VULN|1LIT|3DMG	17MLV|2RCR|378VULN|4DUR|5FEWX|67aDMG|7BPWR|9LIT
21	32433 51143	 * 	299.65	DCR|2LIT|3MLV|2DMG|1VULN|1CDMG	179MLV|2VULN|39DMG|4CDMG|5aLIT|6RCR|89ERES|9BPWR
22	31218 84228	 * 	299.48	DCR|3MLV|4VULN|1LIT|1CDMG	156MLV|2RPLT|3568VULN|4MBVNT|56BPWR|7CDMG|9LIT|aRCR
23	32143 51314	 * 	299.38	DCR|2MLV|1LIT|2VULN|2DMG|1CDMG	17MLV|2aVULN|3CDMG|49DMG|5LIT|6RCR|8BEXP
24	32433 51314	   	299.38	DCR|2MLV|1LIT|2VULN|2DMG|1CDMG	17MLV|2aVULN|39DMG|4CDMG|5LIT|6RCR|8BEXP
25	32531 23642	   	298.85	ACR|2MLV|3VULN|1LIT|3DMG	17MLV|278VULN|3RCR|4DUR|5FEWX|67aDMG|7BPWR|9LIT
