0	Index      	 *	Score 	Summary	Detail	
1	53163 22132	 * 	298.68	DCR|2MLV|3VULN|1LIT|1DMG|2ZMB	1RMIN|2aZMB|3BEXP|48aVULN|5LIT|6DMG|7RCR|9aMLV|aBPWR
2	11224 67112	 * 	295.37	DCR|2LIT|3VULN|1MLV|2CDMG|1ASPD|1SELL	1SELL|2aCDMG|37aVULN|4MBVNT|5ASPD|6MLV|8aLIT|9RCR|aBPWR
3	35233 22133	   	283.03	DCR|2MLV|3VULN|1LIT|1DMG	1FEWX|248VULN|3LWND|5LIT|6DMG|7RCR|9aMLV
4	35324 52133	   	283.03	DCR|2MLV|3VULN|1LIT|1DMG	1FEWX|268VULN|3LIT|4LHND|5DMG|7RCR|9aMLV
5	35334 52133	   	282.88	DCR|2MLV|3VULN|1LIT|1DMG	1FEWX|268VULN|3LIT|4DUST|5DMG|7RCR|9aMLV
6	35533 22133	   	282.88	DCR|2MLV|3VULN|1LIT|1DMG	1FEWX|248VULN|3DUR|5LIT|6DMG|7RCR|9aMLV
7	45233 22133	   	282.88	DCR|2MLV|3VULN|1LIT|1DMG	1DUST|248VULN|3LWND|5LIT|6DMG|7RCR|9aMLV
8	45633 22133	   	282.88	DCR|2MLV|3VULN|1LIT|1DMG	1DUST|248VULN|3FEWX|5LIT|6DMG|7RCR|9aMLV
9	45533 22133	   	282.73	DCR|2MLV|3VULN|1LIT|1DMG	1DUST|248VULN|3DUR|5LIT|6DMG|7RCR|9aMLV
10	65332 31163	 * 	278.86	ACR|5VULN|2LIT|1MLV	1aLWND|2468aVULN|3RCR|5MLV|7DUST|9aLIT|aBPWR
11	65332 32163	   	278.86	ACR|5VULN|2LIT|1MLV	1aLWND|2468aVULN|3RCR|5MLV|7DUR|9aLIT|aBPWR
12	35324 52123	   	276.35	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1FEWX|268VULN|3LIT|4LHND|5DMG|7RCR|9ASPD|aMLV
13	35334 52123	   	276.25	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1FEWX|268VULN|3LIT|4DUST|5DMG|7RCR|9ASPD|aMLV
14	35533 22123	   	276.25	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1FEWX|248VULN|3DUR|5LIT|6DMG|7RCR|9ASPD|aMLV
15	45633 22123	   	276.25	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1DUST|248VULN|3FEWX|5LIT|6DMG|7RCR|9ASPD|aMLV
16	45533 22123	   	276.15	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1DUST|248VULN|3DUR|5LIT|6DMG|7RCR|9ASPD|aMLV
17	35355 22122	 * 	275.23	DCR|2LIT|2VULN|2DMG|2ASPD	1aFEWX|28VULN|3aLIT|4TLV|59ASPD|6aDMG|7RCR|aBPWR
18	11224 63112	 * 	273.23	DCR|2LIT|2VULN|1MLV|2CDMG|1ASPD|1SELL	1SELL|2aCDMG|3aVULN|4MBVNT|5ASPD|6MLV|7DMSP|8aLIT|9RCR|aBPWR
19	35233 22363	 * 	271.26	DCR|2LIT|3VULN|2DMG	19FEWX|249VULN|3LWND|5aLIT|69DMG|7RCR|8RMIN|9BPWR
20	35533 22363	   	271.16	DCR|2LIT|3VULN|2DMG	19FEWX|249VULN|3DUR|5aLIT|69DMG|7RCR|8RMIN|9BPWR
21	45233 22363	   	271.06	DCR|2LIT|3VULN|2DMG	19DUST|249VULN|3LWND|5aLIT|69DMG|7RCR|8RMIN|9BPWR
22	11225 72112	 * 	269.59	DCR|2LIT|3VULN|1DMG|2CDMG|1SELL	1SELL|2aCDMG|36aVULN|4MBVNT|56ERES|6aBPWR|7DMG|8aLIT|9RCR
