0	Index      	 *	Score 	Summary	Detail	
1	16235 32313	 * 	293.14	橙橙3易伤1攻速1暴击	129易伤3掉矿4技能点5暴击6攻速7基地爆炸8a核
2	16235 23313	   	293.04	橙橙3易伤1暴击1攻速	129易伤3掉矿4技能点5暴击6挖尘7攻速8a核
3	16321 45236	 * 	285.80	橙橙3易伤1伤害	127易伤3挖青4加一5掉矿6伤害8a核9赏金塔
4	16328 14824	   	285.80	橙橙3易伤1伤害	127易伤3挖青4加一5低血量敌人6a核8掉矿9伤害
5	16522 43222	   	284.97	橙橙2易伤1暴击1全技能1平台	12易伤3散射对甲4时间5暴击69核7平台8挖青a全技能
6	16522 43223	   	281.86	橙橙2易伤2时间1暴击1平台	12易伤3散射对甲4a时间5暴击69核7平台8挖青
7	35121 63335	   	281.39	橙橙2易伤1伤害1矿等	12雷电2序列升级34易伤5最后敌人69核7伤害8双倍秒伤a矿等
8	11122 63255	   	277.61	橙橙2易伤1伤害1攻速	16易伤2攻速3最后敌人4等级5技能7伤害8a核9赏金邻近
9	11136 63235	   	277.51	橙橙2易伤1伤害1攻速	16易伤2攻速3最后敌人4掉矿5技能7伤害8a核9赏金塔
10	11161 63235	   	277.51	橙橙2易伤1伤害1攻速	16易伤2攻速3最后敌人4技能5掉矿7伤害8a核9赏金塔
11	16522 43221	   	275.31	橙橙2易伤1暴击1平台	12易伤3散射对甲4时间5暴击69核7平台8挖青a金币生成
12	61323 24467	 * 	274.56	橙橙3矿等1易伤1平台	1技能26低血量敌人356矿等4加一6序列升级7平台89核a易伤
13	12632 51224	   	272.27	橙橙2易伤1伤害	18易伤2赏金塔3时间4赏金邻近5敌人爆炸6雷电79核a伤害
14	11635 26313	   	271.00	橙橙2易伤1攻速1暴击	19易伤2攻速3立即金币4掉矿5暴击6挖尘7等级8a核
15	16235 32333	   	271.00	橙橙2易伤1攻速1暴击	12易伤3掉矿4技能点5暴击6攻速7基地爆炸8a核9双倍矿
16	16235 23333	   	270.90	橙橙2易伤1攻速1暴击	12易伤3掉矿4技能点5暴击6挖尘7攻速8a核9双倍矿
17	16324 14444	   	270.79	橙橙2易伤1矿等1平台	12易伤3挖青4加一5雷电6掉矿7平台89核a矿等
18	12632 51226	   	269.73	橙橙2易伤1矿等	18易伤2赏金塔3时间4赏金邻近5敌人爆炸6雷电79核a矿等
19	51336 34333	 * 	268.54	橙3易伤3攻速2矿等3时间	169时间249攻速34矿等49序列升级5基地爆炸789易伤a核
20	56336 43232	   	268.21	橙橙2易伤2时间1平台	14时间26易伤3平台5加一7赏金塔8a核9双倍秒伤
21	16212 23235	   	267.01	橙橙2易伤1暴击1平台	12易伤3掉矿4随机矿5平台6技能点7暴击8a核9赏金塔
22	16262 23235	   	267.01	橙橙2易伤1暴击1平台	12易伤3掉矿4金币生成5平台6技能点7暴击8a核9赏金塔
23	16632 23235	   	267.01	橙橙2易伤1暴击1平台	12易伤3随机矿4掉矿5平台6技能点7暴击8a核9赏金塔
24	55421 23321	   	266.84	橙橙1易伤1矿等1攻速1全技能	1时间2最后敌人3全技能4易伤5矿等6雷电7a核8攻速9技能
25	16322 73236	   	265.84	橙橙3易伤	126易伤3挖青4加一5技能7金币生成8a核9赏金塔
26	16324 36215	   	265.84	橙橙3易伤	129易伤3挖青4加一5雷电6赏金塔7a核8技能
27	16324 38315	   	265.84	橙橙3易伤	129易伤3挖青4加一5雷电6赏金塔7技能8a核
28	35423 22315	   	265.75	橙橙2易伤1攻速	12雷电2序列升级3加一49易伤5攻速6时间7赏金邻近8a核
29	16322 72236	   	265.74	橙橙3易伤	126易伤3挖青4加一5技能7掉矿8a核9赏金塔
30	62322 22266	   	265.69	橙橙2矿等1易伤2时间	15技能26时间36矿等4加一6序列升级7易伤8a核9赏金邻近
31	62323 32266	   	265.59	橙橙2矿等1易伤2时间	1技能26时间35矿等4加一7易伤8a核9赏金邻近
32	16324 32315	   	265.59	橙橙3易伤1策反	129易伤3挖青4加一5雷电6赏金塔7策反8a核
33	16324 72315	   	265.59	橙橙3易伤1策反	129易伤3挖青4加一5雷电6策反7赏金邻近8a核
34	35121 63334	   	263.86	橙橙2易伤1伤害	12雷电2序列升级34易伤5a最后敌人69核7伤害8双倍秒伤
35	35121 63336	   	263.86	橙橙2易伤1伤害	12雷电2序列升级34易伤5最后敌人69核7伤害8双倍秒伤a技能
36	35121 63331	   	263.76	橙橙2易伤1伤害	12雷电2序列升级34易伤5最后敌人69核7伤害8双倍秒伤a挖尘
37	35121 63332	   	263.76	橙橙2易伤1伤害	12雷电2序列升级34易伤5最后敌人69核7伤害8双倍秒伤a挖青
38	35121 63333	   	263.76	橙橙2易伤1伤害	12雷电2序列升级34易伤5最后敌人69核7伤害8双倍秒伤a技能点
39	35125 63331	   	263.76	橙橙2易伤1伤害	12雷电2序列升级34易伤5低血量敌人69核7伤害8双倍秒伤a挖尘
40	35125 63332	   	263.76	橙橙2易伤1伤害	12雷电2序列升级34易伤5低血量敌人69核7伤害8双倍秒伤a挖青
41	35125 63333	   	263.76	橙橙2易伤1伤害	12雷电2序列升级34易伤5低血量敌人69核7伤害8双倍秒伤a技能点
42	16328 13824	   	263.66	橙橙2易伤1伤害	12易伤3挖青4加一57低血量敌人6a核8掉矿9伤害
43	56214 52344	 * 	263.66	橙橙2易伤3时间	159时间25易伤3随机矿4加一5序列升级6双倍秒伤7基地爆炸8a核
44	56214 54344	   	263.66	橙橙2易伤3时间	159时间25易伤3随机矿4加一5序列升级6双倍秒伤7低血量敌人8a核
45	11641 32331	 * 	263.43	紫橙3易伤2攻速	19a易伤29攻速3立即金币47核5随机矿6技能89基地爆炸9序列升级
46	11641 32431	   	263.23	紫橙3易伤2攻速	19a易伤29攻速3立即金币47核5随机矿6技能89挖尘9序列升级
