0	Index      	 *	Score 	Summary	Detail	
1	21122 43244	 * 	278.72	橙橙2易伤1伤害2时间	1伤害2挖尘38易伤4基地爆炸5a时间6最后敌人79核
2	21126 43243	   	277.51	橙橙2易伤1伤害1暴击	1伤害2挖尘38易伤4基地爆炸5低血量敌人6最后敌人79核a暴击
3	16512 13241	   	272.17	橙橙2易伤1伤害	1最后敌人2双倍秒伤3伤害4时间58易伤69核7双倍矿a赏金塔
4	16512 13242	   	272.17	橙橙2易伤1伤害	1最后敌人2双倍秒伤3伤害4时间58易伤69核7双倍矿a低血量敌人
5	16512 13243	   	272.17	橙橙2易伤1伤害	1最后敌人2双倍秒伤3伤害4时间58易伤69核7双倍矿a雷电
6	21122 43241	   	272.17	橙橙2易伤1伤害	1伤害2挖尘38易伤4基地爆炸5时间6最后敌人79核a赏金塔
7	21122 43242	   	272.17	橙橙2易伤1伤害	1伤害2挖尘38易伤4基地爆炸5时间6最后敌人79核a低血量敌人
8	21122 43243	   	272.17	橙橙2易伤1伤害	1伤害2挖尘38易伤4基地爆炸5时间6最后敌人79核a雷电
9	21122 43246	   	272.17	橙橙2易伤1伤害	1伤害2挖尘38易伤4基地爆炸5时间6最后敌人79核a金币生成
10	21142 43241	   	272.17	橙橙2易伤1伤害	1伤害2挖尘38易伤4敌人爆炸5时间6最后敌人79核a赏金塔
11	21142 43242	   	272.17	橙橙2易伤1伤害	1伤害2挖尘38易伤4敌人爆炸5时间6最后敌人79核a低血量敌人
12	21142 43243	   	272.17	橙橙2易伤1伤害	1伤害2挖尘38易伤4敌人爆炸5时间6最后敌人79核a雷电
13	45133 33352	   	272.17	橙橙2易伤1伤害	1寒冰对冰2时间3敌人爆炸4伤害5双倍秒伤69易伤7赏金邻近8a核
14	21122 43245	   	272.07	橙橙2易伤1伤害	1伤害2挖尘38易伤4基地爆炸5时间6最后敌人79核a双倍秒伤
15	21126 43241	   	263.86	橙橙2易伤1伤害	1伤害2挖尘38易伤4基地爆炸5低血量敌人6最后敌人79核a赏金塔
16	21126 43242	   	263.86	橙橙2易伤1伤害	1伤害2挖尘38易伤4基地爆炸5a低血量敌人6最后敌人79核
17	46133 33352	   	263.86	橙橙2易伤1伤害	1寒冰对冰2最后敌人3敌人爆炸4伤害5双倍秒伤69易伤7赏金邻近8a核
18	21124 41242	   	263.76	橙橙2易伤1伤害	1伤害2挖尘3a易伤4基地爆炸5金币生成69核7技能点8敌人爆炸
19	21513 33352	   	263.66	橙橙2易伤1伤害	1伤害2挖尘3敌人爆炸4毒液对毒5双倍秒伤69易伤7赏金邻近8a核
20	21513 36352	   	263.66	橙橙2易伤1伤害	1伤害2挖尘3敌人爆炸4毒液对毒5双倍秒伤69易伤7赏金塔8a核
21	23352 13454	   	260.87	橙橙1易伤1伤害1攻速1全技能	1伤害2全技能3立即金币4易伤5攻速6最后敌人7双倍秒伤8加一9a核
22	11361 31132	   	259.61	橙橙1易伤1伤害1攻速	1最后敌人2挖青3伤害4易伤5赏金邻近6a核7时间8攻速9赏金塔
23	43322 34352	   	257.45	橙橙2易伤1攻速	1寒冰对冰2赏金塔3最后敌人49易伤5攻速6双倍秒伤7敌人爆炸8a核
24	26122 22454	   	255.62	橙橙1易伤1伤害1全技能	1伤害2最后敌人3易伤4基地爆炸5时间6技能7全技能8加一9a核
25	24126 33613	   	254.64	橙橙1易伤1伤害1矿等1策反	1伤害2技能点3策反49掉矿5易伤6矿等7a核8防空对愈
26	24126 33623	   	254.64	橙橙1易伤1伤害1矿等1策反	1伤害2技能点3策反4掉矿5易伤6矿等7a核8防空对愈9激光减费
27	42632 31211	 * 	253.56	橙3易伤3矿等1伤害	178寒冰对冰278矿等3时间4伤害5双倍秒伤678易伤78序列升级9金币生成a核
28	21122 43344	   	252.41	橙橙1易伤1伤害2时间	1伤害28挖尘3易伤4基地爆炸5a时间6最后敌人79核
29	43326 23352	   	251.86	橙橙2易伤1策反	1寒冰对冰2赏金塔3最后敌人49易伤5双倍秒伤6时间7策反8a核
30	11361 34132	   	251.31	橙橙1易伤1伤害1攻速	1最后敌人2挖青3伤害4易伤5赏金邻近6a核7低血量敌人8攻速9赏金塔
31	26642 11132	   	251.31	橙橙1易伤1伤害1攻速	1伤害2最后敌人3立即金币4赏金邻近5易伤6a核7双倍秒伤8攻速9赏金塔
32	11361 21432	   	251.31	橙橙1易伤1伤害1攻速	1最后敌人2挖青3伤害4易伤5赏金邻近6攻速7低血量敌人8a核9赏金塔
33	21162 11432	   	251.31	橙橙1易伤1伤害1攻速	1伤害2挖尘3易伤4攻速5基地爆炸6赏金塔7低血量敌人8a核9赏金邻近
34	11361 35132	   	251.21	橙橙1易伤1伤害1攻速	1最后敌人2挖青3伤害4易伤5赏金邻近6a核7挖尘8攻速9赏金塔
35	21126 43343	   	251.21	橙橙1易伤1伤害1暴击	1伤害28挖尘3易伤4基地爆炸5低血量敌人6最后敌人79核a暴击
36	21442 11132	   	251.11	橙橙1易伤1伤害1攻速	1伤害23挖尘4赏金邻近5易伤6a核7双倍秒伤8攻速9赏金塔
37	24552 11132	   	251.11	橙橙1易伤1伤害1攻速	1伤害2技能点3赏金邻近4掉矿5易伤6a核7双倍秒伤8攻速9赏金塔
38	46231 12413	   	249.31	橙橙1易伤1攻速1平台	1寒冰对冰2最后敌人3低血量敌人4时间5随机矿6攻速7平台8易伤9a核
39	23212 22454	 * 	249.10	橙橙2攻速1伤害2全技能	1伤害24全技能3敌人爆炸56攻速7赏金塔8加一9a核
40	23212 25454	   	249.10	橙橙2攻速1伤害2全技能	1伤害24全技能3敌人爆炸56攻速7赏金邻近8加一9a核
