0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36331 23322	1	 * 	292.62	橙3易伤3伤害2等级2暴击	1立即金币29暴击3赏金塔469易伤568伤害69序列升级79等级a核
2	56136 13222	4	 * 	283.38	橙3易伤2等级3时间1伤害	1平台239时间4伤害5赏金塔689易伤79等级9序列升级a核
3	31514 33512	4	 * 	279.54	橙4易伤2等级2时间	1立即金币268a易伤38等级48时间5随机矿7核8序列升级9攻速
4	31524 33512	3	   	279.54	橙4易伤2等级2时间	1立即金币268a易伤38等级48时间5随机矿7核8序列升级9攻速
5	31532 31165	7	   	273.50	橙3易伤2等级2时间1暴击1全技能	1立即金币26a易伤3a等级4最后敌人5暴击7a时间8全技能9核a序列升级
6	15313 13333	10	   	271.72	橙3易伤2等级3时间	19敌人爆炸249时间357易伤6攻速89等级9序列升级a核
7	56132 32113	9	 * 	269.40	橙3易伤3时间2伤害1暴击	1平台238时间48伤害578易伤6加一8序列升级9暴击a核
8	15211 36362	10	   	266.99	橙2易伤2等级3时间1伤害	1敌人爆炸279时间3掉矿4雷电59易伤6伤害89等级9序列升级a核
9	31236 43432	3	 * 	263.67	橙4易伤2伤害2时间	1立即金币259a易伤34最后敌人69时间7核89伤害9序列升级
10	31236 43432	2	   	263.67	橙4易伤2伤害2时间	1立即金币259a易伤34最后敌人69时间7核89伤害9序列升级
11	32166 33432	3	   	263.67	橙4易伤2伤害2时间	1立即金币2双倍矿39时间4最后敌人569a易伤7核89伤害9序列升级
12	34236 33432	2	   	263.67	橙4易伤2伤害2时间	1立即金币29时间34最后敌人569a易伤7核89伤害9序列升级
13	34236 33432	3	   	263.67	橙4易伤2伤害2时间	1立即金币29时间34最后敌人569a易伤7核89伤害9序列升级
14	56112 33164	8	   	263.31	橙3易伤2等级3时间	1平台23a时间4a等级59a易伤6加一7核8额外掉落a序列升级
15	31514 33114	4	   	263.31	橙3易伤2等级3时间	1立即金币26a易伤3a等级49a时间5随机矿7核8赏金邻近a序列升级
16	31514 33314	4	   	263.31	橙3易伤2等级3时间	1立即金币26a易伤3a等级49a时间5随机矿7核8赏金塔a序列升级
17	31524 33114	3	   	263.31	橙3易伤2等级3时间	1立即金币26a易伤3a等级49a时间5随机矿7核8赏金邻近a序列升级
18	31524 33314	3	   	263.31	橙3易伤2等级3时间	1立即金币26a易伤3a等级49a时间5随机矿7核8赏金塔a序列升级
