0	Index      	 *	Score 	Summary	Detail	
1	11435 37212	 * 	263.66	ACR|3VULN|3ASPD|2DMG|1AART|1BEXP	17aASPD|27DMG|3AART|4RCR|5MBVNT|678VULN|7BPWR|9BEXP
2	12213 71516	 * 	262.23	ACR|4VULN|3ASPD|3DMG	18aASPD|289aVULN|3RCVC|4RCR|5MBVNT|6AAC|78aDMG|8aBPWR
3	35213 22431	 * 	259.96	ACR|4VULN|2BASARM|2ASPD|2CDMG	167aVULN|2RMIN|3RCVC|4RCR|56CDMG|6aBPWR|8aBASARM|9aASPD
4	11435 37241	 * 	259.11	ACR|3VULN|2ASPD|2DMG|2AART	17ASPD|27DMG|3aAART|4RCR|5MBVNT|678VULN|7BPWR|9AAC
5	11435 37211	 * 	254.31	ACR|4VULN|2ASPD|2DMG|1AART|1BEXP	17ASPD|27DMG|3AART|4RCR|5MBVNT|678aVULN|7BPWR|9BEXP
6	12213 71538	 * 	253.85	ACR|2VULN|1BASARM|2ASPD|2DMG	18ASPD|28VULN|3RCVC|4RCR|5MBVNT|6AAC|78DMG|8BPWR|9RMIN|aBASARM
7	11435 37222	   	251.61	ACR|3VULN|3ASPD|2DMG|1AART	17aASPD|27DMG|3AART|4RCR|5MBVNT|678VULN|7BPWR|9RCVC
8	11435 37231	   	250.81	ACR|3VULN|2ASPD|2DMG|2AART	17ASPD|27DMG|3aAART|4RCR|5MBVNT|678VULN|7BPWR|9RMIN
9	11435 37112	   	250.65	ACR|3ASPD|2VULN|2DMG|1AART|1BEXP	17aASPD|27DMG|3AART|4RCR|5MBVNT|67VULN|7BPWR|8DMSP|9BEXP
10	11432 23356	   	250.55	ACR|3ASPD|2VULN|2DMG|1AART|1BEXP	179ASPD|29DMG|3AART|4RCR|5DUST|6ERES|89VULN|9BPWR|aBEXP
11	11435 37312	   	250.01	ACR|3VULN|3ASPD|2DMG|1AART	17aASPD|27DMG|3AART|4RCR|5MBVNT|679VULN|7BPWR|8DUR
12	11432 23352	   	249.91	ACR|3VULN|3ASPD|2DMG|1AART	179ASPD|29DMG|3AART|4RCR|5DUST|6ERES|89aVULN|9BPWR
13	11435 37141	   	245.11	ACR|2VULN|2ASPD|2DMG|2AART	17ASPD|27DMG|3aAART|4RCR|5MBVNT|67VULN|7BPWR|8DMSP|9AAC
14	11435 37111	   	245.01	ACR|3VULN|2ASPD|2DMG|1AART|1BEXP	17ASPD|27DMG|3AART|4RCR|5MBVNT|67aVULN|7BPWR|8DMSP|9BEXP
15	11435 37214	   	245.01	ACR|3VULN|2ASPD|2DMG|1AART|1BEXP	17ASPD|27DMG|3AART|4RCR|5MBVNT|678VULN|7BPWR|9BEXP|aLWND
16	11435 37213	   	244.91	ACR|3VULN|2ASPD|2DMG|1AART|1BEXP	17ASPD|27DMG|3AART|4RCR|5MBVNT|678VULN|7BPWR|9BEXP|aMSLREG
17	11432 36212	   	242.97	ACR|3VULN|3ASPD|1AART|1DMG|1BEXP	17aASPD|2DMG|3AART|4RCR|57DUST|678VULN|7BPWR|9BEXP
18	11435 37311	   	240.66	ACR|4VULN|2ASPD|2DMG|1AART	17ASPD|27DMG|3AART|4RCR|5MBVNT|679aVULN|7BPWR|8DUR
19	11432 31662	 * 	240.51	ACR|2ASPD|2DMG|1VULN|2BEXP|1AART	1aASPD|2aDMG|3AART|4RCR|5DUST|6VULN|7AAC|8BELT|9aBEXP|aBPWR
20	11435 37234	   	239.66	ACR|3VULN|2ASPD|2DMG|1AART	17ASPD|27DMG|3AART|4RCR|5MBVNT|678VULN|7BPWR|9RMIN|aAAC
21	11435 37243	   	239.66	ACR|3VULN|2ASPD|2DMG|1AART	17ASPD|27DMG|3AART|4RCR|5MBVNT|678VULN|7BPWR|9AAC|aRPLT
22	11435 31381	   	239.66	ACR|3VULN|2ASPD|2DMG|1AART	19ASPD|29DMG|3AART|4RCR|5MBVNT|69aVULN|7AAC|8RPLT|9BPWR
