0	Index      	 *	Score 	Summary	Detail	
1	14434 45442	 * 	264.60	ACR|2BASARM|3DMG|2VULN|1BEXP|1AART	1RCR|279DMG|3MBVNT|4AART|5CGEN|69VULN|89BASARM|9BPWR|aBEXP
2	14432 27141	 * 	261.11	ACR|3ASPD|3DMG|3BEXP|1AART	1RCR|29aDMG|3MBVNT|4AART|5SPLREG|69aBEXP|79aASPD|8RPLT|9aBPWR
3	12442 46442	 * 	260.77	ACR|2BASARM|2ASPD|3VULN|1BEXP|1AART	1RCR|279TLV|3MBVNT|47ASPD|5AART|679VULN|79BPWR|89BASARM|aBEXP
4	12442 46447	 * 	259.57	ACR|2BASARM|2ASPD|3VULN|2AART	1RCR|279TLV|3MBVNT|47ASPD|5aAART|679VULN|79BPWR|89BASARM
5	12442 46441	   	255.43	ACR|2BASARM|2ASPD|3VULN|1AART	1RCR|279TLV|3MBVNT|47ASPD|5AART|679VULN|79BPWR|89BASARM|aAAC
6	14231 63124	 * 	254.98	ACR|2BASARM|3BEXP|2DMG|1AART	1RCR|2aDMG|3DUR|4AART|5aDUST|689BEXP|7aBASARM|aBPWR
7	14434 45443	   	250.95	ACR|2BASARM|3DMG|2VULN|1AART	1RCR|279DMG|3MBVNT|4AART|5CGEN|69VULN|89BASARM|9BPWR|aMLV
8	14434 45441	   	250.85	ACR|2BASARM|3DMG|2VULN|1AART	1RCR|279DMG|3MBVNT|4AART|5CGEN|69VULN|89BASARM|9BPWR|aMDPS
9	11114 51322	 * 	249.30	ACR|1BASARM|2ASPD|2BEXP|1DMG|1AART	1RCR|29LIT|3NUKE|4DMG|5AART|69ASPD|79BEXP|8DMSP|9BPWR|aBASARM
10	11514 51322	   	249.30	ACR|1BASARM|2ASPD|2BEXP|1DMG|1AART	1RCR|29LIT|3DMG|4NUKE|5AART|69ASPD|79BEXP|8DMSP|9BPWR|aBASARM
11	15442 46443	   	247.42	ACR|2BASARM|2ASPD|3VULN|1AART	1RCR|279aCGEN|3MBVNT|47ASPD|5AART|679VULN|79BPWR|89BASARM
12	15442 46444	   	247.42	ACR|2BASARM|2ASPD|3VULN|1AART	1RCR|279CGEN|3MBVNT|47ASPD|5AART|679VULN|79BPWR|89BASARM|aDUR
13	15442 46441	   	247.32	ACR|2BASARM|2ASPD|3VULN|1AART	1RCR|279CGEN|3MBVNT|47ASPD|5AART|679VULN|79BPWR|89BASARM|aMDPS
14	15442 46442	   	247.32	ACR|2BASARM|2ASPD|3VULN|1AART	1RCR|279CGEN|3MBVNT|47ASPD|5AART|679VULN|79BPWR|89BASARM|aTLV
15	12442 46448	   	247.12	ACR|2BASARM|2ASPD|3VULN|1AART	1RCR|279TLV|3MBVNT|47ASPD|5AART|679VULN|79BPWR|89BASARM|aRCVC
16	12442 46443	   	247.02	ACR|2BASARM|2ASPD|3VULN|1AART	1RCR|279TLV|3MBVNT|47ASPD|5AART|679VULN|79BPWR|89BASARM|aSNIFST
17	12442 46445	   	247.02	ACR|2BASARM|2ASPD|3VULN|1AART	1RCR|279TLV|3MBVNT|47ASPD|5AART|679VULN|79BPWR|89BASARM|aDUST
18	14122 34316	   	245.46	ACR|3DMG|3BEXP|2ASPD|1AART	1RCR|239DMG|49ASPD|5AART|6FEWX|7LHND|89aBEXP|9BPWR
19	11536 22322	   	243.95	ACR|1BASARM|2ASPD|2BEXP|1DMG	1RCR|29LIT|3DMG|49BEXP|59ASPD|6AAC|7DLOT|8DMSP|9BPWR|aBASARM
20	13513 63523	 * 	243.60	ACR|2BASARM|2ASPD|1DMG|1BEXP	1RCR|28MULARM|3AAC|4RMIN|58BASARM|6RPLT|78ASPD|8BPWR|9BEXP|aDMG
21	14232 21535	 * 	242.68	ACR|1BASARM|2DMG|2BASICY|1BEXP|1AART	1RCR|2aDMG|3DUR|4AART|5aSPLREG|6BEXP|7BASARM|8MBVNT|9aBASICY|aBPWR
22	14233 31435	   	242.68	ACR|1BASARM|2DMG|2BASICY|1BEXP|1AART	1RCR|2aDMG|3DUR|4AART|5MBVNT|6aMSLTOX|7BASARM|8BEXP|9aBASICY|aBPWR
23	14414 31435	   	242.68	ACR|1BASARM|2DMG|2BASICY|1BEXP|1AART	1RCR|2aDMG|3MBVNT|4FEWX|5AART|6aMSLTOX|7BASARM|8BEXP|9aBASICY|aBPWR
24	14253 33522	 * 	242.66	ACR|1BASARM|2DMG|1ASPD|1BEXP|1AART	1RCR|28DMG|35DUR|4AAC|6BASARM|7AART|9ASPD|aBEXP
25	14424 31435	   	242.58	ACR|1BASARM|2DMG|2BASICY|1BEXP|1AART	1RCR|2aDMG|3MBVNT|4DUST|5AART|6aMSLTOX|7BASARM|8BEXP|9aBASICY|aBPWR
26	14431 31435	   	242.58	ACR|1BASARM|2DMG|2BASICY|1BEXP|1AART	1RCR|2aDMG|3MBVNT|4AART|5DUST|6aMSLTOX|7BASARM|8BEXP|9aBASICY|aBPWR
27	14122 34313	   	241.13	ACR|3DMG|2ASPD|2BEXP|1AART	1RCR|239DMG|49ASPD|5AART|6FEWX|7LHND|89BEXP|9BPWR|aVULN
28	14124 14313	   	241.03	ACR|3DMG|2ASPD|2BEXP|1AART	1RCR|239DMG|49ASPD|5DUST|6AART|7LHND|89BEXP|9BPWR|aVULN
29	12442 46474	 * 	240.57	ACR|1BASARM|2ASPD|2VULN|1DMG|1AART	1RCR|27TLV|3MBVNT|47ASPD|5AART|67VULN|7BPWR|8BASARM|9RPLT|aDMG
30	14124 35121	 * 	239.95	ACR|3DMG|1BASARM|2ASPD|1SELL	1RCR|239DMG|4aASPD|5DUST|6BASARM|7SELL|8BELT
31	14432 21447	   	238.35	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AART	1RCR|2DMG|3MBVNT|4AART|5SPLREG|68BEXP|7BASARM|9VULN|aASPD
32	11214 36432	 * 	238.30	ACR|1BASARM|2ASPD|2DMG|1AART	1RCR|26LIT|36ASPD|4NUKE|5AART|6BPWR|79DMG|8LWND|aBASARM
33	11226 24432	   	238.30	ACR|1BASARM|2ASPD|2DMG|1AART	1RCR|2LIT|35ASPD|4LHND|6ZMB|79DMG|8AART|aBASARM
34	14233 31548	   	238.30	ACR|1BASARM|2ASPD|2DMG|1AART	1RCR|2aDMG|3aDUR|4AART|5MBVNT|6MSLTOX|7BASARM|8aASPD|9RMIN|aBPWR
35	14442 23436	   	238.20	ACR|1BASARM|2ASPD|2DMG|1AART	1RCR|27DMG|3MBVNT|47ASPD|5AART|67AME|7BPWR|8MLV|9FEWX|aBASARM
36	14442 33436	   	238.20	ACR|1BASARM|2ASPD|2DMG|1AART	1RCR|27DMG|3MBVNT|47ASPD|5AART|67ERES|7BPWR|8MLV|9FEWX|aBASARM
37	12342 14115	   	238.20	ACR|1BASARM|2ASPD|2DMG|1AART	1RCR|28TLV|38ASPD|4FEWX|5AART|6DUST|78DMG|8BPWR|9CGEN|aBASARM
38	11326 24432	   	236.76	ACR|1BASARM|2DMG|1ASPD|2AAC|1AART	1RCR|2LIT|3LEGI|46AAC|5ASPD|79DMG|8AART|aBASARM
39	14124 21126	 * 	236.26	ACR|3DMG|1BASARM|1ASPD|1CDMG	1RCR|237DMG|4ASPD|5DUST|6CDMG|8CGEN|9LIT|aBASARM
40	14124 32225	   	236.26	ACR|3DMG|1BASARM|1ASPD|1BEXP	1RCR|238DMG|4ASPD|5DUST|6BASARM|7DUR|9LHND|aBEXP
41	14124 32236	   	236.26	ACR|3DMG|1BASARM|1ASPD|1BEXP	1RCR|238DMG|4ASPD|5DUST|6BASARM|7DUR|9CGEN|aBEXP
