0	Index      	 *	Score 	Summary	Detail	
1	21141 25131	 * 	208.44	ACR|3DMG|3VULN|2BEXP|1AART	1RPLT|289VULN|39BEXP|479DMG|5RCR|6BELT|9BPWR|aAART
2	21141 25133	   	208.44	ACR|3DMG|3VULN|2BEXP|1CDMG	1RPLT|289VULN|39BEXP|479DMG|5RCR|6BELT|9BPWR|aCDMG
3	21141 25132	 * 	205.79	ACR|3DMG|4VULN|2BEXP	1RPLT|289aVULN|39BEXP|479DMG|5RCR|6BELT|9BPWR
4	21111 26423	 * 	200.89	ACR|1BASARM|3BEXP|3VULN	1RPLT|278VULN|369BEXP|4ERES|5RCR|aBASARM
5	13455 21223	 * 	197.00	ACR|2DMG|2BEXP|2VULN|2AAC|1CDMG	18AAC|2aVULN|3DUR|4aDMG|5RCR|6CDMG|7ZMB|9aBEXP|aBPWR
6	13555 21223	   	197.00	ACR|2DMG|2BEXP|2VULN|2AAC|1CDMG	18AAC|2aVULN|3LHND|4aDMG|5RCR|6CDMG|7ZMB|9aBEXP|aBPWR
7	21141 25135	   	194.79	ACR|3DMG|3VULN|2BEXP	1RPLT|289VULN|39BEXP|479DMG|5RCR|6BELT|9BPWR|aCGEN
8	21141 25136	   	194.79	ACR|3DMG|3VULN|2BEXP	1RPLT|289VULN|39BEXP|479DMG|5RCR|6BELT|9BPWR|aLWND
9	21141 25134	   	194.69	ACR|3DMG|3VULN|2BEXP	1RPLT|289VULN|39BEXP|479DMG|5RCR|6BELT|9BPWR|aTLV
10	21141 23136	   	190.14	ACR|4VULN|2DMG|2BEXP	17RPLT|289aVULN|39BEXP|49DMG|5RCR|6BELT|9BPWR
11	21141 26136	   	190.14	ACR|4VULN|2DMG|2BEXP	1RPLT|289aVULN|39BEXP|49DMG|5RCR|6BELT|7RCVC|9BPWR
12	21141 12333	 * 	189.92	ACR|2ASPD|2DMG|2VULN|1BEXP	19RPLT|2aVULN|3BEXP|4aDMG|5RCR|6ERES|7LWND|8aASPD|aBPWR
13	21141 14333	   	189.92	ACR|2ASPD|2DMG|2VULN|1BEXP	19RPLT|2aVULN|3BEXP|4aDMG|5RCR|6ERES|7DUR|8aASPD|aBPWR
14	21141 42333	   	189.92	ACR|2ASPD|2DMG|2VULN|1BEXP	19RPLT|2aVULN|3BEXP|4aDMG|5RCR|6TLV|7LWND|8aASPD|aBPWR
15	21141 44333	   	189.92	ACR|2ASPD|2DMG|2VULN|1BEXP	19RPLT|2aVULN|3BEXP|4aDMG|5RCR|6TLV|7DUR|8aASPD|aBPWR
16	21541 15333	   	189.92	ACR|2ASPD|2DMG|2VULN|1BEXP	19RPLT|2aVULN|3DUR|4aDMG|5RCR|6ERES|7BEXP|8aASPD|aBPWR
17	64131 61323	 * 	189.76	ACR|1BASARM|1ASPD|1DMG|1BEXP|1VULN	1DUST|2RPLT|3BEXP|4DMG|5RCR|6MDPS|7ASPD|8ERES|9VULN|aBASARM
18	21111 24423	   	188.96	ACR|1BASARM|3BEXP|2VULN	1RPLT|28VULN|369BEXP|4ERES|5RCR|7RCVC|aBASARM
19	21111 26623	   	188.96	ACR|1BASARM|3BEXP|2VULN	1RPLT|27VULN|369BEXP|4ERES|5RCR|8RCVC|aBASARM
20	21141 51333	 * 	187.78	ACR|3DMG|2VULN|1ASPD|1BEXP	1RPLT|2aVULN|3BEXP|48aDMG|5RCR|6DUST|7ASPD|9aTLV|aBPWR
21	64131 51331	 * 	187.51	ACR|3DMG|3BEXP|1CDMG	167DUST|2RPLT|37aBEXP|478DMG|5RCR|7BPWR|9CDMG
22	24131 13253	 * 	187.17	ACR|2ASPD|2BEXP|2VULN|1DMG	1RPLT|2FEWX|3aBEXP|4DMG|5RCR|6ERES|7aVULN|8LHND|9aASPD|aBPWR
23	21141 51433	 * 	184.06	ACR|2DMG|3VULN|1ASPD|1BEXP	1RPLT|28aVULN|3BEXP|4aDMG|5RCR|6DUST|7ASPD|9aTLV|aBPWR
24	24131 51216	   	183.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1RPLT|29FEWX|3BEXP|4DMG|5RCR|6DUST|7ASPD|8LHND|aBASARM
25	21141 25121	   	181.47	ACR|3DMG|2VULN|1AART|1BEXP	1RPLT|28VULN|3BEXP|479DMG|5RCR|6BELT|aAART
26	21141 25123	   	181.47	ACR|3DMG|2VULN|1BEXP|1CDMG	1RPLT|28VULN|3BEXP|479DMG|5RCR|6BELT|aCDMG
27	24131 31151	 * 	180.95	ACR|2DMG|2BEXP|1ASPD|1CDMG	1RPLT|27FEWX|37BEXP|47DMG|5RCR|6RCVC|7BPWR|8BELT|9ASPD|aCDMG
28	64131 31151	   	180.75	ACR|2DMG|2BEXP|1ASPD|1CDMG	17DUST|2RPLT|37BEXP|47DMG|5RCR|6RCVC|7BPWR|8BELT|9ASPD|aCDMG
29	21241 25131	   	179.95	ACR|3DMG|3VULN|1AART	1RPLT|289VULN|379DMG|49FEWX|5RCR|6BELT|9BPWR|aAART
30	21241 25133	   	179.95	ACR|3DMG|3VULN|1CDMG	1RPLT|289VULN|379DMG|49FEWX|5RCR|6BELT|9BPWR|aCDMG
31	24221 25131	   	179.95	ACR|3DMG|3VULN|1AART	1RPLT|29FEWX|379DMG|489VULN|5RCR|6BELT|9BPWR|aAART
32	24221 25133	   	179.95	ACR|3DMG|3VULN|1CDMG	1RPLT|29FEWX|379DMG|489VULN|5RCR|6BELT|9BPWR|aCDMG
33	21141 25122	   	179.75	ACR|3DMG|3VULN|1BEXP	1RPLT|28aVULN|3BEXP|479DMG|5RCR|6BELT
34	64221 25131	   	179.75	ACR|3DMG|3VULN|1AART	19DUST|2RPLT|379DMG|489VULN|5RCR|6BELT|9BPWR|aAART
