0	Index      	 *	Score 	Summary	Detail	
1	22341 46233	 * 	263.90	ACR|1BASARM|2DMG|2VULN|2BEXP|1BASICY|1SELL	1RCR|2DUR|3aBEXP|4SELL|5LIT|6BASICY|7aVULN|8BASARM|9aDMG|aBPWR
2	21411 14718	 * 	253.31	ACR|2VULN|2ASPD|2DMG|2CDMG|1AART	1RCR|2RMIN|3aVULN|45DMG|6MBVNT|7aCDMG|8AART|9aASPD|aBPWR
3	21111 43415	 * 	243.41	ACR|1BASARM|2ASPD|2DMG|1VULN	1RCR|2RMIN|3DUR|45DMG|6MLV|79ASPD|8VULN|aBASARM
4	22211 43415	   	243.41	ACR|1BASARM|2ASPD|2DMG|1VULN	1RCR|2DUR|3ZMB|45DMG|6MLV|79ASPD|8VULN|aBASARM
5	21111 63415	   	243.31	ACR|1BASARM|2ASPD|2DMG|1VULN	1RCR|2RMIN|3DUR|45DMG|6TLV|79ASPD|8VULN|aBASARM
6	22211 63415	   	243.31	ACR|1BASARM|2ASPD|2DMG|1VULN	1RCR|2DUR|3ZMB|45DMG|6TLV|79ASPD|8VULN|aBASARM
7	24326 23162	 * 	241.15	ACR|2VULN|2ASPD|2BEXP|1DMG|1AART	1RCR|2CGEN|36VULN|46BEXP|5AART|6BPWR|7AEFBLL|89ASPD|aDMG
8	22341 46221	 * 	239.70	ACR|1BASARM|1VULN|1ASPD|1DMG|1BASICY|1BEXP|1SELL	1RCR|2DUR|3BEXP|4SELL|5LIT|6BASICY|7VULN|8BASARM|9ASPD|aDMG
9	11141 14233	 * 	239.52	ACR|1BASARM|2VULN|2DMG|2CDMG|1BASICY	1BASICY|2aVULN|3LEGI|4LIT|5RCR|6LWND|7aCDMG|8BASARM|9aDMG|aBPWR
10	11141 24233	   	239.52	ACR|1BASARM|2VULN|2DMG|2CDMG|1BASICY	1BASICY|2aVULN|3LEGI|4LIT|5RCR|6LHND|7aCDMG|8BASARM|9aDMG|aBPWR
11	24323 22162	   	239.15	ACR|2VULN|2ASPD|2BEXP|1DMG|1AART	1RCR|2CGEN|36VULN|45BEXP|7AART|89ASPD|aDMG
12	22322 53143	 * 	238.21	ACR|2ASPD|2DMG|2BEXP|1VULN|1CDMG	1RCR|2DUR|39BEXP|4TLV|5FEWX|69ASPD|7VULN|89DMG|9BPWR|aCDMG
13	23322 53143	   	238.11	ACR|2ASPD|2DMG|2BEXP|1VULN|1CDMG	1RCR|2DUST|39BEXP|4TLV|5FEWX|69ASPD|7VULN|89DMG|9BPWR|aCDMG
14	23326 53143	   	238.11	ACR|2ASPD|2DMG|2BEXP|1VULN|1CDMG	1RCR|2DUST|39BEXP|4TLV|5LWND|69ASPD|7VULN|89DMG|9BPWR|aCDMG
15	24322 53143	   	238.00	ACR|2VULN|2ASPD|2DMG|1BEXP|1CDMG	1RCR|2CGEN|39VULN|4BEXP|5FEWX|69ASPD|7DUST|89DMG|9BPWR|aCDMG
