0	Index      	 *	Score 	Summary	Detail	
1	24531 32125	 * 	238.05	ACR|2VULN|1BASARM|3BEXP|2ASPD	178BEXP|2LIT|3RPLT|4RCR|57ASPD|67VULN|7BPWR|9BELT|aBASARM
2	24531 32362	 * 	220.00	ACR|3VULN|3ASPD|3BEXP	17aBEXP|2LIT|3RPLT|4RCR|579ASPD|67aVULN|7aBPWR|8aAIRHEL
3	24531 32411	 * 	213.15	ACR|3VULN|2ASPD|2BEXP|1DMG	17BEXP|2LIT|3RPLT|4RCR|57ASPD|679VULN|7BPWR|8DMG|aRMIN
4	24531 32412	   	213.15	ACR|3VULN|2ASPD|2BEXP|1DMG	17BEXP|2LIT|3RPLT|4RCR|57ASPD|679VULN|7BPWR|8DMG|aMLV
5	24531 32413	   	213.05	ACR|3VULN|2ASPD|2BEXP|1DMG	17BEXP|2LIT|3RPLT|4RCR|57ASPD|679VULN|7BPWR|8DMG|aERES
6	24531 32132	 * 	212.06	ACR|2VULN|3BEXP|2ASPD|1DMG	178BEXP|2LIT|3RPLT|4RCR|57ASPD|67VULN|7BPWR|9LWND|aDMG
7	24531 32242	   	212.06	ACR|2VULN|3BEXP|2ASPD|1DMG	179BEXP|2LIT|3RPLT|4RCR|57ASPD|67VULN|7BPWR|8DUR|aDMG
8	24534 32132	 * 	212.06	ACR|2VULN|3BEXP|2DMG|1ASPD	178BEXP|2LIT|3RPLT|4RCR|57DMG|67VULN|7BPWR|9LWND|aASPD
9	24531 32112	   	211.96	ACR|2VULN|3BEXP|2ASPD|1DMG	178BEXP|2LIT|3RPLT|4RCR|57ASPD|67VULN|7BPWR|9DUST|aDMG
10	24531 32142	   	211.96	ACR|2VULN|3BEXP|2ASPD|1DMG	178BEXP|2LIT|3RPLT|4RCR|57ASPD|67VULN|7BPWR|9MBVNT|aDMG
11	24534 32112	   	211.96	ACR|2VULN|3BEXP|2DMG|1ASPD	178BEXP|2LIT|3RPLT|4RCR|57DMG|67VULN|7BPWR|9DUST|aASPD
12	24531 32422	   	209.00	ACR|2VULN|2ASPD|2BEXP|1DMG|1AAC	17BEXP|2LIT|3RPLT|4RCR|57ASPD|67VULN|7BPWR|8DMG|9AME|aAAC
