0	Index      	 *	Score 	Summary	Detail	
1	45263 21213	 * 	220.68	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AAC	1RCVC|2RCR|3CGEN|4AAC|5DMG|6AME|7CDMG|8VULN|9BEXP|aBASARM
2	23662 41312	 * 	219.44	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1BEXP	1VULN|2BEXP|3MLV|4RMIN|5RCR|6DMG|7AART|8ASPD|9TLV|aBASARM
3	23662 41332	   	219.44	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1BEXP	1VULN|2BEXP|3MLV|4RMIN|5RCR|6DMG|7AART|8ASPD|9ERES|aBASARM
4	45251 31312	   	217.28	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1RCVC|2RCR|3CGEN|4VULN|5BEXP|6DUST|7AART|8ASPD|9TLV|aBASARM
5	45251 31332	   	217.28	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1RCVC|2RCR|3CGEN|4VULN|5BEXP|6DUST|7AART|8ASPD|9ERES|aBASARM
6	62111 63143	 * 	216.37	ACR|1BASARM|2AART|1VULN|1BEXP|1AAC	1BELT|2CGEN|36AART|4RCR|5AAC|7RCVC|8VULN|9BEXP|aBASARM
7	61111 63143	   	216.27	ACR|1BASARM|2AART|1VULN|1BEXP|1AAC	1BELT|2AME|36AART|4RCR|5AAC|7RCVC|8VULN|9BEXP|aBASARM
8	62111 41631	 * 	214.86	ACR|3VULN|3DMG|1AART|1AAC	1BELT|279CGEN|3AART|4RCR|5AAC|679DMG|79BPWR|89aVULN
9	61111 62363	   	214.07	ACR|1BASARM|2AART|1VULN|1BEXP|1AAC	1BELT|2AME|36AART|4RCR|5AAC|7BEXP|8LHND|9VULN|aBASARM
10	23622 41632	 * 	213.21	ACR|1BASARM|1VULN|2BEXP|1DMG|1AART	1VULN|29BEXP|3MLV|4ERES|5RCR|6DMG|7AART|8LWND|aBASARM
11	23622 41532	   	213.11	ACR|1BASARM|1VULN|2BEXP|1DMG|1AART	1VULN|29BEXP|3MLV|4ERES|5RCR|6DMG|7AART|8LEGI|aBASARM
12	45131 26213	   	212.38	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1RCVC|2RCR|3ERES|4RMIN|5CDMG|6CGEN|7ASPD|8VULN|9BEXP|aBASARM
13	45233 21213	   	212.38	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1RCVC|2RCR|3CGEN|4RMIN|5DMG|6AME|7CDMG|8VULN|9BEXP|aBASARM
14	45343 21213	   	212.38	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1RCVC|2RCR|3ZMB|4CGEN|5DMG|6AME|7CDMG|8VULN|9BEXP|aBASARM
15	45133 21213	   	212.28	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1RCVC|2RCR|3ERES|4RMIN|5DMG|6AME|7CDMG|8VULN|9BEXP|aBASARM
16	45533 21213	   	212.28	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1RCVC|2RCR|3TLV|4RMIN|5DMG|6AME|7CDMG|8VULN|9BEXP|aBASARM
17	22222 46632	   	212.21	ACR|1BASARM|1VULN|2BEXP|1DMG|1AART	1VULN|2CGEN|3LWND|4ERES|5RCR|6DMG|79BEXP|8AART|aBASARM
18	23622 42632	   	212.21	ACR|1BASARM|1VULN|2BEXP|1DMG|1AART	1VULN|29BEXP|3MLV|4ERES|5RCR|6DMG|7LWND|8AART|aBASARM
19	61111 33523	 * 	212.05	ACR|1BASARM|2VULN|2AART|1AAC	1BELT|2AME|38AART|4RCR|5AAC|69VULN|7LIT|aBASARM
20	61111 41631	 * 	211.40	ACR|3DMG|2VULN|1AART|2AAC	1BELT|279AME|3AART|4RCR|5aAAC|679DMG|79BPWR|89VULN
21	45221 35222	 * 	210.54	ACR|1BASARM|3BEXP|1ASPD	16RCVC|2RCR|3CGEN|457BEXP|8ASPD|9DMSP|aBASARM
22	45121 35222	   	210.44	ACR|1BASARM|3BEXP|1ASPD	16RCVC|2RCR|3ERES|457BEXP|8ASPD|9DMSP|aBASARM
23	45251 11111	 * 	210.20	ACR|3BEXP|1VULN|1DMG|1BASICY|1CDMG	1RCVC|2RCR|3CGEN|4VULN|589BEXP|6BASICY|7DMG|aCDMG
24	61111 15263	 * 	209.77	ACR|1BASARM|1AART|1VULN|1DMG|2AAC	1BELT|2AME|3AART|4RCR|56AAC|7NUKE|8DMG|9VULN|aBASARM
25	42624 48232	 * 	207.21	ACR|1BASARM|2ASPD|1VULN|1CDMG	1RCVC|2RPLT|3MBVNT|4RCR|5CDMG|6VULN|78ASPD|9TLV|aBASARM
26	62113 65223	 * 	206.45	ACR|1BASARM|2VULN|1AART|1ASPD	18BELT|2CGEN|3AART|4RCR|59VULN|6LIT|7ASPD|aBASARM
