0	Index      	 *	Score 	Summary	Detail	
1	13613 24326	 * 	241.21	ACR|3ASPD|3DMG|3BEXP|1AART	1AART|28aBEXP|38aASPD|4DUST|5RCR|69DUR|78aDMG|8aBPWR
2	13613 41336	   	225.56	ACR|3ASPD|3BEXP|2DMG|1AART	1AART|28aBEXP|38aASPD|4DUST|5RCR|69DMG|78aDUR|8aBPWR
3	13613 25236	   	225.36	ACR|3DMG|3BEXP|2ASPD|1AART	1AART|27aBEXP|3aASPD|4DUST|5RCR|6DUR|89aDMG|aBPWR
4	13163 15136	   	223.46	ACR|3BEXP|2ASPD|2DMG|1CDMG|1AART	1AART|27aBEXP|3FEWX|4aASPD|5RCR|6LHND|8CDMG|9aDMG|aBPWR
5	13643 24313	 * 	217.34	ACR|2ASPD|2DMG|2BEXP|1VULN|1AART	1AART|28BEXP|38ASPD|49FEWX|5RCR|6DUR|78DMG|8BPWR|aVULN
6	13643 24323	   	217.34	ACR|2ASPD|2DMG|2BEXP|1VULN|1AART	1AART|28BEXP|38ASPD|4FEWX|5RCR|69DUR|78DMG|8BPWR|aVULN
7	13163 65323	   	217.24	ACR|2ASPD|2DMG|2BEXP|1VULN|1AART	1AART|28BEXP|3FEWX|48ASPD|5RCR|6MBVNT|78DMG|8BPWR|9LHND|aVULN
8	13163 65332	   	217.24	ACR|2ASPD|2DMG|2BEXP|1VULN|1AART	1AART|28BEXP|3FEWX|48ASPD|5RCR|6MBVNT|78DMG|8BPWR|9DUR|aVULN
9	13613 24312	   	217.24	ACR|2ASPD|2DMG|2BEXP|1VULN|1AART	1AART|28BEXP|38ASPD|4DUST|5RCR|6DUR|78DMG|8BPWR|9FEWX|aVULN
10	14123 24336	   	214.91	ACR|3ASPD|3DMG|1CDMG|1AART	1AART|2MDPS|348ASPD|5RCR|68DUR|78aDMG|8BPWR|9CDMG
11	14123 41336	   	214.91	ACR|3ASPD|3DMG|1CDMG|1AART	1AART|2MDPS|348ASPD|5RCR|68aDMG|78DUR|8BPWR|9CDMG
12	14123 32243	 * 	214.26	ACR|1BASARM|2ASPD|1DMG|1CDMG|1AART	1AART|2MDPS|34ASPD|5RCR|6ZMB|7CGEN|8DMG|9CDMG|aBASARM
13	14123 35243	   	214.16	ACR|1BASARM|2ASPD|1DMG|1AART|1CDMG	1AART|2MDPS|34ASPD|5RCR|6ZMB|7ERES|8DMG|9CDMG|aBASARM
14	13163 65314	   	214.10	ACR|3DMG|2ASPD|2BEXP|1AART	1AART|28BEXP|3FEWX|48ASPD|5RCR|6MBVNT|78aDMG|8BPWR|9BELT
15	13613 24332	   	214.10	ACR|3DMG|2ASPD|2BEXP|1AART	1AART|28BEXP|38ASPD|4DUST|5RCR|6DUR|789DMG|8BPWR|aLIT
16	13613 24334	   	214.10	ACR|3DMG|2ASPD|2BEXP|1AART	1AART|28BEXP|38ASPD|4DUST|5RCR|6aDUR|789DMG|8BPWR
17	13613 24331	   	213.99	ACR|3DMG|2ASPD|2BEXP|1AART	1AART|28BEXP|38ASPD|4DUST|5RCR|6DUR|789DMG|8BPWR|aAIRHEL
18	13613 24333	   	213.99	ACR|3DMG|2ASPD|2BEXP|1AART	1AART|28BEXP|38ASPD|4DUST|5RCR|6DUR|789DMG|8BPWR|aAME
19	13613 24336	   	213.99	ACR|3DMG|2ASPD|2BEXP|1AART	1AART|28BEXP|38ASPD|4DUST|5RCR|6DUR|789DMG|8BPWR|aTLV
20	14123 24321	 * 	213.98	ACR|3ASPD|2DMG|1VULN|1AART|1AAC	1AART|2MDPS|348ASPD|5RCR|68DUR|78DMG|8BPWR|9AAC|aVULN
21	14123 41321	   	213.98	ACR|3ASPD|2DMG|1VULN|1AART|1AAC	1AART|2MDPS|348ASPD|5RCR|68DMG|78DUR|8BPWR|9AAC|aVULN
22	14123 45321	   	213.78	ACR|3ASPD|2DMG|1VULN|1AART|1AAC	1AART|2MDPS|348ASPD|5RCR|68DMG|78DUST|8BPWR|9AAC|aVULN
23	13163 24353	 * 	212.26	ACR|2DMG|2BEXP|2AART|1VULN|1ASPD	19AART|28BEXP|38FEWX|4ASPD|5RCR|6DUR|78DMG|8BPWR|aVULN
24	13613 24341	   	212.09	ACR|2ASPD|2DMG|2BEXP|1AART|1CDMG	1AART|28BEXP|38ASPD|4DUST|5RCR|6DUR|78DMG|8BPWR|9CDMG|aRMIN
25	13613 24342	   	212.09	ACR|2ASPD|2DMG|2BEXP|1AART|1CDMG	1AART|28BEXP|38ASPD|4DUST|5RCR|6DUR|78DMG|8BPWR|9CDMG|aLIT
