0	Index      	 *	Score 	Summary	Detail	
1	21335 51143	 * 	218.78	ACR|3DMG|2VULN|2BEXP|2CDMG	123DMG|3aBPWR|4RCVC|5RCR|6aBEXP|7aCDMG|8AAC|9aVULN
2	21335 13413	 * 	216.72	ACR|3DMG|1BASARM|1VULN|1AART	123DMG|3BPWR|4RCVC|5RCR|6ZMB|7VULN|8BASARM|9RMIN|aAART
3	42531 22222	 * 	215.80	ACR|3VULN|3ASPD|3CDMG	1LHND|29aVULN|3FEWX|4RCR|5TLV|69aCDMG|7CGEN|89aASPD|9aBPWR
4	21335 13411	   	215.43	ACR|3DMG|1BASARM|1VULN|1CDMG	123DMG|3BPWR|4RCVC|5RCR|6ZMB|7VULN|8BASARM|9RMIN|aCDMG
5	21335 13421	   	215.33	ACR|3DMG|1BASARM|1VULN|1CDMG	123DMG|3BPWR|4RCVC|5RCR|6ZMB|7VULN|8BASARM|9TLV|aCDMG
6	21335 13441	   	214.14	ACR|3DMG|1BASARM|1VULN|1BEXP	123DMG|3BPWR|4RCVC|5RCR|6ZMB|7VULN|8BASARM|9FEWX|aBEXP
7	21335 13461	   	214.14	ACR|3DMG|1BASARM|1VULN|1BEXP	123DMG|3BPWR|4RCVC|5RCR|6ZMB|7VULN|8BASARM|9LWND|aBEXP
8	21335 13416	 * 	214.02	ACR|3DMG|1BASARM|2VULN	123DMG|3BPWR|4RCVC|5RCR|6ZMB|7aVULN|8BASARM|9RMIN
9	23232 13545	 * 	211.99	DCR|3DMG|2VULN|2ASPD|2BEXP|1AAC	148DMG|28ASPD|3MLV|56BEXP|78VULN|8BPWR|9AAC|aRCR
10	42634 22222	   	210.80	ACR|3VULN|3ASPD|3CDMG	1LHND|29aVULN|3TLV|4LWND|5RCR|69aCDMG|7CGEN|89aASPD|9aBPWR
11	42624 22222	   	210.70	ACR|3VULN|3ASPD|3CDMG	1LHND|29aVULN|3TLV|4DUST|5RCR|69aCDMG|7CGEN|89aASPD|9aBPWR
12	21133 14125	   	207.00	DCR|2VULN|3DMG|2ASPD|2BEXP	128DMG|3RCVC|46BEXP|58VULN|78ASPD|8BPWR|9LWND|aRCR
13	21133 14155	   	206.90	DCR|2VULN|3DMG|2ASPD|2BEXP	128DMG|3RCVC|46BEXP|58VULN|78ASPD|8BPWR|9DUST|aRCR
14	23232 13535	   	203.69	DCR|3DMG|2VULN|2ASPD|2BEXP	148DMG|28ASPD|3MLV|56BEXP|78VULN|8BPWR|9CGEN|aRCR
15	23632 13535	   	203.59	DCR|3DMG|2VULN|2ASPD|2BEXP	148DMG|28ASPD|3TLV|56BEXP|78VULN|8BPWR|9CGEN|aRCR
16	23232 13525	   	203.59	DCR|3DMG|2VULN|2ASPD|2BEXP	148DMG|28ASPD|3MLV|56BEXP|78VULN|8BPWR|9ERES|aRCR
17	23632 13525	   	203.49	DCR|3DMG|2VULN|2ASPD|2BEXP	148DMG|28ASPD|3TLV|56BEXP|78VULN|8BPWR|9ERES|aRCR
18	21335 56131	 * 	203.13	ACR|3DMG|2ASPD|2BEXP	123DMG|3BPWR|4RCVC|5RCR|67BEXP|8aASPD|9AEMAG
19	42533 23333	   	200.50	ACR|1BASARM|2DMG|1VULN|1CDMG	1LHND|2VULN|3FEWX|4RCR|57DMG|6CDMG|8SPLREG|9CGEN|aBASARM
20	21335 13442	   	200.49	ACR|3DMG|1BASARM|1VULN	123DMG|3BPWR|4RCVC|5RCR|6ZMB|7VULN|8BASARM|9FEWX|aCGEN
21	21335 13462	   	200.49	ACR|3DMG|1BASARM|1VULN	123DMG|3BPWR|4RCVC|5RCR|6ZMB|7VULN|8BASARM|9LWND|aCGEN
22	42533 23313	   	200.40	ACR|1BASARM|2DMG|1VULN|1CDMG	1LHND|2VULN|3FEWX|4RCR|57DMG|6CDMG|8SPLREG|9AME|aBASARM
23	42533 23323	   	200.40	ACR|1BASARM|2DMG|1VULN|1CDMG	1LHND|2VULN|3FEWX|4RCR|57DMG|6CDMG|8SPLREG|9ERES|aBASARM
24	21335 13412	   	200.39	ACR|3DMG|1BASARM|1VULN	123DMG|3BPWR|4RCVC|5RCR|6ZMB|7VULN|8BASARM|9RMIN|aMDPS
25	21335 13414	   	200.39	ACR|3DMG|1BASARM|1VULN	123DMG|3BPWR|4RCVC|5RCR|6ZMB|7VULN|8BASARM|9RMIN|aDUST
26	21335 13415	   	200.39	ACR|3DMG|1BASARM|1VULN	123DMG|3BPWR|4RCVC|5RCR|6ZMB|7VULN|8BASARM|9RMIN|aLEGI
27	21335 13423	   	200.39	ACR|3DMG|1BASARM|1VULN	123DMG|3BPWR|4RCVC|5RCR|6ZMB|7VULN|8BASARM|9TLV|aDUR
28	21335 13425	   	200.39	ACR|3DMG|1BASARM|1VULN	123DMG|3BPWR|4RCVC|5RCR|6ZMB|7VULN|8BASARM|9TLV|aDMSP
29	21335 13422	   	200.29	ACR|3DMG|1BASARM|1VULN	123DMG|3BPWR|4RCVC|5RCR|6ZMB|7VULN|8BASARM|9TLV|aMDPS
30	21335 13424	   	200.29	ACR|3DMG|1BASARM|1VULN	123DMG|3BPWR|4RCVC|5RCR|6ZMB|7VULN|8BASARM|9TLV|aDUST
31	21335 13426	   	200.29	ACR|3DMG|1BASARM|1VULN	123DMG|3BPWR|4RCVC|5RCR|6ZMB|7VULN|8BASARM|9TLV|aERES
32	21335 13443	   	200.24	ACR|3DMG|1BASARM|1VULN|1SELL	123DMG|3BPWR|4RCVC|5RCR|6ZMB|7VULN|8BASARM|9FEWX|aSELL
33	21335 13453	   	200.24	ACR|3DMG|1BASARM|1VULN|1SELL	123DMG|3BPWR|4RCVC|5RCR|6ZMB|7VULN|8BASARM|9SELL|aMLV
34	21335 13463	   	200.24	ACR|3DMG|1BASARM|1VULN|1SELL	123DMG|3BPWR|4RCVC|5RCR|6ZMB|7VULN|8BASARM|9LWND|aSELL
35	21335 13451	   	200.14	ACR|3DMG|1BASARM|1VULN|1SELL	123DMG|3BPWR|4RCVC|5RCR|6ZMB|7VULN|8BASARM|9SELL|aTLV
36	21335 13452	   	200.14	ACR|3DMG|1BASARM|1VULN|1SELL	123DMG|3BPWR|4RCVC|5RCR|6ZMB|7VULN|8BASARM|9SELL|aDUST
37	21335 53347	   	199.40	ACR|3DMG|1BASARM|1BEXP	123DMG|3BPWR|4aRCVC|5RCR|6BEXP|7MBVNT|8LIT|9BASARM
38	21335 56113	   	199.19	ACR|3DMG|2BEXP|1ASPD|1AART	123DMG|3BPWR|4RCVC|5RCR|67BEXP|8ASPD|9MULARM|aAART
39	21335 53341	   	199.08	ACR|3DMG|1BASARM|1BEXP	123DMG|3BPWR|4RCVC|5RCR|6BEXP|7MBVNT|8LIT|9BASARM|aBELT
40	21335 53342	   	199.08	ACR|3DMG|1BASARM|1BEXP	123DMG|3BPWR|4RCVC|5RCR|6BEXP|7MBVNT|8LIT|9BASARM|aLWND
41	21335 53344	   	199.08	ACR|3DMG|1BASARM|1BEXP	123DMG|3BPWR|4RCVC|5RCR|6BEXP|7MBVNT|8LIT|9BASARM|aLHND
42	21335 53343	   	198.98	ACR|3DMG|1BASARM|1BEXP	123DMG|3BPWR|4RCVC|5RCR|6BEXP|7MBVNT|8LIT|9BASARM|aAEFBLL
43	21335 53345	   	198.98	ACR|3DMG|1BASARM|1BEXP	123DMG|3BPWR|4RCVC|5RCR|6BEXP|7MBVNT|8LIT|9BASARM|aTLV
44	21335 53346	   	198.98	ACR|3DMG|1BASARM|1BEXP	123DMG|3BPWR|4RCVC|5RCR|6BEXP|7MBVNT|8LIT|9BASARM|aMDPS
45	42532 23523	 * 	197.29	ACR|2ASPD|1VULN|1DMG|2CDMG|1AART	1LHND|2VULN|3FEWX|4RCR|59ASPD|6aCDMG|7DMG|8AART
46	26223 26162	 * 	196.65	ACR|2VULN|2DMG|1ASPD|1BEXP|1CDMG	18DMG|2DUST|38ERES|4CDMG|5RCR|6FEWX|78VULN|8BPWR|9ASPD|aBEXP
47	21335 51214	   	196.62	ACR|3DMG|2BEXP|1VULN|1CDMG	123DMG|3BPWR|48RCVC|5RCR|6aBEXP|7CDMG|9VULN
48	12132 64161	 * 	195.72	ACR|3ASPD|3DMG	1CGEN|2ERES|3RCVC|4RCR|567ASPD|89aDMG
49	21131 13545	   	195.31	DCR|3DMG|2VULN|2BEXP|1ASPD|1AAC	128DMG|3RCVC|48BEXP|5ASPD|6ERES|78VULN|8BPWR|9AAC|aRCR
