0	Index      	 *	Score 	Summary	Detail	
1	41343 24213	 * 	306.28	DCR|3LIT|2MLV|2VULN|2ASPD	125LIT|2aBPWR|3BELT|4aASPD|6LWND|7RCR|8aVULN|9aMLV
2	43531 23152	 * 	302.56	DCR|2LIT|2MLV|2VULN|2DMG	17LIT|2ERES|37MLV|4LHND|5TLV|67DMG|7BPWR|89VULN|aRCR
3	43532 23152	   	302.56	DCR|2LIT|2MLV|2VULN|2DMG	17LIT|2ERES|37MLV|4LHND|5CGEN|67DMG|7BPWR|89VULN|aRCR
4	31352 14314	 * 	291.89	DCR|2LIT|2MLV|2VULN|1FLTARM	1LHND|2aMLV|3DUST|4FLTARM|5aLIT|6RCVC|7RCR|8CGEN|9aVULN|aBPWR
5	41313 32431	   	288.56	DCR|3LIT|2VULN|1MLV|2ASPD	129LIT|29BPWR|3BELT|48DUST|59VULN|6RCR|79ASPD|aMLV
6	42323 33122	 * 	284.93	DCR|2LIT|4VULN|2DMG	17LIT|2DUR|37DMG|4578VULN|6RMIN|7BPWR|9LWND|aRCR
7	42563 33122	   	284.93	DCR|2LIT|4VULN|2DMG	17LIT|2DUR|3578VULN|47DMG|6RMIN|7BPWR|9LWND|aRCR
8	42563 33112	   	284.83	DCR|2LIT|4VULN|2DMG	17LIT|2DUR|3578VULN|47DMG|6RMIN|7BPWR|9DUST|aRCR
9	42323 33112	   	284.83	DCR|2LIT|4VULN|2DMG	17LIT|2DUR|37DMG|4578VULN|6RMIN|7BPWR|9DUST|aRCR
10	43356 23121	 * 	284.82	ACR|3LIT|4VULN|2DMG	17aLIT|2ERES|3RCR|4578VULN|67DMG|7BPWR|9LHND
11	43356 23131	   	284.82	ACR|3LIT|4VULN|2DMG	179LIT|2ERES|3RCR|4578VULN|67DMG|7BPWR|aLWND
12	43356 23132	   	284.82	ACR|3LIT|4VULN|2DMG	179LIT|2ERES|3RCR|4578VULN|67DMG|7BPWR|aLHND
13	43356 23111	   	284.72	ACR|3LIT|4VULN|2DMG	17aLIT|2ERES|3RCR|4578VULN|67DMG|7BPWR|9DUST
14	43356 23133	   	284.72	ACR|3LIT|4VULN|2DMG	179LIT|2ERES|3RCR|4578VULN|67DMG|7BPWR|aDUR
15	31636 43132	 * 	284.29	DCR|4VULN|2MLV|1LIT	17LHND|27MLV|3ZMB|4LIT|5678VULN|7BPWR|9BEXP|aRCR
16	31636 43112	   	284.14	DCR|4VULN|2MLV|1LIT	17LHND|27MLV|3ZMB|4LIT|5678VULN|7BPWR|9DUST|aRCR
17	11165 43332	 * 	279.30	DCR|2LIT|2MLV|3VULN	17FEWX|27MLV|3DUR|48LIT|5RMIN|679VULN|7BPWR|aRCR
18	11625 43332	   	279.30	DCR|2LIT|2MLV|3VULN	17FEWX|27MLV|38LIT|4DUR|5RMIN|679VULN|7BPWR|aRCR
19	43351 23151	 * 	277.57	ACR|2LIT|3VULN|3DMG|1CDMG	17LIT|25ERES|3RCR|478VULN|67aDMG|7BPWR|9CDMG
