0	Index      	 *	Score 	Summary	Detail	
1	16562 34313	 * 	299.65	DCR|2LIT|3VULN|2DMG|1MLV	12aVULN|3MBVNT|4aLIT|56CGEN|7MLV|8aDMG|9RCR|aBPWR
2	25211 42326	   	297.52	DCR|2LIT|3VULN|1MLV|1DMG|1CDMG	13CRUSTR|236VULN|3BPWR|49LIT|5CDMG|7MLV|8RCR|aDMG
3	16541 12344	 * 	296.06	DCR|5VULN|2LIT|1MLV	12459VULN|3MBVNT|45BPWR|68LIT|7MLV|aRCR
4	33164 25632	 * 	293.73	DCR|3LIT|2MLV|2VULN|1ASPD	1RCVC|29aLIT|3MBVNT|49VULN|5LHND|6ASPD|7RCR|89MLV|9BPWR
5	16541 12812	 * 	293.25	DCR|5VULN|1LIT|1MLV|1DMG	12459VULN|3MBVNT|45BPWR|6LIT|7MLV|8DMG|aRCR
6	25211 22322	 * 	292.67	DCR|3LIT|2VULN|1MLV|1DMG|1CDMG	13CRUSTR|23VULN|3BPWR|469LIT|5CDMG|7MLV|8RCR|aDMG
7	25611 22322	   	292.57	DCR|3LIT|2VULN|1MLV|1DMG|1CDMG	1CRUSTR|23VULN|469LIT|5CDMG|7MLV|8RCR|aDMG
8	33161 15632	   	290.54	DCR|3LIT|2MLV|2VULN	1RCVC|29aLIT|3MBVNT|49VULN|5ZMB|6LHND|7RCR|89MLV|9BPWR
9	33161 45632	   	290.54	DCR|3LIT|2MLV|2VULN	1RCVC|29aLIT|3MBVNT|49VULN|5ZMB|6LWND|7RCR|89MLV|9BPWR
10	13625 23332	 * 	290.03	DCR|3LIT|4VULN|2CDMG	149aVULN|23CDMG|589LIT|69FEWX|7RCR|9BPWR
11	13622 43332	   	290.03	DCR|3LIT|4VULN|2CDMG	149aVULN|23CDMG|59FEWX|689LIT|7RCR|9BPWR
12	32643 43332	   	290.03	DCR|3LIT|4VULN|2CDMG	1RCVC|239aVULN|4FEWX|59CDMG|689LIT|7RCR|9BPWR
13	32653 43332	   	290.03	DCR|3LIT|4VULN|2CDMG	1RCVC|239aVULN|4LWND|59CDMG|689LIT|7RCR|9BPWR
14	13625 23331	   	287.12	DCR|3LIT|3VULN|2CDMG|1AART	149VULN|23CDMG|589LIT|69FEWX|7RCR|9BPWR|aAART
15	13622 43331	   	287.12	DCR|3LIT|3VULN|2CDMG|1AART	149VULN|23CDMG|59FEWX|689LIT|7RCR|9BPWR|aAART
16	32643 43331	   	287.12	DCR|3LIT|3VULN|2CDMG|1AART	1RCVC|239VULN|4FEWX|59CDMG|689LIT|7RCR|9BPWR|aAART
17	32653 43331	   	287.12	DCR|3LIT|3VULN|2CDMG|1AART	1RCVC|239VULN|4LWND|59CDMG|689LIT|7RCR|9BPWR|aAART
18	25211 52326	 * 	281.69	DCR|2LIT|2VULN|1MLV|2CDMG|1DMG	13CRUSTR|23VULN|3BPWR|49LIT|56CDMG|7MLV|8RCR|aDMG
19	43621 43331	 * 	280.82	DCR|3LIT|2VULN|1MLV|2CDMG	159FEWX|23CDMG|49VULN|689LIT|7RCR|9BPWR|aMLV
20	13622 43321	   	280.62	DCR|3LIT|2VULN|1MLV|2CDMG	14VULN|23CDMG|5FEWX|68aLIT|7RCR|9MLV
21	13625 23321	   	280.62	DCR|3LIT|2VULN|1MLV|2CDMG	14VULN|23CDMG|58aLIT|6FEWX|7RCR|9MLV
22	13313 63111	 * 	280.44	ACR|2LIT|2MLV|3VULN|2CDMG	168VULN|28CDMG|3DUST|4RCR|5CGEN|78MLV|8BPWR|9aLIT
23	13314 63111	   	280.29	ACR|2LIT|2MLV|3VULN|2CDMG	168VULN|28CDMG|3DUST|4RCR|5ERES|78MLV|8BPWR|9aLIT
24	13622 43323	   	279.58	DCR|2LIT|2VULN|1MLV|2CDMG|1AART	14VULN|23CDMG|5FEWX|68LIT|7RCR|9MLV|aAART
25	13625 23323	   	279.58	DCR|2LIT|2VULN|1MLV|2CDMG|1AART	14VULN|23CDMG|58LIT|6FEWX|7RCR|9MLV|aAART
26	25211 22323	   	279.55	DCR|3LIT|2VULN|1MLV|1CDMG	13CRUSTR|23VULN|3BPWR|469LIT|5CDMG|7MLV|8RCR|aZMB
27	25611 22323	   	279.45	DCR|3LIT|2VULN|1MLV|1CDMG	1CRUSTR|23VULN|469LIT|5CDMG|7MLV|8RCR|aZMB
28	16633 26122	 * 	278.98	DCR|4VULN|2MLV|1LIT	1236VULN|4BELT|5LIT|7aMLV|8RCR|9FEWX
29	13625 23336	   	277.81	DCR|3LIT|3VULN|2CDMG	149VULN|23CDMG|589LIT|69FEWX|7RCR|9BPWR|aZMB
30	13622 43336	   	277.81	DCR|3LIT|3VULN|2CDMG	149VULN|23CDMG|59FEWX|689LIT|7RCR|9BPWR|aZMB
31	32562 34313	   	277.52	DCR|2LIT|2VULN|2DMG|1MLV	1RCVC|2aVULN|3MBVNT|4aLIT|56CGEN|7MLV|8aDMG|9RCR|aBPWR
32	33162 34313	   	277.52	DCR|2LIT|2VULN|2DMG|1MLV	1RCVC|2aLIT|3MBVNT|4aVULN|56CGEN|7MLV|8aDMG|9RCR|aBPWR
33	25211 42322	   	277.45	DCR|2LIT|3VULN|1MLV|1CDMG	13CRUSTR|236VULN|3BPWR|49LIT|5CDMG|7MLV|8RCR|aLWND
34	25211 42323	   	277.45	DCR|2LIT|3VULN|1MLV|1CDMG	13CRUSTR|236VULN|3BPWR|49LIT|5CDMG|7MLV|8RCR|aBEXP
35	25211 42325	   	277.45	DCR|2LIT|3VULN|1MLV|1CDMG	13CRUSTR|236VULN|3BPWR|49LIT|5CDMG|7MLV|8RCR|aRMIN
36	25211 42324	   	277.35	DCR|2LIT|3VULN|1MLV|1CDMG	13CRUSTR|236VULN|3BPWR|49LIT|5CDMG|7MLV|8RCR|aDUST
37	25611 42322	   	277.35	DCR|2LIT|3VULN|1MLV|1CDMG	1CRUSTR|236VULN|49LIT|5CDMG|7MLV|8RCR|aLWND
38	25611 42323	   	277.35	DCR|2LIT|3VULN|1MLV|1CDMG	1CRUSTR|236VULN|49LIT|5CDMG|7MLV|8RCR|aBEXP
39	25211 42321	   	277.21	DCR|2LIT|3VULN|1MLV|1CDMG|1SELL	13CRUSTR|236VULN|3BPWR|49LIT|5CDMG|7MLV|8RCR|aSELL
40	25611 42321	   	277.11	DCR|2LIT|3VULN|1MLV|1CDMG|1SELL	1CRUSTR|236VULN|49LIT|5CDMG|7MLV|8RCR|aSELL
41	24311 42326	   	275.28	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1CRUSTR|2RCVC|36VULN|49LIT|5CDMG|7MLV|8RCR|aDMG
42	32643 43321	   	274.31	DCR|3LIT|2VULN|1MLV|1CDMG	1RCVC|23VULN|4FEWX|5CDMG|68aLIT|7RCR|9MLV
43	32653 43321	   	274.31	DCR|3LIT|2VULN|1MLV|1CDMG	1RCVC|23VULN|4LWND|5CDMG|68aLIT|7RCR|9MLV
44	32643 43323	   	273.26	DCR|2LIT|2VULN|1MLV|1AART|1CDMG	1RCVC|23VULN|4FEWX|5CDMG|68LIT|7RCR|9MLV|aAART
45	25211 22356	   	272.61	DCR|3LIT|2VULN|1MLV|1CDMG	13CRUSTR|23VULN|3BPWR|46aLIT|5CDMG|7MLV|8RCR|9LHND
46	25211 22321	   	272.61	DCR|3LIT|2VULN|1MLV|1CDMG	13CRUSTR|23VULN|3BPWR|469LIT|5CDMG|7MLV|8RCR|aLHND
47	25211 22324	   	272.61	DCR|3LIT|2VULN|1MLV|1CDMG	13CRUSTR|23VULN|3BPWR|469LIT|5CDMG|7MLV|8RCR|aRMIN
48	25211 22326	   	272.61	DCR|3LIT|2VULN|1MLV|1CDMG	13CRUSTR|23VULN|3BPWR|469LIT|5CDMG|7MLV|8RCR|aBEXP
49	25611 22321	   	272.51	DCR|3LIT|2VULN|1MLV|1CDMG	1CRUSTR|23VULN|469LIT|5CDMG|7MLV|8RCR|aLHND
50	25611 22324	   	272.51	DCR|3LIT|2VULN|1MLV|1CDMG	1CRUSTR|23VULN|469LIT|5CDMG|7MLV|8RCR|aRMIN
51	25611 22326	   	272.51	DCR|3LIT|2VULN|1MLV|1CDMG	1CRUSTR|23VULN|469LIT|5CDMG|7MLV|8RCR|aBEXP
52	25211 22325	   	272.51	DCR|3LIT|2VULN|1MLV|1CDMG	13CRUSTR|23VULN|3BPWR|469LIT|5CDMG|7MLV|8RCR|aDUR
53	25611 22325	   	272.41	DCR|3LIT|2VULN|1MLV|1CDMG	1CRUSTR|23VULN|469LIT|5CDMG|7MLV|8RCR|aDUR
54	13443 46344	 * 	272.19	DCR|3VULN|1LIT|3DMG|1CDMG	167VULN|2CDMG|379DMG|47FRZARM|5MBVNT|7BPWR|8LIT|aRCR
55	16541 53141	   	271.17	DCR|5VULN|2LIT	12459VULN|3MBVNT|45BPWR|6RCR|7LHND|8aLIT
56	16541 52141	   	271.07	DCR|5VULN|2LIT	12459VULN|3MBVNT|45BPWR|6RCR|7DUST|8aLIT
57	33136 25632	 * 	270.92	DCR|3LIT|2MLV|1VULN|1DMG	1RCVC|29aLIT|3MBVNT|49LHND|5DMG|6VULN|7RCR|89MLV|9BPWR
58	13625 23335	   	270.87	DCR|3LIT|3VULN|2CDMG	149VULN|23CDMG|589LIT|69FEWX|7RCR|9BPWR|aBEXP
59	13622 43335	   	270.87	DCR|3LIT|3VULN|2CDMG	149VULN|23CDMG|59FEWX|689LIT|7RCR|9BPWR|aBEXP
60	32541 12838	   	270.85	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1RCVC|245VULN|3MBVNT|45BPWR|6LIT|7MLV|8DMG|9ASPD|aRCR
61	13625 23333	   	270.77	DCR|3LIT|3VULN|2CDMG	149VULN|23CDMG|589LIT|69FEWX|7RCR|9BPWR|aDUR
62	13625 23334	   	270.77	DCR|3LIT|3VULN|2CDMG	149VULN|23CDMG|589LIT|69FEWX|7RCR|9BPWR|aERES
63	13622 43333	   	270.77	DCR|3LIT|3VULN|2CDMG	149VULN|23CDMG|59FEWX|689LIT|7RCR|9BPWR|aDUR
64	13622 43334	   	270.77	DCR|3LIT|3VULN|2CDMG	149VULN|23CDMG|59FEWX|689LIT|7RCR|9BPWR|aERES
65	32643 43333	   	270.77	DCR|3LIT|3VULN|2CDMG	1RCVC|239VULN|4FEWX|59CDMG|689LIT|7RCR|9BPWR|aDUR
66	32653 43333	   	270.77	DCR|3LIT|3VULN|2CDMG	1RCVC|239VULN|4LWND|59CDMG|689LIT|7RCR|9BPWR|aDUR
67	16653 22311	   	270.74	DCR|2LIT|4VULN|2CDMG	1237VULN|4LWND|57CDMG|67DUST|7BPWR|8RCR|9aLIT
68	16621 23513	 * 	270.67	DCR|3LIT|3VULN|1DMG	123VULN|46AART|5DMG|7RCR|89aLIT
69	13422 26262	 * 	270.10	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	15VULN|2CDMG|3DMG|4DUR|6AART|7RCR|8aMLV|9LIT
