0	Index      	 *	Score 	Summary	Detail	
1	66213 22423	 * 	281.87	DCR|2LIT|3VULN|1MLV|2CDMG	1MLV|2BEXP|37CDMG|468VULN|5aLIT|9RCR
2	33331 25334	 * 	275.28	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1LWND|2BEXP|3MLV|47LIT|5CDMG|6aVULN|8RCR|9DMG
3	33336 53334	   	275.28	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1LWND|2BEXP|3MLV|45LIT|6aVULN|7CDMG|8RCR|9DMG
4	66213 22115	 * 	274.51	DCR|1LIT|2VULN|2DMG|1MLV|2CDMG	1MLV|2BEXP|37CDMG|46VULN|5LIT|8aDMG|9RCR
5	66213 21324	 * 	274.45	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG|1DUR	1MLV|2BEXP|3CDMG|46aVULN|5LIT|7DUR|8RCR|9DMG
6	64126 12131	   	273.38	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1MLV|2BASHEA|34VULN|5DMG|6CDMG|7LHND|8aLIT|9RCR
7	64126 12132	   	272.65	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	1MLV|2BASHEA|34aVULN|5DMG|6CDMG|7LHND|8LIT|9RCR
8	66213 21363	 * 	272.41	DCR|3LIT|2VULN|1MLV|1CDMG|1DUR	1MLV|2BEXP|3CDMG|46VULN|59aLIT|7DUR|8RCR
9	66213 21343	 * 	271.66	DCR|2LIT|2MLV|2VULN|1CDMG|1DUR	19MLV|2BEXP|3CDMG|46VULN|5aLIT|7DUR|8RCR
10	66213 21325	   	269.89	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG|1DUR	1MLV|2BEXP|3CDMG|46VULN|5LIT|7DUR|8RCR|9aDMG
11	63121 33632	   	269.56	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1MLV|2CGEN|3LIT|4aVULN|5LSRHEA|6RCR|7ASPD|8CDMG|9DMG
12	33331 21334	 * 	267.60	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	1LWND|2BEXP|37MLV|4LIT|5CDMG|6aVULN|8RCR|9DMG
13	66131 21334	   	267.60	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	17MLV|2BEXP|3LHND|4LIT|5CDMG|6aVULN|8RCR|9DMG
14	66213 31324	   	267.45	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG|1DUR	17MLV|2BEXP|3CDMG|4aVULN|5LIT|6DUR|8RCR|9DMG
15	66233 21324	   	267.45	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG|1DUR	17MLV|2BEXP|3CDMG|4DUR|5LIT|6aVULN|8RCR|9DMG
16	62135 43322	 * 	266.94	DCR|3LIT|2MLV|2DMG|1CDMG	1aMLV|2LWND|3LEGI|45aLIT|6BEXP|7CDMG|8RCR|9aDMG|aBPWR
17	33331 25335	 * 	266.66	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG	1LWND|2BEXP|3MLV|47LIT|5CDMG|6VULN|8RCR|9aDMG
18	33336 53335	   	266.66	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG	1LWND|2BEXP|3MLV|45LIT|6VULN|7CDMG|8RCR|9aDMG
19	63121 33631	   	266.22	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1MLV|2CGEN|3aLIT|4VULN|5LSRHEA|6RCR|7ASPD|8CDMG|9DMG
20	22316 53324	   	265.96	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD|1CDMG	1BEXP|2ERES|3MLV|4LIT|5ASPD|6aVULN|7CDMG|8RCR|9DMG
21	24213 22115	 * 	265.91	DCR|2LIT|2VULN|2DMG|1CDMG	1BEXP|2ZMB|3CDMG|46VULN|57LIT|8aDMG|9RCR
22	24631 22115	   	265.91	DCR|2LIT|2VULN|2DMG|1CDMG	1BEXP|2ZMB|36VULN|47LIT|5CDMG|8aDMG|9RCR
23	44213 22115	   	265.81	DCR|2LIT|2VULN|2DMG|1CDMG	1DUST|2ZMB|3CDMG|46VULN|57LIT|8aDMG|9RCR
24	13134 52215	   	265.23	DCR|2LIT|2VULN|1MLV|1DMG	1TLV|2CGEN|37LIT|4BELT|5aVULN|6RCR|8MLV|9DMG
25	63121 32245	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG	1MLV|2CGEN|39LIT|4aVULN|5LSRHEA|6RCR|7LHND|8DMG
26	61236 16132	   	264.90	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	13MLV|23LHND|3BPWR|4CANTOX|5DMG|6CDMG|7aVULN|8LIT|9RCR
27	62236 13132	   	264.90	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	13MLV|23LWND|3BPWR|4CANTOX|5DMG|6CDMG|7aVULN|8LIT|9RCR
28	64613 13132	   	264.90	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	15MLV|2BASHEA|3DMG|45BEXP|5BPWR|6CDMG|7aVULN|8LIT|9RCR
29	63126 12315	   	264.86	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG	1MLV|2CGEN|36LIT|4VULN|5RMIN|7aDMG|8CDMG|9RCR
30	64621 12132	   	264.75	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	15MLV|2BASHEA|3DMG|4aVULN|6CDMG|7LHND|8LIT|9RCR
31	66336 13132	   	264.75	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	13MLV|2BEXP|4CANTOX|5DMG|6CDMG|7aVULN|8LIT|9RCR
32	63134 52211	 * 	263.85	DCR|3LIT|2MLV|1VULN|1CDMG	18MLV|2CGEN|37aLIT|4BELT|5VULN|6RCR|9CDMG
33	64326 22333	   	262.85	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1MLV|2BASHEA|3BEXP|49VULN|5LIT|6RCR|7ASPD|8ZMB|aDMG
34	64326 21333	   	262.36	DCR|3LIT|2VULN|1MLV	1MLV|2BASHEA|3BEXP|49VULN|58aLIT|6RCR|7LWND
35	63121 31356	   	262.12	DCR|3LIT|2VULN|1MLV|1SELL	1MLV|2CGEN|38aLIT|49VULN|5LSRHEA|6RCR|7SELL
36	64326 21332	   	261.31	DCR|2LIT|2VULN|1MLV|1AART	1MLV|2BASHEA|3BEXP|49VULN|58LIT|6RCR|7LWND|aAART
37	64121 52332	   	260.48	DCR|3VULN|1LIT|1MLV|1AART	1MLV|2BASHEA|349VULN|5BEXP|6RCR|7LIT|8DUST|aAART
38	64113 31331	   	260.25	DCR|2LIT|2VULN|1MLV|1CDMG	1MLV|2BASHEA|37VULN|4ZMB|5CDMG|6aLIT|8LHND|9RCR
39	64113 31431	   	260.15	DCR|2LIT|2VULN|1MLV|1CDMG|1DUR	1MLV|2BASHEA|37VULN|4ZMB|5CDMG|6aLIT|8DUR|9RCR
40	64113 34232	   	260.15	DCR|2LIT|2VULN|1MLV|1CDMG	1MLV|2BASHEA|3aVULN|4ZMB|5CDMG|68LIT|7DUST|9RCR
41	61236 16131	 * 	259.90	DCR|2LIT|2MLV|1VULN|1DMG|1CDMG	13MLV|23LHND|3BPWR|4CANTOX|5DMG|6CDMG|7VULN|8aLIT|9RCR
42	62236 13131	   	259.90	DCR|2LIT|2MLV|1VULN|1DMG|1CDMG	13MLV|23LWND|3BPWR|4CANTOX|5DMG|6CDMG|7VULN|8aLIT|9RCR
43	64613 13131	   	259.90	DCR|2LIT|2MLV|1VULN|1DMG|1CDMG	15MLV|2BASHEA|3DMG|45BEXP|5BPWR|6CDMG|7VULN|8aLIT|9RCR
44	22316 53363	   	259.86	DCR|3LIT|1VULN|1MLV|1ASPD|1CDMG	1BEXP|2ERES|3MLV|49aLIT|5ASPD|6VULN|7CDMG|8RCR
45	64621 12131	   	259.75	DCR|2LIT|2MLV|1VULN|1DMG|1CDMG	15MLV|2BASHEA|3DMG|4VULN|6CDMG|7LHND|8aLIT|9RCR
46	66336 13131	   	259.75	DCR|2LIT|2MLV|1VULN|1DMG|1CDMG	13MLV|2BEXP|4CANTOX|5DMG|6CDMG|7VULN|8aLIT|9RCR
47	66211 22423	   	259.73	DCR|2LIT|2VULN|1MLV|2CDMG	1MLV|2BEXP|36CDMG|48VULN|5RCVC|7aLIT|9RCR
48	66213 12423	   	259.73	DCR|2LIT|2VULN|1MLV|2CDMG	1MLV|2BEXP|37CDMG|48VULN|5aLIT|6RCVC|9RCR
49	64113 31332	   	259.52	DCR|3VULN|1LIT|1MLV|1CDMG	1MLV|2BASHEA|37aVULN|4ZMB|5CDMG|6LIT|8LHND|9RCR
50	64113 31432	   	259.42	DCR|3VULN|1LIT|1MLV|1CDMG|1DUR	1MLV|2BASHEA|37aVULN|4ZMB|5CDMG|6LIT|8DUR|9RCR
51	33331 23465	   	259.12	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1LWND|2BEXP|3MLV|49LIT|5CDMG|6VULN|7DMG|8ASPD|aRCR
52	64326 22332	   	259.03	DCR|1LIT|2VULN|1MLV|1AART|1ASPD	1MLV|2BASHEA|3BEXP|49VULN|5LIT|6RCR|7ASPD|8ZMB|aAART
53	66213 22421	   	259.00	DCR|3VULN|1LIT|1MLV|2CDMG	1MLV|2BEXP|37CDMG|468VULN|5LIT|9RCR|aCGEN
54	66213 22422	   	258.90	DCR|3VULN|1LIT|1MLV|2CDMG	1MLV|2BEXP|37CDMG|468VULN|5LIT|9RCR|aDUST
55	64124 11142	   	258.80	DCR|3VULN|1LIT|1MLV|1DMG	1MLV|2BASHEA|34aVULN|5LIT|6MBVNT|7LSRHEA|8DMG|9RCR
56	63121 34361	   	258.71	DCR|2LIT|2VULN|1MLV|1ASPD	1MLV|2CGEN|39LIT|48VULN|5LSRHEA|6RCR|7BELT|aASPD
57	64321 24232	   	258.51	DCR|1LIT|2VULN|1MLV|1DMG|1AART	1MLV|2BASHEA|3BEXP|49VULN|5RMIN|6RCR|7LIT|8DMG|aAART
58	33331 21363	   	258.45	DCR|3LIT|2MLV|1VULN|1CDMG	1LWND|2BEXP|37MLV|49aLIT|5CDMG|6VULN|8RCR
59	33331 25343	   	258.45	DCR|3LIT|2MLV|1VULN|1CDMG	1LWND|2BEXP|39MLV|47aLIT|5CDMG|6VULN|8RCR
60	33336 53343	   	258.45	DCR|3LIT|2MLV|1VULN|1CDMG	1LWND|2BEXP|39MLV|45aLIT|6VULN|7CDMG|8RCR
61	66131 21363	   	258.45	DCR|3LIT|2MLV|1VULN|1CDMG	17MLV|2BEXP|3LHND|49aLIT|5CDMG|6VULN|8RCR
62	66213 31363	   	258.30	DCR|3LIT|2MLV|1VULN|1CDMG|1DUR	17MLV|2BEXP|3CDMG|4VULN|59aLIT|6DUR|8RCR
63	66233 21363	   	258.30	DCR|3LIT|2MLV|1VULN|1CDMG|1DUR	17MLV|2BEXP|3CDMG|4DUR|59aLIT|6VULN|8RCR
64	24311 32233	   	258.08	DCR|2LIT|2MLV|1VULN|1DMG	1BEXP|2ZMB|3aMLV|4aLIT|5SPLREG|6RCR|7aLHND|8DMG|9VULN|aBPWR
65	34311 32233	   	258.08	DCR|2LIT|2MLV|1VULN|1DMG	1LWND|2ZMB|3aMLV|4aLIT|5SPLREG|6RCR|7aLHND|8DMG|9VULN|aBPWR
66	11613 21535	   	258.03	DCR|2LIT|2VULN|1MLV|1DMG	1TLV|2LHND|35LIT|4RPLT|68VULN|7MLV|9DMG|aRCR
67	63121 34341	   	257.98	DCR|3VULN|1LIT|1MLV|1ASPD	1MLV|2CGEN|3LIT|489VULN|5LSRHEA|6RCR|7BELT|aASPD
68	44311 32233	   	257.93	DCR|2LIT|2MLV|1VULN|1DMG	1DUST|2ZMB|3aMLV|4aLIT|5SPLREG|6RCR|7aLHND|8DMG|9VULN|aBPWR
69	64121 52333	   	257.88	DCR|3VULN|1LIT|1MLV|1ASPD	1MLV|2BASHEA|349VULN|5BEXP|6RCR|7LIT|8DUST|aASPD
70	22316 12141	 * 	257.77	DCR|2LIT|3MLV|3DMG|1ASPD	189BEXP|2ERES|389MLV|46LIT|5ASPD|789DMG|89BPWR|aRCR
71	22316 53325	   	257.34	DCR|1LIT|2DMG|1VULN|1MLV|1ASPD|1CDMG	1BEXP|2ERES|3MLV|4LIT|5ASPD|6VULN|7CDMG|8RCR|9aDMG
72	22213 56116	   	257.01	DCR|2LIT|3VULN|1ASPD|1CDMG	1BEXP|2ERES|3CDMG|47aVULN|58LIT|6ASPD|9RCR
73	66213 22111	   	256.92	DCR|1LIT|2VULN|1MLV|2CDMG|1DMG	1MLV|2BEXP|37CDMG|46VULN|5LIT|8DMG|9RCR|aTLV
74	66213 22114	   	256.92	DCR|1LIT|2VULN|1MLV|2CDMG|1DMG	1MLV|2BEXP|37CDMG|46VULN|5LIT|8DMG|9RCR|aFEWX
75	66213 22116	   	256.92	DCR|1LIT|2VULN|1MLV|2CDMG|1DMG	1MLV|2BEXP|37CDMG|46VULN|5LIT|8DMG|9RCR|aCGEN
76	66631 22111	   	256.92	DCR|1LIT|2VULN|1MLV|2CDMG|1DMG	1MLV|2BEXP|36VULN|4LIT|57CDMG|8DMG|9RCR|aTLV
77	63231 31425	   	256.91	DCR|2LIT|2VULN|1MLV|1ASPD	1MLV|2CGEN|3ASPD|4AART|5MBVNT|68VULN|7RCR|9aLIT
78	61231 52333	   	256.89	DCR|2LIT|2MLV|2VULN	13MLV|23aLHND|3aBPWR|4CANTOX|5BEXP|6RCR|7aLIT|8DUST|9aVULN
79	66213 22112	   	256.82	DCR|1LIT|2VULN|1MLV|1DMG|2CDMG	1MLV|2BEXP|37CDMG|46VULN|5LIT|8DMG|9RCR|aERES
80	66213 22113	   	256.82	DCR|1LIT|2VULN|1MLV|2CDMG|1DMG|1DUR	1MLV|2BEXP|37CDMG|46VULN|5LIT|8DMG|9RCR|aDUR
81	66631 22112	   	256.82	DCR|1LIT|2VULN|1MLV|1DMG|2CDMG	1MLV|2BEXP|36VULN|4LIT|57CDMG|8DMG|9RCR|aERES
82	66631 22113	   	256.82	DCR|1LIT|2VULN|1MLV|2CDMG|1DMG|1DUR	1MLV|2BEXP|36VULN|4LIT|57CDMG|8DMG|9RCR|aDUR
83	63121 32244	   	256.51	DCR|2LIT|2DMG|1VULN|1MLV	1MLV|2CGEN|39LIT|4VULN|5LSRHEA|6RCR|7LHND|8aDMG
84	64121 52113	   	256.44	DCR|2LIT|2MLV|2VULN	18MLV|2BASHEA|34VULN|5BEXP|6RCR|7aLIT|9NUKE
85	64121 52122	   	256.44	DCR|2LIT|2MLV|2VULN	18MLV|2BASHEA|34VULN|5BEXP|6RCR|7aLIT|9MULARM
86	13134 52216	 * 	256.32	DCR|3LIT|1VULN|1MLV|1DMG	1TLV|2CGEN|37aLIT|4BELT|5VULN|6RCR|8MLV|9DMG
87	63121 35243	   	256.22	DCR|3LIT|1VULN|1MLV|1DMG	1MLV|2CGEN|39aLIT|4VULN|5LSRHEA|6RCR|7LWND|8DMG
88	33332 62441	   	256.06	DCR|3LIT|1VULN|1MLV|1DMG	1LWND|2BEXP|3MLV|479LIT|5ZMB|6DMG|8VULN|aRCR
89	31332 62441	   	255.96	DCR|3LIT|1VULN|1MLV|1DMG|1DUR	1LWND|2DUR|3MLV|479LIT|5ZMB|6DMG|8VULN|aRCR
90	13121 33455	   	255.91	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1TLV|2CGEN|3LIT|4aVULN|5LSRHEA|6RCR|7ASPD|8MLV|9DMG
91	64321 24233	   	255.91	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1MLV|2BASHEA|3BEXP|49VULN|5RMIN|6RCR|7LIT|8DMG|aASPD
92	64326 22233	   	255.81	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1MLV|2BASHEA|3BEXP|49VULN|5LIT|6RCR|7ASPD|8NUKE|aDMG
93	24131 21535	   	255.75	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1BEXP|2ZMB|3LHND|4LIT|5CDMG|68VULN|7MLV|9DMG|aRCR
94	34131 21535	   	255.75	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1LWND|2ZMB|3LHND|4LIT|5CDMG|68VULN|7MLV|9DMG|aRCR
95	33331 25354	   	255.21	DCR|2LIT|2VULN|1MLV|1CDMG	1LWND|2BEXP|3MLV|47LIT|5CDMG|6aVULN|8RCR|9RMIN
96	63121 35242	   	255.17	DCR|2LIT|1VULN|1MLV|1DMG|1AART	1MLV|2CGEN|39LIT|4VULN|5LSRHEA|6RCR|7LWND|8DMG|aAART
97	33336 51151	   	255.16	DCR|3LIT|2VULN|1MLV	1LWND|2BEXP|3MLV|459LIT|68VULN|7MBVNT|aRCR
98	21312 25344	   	255.11	DCR|2LIT|2VULN|1MLV|1CDMG|1DUR	1BEXP|2DUR|3CDMG|47LIT|5TLV|6aVULN|8RCR|9MLV
99	22131 25344	   	255.11	DCR|2LIT|2VULN|1MLV|1CDMG	1BEXP|2ERES|3LHND|47LIT|5CDMG|6aVULN|8RCR|9MLV
100	23312 25344	   	255.11	DCR|2LIT|2VULN|1MLV|1CDMG	1BEXP|2FEWX|3CDMG|47LIT|5ERES|6aVULN|8RCR|9MLV
101	66213 21361	   	255.11	DCR|2LIT|2VULN|1MLV|1CDMG|1DUR	1MLV|2BEXP|3CDMG|46VULN|59LIT|7DUR|8RCR|aLHND
102	66213 21362	   	255.11	DCR|2LIT|2VULN|1MLV|1CDMG|1DUR	1MLV|2aBEXP|3CDMG|46VULN|59LIT|7DUR|8RCR
103	22233 25344	   	255.01	DCR|2LIT|2VULN|1MLV|1CDMG|1DUR	1BEXP|2ERES|3CDMG|4DUR|57LIT|6aVULN|8RCR|9MLV
104	22213 56115	   	254.94	DCR|2LIT|2VULN|1DMG|1ASPD|1CDMG	1BEXP|2ERES|3CDMG|47VULN|58LIT|6ASPD|9RCR|aDMG
105	24314 12141	   	254.73	DCR|2LIT|3MLV|3DMG	189BEXP|2ZMB|389MLV|46LIT|5CGEN|789DMG|89BPWR|aRCR
106	34314 12141	   	254.73	DCR|2LIT|3MLV|3DMG	189LWND|2ZMB|389MLV|46LIT|5CGEN|789DMG|89BPWR|aRCR
107	33331 21335	 * 	254.68	DCR|2MLV|1LIT|2DMG|1VULN|1CDMG	1LWND|2BEXP|37MLV|4LIT|5CDMG|6VULN|8RCR|9aDMG
108	66131 21335	   	254.68	DCR|2MLV|1LIT|2DMG|1VULN|1CDMG	17MLV|2BEXP|3LHND|4LIT|5CDMG|6VULN|8RCR|9aDMG
