0	Index      	 *	Score 	Summary	Detail	
1	26623 23511	 * 	307.60	DCR|2LIT|2MLV|2VULN|2DMG|1SELL	1aVULN|2TLV|3aDMG|49LIT|5DUST|6aMLV|7SELL|8RCR|aBPWR
2	52323 42316	 * 	307.22	DCR|2LIT|2VULN|2DMG|1MLV|2ASPD	1MLV|2RPLT|35ASPD|45DMG|5BPWR|69LIT|7RCR|8aVULN
3	26623 23531	 * 	306.50	DCR|2MLV|3VULN|1LIT|2DMG|1SELL	19aVULN|2TLV|3aDMG|4LIT|5DUST|6aMLV|7SELL|8RCR|aBPWR
4	52323 42336	 * 	306.49	DCR|3VULN|1LIT|2DMG|1MLV|2ASPD	1MLV|2RPLT|35ASPD|45DMG|5BPWR|6LIT|7RCR|89aVULN
5	43253 21531	 * 	303.56	DCR|2LIT|3VULN|1MLV|2ASPD|1CDMG	1CDMG|2aLIT|3MLV|4DUST|59aVULN|6CGEN|7aASPD|8RCR|aBPWR
6	52323 42333	 * 	300.90	DCR|2MLV|1LIT|2VULN|2DMG|2ASPD	1aMLV|2RPLT|35ASPD|45DMG|5BPWR|6LIT|7RCR|89VULN
7	51221 32511	   	299.38	DCR|2LIT|2VULN|2DMG|1MLV|2CDMG	1MLV|2aCDMG|3TLV|49LIT|5aDMG|6FEWX|7aVULN|8RCR|aBPWR
8	51221 42511	   	299.38	DCR|2LIT|2VULN|2DMG|1MLV|2CDMG	1MLV|2aCDMG|3TLV|49LIT|5aDMG|6LHND|7aVULN|8RCR|aBPWR
9	51221 52511	   	299.38	DCR|2LIT|2VULN|2DMG|1MLV|2CDMG	1MLV|2aCDMG|3TLV|49LIT|5aDMG|6LWND|7aVULN|8RCR|aBPWR
10	43253 21511	 * 	298.71	DCR|3LIT|2VULN|1MLV|2ASPD|1CDMG	1CDMG|29aLIT|3MLV|4DUST|5aVULN|6CGEN|7aASPD|8RCR|aBPWR
11	51221 32531	   	298.65	DCR|3VULN|1LIT|2DMG|1MLV|2CDMG	1MLV|2aCDMG|3TLV|4LIT|5aDMG|6FEWX|79aVULN|8RCR|aBPWR
12	51221 42531	   	298.65	DCR|3VULN|1LIT|2DMG|1MLV|2CDMG	1MLV|2aCDMG|3TLV|4LIT|5aDMG|6LHND|79aVULN|8RCR|aBPWR
13	51221 52531	   	298.65	DCR|3VULN|1LIT|2DMG|1MLV|2CDMG	1MLV|2aCDMG|3TLV|4LIT|5aDMG|6LWND|79aVULN|8RCR|aBPWR
14	26324 23531	 * 	298.08	DCR|2LIT|2MLV|3VULN|1ASPD|1SELL	19aVULN|2TLV|3aLIT|4LHND|5ASPD|6aMLV|7SELL|8RCR|aBPWR
15	26314 23531	 * 	297.93	DCR|2LIT|2MLV|3VULN|1ASPD|1SELL	19aVULN|2TLV|3aLIT|4DUST|5ASPD|6aMLV|7SELL|8RCR|aBPWR
16	52323 42313	 * 	297.36	DCR|2LIT|2MLV|2DMG|1VULN|2ASPD	1aMLV|2RPLT|35ASPD|45DMG|5BPWR|69LIT|7RCR|8VULN
17	26324 23511	 * 	290.81	DCR|3LIT|2MLV|2VULN|1ASPD|1SELL	1aVULN|2TLV|39aLIT|4LHND|5ASPD|6aMLV|7SELL|8RCR|aBPWR
18	26314 23511	 * 	290.66	DCR|3LIT|2MLV|2VULN|1ASPD|1SELL	1aVULN|2TLV|39aLIT|4DUST|5ASPD|6aMLV|7SELL|8RCR|aBPWR
19	51224 21511	   	287.83	DCR|2LIT|2VULN|1MLV|2ASPD|2CDMG	1MLV|2aCDMG|3TLV|49LIT|5aVULN|6LHND|7aASPD|8RCR|aBPWR
20	51224 11511	   	287.73	DCR|2LIT|2VULN|1MLV|2ASPD|2CDMG	1MLV|2aCDMG|3TLV|49LIT|5aVULN|6DUR|7aASPD|8RCR|aBPWR
21	52523 41311	   	287.26	DCR|2MLV|1LIT|2VULN|2DMG|1ASPD	15MLV|2RPLT|3RMIN|45DMG|5BPWR|6LIT|7ASPD|8RCR|9aVULN
22	51224 21531	   	287.10	DCR|3VULN|1LIT|1MLV|2ASPD|2CDMG	1MLV|2aCDMG|3TLV|4LIT|59aVULN|6LHND|7aASPD|8RCR|aBPWR
23	51224 11531	   	287.00	DCR|3VULN|1LIT|1MLV|2ASPD|2CDMG	1MLV|2aCDMG|3TLV|4LIT|59aVULN|6DUR|7aASPD|8RCR|aBPWR
24	23253 46133	 * 	284.97	DCR|3VULN|1LIT|1FLTARM|1MLV|1ASPD	15aVULN|2ZMB|3CANSTR|4ASPD|6RCR|7LIT|8FLTARM|9MLV
25	52323 42331	   	284.35	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	1MLV|2RPLT|35ASPD|45DMG|5BPWR|6LIT|7RCR|89VULN|aCRUSTR
26	52323 42332	   	284.35	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	1MLV|2RPLT|35ASPD|45DMG|5BPWR|6LIT|7RCR|89VULN|aCGEN
27	52323 42335	   	284.35	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	1MLV|2RPLT|35ASPD|45DMG|5BPWR|6LIT|7RCR|89VULN|aTLV
28	52323 42111	   	284.35	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	1MLV|2RPLT|35ASPD|45DMG|5BPWR|6LIT|7RCR|8TLV|9aVULN
29	52323 42321	   	284.35	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	1MLV|2RPLT|35ASPD|45DMG|5BPWR|6LIT|7RCR|8aVULN|9CGEN
30	52323 42363	   	284.35	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	1MLV|2RPLT|35ASPD|45DMG|5BPWR|6LIT|7RCR|8aVULN|9FEWX
31	52323 42511	   	284.35	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	1MLV|2RPLT|35ASPD|45DMG|5BPWR|6LIT|7RCR|8RMIN|9aVULN
32	52323 42233	   	284.25	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	1MLV|2RPLT|35ASPD|45DMG|5BPWR|6LIT|7RCR|8DUR|9aVULN
33	52323 42334	   	284.25	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	1MLV|2RPLT|35ASPD|45DMG|5BPWR|6LIT|7RCR|89VULN|aDUR
34	52323 42351	   	284.25	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	1MLV|2RPLT|35ASPD|45DMG|5BPWR|6LIT|7RCR|8aVULN|9ERES
35	52323 42411	   	284.25	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	1MLV|2RPLT|35ASPD|45DMG|5BPWR|6LIT|7RCR|8ERES|9aVULN
36	22313 25311	   	282.09	DCR|3VULN|2DMG|1MLV|1NUKE|1CDMG	178VULN|2CDMG|37DMG|4AART|57BEXP|6RCR|7BPWR|9MLV|aNUKE
37	22311 25311	   	281.89	DCR|3VULN|2DMG|1MLV|1NUKE|1CDMG	178VULN|2CDMG|37DMG|4AART|57DUST|6RCR|7BPWR|9MLV|aNUKE
38	51231 42511	   	281.79	DCR|2LIT|2VULN|1MLV|2CDMG|1DMG	1MLV|2aCDMG|3TLV|4DMG|5aBEXP|69LIT|7aVULN|8RCR|aBPWR
39	51231 42531	   	281.06	DCR|3VULN|1LIT|1MLV|2CDMG|1DMG	1MLV|2aCDMG|3TLV|4DMG|5aBEXP|6LIT|79aVULN|8RCR|aBPWR
40	52323 42311	   	281.02	DCR|2LIT|2DMG|1VULN|1MLV|2ASPD	1MLV|2RPLT|35ASPD|45DMG|5BPWR|69LIT|7RCR|8VULN|aCRUSTR
41	52323 42312	   	281.02	DCR|2LIT|2DMG|1VULN|1MLV|2ASPD	1MLV|2RPLT|35ASPD|45DMG|5BPWR|69LIT|7RCR|8VULN|aCGEN
42	52323 42315	   	281.02	DCR|2LIT|2DMG|1VULN|1MLV|2ASPD	1MLV|2RPLT|35ASPD|45DMG|5BPWR|69LIT|7RCR|8VULN|aTLV
43	52323 42362	   	281.02	DCR|2LIT|2DMG|1VULN|1MLV|2ASPD	1MLV|2RPLT|35ASPD|45DMG|5BPWR|6aLIT|7RCR|8VULN|9FEWX
44	52323 42232	   	280.92	DCR|2LIT|2DMG|1VULN|1MLV|2ASPD	1MLV|2RPLT|35ASPD|45DMG|5BPWR|6aLIT|7RCR|8DUR|9VULN
45	52323 42314	   	280.92	DCR|2LIT|2DMG|1VULN|1MLV|2ASPD	1MLV|2RPLT|35ASPD|45DMG|5BPWR|69LIT|7RCR|8VULN|aDUR
46	21125 61422	   	278.24	DCR|3VULN|1LIT|1FLTARM|1MLV	17aVULN|235LWND|4LIT|6RCR|8MLV|9FLTARM
47	22313 25314	 * 	277.68	DCR|3VULN|3DMG|1MLV|1CDMG	178VULN|2CDMG|37aDMG|4AART|57BEXP|6RCR|7BPWR|9MLV
