0	Index      	 *	Score 	Summary	Detail	
1	15331 21324	 * 	307.89	DCR|2LIT|4VULN|2MLV	19LIT|2346VULN|59ERES|79MLV|8RPLT|9BPWR|aRCR
2	22231 55241	 * 	302.71	DCR|2LIT|2MLV|2VULN|2DMG	15TLV|29LIT|3CGEN|45VULN|59BPWR|69DMG|7ERES|89MLV|aRCR
3	45122 32412	 * 	301.86	DCR|2LIT|2VULN|2DMG|1FLTARM|1CDMG	17DMG|2FLTARM|34VULN|5ZMB|6CDMG|89LIT|aRCR
4	13323 23325	 * 	299.49	ACR|2LIT|2MLV|2VULN|2DMG|1CDMG	18LIT|2RCR|37VULN|4aDMG|56MLV|9CDMG
5	45122 32432	 * 	297.18	DCR|3VULN|1LIT|2DMG|1FLTARM|1CDMG	17DMG|2FLTARM|349VULN|5ZMB|6CDMG|8LIT|aRCR
6	13623 43431	 * 	296.69	ACR|3LIT|2MLV|2DMG|1VULN|1CDMG	179LIT|2RCR|3CDMG|49DMG|5CANTOX|6VULN|89MLV|9BPWR|aZMB
7	16323 23324	   	296.36	DCR|2LIT|2MLV|2VULN|1DMG|1CDMG	18LIT|2DUST|37VULN|4DMG|56MLV|9CDMG|aRCR
8	42313 23324	   	296.36	DCR|2LIT|2MLV|2VULN|1DMG|1CDMG	1DMG|28LIT|37VULN|4DUR|56MLV|9CDMG|aRCR
9	42363 23324	   	296.36	DCR|2LIT|2MLV|2VULN|1DMG|1CDMG	1DMG|28LIT|37VULN|4DUST|56MLV|9CDMG|aRCR
10	45122 33143	 * 	294.95	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	1DMG|2FLTARM|34VULN|5ZMB|6CDMG|7RCR|8BEXP|9LIT|aMLV
11	45121 32412	   	294.92	DCR|2LIT|2VULN|1FLTARM|2DMG|1CDMG	17DMG|2FLTARM|34VULN|5TLV|6CDMG|89LIT|aRCR
12	22511 55411	 * 	294.17	DCR|2LIT|2FLTARM|2VULN|1DMG	1TLV|2aLIT|3DMG|4LWND|5aFLTARM|6DUR|7MBVNT|8aVULN|9RCR|aBPWR
13	42211 55411	   	294.17	DCR|2LIT|2FLTARM|2VULN|1DMG	1DMG|2aLIT|3CGEN|4LWND|5aFLTARM|6DUR|7MBVNT|8aVULN|9RCR|aBPWR
14	42121 55411	   	294.07	DCR|2LIT|2FLTARM|2VULN|1DMG	1DMG|2aLIT|3FEWX|4ERES|5aFLTARM|6DUR|7MBVNT|8aVULN|9RCR|aBPWR
15	42521 53411	   	294.07	DCR|2LIT|2FLTARM|2VULN|1DMG	1DMG|2aLIT|3LWND|4ERES|5aFLTARM|6DUR|7MBVNT|8aVULN|9RCR|aBPWR
16	15326 13324	   	293.72	DCR|2LIT|3VULN|1MLV|1DMG|1CDMG	18LIT|237VULN|4DMG|5MLV|6DUR|9CDMG|aRCR
17	11231 13211	   	292.92	DCR|2LIT|4VULN|1MLV|1ASPD	15LIT|2ASPD|3CGEN|4579VULN|5BPWR|6DUR|8MLV|aRCR
18	11231 63211	   	292.92	DCR|2LIT|4VULN|1MLV|1ASPD	15LIT|2ASPD|3CGEN|4579VULN|5BPWR|6DUST|8MLV|aRCR
19	11431 13211	   	292.92	DCR|2LIT|4VULN|1MLV|1ASPD	15LIT|2ASPD|3TLV|4579VULN|5BPWR|6DUR|8MLV|aRCR
20	11431 63211	   	292.92	DCR|2LIT|4VULN|1MLV|1ASPD	15LIT|2ASPD|3TLV|4579VULN|5BPWR|6DUST|8MLV|aRCR
21	42312 36335	   	291.35	DCR|2LIT|2VULN|2DMG|1MLV|2ZMB	18DMG|2aLIT|38VULN|4DUR|5LWND|68ZMB|7RCR|8BPWR|9MLV
22	13323 23543	 * 	291.11	ACR|2LIT|3MLV|3VULN|1DMG	1aLIT|2RCR|379VULN|4DMG|568MLV
23	15331 32144	 * 	290.67	DCR|3LIT|4VULN|2ASPD	189LIT|2349VULN|5ERES|6CGEN|79ASPD|9BPWR|aRCR
24	45121 32432	   	290.24	DCR|3VULN|1LIT|1FLTARM|2DMG|1CDMG	17DMG|2FLTARM|349VULN|5TLV|6CDMG|8LIT|aRCR
25	13321 43623	 * 	290.02	ACR|2LIT|3VULN|2DMG|2ASPD|1CDMG	1aLIT|2RCR|39aVULN|46DMG|5AART|7CDMG|8aASPD|aBPWR
26	45122 33141	   	289.68	DCR|2LIT|2VULN|1FLTARM|1DMG|1CDMG	1DMG|2FLTARM|34VULN|5ZMB|6CDMG|7RCR|8BEXP|9aLIT
27	15326 33124	   	289.22	DCR|2LIT|2VULN|2DMG|1MLV|1ASPD|1SELL	19LIT|23VULN|49DMG|5MLV|6SELL|7ASPD|89CGEN|9BPWR|aRCR
28	13323 23363	 * 	288.98	ACR|3LIT|2MLV|2VULN|1DMG	189LIT|2RCR|37VULN|4DMG|56MLV|aZMB
29	13363 31366	 * 	288.90	ACR|3LIT|3VULN|1MLV|2CDMG	19aLIT|2RCR|349VULN|5MLV|6ZMB|7BELT|89CDMG|9BPWR
30	45336 22311	 * 	288.60	DCR|2LIT|2FLTARM|1MLV|1VULN|1DMG	1DMG|24FLTARM|34LHND|4BPWR|5BEXP|68LIT|7VULN|9MLV|aRCR
31	42313 23524	   	288.43	DCR|2MLV|1LIT|2VULN|2DMG|1CDMG	18DMG|2LIT|37VULN|4DUR|56MLV|9CDMG|aRCR
32	45121 33143	   	288.01	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	1DMG|2FLTARM|34VULN|5TLV|6CDMG|7RCR|8BEXP|9LIT|aMLV
33	45125 33123	   	288.01	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1CDMG	1DMG|2FLTARM|34VULN|5MLV|6CDMG|7RCR|8BEXP|9BELT|aLIT
34	13363 31361	   	287.86	ACR|2LIT|3VULN|1MLV|2CDMG|1AART	19LIT|2RCR|349VULN|5MLV|6ZMB|7BELT|89CDMG|9BPWR|aAART
35	34111 44232	   	287.79	DCR|2LIT|3VULN|1MLV|1CDMG	1ERES|2CDMG|3ZMB|478VULN|5aLIT|6RCR|9MLV
36	13633 23543	 * 	287.52	ACR|2LIT|2VULN|1FLTARM|1MLV|1ASPD|1CDMG	16LIT|2RCR|3CDMG|4LHND|56VULN|6BPWR|7ASPD|8FLTARM|9TLV|aMLV
37	13633 23552	   	287.52	ACR|2LIT|2VULN|1FLTARM|1MLV|1CDMG|1ASPD	16LIT|2RCR|3CDMG|4LHND|56VULN|6BPWR|7ASPD|8FLTARM|9RPLT|aMLV
38	13633 23523	   	287.42	ACR|2LIT|2VULN|1FLTARM|1MLV|1ASPD|1CDMG	16LIT|2RCR|3CDMG|4LHND|56VULN|6BPWR|7ASPD|8FLTARM|9ERES|aMLV
39	34111 44233	   	286.37	DCR|2MLV|3VULN|1LIT|1CDMG	1ERES|2CDMG|3ZMB|478VULN|5LIT|6RCR|9aMLV
40	13623 43433	   	286.28	ACR|3LIT|2MLV|2DMG|1VULN|1CDMG	179LIT|2RCR|3CDMG|49DMG|5CANTOX|6VULN|89MLV|9BPWR|aTLV
41	11231 13221	 * 	286.21	DCR|2LIT|3VULN|1MLV|2ASPD	15LIT|29ASPD|3CGEN|457VULN|5BPWR|6DUR|8MLV|aRCR
42	11231 63221	   	286.21	DCR|2LIT|3VULN|1MLV|2ASPD	15LIT|29ASPD|3CGEN|457VULN|5BPWR|6DUST|8MLV|aRCR
43	11431 13221	   	286.21	DCR|2LIT|3VULN|1MLV|2ASPD	15LIT|29ASPD|3TLV|457VULN|5BPWR|6DUR|8MLV|aRCR
44	11431 63221	   	286.21	DCR|2LIT|3VULN|1MLV|2ASPD	15LIT|29ASPD|3TLV|457VULN|5BPWR|6DUST|8MLV|aRCR
45	13323 22155	   	286.14	ACR|2LIT|2MLV|3VULN|1DMG	1aLIT|2RCR|38aVULN|4DMG|56MLV|7aFEWX|9RPLT|aBPWR
46	13323 23155	   	286.14	ACR|2LIT|2MLV|3VULN|1DMG	1aLIT|2RCR|37aVULN|4DMG|56MLV|8aBEXP|9RPLT|aBPWR
47	13623 43432	   	286.13	ACR|3LIT|2MLV|2DMG|1VULN|1CDMG	179LIT|2RCR|3CDMG|49DMG|5CANTOX|6VULN|89MLV|9BPWR|aDUR
