0	Index      	 *	Score 	Summary	Detail	
1	16353 33141	 * 	268.02	DCR|3LIT|2VULN|1FLTARM	1FEWX|25aLIT|3CGEN|4ERES|6RCR|78VULN|9FLTARM
2	16353 33135	 * 	267.20	DCR|2LIT|3VULN|1MLV	1FEWX|25LIT|3CGEN|4ERES|6RCR|789VULN|aMLV
3	16241 22341	 * 	265.66	DCR|2LIT|3VULN|2DMG|1DUR	1FEWX|26LIT|3DUR|48DMG|569VULN|6BPWR|7AART|aRCR
4	36141 22341	   	265.66	DCR|2LIT|3VULN|2DMG|1DUR	1DUR|26LIT|3FEWX|48DMG|569VULN|6BPWR|7AART|aRCR
5	36241 22341	   	265.56	DCR|2LIT|3VULN|2DMG|1DUR	1DUR|26LIT|3DUST|48DMG|569VULN|6BPWR|7AART|aRCR
6	36241 23243	   	261.62	DCR|2LIT|3VULN|1DMG|1ASPD|1DUR	1DUR|26LIT|3DUST|4DMG|568VULN|6BPWR|7BEXP|9ASPD|aRCR
7	16241 22432	 * 	259.83	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1FEWX|26LIT|3DUR|4DMG|56VULN|6BPWR|7AART|8RPLT|9RCR|aMLV
8	36141 22432	   	259.83	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1DUR|26LIT|3FEWX|4DMG|56VULN|6BPWR|7AART|8RPLT|9RCR|aMLV
9	36241 22432	   	259.73	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1DUR|26LIT|3DUST|4DMG|56VULN|6BPWR|7AART|8RPLT|9RCR|aMLV
10	16134 33141	 * 	254.72	ACR|2LIT|2VULN|1FLTARM|1MLV	13FEWX|2aLIT|4CGEN|5RCR|6MLV|78VULN|9FLTARM
11	22334 33141	   	254.72	ACR|2LIT|2VULN|1FLTARM|1MLV	12LHND|3aLIT|4CGEN|5RCR|6MLV|78VULN|9FLTARM
12	24134 33141	   	254.72	ACR|2LIT|2VULN|1FLTARM|1MLV	1LHND|23CGEN|4aLIT|5RCR|6MLV|78VULN|9FLTARM
13	16124 33141	   	254.62	ACR|2LIT|2VULN|1FLTARM|1MLV	13FEWX|2aLIT|4ERES|5RCR|6MLV|78VULN|9FLTARM
14	22324 33141	   	254.62	ACR|2LIT|2VULN|1FLTARM|1MLV	12LHND|3aLIT|4ERES|5RCR|6MLV|78VULN|9FLTARM
15	25153 13362	 * 	254.10	DCR|1LIT|2VULN|1FLTARM|1MLV	1LHND|2LEGI|3FLTARM|4RPLT|5MLV|69VULN|7RCR|8AART|aLIT
16	36221 22432	   	253.31	DCR|2LIT|2VULN|1MLV|1ASPD|1DUR	1DUR|26LIT|3DUST|4ASPD|56VULN|6BPWR|7AART|8RPLT|9RCR|aMLV
17	21343 13161	   	253.11	DCR|1LIT|2VULN|1MLV|1DMG|1AART	1LHND|2DUST|3LIT|4DMG|5BELT|68VULN|7MLV|9RCR|aAART
18	42433 13161	   	253.11	DCR|1LIT|2VULN|1MLV|1DMG|1AART	1DUST|2DMG|3LIT|4LWND|5BELT|68VULN|7MLV|9RCR|aAART
19	33343 12462	 * 	252.64	DCR|1LIT|2VULN|1FLTARM|1MLV|2DUR	16DUR|2ERES|3MLV|4RPLT|56VULN|6BPWR|7LIT|8FLTARM|9RMIN|aRCR
20	33411 25412	 * 	252.54	DCR|1LIT|2VULN|2DMG|1MLV|1DUR	1DUR|29ERES|3LIT|4VENICY|59VULN|6RPLT|7MLV|89DMG|9BPWR|aRCR
21	33314 33355	   	252.48	DCR|3VULN|1LIT|1MLV|1CDMG|1DUR	1DUR|2ERES|3MLV|4BEXP|57aVULN|6LIT|8CDMG|9RCR
22	11345 33343	   	252.31	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1FEWX|2DUST|35LIT|4DMG|6MLV|7VULN|8ZMB|9ASPD|aRCR
23	66334 12123	   	251.61	DCR|2LIT|2VULN|1MLV|1ASPD	1BEXP|29LIT|3RPLT|4ASPD|5MLV|68VULN|7FEWX|aRCR
24	36351 24233	 * 	251.51	DCR|2LIT|2VULN|1MLV|2DUR|1CDMG	16DUR|29LIT|3RPLT|4CDMG|56VULN|6BPWR|7LHND|8MLV|aRCR
25	16353 33143	   	250.72	DCR|2LIT|2VULN|1FLTARM	1FEWX|25LIT|3CGEN|4ERES|6RCR|78VULN|9FLTARM|aLWND
26	16353 33142	   	250.62	DCR|2LIT|2VULN|1FLTARM	1FEWX|25LIT|3CGEN|4ERES|6RCR|78VULN|9FLTARM|aLEGI
27	36653 33231	 * 	250.23	DCR|3LIT|2VULN|1DMG|1DUR	1DUR|245LIT|34SPLREG|4BPWR|6RCR|7DMG|8FEWX|9aVULN
28	36653 33331	   	250.13	DCR|3LIT|2VULN|1DMG|1DUR	1DUR|245LIT|34SPLREG|4BPWR|6RCR|7DMG|8DUST|9aVULN
29	11132 22226	 * 	249.31	DCR|2LIT|1FLTARM|1VULN|1MLV	1FEWX|2DUST|3FLTARM|4ERES|5LWND|6MLV|78LIT|9VULN|aRCR
30	42461 23133	 * 	249.13	ACR|3LIT|1FLTARM|1VULN|1DMG|1CDMG	1DUST|2DMG|369LIT|4RCR|5VULN|7LHND|8CDMG|aFLTARM
31	42461 21133	   	249.03	ACR|3LIT|1FLTARM|1VULN|1DMG|1CDMG|1DUR	1DUST|2DMG|369LIT|4RCR|5VULN|7DUR|8CDMG|aFLTARM
32	12332 33243	   	248.81	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1FEWX|2LHND|3LIT|48VULN|5DMG|6RMIN|7MLV|9ASPD|aRCR
33	12332 43243	   	248.81	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1FEWX|2LHND|3LIT|48VULN|5DMG|6CGEN|7MLV|9ASPD|aRCR
34	12332 53243	   	248.81	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1FEWX|2LHND|3LIT|48VULN|5DMG|6TLV|7MLV|9ASPD|aRCR
35	12341 33243	   	248.81	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1FEWX|2LHND|3LIT|4DMG|58VULN|6RMIN|7MLV|9ASPD|aRCR
36	12341 43243	   	248.81	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1FEWX|2LHND|3LIT|4DMG|58VULN|6CGEN|7MLV|9ASPD|aRCR
37	12341 53243	   	248.81	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1FEWX|2LHND|3LIT|4DMG|58VULN|6TLV|7MLV|9ASPD|aRCR
38	12343 13436	   	248.81	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1FEWX|2LHND|3LIT|4DMG|5BELT|69VULN|7MLV|8ASPD|aRCR
39	11341 33243	   	248.71	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1FEWX|2DUST|3LIT|4DMG|58VULN|6RMIN|7MLV|9ASPD|aRCR
40	11341 43243	   	248.71	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1FEWX|2DUST|3LIT|4DMG|58VULN|6CGEN|7MLV|9ASPD|aRCR
41	11341 53243	   	248.71	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1FEWX|2DUST|3LIT|4DMG|58VULN|6TLV|7MLV|9ASPD|aRCR
42	21323 16436	   	248.71	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1LHND|2DUST|3LIT|4ASPD|5BELT|69VULN|7MLV|8DMG|aRCR
43	21341 33243	   	248.71	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1LHND|2DUST|3LIT|4DMG|58VULN|6RMIN|7MLV|9ASPD|aRCR
44	21341 43243	   	248.71	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1LHND|2DUST|3LIT|4DMG|58VULN|6CGEN|7MLV|9ASPD|aRCR
45	21341 53243	   	248.71	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1LHND|2DUST|3LIT|4DMG|58VULN|6TLV|7MLV|9ASPD|aRCR
46	21343 13436	   	248.71	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1LHND|2DUST|3LIT|4DMG|5BELT|69VULN|7MLV|8ASPD|aRCR
47	25341 33243	   	248.71	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1LHND|2LEGI|3LIT|4DMG|58VULN|6RMIN|7MLV|9ASPD|aRCR
48	42261 33243	   	248.71	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1DUST|2DMG|3FEWX|4LIT|58VULN|6RMIN|7MLV|9ASPD|aRCR
49	25332 33243	   	248.71	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1LHND|2LEGI|3LIT|48VULN|5DMG|6RMIN|7MLV|9ASPD|aRCR
50	25332 43243	   	248.71	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1LHND|2LEGI|3LIT|48VULN|5DMG|6CGEN|7MLV|9ASPD|aRCR
51	25332 53243	   	248.71	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1LHND|2LEGI|3LIT|48VULN|5DMG|6TLV|7MLV|9ASPD|aRCR
52	16241 33243	   	248.61	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD|1DUR	1FEWX|2LIT|3DUR|4DMG|58VULN|6ERES|7MLV|9ASPD|aRCR
53	23451 33163	   	248.61	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD|1DUR	1LHND|2ASPD|3LIT|4ERES|5DMG|6MLV|78VULN|9DUR|aRCR
54	33234 43243	   	248.61	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD|1DUR	1DUR|2ERES|3FEWX|4DMG|58VULN|6LIT|7MLV|9ASPD|aRCR
55	36141 33243	   	248.61	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD|1DUR	1DUR|2LIT|3FEWX|4DMG|58VULN|6ERES|7MLV|9ASPD|aRCR
56	36241 33243	   	248.51	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD|1DUR	1DUR|2LIT|3DUST|4DMG|58VULN|6ERES|7MLV|9ASPD|aRCR
57	32115 63135	   	248.50	DCR|1LIT|1FLTARM|1MLV|1VULN|2DUR|1AART	17DUR|2LHND|3FLTARM|4FEWX|5LIT|6RCR|8MLV|9VULN|aAART
58	36611 25312	   	248.20	DCR|2LIT|2VULN|1MLV|2ZMB|1DUR	1DUR|29LIT|3SPLREG|4TLV|59VULN|6RPLT|7MLV|89ZMB|9BPWR|aRCR
59	22311 32653	 * 	247.90	DCR|2LIT|2VULN|1DMG|2CDMG	12aLHND|36LIT|4aCDMG|5DMG|7CGEN|8aVULN|9RCR|aBPWR
60	36241 23433	   	247.87	DCR|2LIT|3VULN|1DMG|1DUR	1DUR|26LIT|3DUST|4DMG|569VULN|6BPWR|7BEXP|8BLAICY|aRCR
61	32115 63131	   	247.29	DCR|1LIT|1FLTARM|1MLV|1VULN|2DUR|1ASPD	17DUR|2LHND|3FLTARM|4FEWX|5LIT|6RCR|8MLV|9VULN|aASPD
62	32155 63131	   	247.19	DCR|1LIT|1FLTARM|1VULN|1MLV|2DUR|1ASPD	17DUR|2LHND|3FLTARM|4DUST|5LIT|6RCR|8MLV|9VULN|aASPD
63	41323 25261	 * 	246.82	ACR|2LIT|2VULN|3DMG	127DUST|36aDMG|4RCR|5ZMB|8aLIT|9aVULN|aBPWR
64	11366 11161	   	246.69	DCR|1LIT|2VULN|1MLV|1AART|1ASPD	1FEWX|2DUST|3LIT|4BELT|5MLV|68VULN|7ASPD|9RCR|aAART
