0	Index      	 *	Score 	Summary	Detail	
1	42438 13137	 * 	313.13	DCR|2MLV|3VULN|1LIT|2CDMG|1NUKE	18CDMG|2MBVNT|38MLV|4RCVC|568VULN|7RCR|8BPWR|9LIT|aNUKE
2	35253 13623	 * 	312.77	DCR|2LIT|4VULN|1MLV|2ASPD	18ASPD|2TLV|3RMIN|458aVULN|6RCR|78LIT|8BPWR|9MLV
3	42438 13131	 * 	311.78	DCR|4VULN|2MLV|1LIT|2CDMG	18CDMG|2MBVNT|38MLV|4RCVC|568aVULN|7RCR|8BPWR|9LIT
4	42414 16744	 * 	304.39	DCR|2LIT|2MLV|2VULN|3CDMG|1ASPD	17aCDMG|2MBVNT|37MLV|4aCGEN|5ASPD|67VULN|7aBPWR|8RCR|9aLIT
5	52624 22121	   	304.36	DCR|2LIT|3VULN|1MLV|1DMG|1CDMG	12aVULN|3DMG|4CDMG|59LIT|6MLV|7ZMB|8RCR
6	52523 13163	 * 	303.26	DCR|5VULN|2LIT|1MLV	1258aVULN|3DUST|4MLV|6RCR|79LIT
7	52523 13134	 * 	301.15	DCR|4VULN|1LIT|2DMG|1MLV	1258VULN|3DUST|4MLV|6RCR|7LIT|9aDMG
8	53341 42672	 * 	300.96	DCR|3LIT|3VULN|1MLV|1DMG	147VULN|269LIT|3MBVNT|5DMG|8RCR|aMLV
9	52523 13133	   	300.45	DCR|5VULN|1LIT|1MLV|1DMG	1258aVULN|3DUST|4MLV|6RCR|7LIT|9DMG
10	55523 13133	   	300.45	DCR|5VULN|1LIT|1MLV|1DMG	1258aVULN|2BPWR|3DUST|4MLV|6RCR|7LIT|9DMG
11	53341 12643	   	296.85	DCR|5VULN|1LIT|1MLV|1DMG	14679VULN|2LIT|3MBVNT|5DMG|8RCR|aMLV
12	26263 36223	 * 	296.31	DCR|1LIT|2FLTARM|2VULN|2DMG|1MLV	1BELT|27FLTARM|37VULN|4MLV|5DUR|67DMG|7BPWR|8LIT|9LHND|aRCR
13	26232 23262	 * 	295.68	DCR|2LIT|2VULN|1FLTARM|1MLV|1DMG	1BELT|2FLTARM|37VULN|48LIT|5MLV|6DUST|9DMG|aRCR
14	35253 13621	   	293.61	DCR|2LIT|3VULN|1MLV|2ASPD	18ASPD|2TLV|3RMIN|458VULN|6RCR|78LIT|8BPWR|9MLV|aFEWX
15	35252 13623	   	293.61	DCR|2LIT|3VULN|1MLV|2ASPD	18ASPD|2TLV|3RMIN|48aVULN|5RCVC|6RCR|78LIT|8BPWR|9MLV
