0	Index      	 *	Score 	Summary	Detail	
1	61115 32533	 * 	286.21	DCR|2LIT|3VULN|1MLV|2ASPD	19ERES|269VULN|37ASPD|4MLV|5RPLT|89LIT|9BPWR|aRCR
2	23112 36115	 * 	273.48	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1LWND|2DMG|3ASPD|4MLV|5BEXP|68VULN|7aLIT|9RCR
3	23113 21115	   	273.48	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1LWND|2DMG|3ASPD|4MLV|58VULN|6aLIT|7FEWX|9RCR
4	23113 22115	   	273.48	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1LWND|2DMG|3ASPD|4MLV|58VULN|6aLIT|7LHND|9RCR
5	23113 46115	   	273.48	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1LWND|2DMG|3ASPD|4MLV|58VULN|6FEWX|7aLIT|9RCR
6	23113 25115	   	273.38	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1LWND|2DMG|3ASPD|4MLV|58VULN|6aLIT|7LEGI|9RCR
7	23113 26115	   	273.38	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1LWND|2DMG|3ASPD|4MLV|58VULN|6aLIT|7DUST|9RCR
8	62211 11663	 * 	273.23	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	17ERES|27DMG|3CDMG|4MLV|5NUKE|67VULN|7BPWR|8LIT|9ZMB|aRCR
9	61352 21352	 * 	272.80	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	1ERES|25VULN|37MLV|4AART|6RCR|8LIT|9CDMG|aDMG
10	23154 21121	   	271.79	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	1LWND|26DMG|3ASPD|4AART|5MLV|7RCR|89VULN|aLIT
11	23423 23433	 * 	270.52	DCR|2LIT|2VULN|2DMG|2CDMG	1LWND|29DMG|3ERES|4ZMB|59VULN|68LIT|79CDMG|9BPWR|aRCR
12	23551 13213	 * 	270.16	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG|1DUR	1LWND|29DMG|3CDMG|48LIT|5DUR|6RCR|7VULN|aMLV
13	23552 13213	   	270.16	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG	1LWND|29DMG|3CDMG|48LIT|5DUST|6RCR|7VULN|aMLV
14	23113 25223	   	270.09	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	1LWND|2aDMG|3ASPD|4MLV|5aVULN|6LIT|7LEGI|8RCR|9aVENTOX|aBPWR
15	23113 21231	 * 	268.43	DCR|2LIT|2MLV|1VULN|2ASPD|1DMG	1LWND|2DMG|3aASPD|4aMLV|5VULN|6aLIT|7FEWX|8RCR|9TLV|aBPWR
16	23113 22223	   	268.43	DCR|2LIT|2MLV|1VULN|2ASPD|1DMG	1LWND|2DMG|3aASPD|4aMLV|5VULN|6aLIT|7LHND|8RCR|9VENTOX|aBPWR
17	23551 13262	   	267.85	DCR|2LIT|2MLV|1VULN|1DMG|1CDMG|1DUR	1LWND|2DMG|3CDMG|48LIT|5DUR|6RCR|7VULN|9aMLV
18	61352 25333	   	267.20	DCR|2LIT|3VULN|1MLV	1ERES|257VULN|3MLV|4AART|6RCR|8aLIT|9RPLT
19	23112 36112	   	266.86	DCR|1LIT|2VULN|1MLV|1DMG|1AART|1ASPD	1LWND|2DMG|3ASPD|4MLV|5BEXP|68VULN|7LIT|9RCR|aAART
20	23113 21112	   	266.86	DCR|1LIT|2VULN|1MLV|1DMG|1AART|1ASPD	1LWND|2DMG|3ASPD|4MLV|58VULN|6LIT|7FEWX|9RCR|aAART
21	23113 46112	   	266.86	DCR|1LIT|2VULN|1MLV|1DMG|1AART|1ASPD	1LWND|2DMG|3ASPD|4MLV|58VULN|6FEWX|7LIT|9RCR|aAART
22	66213 41311	   	265.97	DCR|2LIT|2VULN|1MLV|2ASPD	1ERES|2aLIT|3BEXP|4RMIN|5MLV|6aVULN|7FEWX|8aASPD|9RCR|aBPWR
23	66213 42311	   	265.97	DCR|2LIT|2VULN|1MLV|2ASPD	1ERES|2aLIT|3BEXP|4RMIN|5MLV|6aVULN|7LHND|8aASPD|9RCR|aBPWR
24	61352 22422	 * 	264.40	DCR|3VULN|1LIT|1MLV|1DMG	1ERES|258VULN|3MLV|4AART|6RCR|7LHND|9LIT|aDMG
25	61352 25312	   	264.30	DCR|3VULN|1LIT|1MLV|1DMG	1ERES|257VULN|3MLV|4AART|6RCR|8LIT|9LEGI|aDMG
26	23112 36113	   	264.26	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1LWND|2DMG|3ASPD|4MLV|5BEXP|68VULN|7LIT|9RCR|aCDMG
27	23113 21113	   	264.26	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1LWND|2DMG|3ASPD|4MLV|58VULN|6LIT|7FEWX|9RCR|aCDMG
