0	Index      	 *	Score 	Summary	Detail	
1	35342 34311	 * 	313.25	DCR|4VULN|2TLV|2DMG	18TLV|2MLV|3478VULN|58DMG|6RMIN|8BPWR|9CGEN|aRCR
2	34333 14361	 * 	301.38	DCR|3TLV|2VULN|1AEPOI|2CDMG|1AART	19aTLV|2AEPOI|3aCDMG|4RAT|5DUST|6RCR|7aVULN|8AART|aBPWR
3	34211 54311	 * 	296.09	DCR|2TLV|2VULN|2ASPD|1DMG|1AEPOI	18TLV|2AEPOI|38MLV|4DMG|57VULN|68ASPD|8BPWR|9CGEN|aRCR
4	34211 54332	   	295.99	DCR|2TLV|2VULN|2ASPD|1DMG|1AEPOI	18TLV|2AEPOI|38MLV|4DMG|57VULN|68ASPD|8BPWR|9DUST|aRCR
5	34111 54311	   	295.89	DCR|2TLV|2VULN|2ASPD|1DMG|1AEPOI	18TLV|2AEPOI|38ERES|4DMG|57VULN|68ASPD|8BPWR|9CGEN|aRCR
6	34111 54332	   	295.79	DCR|2TLV|2VULN|2ASPD|1DMG|1AEPOI	18TLV|2AEPOI|38ERES|4DMG|57VULN|68ASPD|8BPWR|9DUST|aRCR
7	34211 34311	   	294.58	DCR|3VULN|2TLV|1DMG|2AEPOI	18TLV|28AEPOI|3MLV|4DMG|578VULN|6RMIN|8BPWR|9CGEN|aRCR
8	34111 34311	   	294.48	DCR|3VULN|2TLV|1DMG|2AEPOI	18TLV|28AEPOI|3ERES|4DMG|578VULN|6RMIN|8BPWR|9CGEN|aRCR
9	34111 34341	   	294.48	DCR|3VULN|2TLV|1DMG|2AEPOI	18TLV|28AEPOI|3ERES|4DMG|578VULN|6RMIN|8BPWR|9MLV|aRCR
10	34211 34351	   	294.48	DCR|3VULN|2TLV|1DMG|2AEPOI	18TLV|28AEPOI|3MLV|4DMG|578VULN|6RMIN|8BPWR|9ERES|aRCR
11	32534 63322	 * 	293.18	ACR|2TLV|2VULN|1AEPOI|2DUR|1ASPD|1AART	17TLV|2FEWX|3MDPS|47DUR|5RCR|67VULN|7BPWR|8AEPOI|9AART|aASPD
12	35342 35311	   	292.20	DCR|3VULN|2TLV|2DMG	18TLV|27MLV|348VULN|58DMG|6RMIN|8BPWR|9CGEN|aRCR
13	31221 34311	   	292.20	DCR|3VULN|2TLV|2DMG	18TLV|23RMIN|4AME|578VULN|68DMG|8BPWR|9CGEN|aRCR
14	31221 34341	   	292.20	DCR|3VULN|2TLV|2DMG	18TLV|23RMIN|4AME|578VULN|68DMG|8BPWR|9MLV|aRCR
15	34331 14342	   	288.87	DCR|3VULN|1TLV|1DMG|1AEPOI|1CDMG	1TLV|2AEPOI|3CDMG|4RAT|57aVULN|6RCR|8DMG|9LHND
16	34331 14352	   	288.87	DCR|3VULN|1TLV|1DMG|1AEPOI|1CDMG	1TLV|2AEPOI|3CDMG|4RAT|57aVULN|6RCR|8DMG|9LWND
17	34331 11342	   	288.87	DCR|3VULN|1TLV|1DMG|1AEPOI|1CDMG	1TLV|2AEPOI|3CDMG|4RAT|58aVULN|6RCR|7DMG|9LHND
18	34331 11352	   	288.87	DCR|3VULN|1TLV|1DMG|1AEPOI|1CDMG	1TLV|2AEPOI|3CDMG|4RAT|58aVULN|6RCR|7DMG|9LWND
19	34335 14311	   	287.83	DCR|2TLV|2VULN|1AEPOI|2CDMG|1AART	1aTLV|2AEPOI|3aCDMG|4RAT|5FEWX|6RCR|7aVULN|8AART|9RCVC|aBPWR
20	34335 14321	   	287.83	DCR|2TLV|2VULN|1AEPOI|2CDMG|1AART	1aTLV|2AEPOI|3aCDMG|4RAT|59FEWX|6RCR|7aVULN|8AART|aBPWR
21	34333 14311	   	287.73	DCR|2TLV|2VULN|1AEPOI|2CDMG|1AART	1aTLV|2AEPOI|3aCDMG|4RAT|5DUST|6RCR|7aVULN|8AART|9RCVC|aBPWR
22	25352 36211	 * 	287.33	ACR|DCR|2VULN|1DMG|1AEBURN|1ASPD	1ASPD|2MLV|37VULN|4RAT|59RCR|6DMG|8AEBURN|aDUR
23	21265 31153	 * 	286.11	DCR|2VULN|1TLV|2DMG|2ASPD|2DUR	19ASPD|23RMIN|47DUR|59VULN|6RCR|89DMG|9BPWR|aTLV
24	41266 32313	   	284.78	DCR|3VULN|1TLV|1DMG|2CDMG	1MDPS|248VULN|34CDMG|4BPWR|5DUR|6TLV|7DMG|9RCR|aRAT
25	41263 31242	   	283.88	DCR|3VULN|2TLV|2CDMG	1MDPS|245VULN|34CDMG|4BPWR|69TLV|7SNIHEL|8DUR|aRCR
26	41266 32312	 * 	283.88	DCR|3VULN|1TLV|3CDMG|1DMG	1MDPS|248VULN|34aCDMG|4BPWR|5DUR|6TLV|7DMG|9RCR
27	31132 54523	   	283.44	DCR|2TLV|2VULN|1DMG|1AEBURN|1ASPD	1aTLV|2RMIN|3LHND|4ASPD|58VULN|6DMG|7AEBURN|9RCR
28	31133 54523	   	283.44	DCR|2TLV|2VULN|1DMG|1AEBURN|1ASPD	1aTLV|2RMIN|3LHND|4ASPD|5DMG|68VULN|7AEBURN|9RCR
