0	Index      	 *	Score 	Summary	Detail	
1	35353 31331	 * 	315.54	DCR|DCR|2TLV|1VULN|1AEPOI|1CDMG|2ZMB	19TLV|25ZMB|3VULN|4DUST|6CDMG|7AEPOI|8aRCR
2	31323 33356	 * 	315.07	DCR|3VULN|2TLV|1AEBURN|1DMG|1CDMG	15TLV|2AEWIND|3DMG|456VULN|5BPWR|7ZMB|8AEBURN|9RCR|aCDMG
3	33323 33356	   	315.07	DCR|3VULN|2TLV|1AEBURN|1DMG|1CDMG	15TLV|2AEFRZ|3DMG|456VULN|5BPWR|7ZMB|8AEBURN|9RCR|aCDMG
4	31323 66532	 * 	313.05	DCR|4VULN|2TLV|2DMG	15TLV|2AEWIND|37DMG|459aVULN|5BPWR|6LHND|8RCR
5	33323 66532	   	313.05	DCR|4VULN|2TLV|2DMG	15TLV|2AEFRZ|37DMG|459aVULN|5BPWR|6LHND|8RCR
6	33323 56532	   	312.95	DCR|4VULN|2TLV|2DMG	15TLV|26AEFRZ|37DMG|459aVULN|5BPWR|8RCR
7	31323 33352	   	311.08	DCR|3VULN|2TLV|1DMG|1AEBURN	15TLV|2AEWIND|3DMG|456VULN|5BPWR|7ZMB|8AEBURN|9RCR|aDUR
8	33323 33352	   	311.08	DCR|3VULN|2TLV|1DMG|1AEBURN	15TLV|2AEFRZ|3DMG|456VULN|5BPWR|7ZMB|8AEBURN|9RCR|aDUR
9	31323 33355	   	308.36	DCR|3VULN|2TLV|1AEBURN|1DMG	15TLV|2AEWIND|3DMG|456VULN|5BPWR|7ZMB|8AEBURN|9RCR|aRAT
10	33323 33355	   	308.36	DCR|3VULN|2TLV|1AEBURN|1DMG	15TLV|2AEFRZ|3DMG|456VULN|5BPWR|7ZMB|8AEBURN|9RCR|aRAT
11	31323 36356	   	308.13	DCR|3VULN|2TLV|1AEBURN|1DMG|1CDMG	15TLV|2AEWIND|3DMG|456VULN|5BPWR|7AAC|8AEBURN|9RCR|aCDMG
12	33323 36356	   	308.13	DCR|3VULN|2TLV|1AEBURN|1DMG|1CDMG	15TLV|2AEFRZ|3DMG|456VULN|5BPWR|7AAC|8AEBURN|9RCR|aCDMG
13	31323 36352	   	304.14	DCR|3VULN|2TLV|1DMG|1AEBURN	15TLV|2AEWIND|3DMG|456VULN|5BPWR|7AAC|8AEBURN|9RCR|aDUR
14	33323 36352	   	304.14	DCR|3VULN|2TLV|1DMG|1AEBURN	15TLV|2AEFRZ|3DMG|456VULN|5BPWR|7AAC|8AEBURN|9RCR|aDUR
15	31312 36525	 * 	303.03	DCR|2TLV|2VULN|3DMG|1AEBURN	1aTLV|2AEWIND|37aDMG|4AEBURN|5BEXP|6aVULN|8RCR|9MDPS|aBPWR
16	33312 36525	   	303.03	DCR|2TLV|2VULN|3DMG|1AEBURN	1aTLV|2AEFRZ|37aDMG|4AEBURN|5BEXP|6aVULN|8RCR|9MDPS|aBPWR
17	32132 12432	 * 	302.51	ACR|4VULN|2TLV|1AEFBLL	14TLV|24LHND|3RCR|4BPWR|5ZMB|679aVULN|8AEFBLL
18	32136 24332	   	302.51	ACR|4VULN|2TLV|1AEFBLL	14TLV|24LHND|3RCR|4BPWR|5AEFBLL|689aVULN|7ZMB
19	31323 36355	   	301.42	DCR|3VULN|2TLV|1AEBURN|1DMG	15TLV|2AEWIND|3DMG|456VULN|5BPWR|7AAC|8AEBURN|9RCR|aRAT
20	33323 36355	   	301.42	DCR|3VULN|2TLV|1AEBURN|1DMG	15TLV|2AEFRZ|3DMG|456VULN|5BPWR|7AAC|8AEBURN|9RCR|aRAT
21	31323 33351	   	301.42	DCR|3VULN|2TLV|1AEBURN|1DMG	15TLV|2AEWIND|3DMG|456VULN|5BPWR|7ZMB|8AEBURN|9RCR|aFEWX
22	31323 33353	   	301.42	DCR|3VULN|2TLV|1AEBURN|1DMG	15TLV|2AEWIND|3DMG|456VULN|5BPWR|7ZMB|8AEBURN|9RCR|aBEXP
23	31323 33354	   	301.42	DCR|3VULN|2TLV|1AEBURN|1DMG	15TLV|2AEWIND|3DMG|456VULN|5BPWR|7ZMB|8AEBURN|9RCR|aAME
24	33323 33351	   	301.42	DCR|3VULN|2TLV|1AEBURN|1DMG	15TLV|2AEFRZ|3DMG|456VULN|5BPWR|7ZMB|8AEBURN|9RCR|aFEWX
25	33323 33353	   	301.42	DCR|3VULN|2TLV|1AEBURN|1DMG	15TLV|2AEFRZ|3DMG|456VULN|5BPWR|7ZMB|8AEBURN|9RCR|aBEXP
26	33323 33354	   	301.42	DCR|3VULN|2TLV|1AEBURN|1DMG	15TLV|2AEFRZ|3DMG|456VULN|5BPWR|7ZMB|8AEBURN|9RCR|aAME
27	32132 12332	 * 	300.78	ACR|5VULN|2TLV	14TLV|24LHND|3RCR|4BPWR|5ZMB|6789aVULN
28	32135 44332	   	300.78	ACR|5VULN|2TLV	14TLV|24LHND|3RCR|4BPWR|5689aVULN|7ZMB
29	31323 25453	 * 	298.90	DCR|3TLV|2VULN|2DMG|2ASPD|1MSE	158TLV|2AEWIND|38DMG|45VULN|58BPWR|6MSE|78ASPD|9RCR|aRAT
30	33323 25453	 * 	298.90	DCR|3TLV|2VULN|2DMG|2ASPD|1MSE	158TLV|2AEFRZ|38DMG|45VULN|58BPWR|6MSE|78ASPD|9RCR|aRAT
31	31323 32532	 * 	298.51	DCR|5VULN|2TLV|1DMG|1MSE	15TLV|2AEWIND|3DMG|4569aVULN|5BPWR|7MSE|8RCR
32	33323 32532	 * 	298.51	DCR|5VULN|2TLV|1DMG|1MSE	15TLV|2AEFRZ|3DMG|4569aVULN|5BPWR|7MSE|8RCR
33	43531 32631	 * 	298.46	DCR|DCR|2VULN|1TLV|1CDMG	1ERES|24AEFRZ|34VULN|4BPWR|5TLV|6FEWX|7CDMG|89RCR|aDUR
34	43531 22631	   	298.36	DCR|DCR|2VULN|1TLV|1CDMG	1ERES|24AEFRZ|34VULN|4BPWR|5TLV|6LEGI|7CDMG|89RCR|aDUR
35	31323 26532	   	297.75	DCR|4VULN|2TLV|2DMG|1MSE	15TLV|2AEWIND|37DMG|459aVULN|5BPWR|6MSE|8RCR
36	33323 26532	   	297.75	DCR|4VULN|2TLV|2DMG|1MSE	15TLV|2AEFRZ|37DMG|459aVULN|5BPWR|6MSE|8RCR
37	15321 14362	   	296.27	DCR|4VULN|1TLV|1AEFBLL|1DMG	1DMG|2ZMB|389aVULN|4CGEN|5TLV|6AEFBLL|7RCR
38	32132 12336	   	296.09	ACR|4VULN|2TLV|1ASPD	14TLV|24LHND|3RCR|4BPWR|5ZMB|6789VULN|aASPD
39	51311 31134	   	295.97	DCR|4VULN|2TLV|1AART	1DUR|2DUST|369aVULN|47TLV|5AART|8RCR
40	32133 12432	   	295.57	ACR|4VULN|2TLV|1AEFBLL	14TLV|24LHND|3RCR|4BPWR|5MLV|679aVULN|8AEFBLL
41	32135 52432	   	295.57	ACR|4VULN|2TLV|1AEFBLL	14TLV|24LHND|3RCR|4BPWR|579aVULN|6MLV|8AEFBLL
42	32135 42432	   	295.47	ACR|4VULN|2TLV|1AEFBLL	14TLV|24LHND|3RCR|4BPWR|569aVULN|7NUKE|8AEFBLL
