0	Index      	 *	Score 	Summary	Detail	
1	21333 22525	 * 	334.28	ACR|DCR|2VULN|1TLV|1DMG|2CDMG|2DUR	17DUR|2DMG|3aRCR|47VULN|57CDMG|6BELT|7BPWR|8FEWX|9TLV
2	41133 22525	 * 	321.61	ACR|DCR|2VULN|1TLV|2ASPD|2CDMG	17ASPD|2aRCR|3LHND|47VULN|57CDMG|6BELT|7BPWR|8FEWX|9TLV
3	21361 41113	   	321.05	ACR|DCR|2VULN|1TLV|1DMG|2DUR	15DUR|2DMG|3aRCR|4RAT|69VULN|7MLV|8TLV
4	21313 46221	   	318.72	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1DUR|2DMG|39RCR|4BEXP|5CDMG|68VULN|7RMIN|aTLV
5	51133 41521	   	318.72	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1AME|29RCR|3LHND|46VULN|5CDMG|7DUR|8DMG|aTLV
6	51233 42521	   	318.72	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1AME|29RCR|3BEXP|46VULN|5CDMG|7DUR|8DMG|aTLV
7	21333 44126	   	318.62	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1DUR|2DMG|39RCR|46VULN|5CDMG|7LWND|8ERES|aTLV
8	22133 43221	   	318.62	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1DUR|2LEGI|39RCR|4DMG|5CDMG|68VULN|7MLV|aTLV
9	22133 44126	   	318.52	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1DUR|2LEGI|39RCR|4DMG|5CDMG|67VULN|8ERES|aTLV
10	41162 53213	   	316.00	ACR|DCR|2VULN|1TLV|1AEPOI|1ASPD	1ASPD|2aRCR|3LHND|4RAT|59VULN|6TLV|7CGEN|8AEPOI
11	41262 16113	   	316.00	ACR|DCR|2VULN|1TLV|1AEBURN|1ASPD	1ASPD|2aRCR|3BEXP|4RAT|59VULN|6CGEN|7AEBURN|8TLV
12	41262 53213	   	316.00	ACR|DCR|2VULN|1TLV|1AEPOI|1ASPD	1ASPD|2aRCR|3BEXP|4RAT|59VULN|6TLV|7CGEN|8AEPOI
13	21333 12326	 * 	314.97	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	1DUR|2DMG|39RCR|4VULN|5CDMG|6ERES|7aTLV|8MLV
14	21333 12426	   	314.97	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	1DUR|2DMG|39RCR|4VULN|5CDMG|6ERES|7aTLV|8CGEN
15	21631 53142	 * 	313.24	DCR|3TLV|2VULN|1DMG|1AEBURN|2DUR|1AART	17DUR|2DMG|3AART|467TLV|57VULN|7BPWR|8AEFRZ|9RCR|aAEBURN
16	41233 56221	   	312.31	ACR|DCR|2VULN|1TLV|1ASPD|1CDMG	1ASPD|29RCR|3BEXP|48VULN|5CDMG|6DUR|7RMIN|aTLV
17	41533 53221	   	312.31	ACR|DCR|2VULN|1TLV|1ASPD|1CDMG	1ASPD|29RCR|3LWND|48VULN|5CDMG|6DUR|7MLV|aTLV
18	51133 34521	   	308.96	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1AME|29RCR|3LHND|47VULN|5CDMG|6DUST|8DMG|aTLV
19	51233 34521	   	308.96	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1AME|29RCR|3BEXP|47VULN|5CDMG|6DUST|8DMG|aTLV
20	51233 12523	   	308.96	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1AME|29RCR|3BEXP|4aVULN|5CDMG|6ERES|7TLV|8DMG
21	51433 12523	   	308.96	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	1AME|29RCR|3FEWX|4aVULN|5CDMG|6ERES|7TLV|8DMG
22	21313 46321	   	308.93	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1CDMG	1DUR|2DMG|39RCR|4BEXP|5CDMG|6VULN|7RMIN|8AEPOI|aTLV
23	21333 25525	   	308.93	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1CDMG	1DUR|2DMG|3aRCR|4VULN|5CDMG|6BELT|7AEBURN|8FEWX|9TLV
24	22133 25325	   	308.83	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1CDMG	1DUR|2LEGI|3aRCR|4DMG|5CDMG|6BELT|7AEPOI|8VULN|9TLV
25	22133 43321	   	308.83	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1CDMG	1DUR|2LEGI|39RCR|4DMG|5CDMG|6VULN|7MLV|8AEPOI|aTLV
26	21631 53431	   	306.93	DCR|3TLV|2VULN|1DMG|2DUR|1CDMG|1AART	17DUR|2DMG|3AART|467TLV|57VULN|7BPWR|8CDMG|9BEXP|aRCR
27	21631 53143	   	306.83	DCR|3TLV|2VULN|1DMG|2DUR|1CDMG|1AART	17DUR|2DMG|3AART|467TLV|57VULN|7BPWR|8AEFRZ|9RCR|aCDMG
28	42142 12327	   	306.63	ACR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2RAT|3FLTARM|4CDMG|58RCR|6MBVNT|7DMG|9VULN|aTLV
29	21334 34126	 * 	306.35	ACR|DCR|1TLV|1VULN|2DMG|1CDMG	1DUR|25DMG|39RCR|4VULN|6CDMG|7LWND|8ERES|aTLV
30	51233 12526	   	305.31	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	1AME|29RCR|3BEXP|4VULN|5CDMG|6ERES|7aTLV|8DMG
