0	Index      	 *	Score 	Summary	Detail	
1	61374 38414	 * 	301.64	ACR|DCR|1TLV|1VULN|2DMG|2DUR	1AEFRZ|2VULN|3MBVNT|4TLV|59RCR|67DMG|8aDUR
2	61374 33814	 * 	301.22	ACR|DCR|2TLV|1VULN|1DMG	1AEFRZ|2VULN|3MBVNT|48TLV|59RCR|6DMG|7LHND|aDUR
3	61374 34354	 * 	295.21	ACR|DCR|2VULN|1TLV|1DMG	1AEFRZ|28VULN|3MBVNT|4TLV|5aRCR|6DMG|79DMSP
4	61372 33614	 * 	295.08	DCR|DCR|1TLV|1VULN|1AEPOI|1DMG	1AEFRZ|2VULN|3MBVNT|4TLV|5BEXP|6AEPOI|79RCR|8DMG|aDUR
5	61374 12614	   	295.08	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG	1AEFRZ|2VULN|3MBVNT|4TLV|59RCR|6FEWX|7AEFBLL|8DMG|aDUR
6	61374 38413	   	292.60	ACR|DCR|1TLV|1VULN|2DMG	1AEFRZ|2VULN|3MBVNT|4TLV|59RCR|67DMG|8DUR|aRPLT
7	61374 38411	   	292.50	ACR|DCR|1TLV|1VULN|2DMG	1AEFRZ|2VULN|3MBVNT|4TLV|59RCR|67DMG|8DUR|aDUST
8	61374 38412	   	292.50	ACR|DCR|1TLV|1VULN|2DMG	1AEFRZ|2VULN|3MBVNT|4TLV|59RCR|67DMG|8DUR|aERES
9	61374 33813	   	291.56	ACR|DCR|2TLV|1VULN|1DMG	1AEFRZ|2VULN|3MBVNT|48TLV|59RCR|6DMG|7LHND|aRPLT
10	61374 33811	   	291.46	ACR|DCR|2TLV|1VULN|1DMG	1AEFRZ|2VULN|3MBVNT|48TLV|59RCR|6DMG|7LHND|aDUST
11	61374 33812	   	291.46	ACR|DCR|2TLV|1VULN|1DMG	1AEFRZ|2VULN|3MBVNT|48TLV|59RCR|6DMG|7LHND|aERES
12	61522 26311	   	288.90	ACR|DCR|2VULN|1TLV|1ASPD	1AEFRZ|2aVULN|3LIT|46RCR|5ASPD|7RPLT|8TLV|9RCVC
13	31223 13435	 * 	287.03	DCR|2TLV|2VULN|2ASPD|1DMG|1AART	18ASPD|2LWND|3RCVC|48TLV|5RMIN|68VULN|7RCR|8BPWR|9DMG|aAART
14	31623 13435	   	287.03	DCR|2TLV|2VULN|2ASPD|1DMG|1AART	18ASPD|2LWND|3DMSP|48TLV|5RMIN|68VULN|7RCR|8BPWR|9DMG|aAART
15	31223 13416	   	285.69	DCR|2TLV|2VULN|2ASPD|1DMG	18ASPD|2LWND|3RCVC|48TLV|5RMIN|68VULN|7RCR|8BPWR|9DUR|aDMG
16	31623 13416	   	285.69	DCR|2TLV|2VULN|2ASPD|1DMG	18ASPD|2LWND|3DMSP|48TLV|5RMIN|68VULN|7RCR|8BPWR|9DUR|aDMG
17	12462 33513	   	285.52	DCR|DCR|1TLV|1VULN|1DMG|1AEPOI	1NUKE|2VULN|3AAC|4TLV|5BEXP|6AEPOI|79RCR|8DMG|aRPLT
18	12563 13432	   	285.49	DCR|2TLV|2VULN|2ASPD|1DMG	1NUKE|28VULN|3ERES|48TLV|5RMIN|68ASPD|7RCR|8BPWR|9DMG|aDUR
19	61372 33613	   	285.42	DCR|DCR|1TLV|1VULN|1AEPOI|1DMG	1AEFRZ|2VULN|3MBVNT|4TLV|5BEXP|6AEPOI|79RCR|8DMG|aRPLT
20	61374 12613	   	285.42	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG	1AEFRZ|2VULN|3MBVNT|4TLV|59RCR|6FEWX|7AEFBLL|8DMG|aRPLT
